代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12704280.099999997764826
真實報酬,2704280.099999997764826

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12837.221860700710749
風險,382929.618816155358218
起點值,0.033523710963878
找到最佳解世代,2157
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](3),MSFT[18](1),
Stock#,MRK[17](3),MSFT[18](1),
張數,88936,58173,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.080000000074506,30.649999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4992885.120000000111759,5023269.199999999254942,10016154.320000000298023
FS( 3 ),5073816.879999999888241,5067480.679999999701977,10141297.559999998658895
FS( 4 ),5068480.720000000670552,5130307.519999999552965,10198788.240000000223517
FS( 5 ),5039131.839999999850988,5135543.089999999850988,10174674.929999999701977
FS( 6 ),5051582.879999999888241,5132052.709999999031425,10183635.589999999850988
FS( 7 ),5096050.879999999888241,5108783.509999998845160,10204834.389999998733401
FS( 8 ),5122731.680000000633299,5123908.489999999292195,10246640.169999999925494
FS( 9 ),5217003.839999999850988,5212331.449999999254942,10429335.289999999105930
FS( 10 ),5520275.600000000558794,5139615.199999999254942,10659890.800000000745058
FS( 11 ),5516718.160000000149012,5243744.869999999180436,10760463.029999999329448
FS( 12 ),5436675.760000000707805,5241417.949999999254942,10678093.710000000894070
FS( 13 ),5450016.160000000149012,5235600.649999999441206,10685616.809999998658895
FS( 14 ),5447348.080000000074506,5329259.179999999701977,10776607.259999999776483
FS( 15 ),5487369.280000000260770,5346129.349999999627471,10833498.629999998956919
FS( 16 ),5441122.559999999590218,5341475.509999998845160,10782598.069999998435378
FS( 17 ),5451794.879999999888241,5371143.739999999292195,10822938.619999999180436
FS( 18 ),5517607.519999999552965,5471783.029999999329448,10989390.549999998882413
FS( 19 ),5481143.760000000707805,5463638.809999999590218,10944782.570000000298023
FS( 20 ),5393986.479999999515712,5394994.669999998994172,10788981.149999998509884
FS( 21 ),5269476.080000000074506,5527047.379999999888241,10796523.460000000894070
FS( 22 ),5323727.040000000037253,5483417.629999999888241,10807144.669999999925494
FS( 23 ),5208110.240000000223517,5339148.589999999850988,10547258.830000000074506
FS( 24 ),5016008.479999999515712,5119254.649999999441206,10135263.129999998956919
FS( 25 ),4932408.640000000596046,5312970.739999999292195,10245379.379999998956919
FS( 26 ),4969761.760000000707805,5212913.179999999701977,10182674.940000001341105
FS( 27 ),4867485.359999999403954,4945317.379999999888241,9812802.739999998360872
FS( 28 ),4879936.399999999441206,5129725.790000000037253,10009662.189999999478459
FS( 29 ),4929740.559999999590218,5184990.139999998733401,10114730.699999999254942
FS( 30 ),4882604.479999999515712,5225711.239999999292195,10108315.719999998807907
FS( 31 ),4882604.479999999515712,5282720.779999999329448,10165325.259999997913837
FS( 32 ),4979544.720000000670552,5390340.829999999143183,10369885.550000000745058
FS( 33 ),5006225.519999999552965,5351946.649999999441206,10358172.169999998062849
FS( 34 ),4889719.359999999403954,5393831.209999999031425,10283550.569999998435378
FS( 35 ),4851476.879999999888241,5322278.419999998994172,10173755.299999998882413
FS( 36 ),4853255.600000000558794,5336239.939999999478459,10189495.539999999105930
FS( 37 ),4879936.399999999441206,5471783.029999999329448,10351719.429999999701977
FS( 38 ),4985770.240000000223517,5550898.309999999590218,10536668.550000000745058
FS( 39 ),4866596.000000000000000,5479927.250000000000000,10346523.250000000000000
FS( 40 ),4822128.000000000000000,5454912.859999999403954,10277040.859999999403954
FS( 41 ),4775881.280000000260770,5401393.699999999254942,10177274.980000000447035
FS( 42 ),4834579.040000000037253,5413028.299999998882413,10247607.339999999850988
FS( 43 ),4838136.479999999515712,5447350.369999999180436,10285486.849999997764826
FS( 44 ),4829242.879999999888241,5428735.009999998845160,10257977.889999998733401
FS( 45 ),4844362.000000000000000,5460148.429999999701977,10304510.429999999701977
FS( 46 ),4870153.439999999478459,5493307.040000000037253,10363460.480000000447035
FS( 47 ),4903949.120000000111759,5616052.069999999366701,10520001.189999999478459
FS( 48 ),4923515.040000000037253,5629431.859999999403954,10552946.899999998509884
FS( 49 ),4924404.399999999441206,5492143.579999999143183,10416547.979999998584390
FS( 50 ),4873710.879999999888241,5459566.699999999254942,10333277.579999998211861
FS( 51 ),4913732.080000000074506,5478763.790000000037253,10392495.870000001043081
FS( 52 ),4951085.200000000186265,5503196.449999999254942,10454281.649999998509884
FS( 53 ),4858591.760000000707805,5403720.619999999180436,10262312.379999998956919
FS( 54 ),4859481.120000000111759,5417682.139999998733401,10277163.259999997913837
FS( 55 ),4863927.919999999925494,5379869.689999999478459,10243797.609999999403954
FS( 56 ),4813234.399999999441206,5223384.319999999366701,10036618.719999998807907
FS( 57 ),4750089.839999999850988,5071552.790000000037253,9821642.629999998956919
FS( 58 ),4806119.519999999552965,5455494.589999999850988,10261614.109999999403954
FS( 59 ),4780328.080000000074506,5204768.959999999031425,9985097.039999999105930
FS( 60 ),4899502.320000000298023,5200115.119999999180436,10099617.439999999478459
FS( 61 ),4844362.000000000000000,5309480.359999999403954,10153842.359999999403954
FS( 62 ),4737638.800000000745058,5149504.609999999403954,9887143.410000000149012
FS( 63 ),4810566.320000000298023,5218730.479999999515712,10029296.800000000745058
FS( 64 ),4850587.519999999552965,5371143.739999999292195,10221731.259999997913837
FS( 65 ),4849698.160000000149012,5374052.389999998733401,10223750.549999998882413
FS( 66 ),4745643.040000000037253,5248980.439999999478459,9994623.480000000447035
FS( 67 ),4994663.839999999850988,5280393.859999999403954,10275057.699999999254942
FS( 68 ),5024012.720000000670552,5403138.889999998733401,10427151.609999999403954
FS( 69 ),4998221.280000000260770,5343802.429999999701977,10342023.710000000894070
FS( 70 ),5046246.720000000670552,5443859.989999999292195,10490106.710000000894070
FS( 71 ),5084489.200000000186265,5414773.489999999292195,10499262.689999999478459
FS( 72 ),5216114.479999999515712,5478182.059999999590218,10694296.539999999105930
FS( 73 ),5271254.800000000745058,5588710.759999998845160,10859965.559999998658895
FS( 74 ),5240127.200000000186265,5610234.769999999552965,10850361.969999998807907
FS( 75 ),5215225.120000000111759,5591037.679999999701977,10806262.800000000745058
FS( 76 ),5232122.959999999962747,5526465.649999999441206,10758588.609999999403954
FS( 77 ),5358412.080000000074506,5546826.199999999254942,10905238.279999999329448
FS( 78 ),5344182.320000000298023,5417100.410000000149012,10761282.730000000447035
FS( 79 ),5303271.760000000707805,5369980.279999999329448,10673252.039999999105930
FS( 80 ),5283705.839999999850988,5483417.629999999888241,10767123.469999998807907
FS( 81 ),5289042.000000000000000,5574167.509999998845160,10863209.509999997913837
FS( 82 ),5235680.399999999441206,5440369.609999999403954,10676050.009999997913837
FS( 83 ),5156527.359999999403954,5526465.649999999441206,10682993.009999997913837
FS( 84 ),5096050.879999999888241,5439787.879999999888241,10535838.759999999776483
FS( 85 ),5116506.160000000149012,5472364.759999998845160,10588870.919999998062849
FS( 86 ),5136072.080000000074506,5535773.329999999143183,10671845.410000000149012
FS( 87 ),5103165.760000000707805,5597436.709999999031425,10700602.469999998807907
FS( 88 ),5048025.439999999478459,5573585.779999999329448,10621611.219999998807907
FS( 89 ),5153859.280000000260770,5639321.269999999552965,10793180.550000000745058
FS( 90 ),5163642.240000000223517,5695749.079999999143183,10859391.320000000298023
FS( 91 ),5308607.919999999925494,5683532.750000000000000,10992140.669999999925494
FS( 92 ),5307718.559999999590218,5702729.839999999850988,11010448.399999998509884
FS( 93 ),5265029.280000000260770,5661427.009999998845160,10926456.289999999105930
