代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12704280.099999997764826
真實報酬,2704280.099999997764826

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12837.221860700710749
風險,382929.618816155358218
起點值,0.033523710963878
找到最佳解世代,2157
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](3),MSFT[18](1),
FS( 94 ),5313944.080000000074506,5651537.599999999627471,10965481.679999999701977
FS( 95 ),5253467.600000000558794,5595109.790000000037253,10848577.390000000596046
FS( 96 ),5259693.120000000111759,5605580.929999999701977,10865274.050000000745058
FS( 97 ),5208999.600000000558794,5677715.449999999254942,10886715.050000000745058
FS( 98 ),5198327.280000000260770,5671898.149999999441206,10870225.429999999701977
FS( 99 ),5262361.200000000186265,5739378.829999999143183,11001740.029999999329448
FS( 100 ),5258803.760000000707805,5719018.279999999329448,10977822.039999999105930
FS( 101 ),5255246.320000000298023,5721926.929999999701977,10977173.250000000000000
FS( 102 ),5193880.479999999515712,5701566.379999999888241,10895446.859999999403954
FS( 103 ),5311276.000000000000000,5756249.000000000000000,11067525.000000000000000
FS( 104 ),5294378.160000000149012,5749849.969999999739230,11044228.129999998956919
FS( 105 ),5385982.240000000223517,5863287.319999999366701,11249269.559999998658895
FS( 106 ),5515828.800000000745058,5914479.559999999590218,11430308.359999999403954
FS( 107 ),5459799.120000000111759,5944729.519999999552965,11404528.640000000596046
FS( 108 ),5507824.559999999590218,5962181.419999998994172,11470005.979999998584390
FS( 109 ),5513160.720000000670552,5868522.889999998733401,11381683.609999999403954
FS( 110 ),5565632.959999999962747,5912152.639999998733401,11477785.599999997764826
FS( 111 ),5543398.959999999962747,5878412.299999998882413,11421811.259999997913837
FS( 112 ),5553181.919999999925494,5893537.279999999329448,11446719.199999999254942
FS( 113 ),5566522.320000000298023,5866777.699999999254942,11433300.019999999552965
FS( 114 ),5474918.240000000223517,5899936.309999999590218,11374854.550000000745058
FS( 115 ),5516718.160000000149012,5824893.139999998733401,11341611.299999998882413
FS( 116 ),5424224.720000000670552,5867359.429999999701977,11291584.150000000372529
FS( 117 ),5427782.160000000149012,5867359.429999999701977,11295141.589999999850988
FS( 118 ),5450016.160000000149012,5926114.160000000149012,11376130.320000000298023
FS( 119 ),5441122.559999999590218,5883647.869999999180436,11324770.429999999701977
FS( 120 ),5466914.000000000000000,5841181.579999999143183,11308095.579999998211861
FS( 121 ),5432228.959999999962747,5723672.119999999180436,11155901.079999998211861
FS( 122 ),5400212.000000000000000,5763811.489999999292195,11164023.489999998360872
FS( 123 ),5325505.760000000707805,5674225.069999999366701,10999730.830000000074506
FS( 124 ),5362858.879999999888241,5737633.639999998733401,11100492.519999999552965
FS( 125 ),5398433.280000000260770,5736470.179999999701977,11134903.460000000894070
FS( 126 ),5377088.640000000596046,5817912.379999999888241,11195001.019999999552965
FS( 127 ),5399322.640000000596046,5762066.299999998882413,11161388.939999999478459
FS( 128 ),5482033.120000000111759,5803369.129999999888241,11285402.250000000000000
FS( 129 ),5531837.280000000260770,5884811.329999999143183,11416648.609999999403954
FS( 130 ),5515828.800000000745058,5924950.699999999254942,11440779.500000000000000
FS( 131 ),5540730.879999999888241,5940657.410000000149012,11481388.289999999105930
FS( 132 ),5505156.479999999515712,5932513.189999999478459,11437669.669999998062849
FS( 133 ),5572747.839999999850988,6061075.519999999552965,11633823.359999999403954
FS( 134 ),5593203.120000000111759,6133210.040000000037253,11726413.160000000149012
FS( 135 ),5566522.320000000298023,6102960.079999999143183,11669482.399999998509884
FS( 136 ),5561186.160000000149012,6163460.000000000000000,11724646.160000000149012
FS( 137 ),5597649.919999999925494,6115176.410000000149012,11712826.330000000074506
FS( 138 ),5559407.439999999478459,6073291.849999999627471,11632699.289999999105930
FS( 139 ),5560296.800000000745058,6182075.359999999403954,11742372.160000000149012
FS( 140 ),5575415.919999999925494,6280969.459999999031425,11856385.379999998956919
FS( 141 ),5640339.200000000186265,6262935.829999999143183,11903275.029999999329448
FS( 142 ),5735500.719999999739230,6447344.239999999292195,12182844.959999999031425
FS( 143 ),5692811.440000000409782,6376954.910000000149012,12069766.350000001490116
FS( 144 ),5646564.720000000670552,6264099.290000000037253,11910664.010000001639128
FS( 145 ),5763960.240000000223517,6129719.660000000149012,11893679.900000000372529
FS( 146 ),5858232.400000000372529,6171022.489999999292195,12029254.890000000596046
FS( 147 ),5824436.719999999739230,6182657.089999999850988,12007093.809999998658895
FS( 148 ),5800424.000000000000000,6257700.259999998845160,12058124.259999997913837
FS( 149 ),5863568.560000000521541,6285041.569999999366701,12148610.129999998956919
FS( 150 ),5889360.000000000000000,6290277.139999998733401,12179637.139999998733401
FS( 151 ),5921376.959999999962747,6333906.889999998733401,12255283.849999997764826
FS( 152 ),5931159.919999999925494,6369392.419999998994172,12300552.339999999850988
FS( 153 ),5869794.080000000074506,6379863.559999999590218,12249657.640000000596046
FS( 154 ),5876019.599999999627471,6340887.649999999441206,12216907.250000000000000
FS( 155 ),5933828.000000000000000,6294930.979999999515712,12228758.980000000447035
FS( 156 ),5910704.639999999664724,6373464.529999999329448,12284169.169999998062849
FS( 157 ),5991636.400000000372529,6262935.829999999143183,12254572.230000000447035
FS( 158 ),6123261.679999999701977,6261772.369999999180436,12385034.049999998882413
FS( 159 ),6141938.240000000223517,6258281.989999999292195,12400220.230000000447035
FS( 160 ),6240657.200000000186265,6216979.160000000149012,12457636.359999999403954
FS( 161 ),6151721.200000000186265,6165205.189999999478459,12316926.390000000596046
FS( 162 ),6140159.520000000484288,6228032.029999999329448,12368191.550000000745058
FS( 163 ),6133934.000000000000000,6257118.529999999329448,12391052.529999999329448
FS( 164 ),6140159.520000000484288,6305983.849999999627471,12446143.370000001043081
FS( 165 ),6135712.719999999739230,6375791.449999999254942,12511504.169999998062849
FS( 166 ),6103695.759999999776483,6414185.629999999888241,12517881.390000000596046
FS( 167 ),6119704.240000000223517,6516570.109999999403954,12636274.349999999627471
FS( 168 ),6095691.520000000484288,6512498.000000000000000,12608189.519999999552965
FS( 169 ),6100138.320000000298023,6534603.739999999292195,12634742.059999998658895
FS( 170 ),6043219.280000000260770,6498536.479999999515712,12541755.759999999776483
FS( 171 ),6102806.400000000372529,6311219.419999998994172,12414025.820000000298023
FS( 172 ),6170397.759999999776483,6325762.669999998994172,12496160.429999999701977
FS( 173 ),6196189.200000000186265,6294930.979999999515712,12491120.179999999701977
FS( 174 ),6186406.240000000223517,6362993.389999998733401,12549399.629999998956919
FS( 175 ),6143716.959999999962747,6471195.169999998994172,12614912.129999998956919
FS( 176 ),6213087.040000000037253,6498536.479999999515712,12711623.519999999552965
FS( 177 ),6299354.959999999962747,6568344.079999999143183,12867699.039999999105930
FS( 178 ),6223759.360000000335276,6595103.660000000149012,12818863.019999999552965
FS( 179 ),6262891.200000000186265,6523550.869999999180436,12786442.070000000298023
FS( 180 ),6262891.200000000186265,6585795.979999999515712,12848687.179999999701977
FS( 181 ),6223759.360000000335276,6497954.750000000000000,12721714.109999999403954
FS( 182 ),6294908.160000000149012,6606738.259999998845160,12901646.419999998062849
FS( 183 ),6323367.679999999701977,6646877.629999999888241,12970245.309999998658895
FS( 184 ),6294908.160000000149012,6670728.559999999590218,12965636.719999998807907
FS( 185 ),6283346.480000000447035,6657930.500000000000000,12941276.980000000447035
FS( 186 ),6254886.959999999962747,6630589.189999999478459,12885476.149999998509884
FS( 187 ),6289572.000000000000000,6655603.579999999143183,12945175.579999998211861
FS( 188 ),6309137.919999999925494,6653276.660000000149012,12962414.580000000074506
FS( 189 ),6361610.160000000149012,6725411.179999999701977,13087021.339999999850988
FS( 190 ),6381176.080000000074506,6698651.599999999627471,13079827.679999999701977
FS( 191 ),6347380.400000000372529,6699815.059999999590218,13047195.460000000894070
FS( 192 ),6334040.000000000000000,6561363.319999999366701,12895403.320000000298023
FS( 193 ),6317142.160000000149012,6522969.139999998733401,12840111.299999998882413
FS( 194 ),6355384.639999999664724,6448507.699999999254942,12803892.339999999850988
FS( 195 ),6433648.320000000298023,6530531.629999999888241,12964179.949999999254942
FS( 196 ),6265559.280000000260770,6175676.329999999143183,12441235.609999999403954
FS( 197 ),6080572.400000000372529,6161133.079999999143183,12241705.480000000447035
FS( 198 ),6208640.240000000223517,6374046.259999998845160,12582686.500000000000000
FS( 199 ),6177512.639999999664724,6259445.449999999254942,12436958.089999999850988
FS( 200 ),6334040.000000000000000,6457233.649999999441206,12791273.649999998509884
FS( 201 ),6387401.599999999627471,6440363.479999999515712,12827765.079999998211861
FS( 202 ),6422086.639999999664724,6311801.149999999441206,12733887.789999999105930
FS( 203 ),6434537.679999999701977,6321108.829999999143183,12755646.509999997913837
FS( 204 ),6454103.599999999627471,6377536.639999998733401,12831640.239999998360872
FS( 205 ),6412303.679999999701977,6288531.949999999254942,12700835.629999998956919
FS( 206 ),6273563.520000000484288,5952292.009999998845160,12225855.529999999329448
FS( 207 ),6221980.639999999664724,6300166.549999998882413,12522147.189999997615814
FS( 208 ),6261112.480000000447035,6222214.729999999515712,12483327.210000000894070
FS( 209 ),6354495.280000000260770,6041296.699999999254942,12395791.980000000447035
FS( 210 ),6480784.400000000372529,6034315.939999999478459,12515100.339999999850988
FS( 211 ),6546597.040000000037253,6213488.779999999329448,12760085.820000000298023
FS( 212 ),6503018.400000000372529,6161714.809999999590218,12664733.210000000894070
FS( 213 ),6427422.799999999813735,6175676.329999999143183,12603099.129999998956919
FS( 214 ),6503018.400000000372529,6254209.879999999888241,12757228.280000001192093
FS( 215 ),6519916.240000000223517,6266426.209999999031425,12786342.449999999254942
FS( 216 ),6677332.959999999962747,6513079.729999999515712,13190412.689999999478459
FS( 217 ),6712907.360000000335276,6500863.399999999441206,13213770.759999999776483
FS( 218 ),6657767.040000000037253,6374046.259999998845160,13031813.299999998882413
FS( 219 ),6642647.919999999925494,6216979.160000000149012,12859627.080000000074506
FS( 220 ),6635533.040000000037253,6221051.269999999552965,12856584.309999998658895
FS( 221 ),6589286.320000000298023,6106450.459999999031425,12695736.779999999329448
FS( 222 ),6655988.320000000298023,6240830.089999999850988,12896818.410000000149012
FS( 223 ),6764490.240000000223517,6299584.819999999366701,13064075.059999998658895
FS( 224 ),6790281.679999999701977,6086089.910000000149012,12876371.589999999850988
FS( 225 ),6650652.160000000149012,5916806.479999999515712,12567458.640000000596046
FS( 226 ),6651541.520000000484288,5998248.679999999701977,12649790.199999999254942
FS( 227 ),6640869.200000000186265,5995921.759999998845160,12636790.959999999031425
FS( 228 ),6709349.919999999925494,6193709.959999999031425,12903059.879999998956919
FS( 229 ),6789392.320000000298023,6232685.869999999180436,13022078.189999999478459
FS( 230 ),6868545.360000000335276,6464214.410000000149012,13332759.769999999552965
FS( 231 ),6929021.839999999850988,6410113.519999999552965,13339135.359999999403954
FS( 232 ),7056200.320000000298023,6450834.619999999180436,13507034.939999999478459
FS( 233 ),7045528.000000000000000,6520642.219999999739230,13566170.219999998807907
FS( 234 ),6955702.639999999664724,6312964.609999999403954,13268667.250000000000000
FS( 235 ),6969932.400000000372529,6351940.519999999552965,13321872.919999999925494
FS( 236 ),6823188.000000000000000,6097724.509999998845160,12920912.509999997913837
FS( 237 ),6885443.200000000186265,6258863.719999999739230,13144306.919999999925494
FS( 238 ),6857873.040000000037253,6317036.719999999739230,13174909.759999999776483
FS( 239 ),6937915.440000000409782,6345541.489999999292195,13283456.929999999701977
FS( 240 ),7026851.440000000409782,6367065.500000000000000,13393916.940000001341105
FS( 241 ),6801843.360000000335276,6168113.839999999850988,12969957.199999999254942
FS( 242 ),6690673.360000000335276,5985450.619999999180436,12676123.980000000447035
FS( 243 ),6610630.959999999962747,6048277.459999999031425,12658908.419999998062849
FS( 244 ),6560826.799999999813735,6031989.019999999552965,12592815.820000000298023
FS( 245 ),6535924.719999999739230,5905171.879999999888241,12441096.599999999627471
FS( 246 ),6483452.480000000447035,5714364.439999999478459,12197816.919999999925494
FS( 247 ),6327814.480000000447035,5475855.139999998733401,11803669.619999999180436
FS( 248 ),6581282.080000000074506,5849907.529999999329448,12431189.609999999403954
FS( 249 ),6704013.759999999776483,5885974.790000000037253,12589988.550000000745058
FS( 250 ),6703124.400000000372529,5840018.119999999180436,12543142.519999999552965
FS( 251 ),6795617.839999999850988,5908662.259999998845160,12704280.099999997764826
