代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13577709.380000000819564
真實報酬,3577709.380000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13905.021123862070453
風險,176971.522773619304644
起點值,0.078572082705359
找到最佳解世代,2279
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](5),CAT[3](3),JPM[13](6),MSFT[18](1),V[25](9),
Stock#,AAPL[0](5),CAT[3](3),JPM[13](6),MSFT[18](1),V[25](9),
張數,18859,24405,31347,35348,25555,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.050000000046566,10.250000000000000,61.400000000139698,10.160000000149012,65.699999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1970391.370000000111759,1982672.449999999953434,1995297.950000000186265,2000000.000000000000000,2000511.100000000093132,9948872.870000001043081
FS( 3 ),1995096.660000000149012,2001952.400000000139698,2026958.419999999925494,2013785.720000000204891,2011499.749999999767169,10049292.950000001117587
FS( 4 ),1996605.380000000121072,1995607.099999999860302,2023823.720000000204891,2028631.880000000121072,2031177.100000000093132,10075845.179999999701977
FS( 5 ),2026968.370000000111759,2014887.050000000046566,2078367.500000000000000,2048780.240000000223517,2048043.399999999906868,10217046.560000000521541
FS( 6 ),2043752.880000000121072,2036363.449999999953434,2072098.099999999860302,2052315.040000000270084,2043187.949999999953434,10247717.419999999925494
FS( 7 ),2052050.840000000083819,2021476.399999999906868,2064888.290000000270084,2057263.760000000242144,2045999.000000000000000,10241678.290000000968575
FS( 8 ),2036775.050000000046566,2017083.500000000232831,2046393.560000000288710,2050901.120000000344589,2036288.100000000093132,10187441.330000000074506
FS( 9 ),2035454.920000000158325,2031482.449999999953434,2052036.020000000018626,2060798.560000000055879,2047532.300000000046566,10227304.250000001862645
FS( 10 ),2040169.670000000158325,2025625.250000000000000,2047647.439999999944121,2048073.280000000027940,2044976.799999999813735,10206492.439999999478459
FS( 11 ),2064686.370000000111759,2053691.000000000232831,2060186.239999999990687,2054435.920000000158325,2067720.749999999767169,10300720.279999999329448
FS( 12 ),2062800.469999999972060,2057107.700000000186265,2059872.770000000018626,2030399.280000000027940,2065165.250000000000000,10275345.469999998807907
FS( 13 ),2059783.030000000027940,2060036.299999999813735,2065515.230000000214204,2034641.040000000270084,2065931.900000000139698,10285907.500000000000000
FS( 14 ),2057142.770000000018626,2034899.149999999906868,2067396.050000000279397,2036054.960000000195578,2051365.549999999813735,10246858.480000000447035
FS( 15 ),2062423.290000000037253,2046125.450000000186265,2064574.820000000065193,2036761.920000000158325,2056476.549999999813735,10266362.030000001192093
FS( 16 ),2046393.140000000130385,2040024.200000000186265,2062694.000000000000000,2038529.320000000298023,2071554.000000000000000,10259194.660000000149012
FS( 17 ),2052805.199999999953434,2050274.300000000046566,2061753.590000000083819,2046305.880000000121072,2064909.699999999953434,10276048.669999999925494
FS( 18 ),2037340.820000000065193,2029286.000000000232831,2067396.050000000279397,2048426.760000000242144,2051876.650000000139698,10234326.280000001192093
FS( 19 ),2028665.679999999934807,2021720.450000000186265,2071157.689999999944121,2056203.320000000298023,2052643.299999999813735,10230390.440000001341105
FS( 20 ),2016784.510000000009313,2017327.549999999813735,2075859.739999999990687,2051254.600000000093132,2059032.049999999813735,10220258.449999999254942
FS( 21 ),2014521.429999999934807,2028065.749999999767169,2098743.049999999813735,2053728.960000000195578,2066698.550000000046566,10261757.740000000223517
FS( 22 ),1999057.050000000046566,2012934.650000000139698,2115983.900000000372529,2046305.880000000121072,2074365.050000000046566,10248646.530000001192093
FS( 23 ),2000942.949999999953434,2000000.000000000000000,2115983.900000000372529,2031106.240000000223517,2067465.200000000186265,10215498.290000000968575
FS( 24 ),2012824.120000000111759,1987797.500000000000000,2106893.269999999552965,2035701.480000000214204,2077687.199999999953434,10220903.570000000298023
FS( 25 ),2031683.120000000111759,1993654.699999999953434,2115670.429999999701977,2038529.320000000298023,2095575.699999999953434,10275113.269999999552965
