代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12397731.519999999552965
真實報酬,2397731.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9753.287474320637557
風險,249071.056579929718282
起點值,0.039158654595383
找到最佳解世代,2327
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),KO[14](3),MCD[15](8),UNH[23](4),
Stock#,AAPL[0](2),KO[14](3),MCD[15](8),UNH[23](4),
張數,57537,81011,32100,69232,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.349999999627471,0.540000000037253,52.000000000000000,32.479999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2542577.379999999422580,2505670.770000000018626,2516692.000000000000000,2561616.479999999981374,10126556.629999998956919
FS( 3 ),2571345.879999999422580,2509721.320000000298023,2519902.000000000000000,2538077.599999999627471,10139046.799999998882413
FS( 4 ),2616224.739999999757856,2529974.070000000298023,2541730.000000000000000,2547770.079999999608845,10235698.890000000596046
FS( 5 ),2606443.449999999254942,2534834.729999999981374,2545582.000000000000000,2551924.000000000000000,10238784.179999999701977
FS( 6 ),2619101.589999999850988,2529974.070000000298023,2545903.000000000000000,2569924.319999999832362,10264902.980000000447035
FS( 7 ),2597812.899999999441206,2537265.060000000055879,2539162.000000000000000,2560231.839999999850988,10234471.799999998882413
FS( 8 ),2613923.259999999776483,2534024.620000000111759,2552002.000000000000000,2572693.599999999627471,10272643.480000000447035
FS( 9 ),2602991.229999999515712,2543745.939999999944121,2558422.000000000000000,2594155.520000000018626,10299314.689999999478459
FS( 10 ),2531645.349999999627471,2548606.600000000093132,2531137.000000000000000,2538769.919999999925494,10150158.869999999180436
FS( 11 ),2523590.169999999459833,2550226.820000000298023,2538199.000000000000000,2455691.520000000018626,10067707.509999999776483
FS( 12 ),2478711.309999999590218,2514581.979999999981374,2485234.000000000000000,2423844.799999999813735,9902372.089999999850988
FS( 13 ),2470080.759999999776483,2532404.400000000372529,2515729.000000000000000,2445999.040000000037253,9964213.199999999254942
FS( 14 ),2535097.569999999832362,2585871.660000000149012,2536594.000000000000000,2466768.640000000130385,10124331.870000001043081
FS( 15 ),2521288.689999999478459,2605314.299999999813735,2556496.000000000000000,2492384.479999999981374,10175483.469999998807907
FS( 16 ),2575948.839999999850988,2603694.080000000074506,2552644.000000000000000,2524231.200000000186265,10256518.120000001043081
FS( 17 ),2537399.049999999813735,2576960.449999999720603,2536273.000000000000000,2495846.079999999608845,10146478.580000000074506
FS( 18 ),2587456.239999999757856,2617465.950000000186265,2551360.000000000000000,2504846.239999999757856,10261128.429999999701977
FS( 19 ),2589182.349999999627471,2597213.200000000186265,2521186.000000000000000,2484076.640000000130385,10191658.189999999478459
FS( 20 ),2604717.339999999850988,2568049.239999999757856,2512198.000000000000000,2533231.360000000335276,10218195.940000001341105
FS( 21 ),2557537.000000000000000,2559138.029999999795109,2513482.000000000000000,2528385.120000000111759,10158542.149999998509884
FS( 22 ),2600689.750000000000000,2620706.390000000130385,2545261.000000000000000,2608001.919999999925494,10374659.060000000521541
FS( 23 ),2615074.000000000000000,2628807.490000000223517,2548150.000000000000000,2634310.079999999608845,10426341.570000000298023
FS( 24 ),2609320.299999999813735,2612605.290000000037253,2560348.000000000000000,2618386.720000000204891,10400660.310000000521541
FS( 25 ),2631759.729999999515712,2592352.540000000037253,2554570.000000000000000,2581693.759999999776483,10360376.029999999329448
FS( 26 ),2615649.369999999646097,2598023.310000000055879,2578966.000000000000000,2545693.120000000111759,10338331.800000000745058
FS( 27 ),2638664.169999999459833,2608554.740000000223517,2527606.000000000000000,2550539.360000000335276,10325364.269999999552965
FS( 28 ),2628307.509999999776483,2626377.160000000149012,2491333.000000000000000,2537385.279999999795109,10283402.949999999254942
FS( 29 ),2634636.579999999608845,2619086.169999999925494,2489728.000000000000000,2538769.919999999925494,10282220.669999999925494
FS( 30 ),2643842.500000000000000,2626377.160000000149012,2475283.000000000000000,2554693.279999999795109,10300195.939999999478459
FS( 31 ),2632910.469999999739230,2588301.989999999757856,2475283.000000000000000,2527000.479999999981374,10223495.939999999478459
FS( 32 ),2633485.839999999850988,2622326.609999999869615,2471110.000000000000000,2454306.880000000353903,10181229.330000000074506
FS( 33 ),2640390.279999999795109,2646629.910000000149012,2462443.000000000000000,2465384.000000000000000,10214847.189999999478459
FS( 34 ),2635211.949999999254942,2661211.890000000130385,2465653.000000000000000,2426614.079999999608845,10188690.919999999925494
FS( 35 ),2648445.459999999497086,2645819.799999999813735,2469184.000000000000000,2435614.239999999757856,10199063.500000000000000
FS( 36 ),2664555.819999999832362,2652300.680000000167638,2467258.000000000000000,2445999.040000000037253,10230113.539999999105930
FS( 37 ),2672611.000000000000000,2657161.339999999850988,2472073.000000000000000,2481307.360000000335276,10283152.699999999254942
FS( 38 ),2659952.859999999403954,2656351.229999999981374,2470468.000000000000000,2476461.120000000111759,10263233.210000000894070
FS( 39 ),2668583.409999999683350,2635288.370000000111759,2453455.000000000000000,2460537.759999999776483,10217864.539999999105930
FS( 40 ),2675487.849999999627471,2647440.020000000018626,2453455.000000000000000,2472999.520000000018626,10249382.389999998733401
FS( 41 ),2673761.739999999757856,2651490.569999999832362,2471431.000000000000000,2486153.599999999627471,10282836.910000000149012
FS( 42 ),2660528.229999999515712,2653110.790000000037253,2464048.000000000000000,2488230.560000000055879,10265917.580000000074506
FS( 43 ),2651322.309999999590218,2664452.330000000074506,2464048.000000000000000,2500000.000000000000000,10279822.640000000596046
FS( 44 ),2708859.309999999590218,2641769.250000000000000,2458912.000000000000000,2570616.640000000130385,10380157.199999999254942
FS( 45 ),2723243.559999999590218,2587491.880000000353903,2385403.000000000000000,2594155.520000000018626,10290293.959999999031425
FS( 46 ),2745107.619999999646097,2572099.790000000037253,2396638.000000000000000,2602463.360000000335276,10316308.769999999552965
FS( 47 ),2743381.509999999776483,2553467.259999999776483,2382193.000000000000000,2656464.319999999832362,10335506.089999999850988
FS( 48 ),2762944.089999999850988,2548606.600000000093132,2387329.000000000000000,2662002.880000000353903,10360882.570000000298023
FS( 49 ),2814727.389999999664724,2554277.370000000111759,2361328.000000000000000,2662002.880000000353903,10392335.640000000596046
FS( 50 ),2808398.319999999832362,2539695.390000000130385,2372242.000000000000000,2705619.040000000037253,10425954.750000000000000
FS( 51 ),2830837.750000000000000,2553467.259999999776483,2362612.000000000000000,2690388.000000000000000,10437305.009999999776483
FS( 52 ),2841194.409999999683350,2568049.239999999757856,2332759.000000000000000,2741619.680000000167638,10483622.330000000074506
FS( 53 ),2864209.209999999497086,2557517.810000000055879,2377378.000000000000000,2822621.120000000111759,10621726.140000000596046
FS( 54 ),2799767.769999999552965,2571289.679999999701977,2397280.000000000000000,2830236.640000000130385,10598574.089999999850988
FS( 55 ),2785383.519999999552965,2568859.350000000093132,2418787.000000000000000,2808082.399999999906868,10581112.269999999552965
FS( 56 ),2734750.959999999497086,2549416.709999999962747,2412688.000000000000000,2790774.399999999906868,10487630.070000000298023
FS( 57 ),2685269.139999999664724,2542935.830000000074506,2407873.000000000000000,2797697.599999999627471,10433775.570000000298023
FS( 58 ),2773876.119999999646097,2562378.469999999739230,2419750.000000000000000,2756158.399999999906868,10512162.990000000223517
FS( 59 ),2806096.839999999850988,2550226.820000000298023,2422960.000000000000000,2812236.319999999832362,10591519.980000000447035
FS( 60 ),2826234.789999999571592,2550226.820000000298023,2413009.000000000000000,2786620.479999999981374,10576091.089999999850988
