代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13965005.719999998807907
真實報酬,3965005.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15301.979688803665340
風險,332690.808743367320858
起點值,0.045994597045232
找到最佳解世代,1780
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
Stock#,MCD[15](1),V[25](2),
張數,63580,252652,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,68.799999999813735,16.919999999925494,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5019074.000000000000000,5053056.919999999925494,10072130.919999999925494
FS( 3 ),5027339.399999999441206,5037897.799999999813735,10065237.199999999254942
FS( 4 ),4997456.799999999813735,4972208.280000000260770,9969665.080000000074506
FS( 5 ),5003814.799999999813735,5015159.120000000111759,10018973.919999999925494
FS( 6 ),5042598.599999999627471,5045477.359999999403954,10088075.959999999031425
FS( 7 ),5068030.599999999627471,5075795.599999999627471,10143826.199999999254942
FS( 8 ),5055314.600000000558794,5012632.599999999627471,10067947.199999999254942
FS( 9 ),5128431.599999999627471,5048003.879999999888241,10176435.480000000447035
FS( 10 ),5133517.999999999068677,5048003.879999999888241,10181521.879999998956919
FS( 11 ),5158950.000000000000000,5050530.399999999441206,10209480.399999998509884
FS( 12 ),5145598.200000000186265,5090954.719999999739230,10236552.919999999925494
FS( 13 ),5181838.799999999813735,5053056.919999999925494,10234895.719999998807907
FS( 14 ),5246054.600000000558794,5030318.240000000223517,10276372.839999999850988
FS( 15 ),5234610.199999999254942,4941890.040000000037253,10176500.239999998360872
FS( 16 ),5245418.799999999813735,4858514.879999999888241,10103933.679999999701977
FS( 17 ),5254320.000000000000000,4901465.719999999739230,10155785.719999998807907
FS( 18 ),5259406.399999999441206,4974734.799999999813735,10234141.199999999254942
FS( 19 ),5240968.200000000186265,5007579.559999999590218,10248547.759999999776483
FS( 20 ),5189468.400000000372529,5040424.319999999366701,10229892.719999998807907
FS( 21 ),5184382.000000000000000,5121272.959999999962747,10305654.960000000894070
FS( 22 ),5148777.200000000186265,5002526.520000000484288,10151303.720000000670552
FS( 23 ),5134153.799999999813735,5098534.280000000260770,10232688.080000000074506
FS( 24 ),5120802.000000000000000,4997473.480000000447035,10118275.480000000447035
FS( 25 ),5130974.799999999813735,4939363.520000000484288,10070338.320000000298023
FS( 26 ),5158950.000000000000000,5040424.319999999366701,10199374.320000000298023
FS( 27 ),5159585.799999999813735,4845882.280000000260770,10005468.080000000074506
FS( 28 ),5166579.600000000558794,4828196.639999999664724,9994776.240000000223517
FS( 29 ),5109357.599999999627471,4717029.760000000707805,9826387.359999999403954
FS( 30 ),5132882.200000000186265,4729662.359999999403954,9862544.559999998658895
FS( 31 ),5179931.399999999441206,4795351.879999999888241,9975283.279999999329448
FS( 32 ),5165307.999999999068677,4727135.839999999850988,9892443.839999999850988
FS( 33 ),5201548.599999999627471,4729662.359999999403954,9931210.959999999031425
FS( 34 ),5246690.399999999441206,4701870.639999999664724,9948561.039999999105930
FS( 35 ),5257499.000000000000000,4676605.440000000409782,9934104.440000001341105
FS( 36 ),5264492.799999999813735,4737241.919999999925494,10001734.719999998807907
FS( 37 ),5254955.799999999813735,4717029.760000000707805,9971985.560000000521541
FS( 38 ),5232067.000000000000000,4757454.079999999143183,9989521.079999998211861
FS( 39 ),5203456.000000000000000,4633654.599999999627471,9837110.599999999627471
FS( 40 ),5233974.399999999441206,4666499.359999999403954,9900473.759999997913837
FS( 41 ),5363041.799999999813735,4754927.559999999590218,10117969.359999999403954
FS( 42 ),5377029.399999999441206,5467406.200000000186265,10844435.599999999627471
FS( 43 ),5361134.399999999441206,5323394.559999999590218,10684528.959999999031425
FS( 44 ),5445695.799999999813735,5555834.399999999441206,11001530.199999999254942
FS( 45 ),5445060.000000000000000,5578573.079999999143183,11023633.079999998211861
FS( 46 ),5459047.599999999627471,5570993.520000000484288,11030041.120000001043081
FS( 47 ),5471763.599999999627471,5694793.000000000000000,11166556.599999999627471
FS( 48 ),5442516.799999999813735,5667001.280000000260770,11109518.080000000074506
FS( 49 ),5426621.799999999813735,5553307.879999999888241,10979929.679999999701977
FS( 50 ),5403732.999999999068677,5540675.280000000260770,10944408.279999999329448
FS( 51 ),5401825.599999999627471,5606364.799999999813735,11008190.399999998509884
FS( 52 ),5455868.599999999627471,5555834.399999999441206,11011703.000000000000000
FS( 53 ),5434887.200000000186265,5606364.799999999813735,11041252.000000000000000
FS( 54 ),5429800.799999999813735,5563413.959999999962747,10993214.759999999776483
FS( 55 ),5481300.599999999627471,5634156.520000000484288,11115457.120000001043081
FS( 56 ),5485115.399999999441206,5598785.240000000223517,11083900.640000000596046
FS( 57 ),5502282.000000000000000,5560887.440000000409782,11063169.440000001341105
FS( 58 ),5630713.599999999627471,5654368.679999999701977,11285082.279999999329448
FS( 59 ),5602738.400000000372529,5626576.959999999962747,11229315.359999999403954
FS( 60 ),5596380.399999999441206,5634156.520000000484288,11230536.919999999925494
FS( 61 ),5537251.000000000000000,5543201.799999999813735,11080452.800000000745058
FS( 62 ),5517541.200000000186265,5490144.879999999888241,11007686.080000000074506
FS( 63 ),5498467.200000000186265,5404243.200000000186265,10902710.400000000372529
FS( 64 ),5492745.000000000000000,5411822.760000000707805,10904567.760000001639128
FS( 65 ),5408183.599999999627471,5277917.200000000186265,10686100.800000000745058
FS( 66 ),5438702.000000000000000,5525516.160000000149012,10964218.160000000149012
FS( 67 ),5358591.200000000186265,5368871.919999999925494,10727463.120000001043081
FS( 68 ),5409455.199999999254942,5267811.120000000111759,10677266.320000000298023
FS( 69 ),5220622.599999999627471,5005053.040000000037253,10225675.640000000596046
FS( 70 ),5465405.599999999627471,5227386.799999999813735,10692792.399999998509884
FS( 71 ),5345875.199999999254942,5007579.559999999590218,10353454.759999997913837
FS( 72 ),5485751.200000000186265,5338553.679999999701977,10824304.879999998956919
FS( 73 ),5499738.799999999813735,5295602.839999999850988,10795341.640000000596046
FS( 74 ),5520084.399999999441206,5424455.359999999403954,10944539.759999997913837
FS( 75 ),5510547.400000000372529,5421928.839999999850988,10932476.240000000223517
FS( 76 ),5563318.799999999813735,5305708.919999999925494,10869027.719999998807907
FS( 77 ),5443152.599999999627471,5070742.559999999590218,10513895.160000000149012
FS( 78 ),5546152.200000000186265,5027791.719999999739230,10573943.919999999925494
FS( 79 ),5579849.600000000558794,5040424.319999999366701,10620273.919999999925494
FS( 80 ),5692386.200000000186265,5290549.799999999813735,10982936.000000000000000
FS( 81 ),5730534.199999999254942,5457300.120000000111759,11187834.320000000298023
FS( 82 ),5640250.599999999627471,5313288.480000000447035,10953539.080000000074506
FS( 83 ),5717818.200000000186265,5421928.839999999850988,11139747.039999999105930
FS( 84 ),5772497.000000000000000,5469932.719999999739230,11242429.719999998807907
FS( 85 ),5771861.200000000186265,5553307.879999999888241,11325169.080000000074506
FS( 86 ),5748336.599999999627471,5550781.359999999403954,11299117.959999999031425
FS( 87 ),5726719.399999999441206,5540675.280000000260770,11267394.679999999701977
FS( 88 ),5664411.000000000000000,5404243.200000000186265,11068654.199999999254942
FS( 89 ),5647244.399999999441206,5424455.359999999403954,11071699.759999997913837
FS( 90 ),5677127.000000000000000,5588679.160000000149012,11265806.160000000149012
FS( 91 ),5633892.599999999627471,5525516.160000000149012,11159408.759999999776483
FS( 92 ),5406276.200000000186265,5454773.599999999627471,10861049.800000000745058
FS( 93 ),5480029.000000000000000,5522989.639999999664724,11003018.640000000596046
FS( 94 ),5475578.400000000372529,5543201.799999999813735,11018780.199999999254942
FS( 95 ),5515633.799999999813735,5659421.719999999739230,11175055.519999999552965
FS( 96 ),5599559.399999999441206,5717531.679999999701977,11317091.079999998211861
FS( 97 ),5613547.000000000000000,5737743.839999999850988,11351290.839999999850988
FS( 98 ),5646608.599999999627471,5687213.440000000409782,11333822.039999999105930
FS( 99 ),5678398.599999999627471,5864069.839999999850988,11542468.439999999478459
FS( 100 ),5564590.399999999441206,5775641.639999999664724,11340232.039999999105930
