代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14033501.379999998956919
真實報酬,4033501.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18264.812144651739800
風險,344256.764444988337345
起點值,0.053055782866310
找到最佳解世代,3033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](8),MRK[17](16),PG[21](11),
Stock#,AAPL[0](1),HD[9](8),MRK[17](16),PG[21](11),
張數,125565,103476,90810,46851,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.850000000093132,19.839999999850988,0.699999999720603,30.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2502511.300000000279397,2535181.839999999850988,2515437.699999999720603,2516397.850000000093132,10069528.689999999478459
FS( 3 ),2528879.950000000186265,2521729.959999999962747,2505448.599999999627471,2521082.950000000186265,10077141.460000000894070
FS( 4 ),2577850.300000000279397,2542425.159999999683350,2413730.499999999534339,2499531.490000000223517,10033537.449999999254942
FS( 5 ),2595429.400000000372529,2501034.760000000242144,2367417.399999999906868,2491566.820000000298023,9955448.380000000819564
FS( 6 ),2580361.600000000093132,2541390.399999999906868,2354703.999999999534339,2489692.780000000260770,9966148.780000001192093
FS( 7 ),2560271.200000000186265,2519660.439999999944121,2335633.899999999441206,2455491.549999999813735,9871057.089999999850988
FS( 8 ),2516323.450000000186265,2523799.479999999981374,2323828.599999999627471,2440030.720000000204891,9803982.250000000000000
FS( 9 ),2510045.199999999720603,2507243.319999999832362,2378314.599999999627471,2436751.149999999906868,9832354.269999999552965
FS( 10 ),2457307.899999999906868,2498965.239999999757856,2368325.499999999534339,2462050.689999999944121,9786649.329999998211861
FS( 11 ),2440984.450000000186265,2467922.439999999944121,2266618.299999999813735,2404892.470000000204891,9580417.660000000149012
FS( 12 ),2446007.050000000279397,2400663.039999999571592,2218488.999999999534339,2347265.740000000223517,9412424.830000000074506
FS( 13 ),2432194.900000000372529,2447227.239999999757856,2249364.399999999906868,2343049.149999999906868,9471835.690000001341105
FS( 14 ),2437217.500000000000000,2416184.439999999944121,2329277.199999999720603,2397396.310000000055879,9580075.449999999254942
FS( 15 ),2502511.300000000279397,2433775.359999999869615,2352887.799999999813735,2372565.280000000260770,9661739.740000000223517
FS( 16 ),2463586.150000000372529,2405836.839999999850988,2286596.499999999534339,2368817.200000000186265,9524836.690000001341105
FS( 17 ),2403314.950000000186265,2367550.719999999739230,2280239.799999999813735,2368348.689999999944121,9419454.160000000149012
FS( 18 ),2443495.750000000000000,2346855.520000000018626,2311115.199999999720603,2368348.689999999944121,9469815.159999998286366
FS( 19 ),2508789.550000000279397,2438949.159999999683350,2412822.399999999906868,2421290.320000000298023,9781851.429999999701977
FS( 20 ),2555248.600000000093132,2443088.199999999720603,2451870.699999999720603,2424569.890000000130385,9874777.390000000596046
FS( 21 ),2546459.050000000279397,2469991.959999999962747,2529059.199999999720603,2447058.370000000111759,9992568.579999998211861
FS( 22 ),2555248.600000000093132,2445157.719999999739230,2539048.299999999813735,2394116.740000000223517,9933571.359999999403954
FS( 23 ),2561526.850000000093132,2453435.799999999813735,2547221.199999999720603,2436282.640000000130385,9998466.490000000223517
FS( 24 ),2511300.850000000093132,2360307.399999999906868,2452778.799999999813735,2394585.250000000000000,9718972.300000000745058
FS( 25 ),2486187.850000000093132,2367550.719999999739230,2532691.599999999627471,2444247.310000000055879,9830677.480000000447035
FS( 26 ),2428427.950000000186265,2317882.239999999757856,2508172.899999999906868,2432066.049999999813735,9686549.140000000596046
FS( 27 ),2461074.850000000093132,2344786.000000000000000,2546313.099999999627471,2466267.280000000260770,9818441.230000000447035
FS( 28 ),2446007.050000000279397,2346855.520000000018626,2452778.799999999813735,2455491.549999999813735,9701132.919999999925494
FS( 29 ),2484932.200000000186265,2330299.359999999869615,2401925.199999999720603,2446589.859999999869615,9663746.619999999180436
FS( 30 ),2552737.299999999813735,2391350.199999999720603,2435524.899999999906868,2482196.620000000111759,9861809.019999999552965
FS( 31 ),2551481.649999999906868,2450331.520000000018626,2466400.299999999813735,2508433.180000000167638,9976646.650000000372529
FS( 32 ),2634354.550000000279397,2491721.919999999459833,2516345.799999999813735,2560437.790000000037253,10202860.059999998658895
FS( 33 ),2645655.399999999906868,2524834.239999999757856,2530875.399999999906868,2586674.350000000093132,10288039.389999998733401
