代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13478927.799999998882413
真實報酬,3478927.799999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13410.035627242052215
風險,189155.887019622488879
起點值,0.070894096073526
找到最佳解世代,1543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](9),MSFT[18](1),UNH[23](3),
Stock#,AAPL[0](2),INTC[11](9),MSFT[18](1),UNH[23](3),
張數,26697,81672,49397,18925,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,92.919999999925494,20.080000000074506,17.830000000074506,7.500000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541113.379999999888241,2479582.000000000000000,2459000.490000000223517,2506813.000000000000000,9986508.870000001043081
FS( 3 ),2514683.350000000093132,2437929.280000000260770,2463446.219999999739230,2498675.250000000000000,9914734.100000001490116
FS( 4 ),2489321.199999999720603,2442012.879999999888241,2466904.009999999776483,2503974.250000000000000,9902212.339999999850988
FS( 5 ),2475438.759999999776483,2453446.959999999962747,2489132.660000000149012,2498864.500000000000000,9916882.879999998956919
FS( 6 ),2477307.550000000279397,2433845.680000000167638,2473325.620000000111759,2510787.249999999534339,9895266.099999999627471
FS( 7 ),2494126.660000000149012,2461614.160000000149012,2520252.770000000018626,2527819.750000000000000,10003813.339999999850988
FS( 8 ),2469832.390000000130385,2455080.399999999906868,2521734.679999999701977,2473315.750000000000000,9919963.219999998807907
FS( 9 ),2411899.899999999906868,2430578.800000000279397,2544457.299999999813735,2455337.000000000000000,9842273.000000000000000
FS( 10 ),2416705.359999999869615,2442829.600000000093132,2523216.589999999850988,2441332.500000000000000,9824084.050000000745058
FS( 11 ),2506407.279999999795109,2482032.160000000149012,2560264.339999999850988,2472369.499999999534339,10021073.279999999329448
FS( 12 ),2495995.449999999720603,2448546.640000000130385,2495060.299999999813735,2451930.500000000000000,9891532.890000000596046
FS( 13 ),2524561.239999999757856,2449363.359999999869615,2509879.400000000372529,2469909.250000000000000,9953713.250000000000000
FS( 14 ),2514950.319999999832362,2419961.439999999944121,2485674.870000000111759,2460257.500000000000000,9880844.129999998956919
FS( 15 ),2542181.259999999776483,2462430.879999999888241,2500493.969999999739230,2478047.000000000000000,9983153.109999999403954
FS( 16 ),2574484.629999999888241,2468964.640000000130385,2471349.740000000223517,2468205.999999999534339,9983005.009999999776483
FS( 17 ),2613729.220000000204891,2536752.399999999906868,2548409.060000000055879,2509273.250000000000000,10208163.929999999701977
FS( 18 ),2659648.060000000055879,2563704.160000000149012,2574589.469999999739230,2524980.999999999534339,10322922.689999999478459
FS( 19 ),2680738.689999999944121,2571871.359999999869615,2563228.160000000149012,2516654.000000000000000,10332492.210000000894070
FS( 20 ),2679136.869999999646097,2578405.120000000111759,2584468.870000000111759,2535957.500000000000000,10377968.359999999403954
FS( 21 ),2666055.339999999850988,2580038.560000000055879,2618058.830000000074506,2529712.249999999534339,10393864.980000000447035
FS( 22 ),2628679.539999999571592,2585755.600000000093132,2610649.280000000260770,2545987.750000000000000,10371072.169999999925494
FS( 23 ),2608923.759999999776483,2593922.800000000279397,2592372.390000000130385,2574564.500000000000000,10369783.450000001117587
FS( 24 ),2614263.160000000149012,2582488.720000000204891,2558288.459999999962747,2589704.500000000000000,10344744.839999999850988
FS( 25 ),2633218.029999999795109,2587389.040000000037253,2575083.440000000409782,2614496.250000000000000,10410186.760000001639128
FS( 26 ),2643896.830000000074506,2603723.439999999944121,2573601.530000000260770,2591597.000000000000000,10412818.800000000745058
FS( 27 ),2641494.100000000093132,2604540.160000000149012,2570637.709999999962747,2657077.500000000000000,10473749.469999998807907
FS( 28 ),2660448.970000000204891,2608623.760000000242144,2549890.969999999739230,2662376.500000000000000,10481340.199999999254942
FS( 29 ),2638557.429999999701977,2616790.959999999962747,2542975.390000000130385,2635124.500000000000000,10433448.279999999329448
FS( 30 ),2598778.899999999906868,2627408.320000000298023,2476783.410000000149012,2613360.750000000000000,10316331.380000000819564
FS( 31 ),2601982.539999999571592,2624958.160000000149012,2461470.339999999850988,2609197.250000000000000,10297608.289999999105930
FS( 32 ),2593439.500000000000000,2581672.000000000000000,2454554.759999999776483,2597653.000000000000000,10227319.259999999776483
FS( 33 ),2604385.270000000018626,2588205.760000000242144,2489132.660000000149012,2624148.000000000000000,10305871.690000001341105
FS( 34 ),2545117.929999999701977,2593922.800000000279397,2476289.440000000409782,2605790.750000000000000,10221120.920000001788139
FS( 35 ),2538977.619999999646097,2627408.320000000298023,2473325.620000000111759,2621498.500000000000000,10261210.059999998658895
FS( 36 ),2560602.189999999944121,2639659.120000000111759,2528650.259999999776483,2615253.250000000000000,10344164.820000000298023
FS( 37 ),2550991.270000000018626,2637208.959999999962747,2518770.860000000335276,2609765.000000000000000,10316736.089999999850988
FS( 38 ),2565674.619999999646097,2694379.360000000335276,2564216.100000000093132,2634178.250000000000000,10458448.330000000074506
FS( 39 ),2493592.720000000204891,2576771.680000000167638,2461470.339999999850988,2598220.750000000000000,10130055.490000000223517
FS( 40 ),2457284.800000000279397,2508983.919999999925494,2392314.540000000037253,2594814.250000000465661,9953397.510000001639128
FS( 41 ),2498665.149999999906868,2547369.760000000242144,2442205.509999999776483,2625094.250000000000000,10113334.669999999925494
FS( 42 ),2520289.720000000204891,2607807.040000000037253,2496542.209999999962747,2659348.500000000000000,10283987.469999998807907
FS( 43 ),2552326.119999999646097,2678861.679999999701977,2527662.320000000298023,2672217.500000000000000,10431067.619999999180436
FS( 44 ),2560068.250000000000000,2674778.080000000074506,2527168.350000000093132,2665783.000000000465661,10427797.679999999701977
FS( 45 ),2536040.949999999720603,2669061.040000000037253,2527662.320000000298023,2679030.500000000000000,10411794.810000000521541
FS( 46 ),2550457.330000000074506,2692745.919999999925494,2538035.690000000409782,2694549.000000000000000,10475787.940000001341105
FS( 47 ),2561403.100000000093132,2711530.480000000447035,2538035.690000000409782,2664647.500000000000000,10475616.769999999552965
FS( 48 ),2581158.879999999888241,2776868.080000000074506,2583480.929999999701977,2673542.250000000000000,10615050.140000000596046
FS( 49 ),2589167.979999999981374,2807903.440000000409782,2597806.060000000055879,2655563.500000000000000,10650440.980000000447035
FS( 50 ),2600914.660000000149012,2853639.759999999776483,2628432.200000000186265,2646858.000000000465661,10729844.620000001043081
FS( 51 ),2586231.310000000055879,2859356.799999999813735,2643251.299999999813735,2677516.500000000000000,10766355.910000000149012
FS( 52 ),2637489.550000000279397,2874874.480000000447035,2654612.610000000335276,2665404.500000000000000,10832381.140000000596046
FS( 53 ),2637222.580000000074506,2864257.120000000111759,2652636.730000000447035,2674677.750000000465661,10828794.180000001564622
FS( 54 ),2665254.429999999701977,2862623.679999999701977,2665479.950000000186265,2663701.250000000000000,10857059.309999998658895
FS( 55 ),2666322.310000000055879,2870790.879999999888241,2622504.560000000055879,2698523.250000000000000,10858141.000000000000000
FS( 56 ),2668725.039999999571592,2914893.759999999776483,2761804.100000000093132,2706661.000000000000000,11052083.899999998509884
FS( 57 ),2654575.629999999888241,2798919.520000000484288,2756370.429999999701977,2703822.250000000000000,10913687.830000000074506
FS( 58 ),2634018.939999999944121,2830771.599999999627471,2794406.120000000111759,2719340.750000000000000,10978537.410000000149012
FS( 59 ),2598778.899999999906868,2833221.759999999776483,2802309.640000000130385,2682247.750000000000000,10916558.050000000745058
FS( 60 ),2580891.910000000149012,2865890.560000000521541,2803791.549999999813735,2681680.000000000000000,10932254.019999999552965
FS( 61 ),2748549.069999999832362,2844655.839999999850988,2775635.259999999776483,2681301.500000000000000,11050141.669999999925494
FS( 62 ),2785657.899999999906868,2839755.520000000484288,2776623.200000000186265,2701740.500000000000000,11103777.120000001043081
FS( 63 ),2782187.289999999571592,2847106.000000000000000,2799839.790000000037253,2710067.500000000000000,11139200.579999998211861
FS( 64 ),2831309.770000000018626,2846289.280000000260770,2794900.089999999850988,2715934.250000000000000,11188433.390000000596046
FS( 65 ),2789395.479999999981374,2822604.400000000372529,2794900.089999999850988,2709499.749999999534339,11116399.720000000670552
FS( 66 ),2824368.550000000279397,2797286.080000000074506,2814164.919999999925494,2704011.500000000000000,11139831.050000000745058
FS( 67 ),2826504.310000000055879,2824237.839999999850988,2834911.660000000149012,2700794.250000000000000,11186448.060000000521541
FS( 68 ),2869486.479999999981374,2856906.639999999664724,2863067.950000000186265,2706093.250000000000000,11295554.320000000298023
FS( 69 ),2893246.810000000055879,2861806.959999999962747,2868007.650000000372529,2689817.750000000000000,11312879.169999999925494
FS( 70 ),2904993.489999999757856,2852006.320000000298023,2874923.230000000447035,2683951.000000000000000,11315874.040000000968575
FS( 71 ),2883368.919999999925494,2820154.240000000223517,2866031.770000000018626,2690953.250000000000000,11260508.179999999701977
FS( 72 ),2881500.129999999888241,2832405.040000000037253,2879862.929999999701977,2699280.250000000000000,11293048.349999999627471
FS( 73 ),2888174.379999999888241,2823421.120000000111759,2862080.009999999776483,2704011.500000000000000,11277687.009999999776483
FS( 74 ),2922880.479999999981374,2851189.599999999627471,2870971.469999999739230,2680166.000000000000000,11325207.550000000745058
FS( 75 ),2920210.779999999795109,2875691.200000000186265,2837381.509999999776483,2669946.500000000465661,11303229.990000000223517
FS( 76 ),2915939.259999999776483,2860173.520000000484288,2843309.150000000372529,2681869.250000000000000,11301291.179999999701977
FS( 77 ),2912201.679999999701977,2856089.919999999925494,2845285.030000000260770,2690574.749999999534339,11304151.379999998956919
FS( 78 ),2919676.839999999850988,2878141.360000000335276,2846272.969999999739230,2688114.500000000000000,11332205.669999999925494
FS( 79 ),2896984.390000000130385,2887942.000000000000000,2848742.820000000298023,2689060.750000000000000,11322729.960000000894070
FS( 80 ),2906061.369999999646097,2891208.879999999888241,2859610.160000000149012,2687546.750000000000000,11344427.160000000149012
FS( 81 ),2884169.830000000074506,2870790.879999999888241,2862573.980000000447035,2647047.250000000000000,11264581.940000001341105
FS( 82 ),2871889.209999999962747,2865890.560000000521541,2873441.320000000298023,2598410.000000000000000,11209631.089999999850988
FS( 83 ),2855070.100000000093132,2879774.799999999813735,2866525.740000000223517,2585541.000000000000000,11186911.640000000596046
FS( 84 ),2851866.459999999962747,2903459.679999999701977,2869983.530000000260770,2597842.250000000000000,11223151.919999999925494
FS( 85 ),2829974.919999999925494,2915710.480000000447035,2859610.160000000149012,2590272.250000000000000,11195567.810000000521541
FS( 86 ),2832644.619999999646097,2931228.160000000149012,2838369.450000000186265,2574753.750000000000000,11176995.980000000447035
FS( 87 ),2849463.729999999981374,2941845.520000000484288,2844791.060000000055879,2568887.000000000000000,11204987.310000000521541
FS( 88 ),2876160.729999999981374,2946745.839999999850988,2848742.820000000298023,2585351.750000000465661,11257001.140000000596046
FS( 89 ),2875359.819999999832362,2986765.120000000111759,2845779.000000000000000,2573239.750000000000000,11281143.689999999478459
FS( 90 ),2892979.839999999850988,2977781.200000000186265,2848248.850000000093132,2554693.250000000000000,11273703.140000000596046
FS( 91 ),2817160.359999999869615,2976147.759999999776483,2836887.540000000037253,2563209.500000000000000,11193405.160000000149012
FS( 92 ),2753354.529999999795109,2894475.759999999776483,2776623.200000000186265,2528766.000000000000000,10953219.489999998360872
FS( 93 ),2815024.600000000093132,2946745.839999999850988,2818116.679999999701977,2564912.750000000000000,11144799.869999999180436
FS( 94 ),2882034.069999999832362,2908360.000000000000000,2792430.240000000223517,2535011.250000000000000,11117835.560000000521541
FS( 95 ),2984016.609999999869615,2909176.719999999739230,2779093.049999999813735,2530090.750000000000000,11202377.129999998956919
FS( 96 ),3085465.209999999962747,2985948.400000000372529,2825032.259999999776483,2566426.750000000465661,11462872.620000001043081
FS( 97 ),3068112.160000000149012,3076604.320000000298023,2827996.080000000074506,2620552.250000000000000,11593264.810000000521541
FS( 98 ),3032338.179999999701977,3034951.599999999627471,2812189.040000000037253,2605601.500000000000000,11485080.320000000298023
FS( 99 ),3032071.209999999962747,3033318.160000000149012,2806261.400000000372529,2601627.250000000000000,11473278.019999999552965
FS( 100 ),3031537.270000000018626,3058636.480000000447035,2853188.549999999813735,2647804.250000000000000,11591166.550000000745058
FS( 101 ),3060103.060000000055879,3066803.679999999701977,2856152.370000000111759,2669189.500000000000000,11652248.609999999403954
FS( 102 ),3009111.789999999571592,3037401.759999999776483,2836887.540000000037253,2659159.250000000000000,11542560.339999999850988
FS( 103 ),3013650.279999999795109,2993298.879999999888241,2810707.129999999888241,2644208.500000000000000,11461864.789999999105930
FS( 104 ),3019256.649999999906868,3036585.040000000037253,2862573.980000000447035,2664458.250000000000000,11582873.919999999925494
FS( 105 ),3042216.069999999832362,3057819.759999999776483,2866525.740000000223517,2657266.750000000000000,11623828.320000000298023
FS( 106 ),2994962.379999999888241,3048019.120000000111759,2835405.629999999888241,2617713.500000000000000,11496100.629999998956919
FS( 107 ),3018188.770000000018626,3083138.080000000074506,2845285.030000000260770,2649507.500000000000000,11596119.379999998956919
FS( 108 ),3004039.359999999869615,3075787.599999999627471,2836393.570000000298023,2620930.750000000000000,11537151.279999999329448
FS( 109 ),3016853.919999999925494,3065986.959999999962747,2827502.110000000335276,2614685.500000000000000,11525028.490000000223517
FS( 110 ),3018188.770000000018626,3102739.360000000335276,2847260.910000000149012,2604087.500000000000000,11572276.540000000968575
FS( 111 ),3040614.250000000000000,3109273.120000000111759,2852200.610000000335276,2582702.250000000000000,11584790.230000000447035
FS( 112 ),3045152.739999999757856,3111723.280000000260770,2855164.429999999701977,2586298.000000000000000,11598338.449999999254942
FS( 113 ),3098279.770000000018626,3105189.520000000484288,2867019.709999999962747,2613171.500000000465661,11683660.500000000000000
FS( 114 ),3104954.020000000018626,3043935.520000000484288,2825032.259999999776483,2550151.250000000000000,11524073.050000000745058
FS( 115 ),3132718.899999999906868,3032501.440000000409782,2821080.500000000000000,2556775.000000000000000,11543075.839999999850988
FS( 116 ),3123107.979999999981374,3019433.919999999925494,2811695.070000000298023,2539553.250000000000000,11493790.220000000670552
FS( 117 ),3140461.029999999795109,3058636.480000000447035,2836393.570000000298023,2534443.499999999534339,11569934.580000000074506
FS( 118 ),3138325.270000000018626,3045568.959999999962747,2826514.169999999925494,2538417.750000000000000,11548826.150000000372529
FS( 119 ),3136189.509999999776483,3083138.080000000074506,2848248.850000000093132,2713663.249999999534339,11781239.689999999478459
FS( 120 ),3126845.560000000055879,2900192.799999999813735,2841827.240000000223517,2732209.750000000000000,11601075.349999999627471
FS( 121 ),3125243.739999999757856,2893659.040000000037253,2827996.080000000074506,2745457.250000000000000,11592356.109999999403954
FS( 122 ),3112963.119999999646097,2870790.879999999888241,2947042.850000000093132,2751134.750000000000000,11681931.599999999627471
FS( 123 ),3140994.970000000204891,2879774.799999999813735,3013234.830000000074506,2738265.750000000000000,11772270.349999999627471
FS( 124 ),3157013.169999999925494,2866707.280000000260770,3012740.860000000335276,2721044.000000000000000,11757505.310000000521541
FS( 125 ),3085999.149999999906868,2852006.320000000298023,2994957.940000000409782,2691710.250000000000000,11624673.660000000149012
FS( 126 ),3056365.479999999981374,2843022.400000000372529,2968777.530000000260770,2686222.000000000000000,11554387.410000000149012
FS( 127 ),3036075.759999999776483,2837305.360000000335276,2957416.219999999739230,2656131.250000000000000,11486928.589999999850988
FS( 128 ),3031270.300000000279397,2847922.719999999739230,2959886.070000000298023,2674677.750000000465661,11513756.839999999850988
FS( 129 ),2976541.449999999720603,2819337.520000000484288,2953958.429999999701977,2638720.250000000000000,11388557.650000000372529
FS( 130 ),2979211.149999999906868,2825871.280000000260770,2935681.540000000037253,2630204.000000000000000,11370967.969999998807907
FS( 131 ),2932224.429999999701977,2771151.040000000037253,2924814.200000000186265,2608440.250000000465661,11236629.919999999925494
FS( 132 ),2905794.399999999906868,2745016.000000000000000,2900115.700000000186265,2606169.250000000000000,11157095.350000001490116
FS( 133 ),2947708.689999999944121,2833221.759999999776483,2984584.570000000298023,2686032.750000000000000,11451547.769999999552965
FS( 134 ),2965061.739999999757856,2837305.360000000335276,2987054.419999999925494,2704390.000000000000000,11493811.519999999552965
FS( 135 ),2960256.279999999795109,2838122.080000000074506,2972235.320000000298023,2685465.000000000000000,11456078.679999999701977
FS( 136 ),2877762.550000000279397,2817704.080000000074506,2899621.730000000447035,2765517.750000000000000,11360606.110000001266599
FS( 137 ),2894848.629999999888241,2826688.000000000000000,2915428.770000000018626,2771005.999999999534339,11407971.400000000372529
FS( 138 ),2822232.789999999571592,2816070.639999999664724,2870971.469999999739230,2881906.500000000000000,11391181.399999998509884
FS( 139 ),2859608.589999999850988,2851189.599999999627471,2908019.219999999739230,2880960.250000000000000,11499777.660000000149012
FS( 140 ),2936495.949999999720603,2845472.560000000521541,2946548.879999999888241,2867145.000000000000000,11595662.390000000596046
FS( 141 ),2935428.069999999832362,2860173.520000000484288,2995451.910000000149012,2853329.750000000000000,11644383.250000000000000
FS( 142 ),2938364.739999999757856,2854456.480000000447035,2981126.780000000260770,2828348.750000000000000,11602296.750000000000000
FS( 143 ),2982948.729999999981374,2856906.639999999664724,3006319.250000000000000,2846516.750000000000000,11692691.369999999180436
FS( 144 ),2984817.520000000018626,2897742.639999999664724,3019162.469999999739230,2881528.000000000000000,11783250.629999998956919
FS( 145 ),2969600.229999999981374,2874874.480000000447035,2983596.629999999888241,2905752.000000000000000,11733823.339999999850988
FS( 146 ),2984550.550000000279397,2894475.759999999776483,2990018.240000000223517,2891936.750000000000000,11760981.300000000745058
FS( 147 ),2978677.209999999962747,2900192.799999999813735,2993970.000000000000000,2878689.250000000465661,11751529.259999999776483
FS( 148 ),2975740.539999999571592,2883858.400000000372529,3017680.560000000055879,2982398.250000000000000,11859677.750000000000000
FS( 149 ),2950645.359999999869615,2834038.480000000447035,2976681.049999999813735,2996213.500000000000000,11757578.390000000596046
FS( 150 ),2923147.449999999720603,2757266.799999999813735,2924320.230000000447035,3045797.000000000000000,11650531.480000000447035
FS( 151 ),2934093.220000000204891,2789935.599999999627471,2926790.080000000074506,3041822.750000000000000,11692641.650000000372529
FS( 152 ),2913002.589999999850988,2808720.160000000149012,2974705.169999999925494,2983155.250000000000000,11679583.169999999925494
FS( 153 ),2935428.069999999832362,2835671.919999999925494,2961367.980000000447035,2977288.500000000000000,11709756.470000000670552
FS( 154 ),2964260.830000000074506,2899376.080000000074506,3031511.719999999739230,3016652.500000000000000,11911801.129999998956919
FS( 155 ),2993360.560000000055879,2915710.480000000447035,3013728.799999999813735,3015138.500000000000000,11937938.339999999850988
FS( 156 ),3042216.069999999832362,2920610.799999999813735,3061149.919999999925494,3030278.500000000000000,12054255.289999999105930
FS( 157 ),3024863.020000000018626,2937761.919999999925494,3071029.320000000298023,3018355.750000000000000,12052010.009999999776483
FS( 158 ),3075320.350000000093132,3005549.679999999701977,3111040.890000000130385,3038227.000000000000000,12230137.919999999925494
FS( 159 ),3075320.350000000093132,2985131.679999999701977,3096221.790000000037253,3025358.000000000465661,12182031.820000000298023
FS( 160 ),3092139.459999999962747,3004732.959999999962747,3091282.089999999850988,3039741.000000000000000,12227895.509999999776483
FS( 161 ),3096144.009999999776483,2965530.400000000372529,3077450.929999999701977,3102572.000000000000000,12241697.339999999850988
FS( 162 ),3114031.000000000000000,3012900.160000000149012,3142654.969999999739230,3057152.000000000000000,12326738.129999998956919
FS( 163 ),3122307.069999999832362,3039035.200000000186265,3138703.209999999962747,3058098.250000000000000,12358143.730000000447035
FS( 164 ),3125243.739999999757856,3020250.639999999664724,3138703.209999999962747,3053177.750000000465661,12337375.339999999850988
FS( 165 ),3104687.050000000279397,3016167.040000000037253,3139197.179999999701977,3057909.000000000465661,12317960.269999999552965
