代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13355587.039999999105930
真實報酬,3355587.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13144.986727895147851
風險,306594.319771515438333
起點值,0.042874201771550
找到最佳解世代,2249
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
HD[9](4),NKE[19](1),
Stock#,HD[9](4),NKE[19](1),
張數,54932,114025,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,89.360000000335276,3.750000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5067017.040000000037253,5091220.000000000000000,10158237.039999999105930
FS( 3 ),5138428.640000000596046,5148232.500000000000000,10286661.140000000596046
FS( 4 ),5123047.680000000633299,5086659.000000000000000,10209706.679999999701977
FS( 5 ),5079651.400000000372529,5021664.750000000000000,10101316.150000000372529
FS( 6 ),5168641.240000000223517,5064994.250000000000000,10233635.490000000223517
FS( 7 ),5112610.599999999627471,4973774.250000000000000,10086384.849999999627471
FS( 8 ),5084045.959999999962747,4971493.750000000000000,10055539.710000000894070
FS( 9 ),4976928.559999999590218,4868871.250000000000000,9845799.809999998658895
FS( 10 ),4949462.559999999590218,4851767.500000000000000,9801230.059999998658895
FS( 11 ),4825865.559999999590218,4856328.500000000000000,9682194.059999998658895
FS( 12 ),4882445.520000000484288,4962371.750000000000000,9844817.269999999552965
FS( 13 ),4957153.040000000037253,4970353.500000000000000,9927506.539999999105930
FS( 14 ),5045593.559999999590218,5068415.000000000000000,10114008.559999998658895
FS( 15 ),5174683.760000000707805,5167616.750000000000000,10342300.510000001639128
FS( 16 ),5127442.240000000223517,5123147.000000000000000,10250589.240000000223517
FS( 17 ),5207642.959999999962747,5152793.500000000000000,10360436.460000000894070
FS( 18 ),5218080.040000000037253,5182440.000000000000000,10400520.039999999105930
FS( 19 ),5244447.400000000372529,5224629.250000000000000,10469076.650000000372529
FS( 20 ),5305971.240000000223517,5271379.500000000000000,10577350.740000000223517
