代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12978887.080000000074506
真實報酬,2978887.080000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11709.711014711938333
風險,160956.283196786651388
起點值,0.072750878574871
找到最佳解世代,2108
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](12),TRV[22](3),V[25](5),WMT[28](8),
Stock#,HD[9](1),KO[14](12),TRV[22](3),V[25](5),WMT[28](8),
張數,42140,57471,34234,68259,34002,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.599999999860302,9.200000000186265,49.719999999972060,11.300000000046566,2.360000000102445,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1997892.999999999767169,1987931.090000000316650,1985964.059999999823049,1982252.659999999916181,2006460.380000000121072,9960501.189999999478459
FS( 3 ),1997050.199999999953434,1989655.219999999972060,2002738.719999999972060,1983617.839999999850988,2019721.160000000149012,9992783.140000000596046
FS( 4 ),1954910.199999999953434,1975862.180000000400469,1951045.380000000121072,1959727.190000000176951,2005100.300000000046566,9846645.250000001862645
FS( 5 ),1997050.199999999953434,1977011.600000000093132,1946937.299999999813735,1973378.989999999990687,2035362.080000000074506,9929740.169999999925494
FS( 6 ),2015170.399999999906868,1990804.640000000130385,1954811.120000000111759,2012969.209999999962747,2032301.900000000139698,10006057.269999999552965
FS( 7 ),2026969.599999999860302,1997701.160000000149012,1972270.459999999962747,1999317.409999999916181,2042842.520000000018626,10039101.150000000372529
FS( 8 ),2047618.199999999953434,2016091.880000000121072,1972270.459999999962747,1988395.969999999972060,2063243.720000000204891,10087620.230000000447035
FS( 9 ),2070795.199999999953434,2018965.430000000400469,1999657.659999999916181,2001365.180000000167638,2074124.360000000102445,10164907.830000000074506
FS( 10 ),2084701.399999999906868,2017816.010000000242144,2018144.020000000018626,1992491.510000000242144,2076844.520000000018626,10189997.459999999031425
FS( 11 ),2073323.600000000093132,2021264.270000000251457,2022594.439999999944121,1996587.050000000046566,2081944.820000000065193,10195714.179999999701977
FS( 12 ),2067002.599999999627471,2016091.880000000121072,2026702.520000000018626,1991126.330000000074506,2068684.040000000270084,10169607.370000001043081
FS( 13 ),2057731.799999999813735,2022988.400000000372529,2023963.799999999813735,2027986.190000000176951,2065283.840000000083819,10197954.030000001192093
FS( 14 ),2080908.800000000046566,2028735.500000000000000,2025333.159999999916181,1988395.969999999972060,2060523.560000000055879,10183896.990000000223517
FS( 15 ),2098186.200000000186265,2043677.960000000428408,2003081.059999999823049,1992491.510000000242144,2059163.480000000214204,10196600.210000000894070
FS( 16 ),2093550.799999999813735,2052298.610000000335276,1984594.699999999953434,2001365.180000000167638,2062223.660000000149012,10194032.950000001117587
FS( 17 ),2087651.199999999720603,2054022.740000000223517,1992468.520000000018626,2027303.600000000093132,2065623.860000000102445,10227069.919999999925494
FS( 18 ),2112513.799999999813735,2066091.650000000372529,2014720.620000000111759,2049146.479999999981374,2080924.760000000242144,10323397.310000000521541
FS( 19 ),2108721.200000000186265,2065516.939999999944121,2002054.039999999804422,2044368.350000000093132,2077184.540000000270084,10297845.070000000298023
FS( 20 ),2103243.000000000000000,2087930.630000000121072,2011981.900000000139698,2036859.860000000102445,2080584.739999999990687,10320600.130000000819564
FS( 21 ),2103243.000000000000000,2121263.810000000055879,2007873.819999999832362,2030716.550000000046566,2068004.000000000000000,10331101.179999999701977
FS( 22 ),2120099.000000000000000,2127010.910000000149012,2026702.520000000018626,2013651.800000000046566,2080924.760000000242144,10368388.990000000223517
FS( 23 ),2106614.200000000186265,2130459.170000000391155,2031152.939999999944121,2030716.550000000046566,2086365.080000000074506,10385307.940000001341105
FS( 24 ),2107035.599999999627471,2119539.680000000167638,2029441.239999999990687,2053924.610000000102445,2062223.660000000149012,10372164.789999999105930
FS( 25 ),2100714.599999999627471,2110919.029999999795109,2027387.199999999953434,2030716.550000000046566,2048962.880000000121072,10318700.259999999776483
FS( 26 ),2133162.399999999441206,2111493.740000000223517,2015747.640000000130385,2064846.050000000046566,2062903.700000000186265,10388153.529999999329448
FS( 27 ),2131476.799999999813735,2094252.439999999944121,1987333.419999999925494,2039590.219999999972060,2044542.620000000111759,10297195.500000000000000
FS( 28 ),2080065.999999999767169,2069539.910000000149012,1977063.219999999972060,1992491.510000000242144,2037742.220000000204891,10156902.860000001266599
FS( 29 ),2096500.599999999860302,2072413.460000000428408,1991441.500000000000000,2003412.950000000186265,2033321.959999999962747,10197090.470000000670552
FS( 30 ),2133583.799999999813735,2075287.010000000242144,2023279.120000000111759,2065528.640000000130385,2044882.640000000130385,10342561.210000000894070
FS( 31 ),2147490.000000000000000,2067241.070000000065193,1989729.799999999813735,2101705.910000000149012,2032301.900000000139698,10338468.679999999701977
FS( 32 ),2178252.200000000186265,2081608.820000000065193,2025333.159999999916181,2062115.690000000176951,2059843.520000000018626,10407153.390000000596046
FS( 33 ),2192579.799999999813735,2125286.779999999795109,2053747.380000000121072,2083275.979999999981374,2103706.099999999627471,10558596.039999999105930
FS( 34 ),2183309.000000000000000,2131608.590000000316650,2035945.699999999953434,2078497.850000000093132,2110166.480000000447035,10539527.620000001043081
FS( 35 ),2172774.000000000000000,2121263.810000000055879,2112287.520000000484288,2068259.000000000000000,2099625.860000000335276,10574210.190000001341105
FS( 36 ),2168560.000000000000000,2130459.170000000391155,2148233.219999999739230,2064846.050000000046566,2123427.259999999776483,10635525.699999999254942
FS( 37 ),2153389.599999999627471,2117815.550000000279397,2153710.660000000149012,2015699.570000000065193,2024481.440000000176951,10465096.820000000298023
FS( 38 ),2158867.799999999813735,2129884.460000000428408,2169458.299999999813735,2029351.370000000111759,1964297.900000000139698,10451859.830000000074506
FS( 39 ),2187523.000000000000000,2153447.570000000298023,2183494.240000000223517,2078497.850000000093132,1950357.080000000074506,10553319.740000000223517
FS( 40 ),2185837.399999999441206,2175286.550000000279397,2217385.899999999441206,2102388.500000000000000,2004420.260000000242144,10685318.609999997541308
FS( 41 ),2189208.599999999627471,2202297.920000000391155,2191368.060000000521541,2107849.219999999739230,2007140.420000000158325,10697864.220000000670552
FS( 42 ),2182466.200000000186265,2193102.560000000055879,2201980.599999999627471,2098975.549999999813735,2003060.179999999934807,10679585.089999999850988
FS( 43 ),2204800.399999999441206,2210918.570000000298023,2211566.120000000111759,2100340.730000000447035,2008500.500000000000000,10736126.320000000298023
FS( 44 ),2221235.000000000000000,2217240.379999999888241,2216358.879999999888241,2085323.750000000000000,2006460.380000000121072,10746618.390000000596046
FS( 45 ),2211121.399999999441206,2225286.320000000298023,2216701.219999999739230,1986348.200000000186265,2005780.340000000083819,10645237.480000000447035
FS( 46 ),2189630.000000000000000,2212642.700000000186265,2208142.719999999739230,2010238.850000000093132,1995919.760000000242144,10616574.029999999329448
FS( 47 ),2165610.200000000186265,2220688.640000000130385,2211223.780000000260770,2022525.469999999972060,2012580.739999999990687,10632628.830000000074506
FS( 48 ),2133162.399999999441206,2216665.670000000391155,2204376.980000000447035,2016382.159999999916181,2007820.459999999962747,10578407.670000001788139
FS( 49 ),2111671.000000000000000,2206320.890000000130385,2188287.000000000000000,2004095.540000000037253,2007140.420000000158325,10517514.849999999627471
FS( 50 ),2133162.399999999441206,2224711.610000000335276,2212935.480000000447035,2016382.159999999916181,2012580.739999999990687,10599772.390000000596046
FS( 51 ),2121363.200000000186265,2226435.740000000223517,2212250.799999999813735,2012286.620000000111759,2020401.200000000186265,10592737.559999998658895
FS( 52 ),2101978.799999999813735,2209194.439999999944121,2207458.040000000037253,1991808.919999999925494,2008500.500000000000000,10518940.699999999254942
FS( 53 ),2050989.399999999906868,2199999.080000000074506,2196160.820000000298023,1989761.149999999906868,2018021.060000000055879,10454931.510000001639128
FS( 54 ),2055203.399999999906868,2193677.270000000484288,2177674.459999999962747,2005460.719999999972060,2012580.739999999990687,10444596.589999999850988
FS( 55 ),1981458.399999999906868,2158619.960000000428408,2146521.520000000484288,1962457.550000000046566,2097245.719999999739230,10346303.150000000372529
FS( 56 ),1982722.599999999627471,2128160.330000000074506,2128719.839999999850988,1922184.739999999990687,2122747.219999999739230,10284534.730000000447035
FS( 57 ),2006320.999999999767169,2141378.660000000149012,2146521.520000000484288,1983617.839999999850988,2143488.440000000409782,10421327.460000000894070
FS( 58 ),2033711.999999999767169,2132183.300000000279397,2150629.599999999627471,2020477.700000000186265,2166949.820000000298023,10503952.419999999925494
FS( 59 ),2033711.999999999767169,2132183.300000000279397,2150629.599999999627471,2020477.700000000186265,2166949.820000000298023,10503952.419999999925494
FS( 60 ),2094815.000000000000000,2171263.580000000074506,2163296.179999999701977,2043685.760000000242144,2212512.500000000000000,10685573.019999999552965
FS( 61 ),2083437.199999999720603,2162068.220000000204891,2143098.120000000111759,2036859.860000000102445,2220672.980000000447035,10646136.380000000819564
FS( 62 ),2097764.799999999813735,2168390.029999999795109,2152683.639999999664724,2052559.430000000167638,2233253.720000000670552,10704651.620000001043081
FS( 63 ),2094815.000000000000000,2156895.830000000074506,2118791.980000000447035,2004778.130000000121072,2225093.240000000223517,10600374.179999999701977
FS( 64 ),2079223.199999999953434,2147700.470000000204891,2139332.379999999888241,1965870.500000000000000,2238014.000000000000000,10570140.550000000745058
FS( 65 ),2021070.000000000000000,2100574.250000000000000,2073945.439999999944121,1915358.839999999850988,2228833.459999999962747,10339781.989999998360872
FS( 66 ),2054781.999999999767169,2116091.420000000391155,2067098.640000000130385,1948123.159999999916181,2243794.339999999850988,10429889.560000000521541
FS( 67 ),2061524.399999999906868,2104597.220000000204891,2081476.919999999925494,1941979.850000000093132,2227133.360000000335276,10416711.750000000000000
FS( 68 ),2132319.599999999627471,2144252.210000000428408,2110233.480000000447035,1985665.610000000102445,2241754.220000000670552,10614225.120000001043081
FS( 69 ),2159289.200000000186265,2134482.140000000130385,2119476.660000000149012,1993174.100000000093132,2239714.100000000558794,10646136.199999999254942
FS( 70 ),2206064.599999999627471,2162068.220000000204891,2127350.480000000447035,1989761.149999999906868,2319618.799999999813735,10804863.250000000000000
FS( 71 ),2163924.599999999627471,2145401.629999999888241,2107494.759999999776483,1985665.610000000102445,2296157.419999999925494,10698644.019999999552965
FS( 72 ),2201429.200000000186265,2160918.800000000279397,2120503.679999999701977,1999317.409999999916181,2302617.799999999813735,10784786.890000000596046
FS( 73 ),2147911.399999999441206,2146551.050000000279397,2110575.820000000298023,1961092.370000000111759,2280516.500000000000000,10646647.140000000596046
FS( 74 ),2198058.000000000000000,2176435.970000000204891,2160899.799999999813735,1987713.380000000121072,2299557.620000000111759,10822664.769999999552965
FS( 75 ),2185837.399999999441206,2186780.750000000000000,2170827.660000000149012,2020477.700000000186265,2303637.860000000335276,10867561.370000001043081
FS( 76 ),2204800.399999999441206,2183332.490000000223517,2159188.099999999627471,2049829.070000000065193,2316218.600000000558794,10913368.660000000149012
FS( 77 ),2232191.399999999441206,2176435.970000000204891,2172197.020000000484288,2070989.360000000102445,2305677.980000000447035,10957491.730000000447035
FS( 78 ),2226291.799999999813735,2171263.580000000074506,2185890.620000000111759,2092149.649999999906868,2329819.400000000372529,11005415.050000000745058
FS( 79 ),2160132.000000000000000,2145976.340000000316650,2142413.439999999478459,2038907.630000000121072,2301937.759999999776483,10789367.169999999925494
FS( 80 ),2192158.400000000372529,2153447.570000000298023,2168773.620000000111759,2132422.459999999962747,2288336.959999999962747,10935139.010000001639128
FS( 81 ),2171088.400000000372529,2148849.890000000130385,2127692.820000000298023,2069624.180000000167638,2318258.720000000670552,10835514.010000001639128
FS( 82 ),2186258.799999999813735,2157470.540000000037253,2127692.820000000298023,2101705.910000000149012,2331859.520000000484288,10904987.589999999850988
FS( 83 ),2172352.599999999627471,2193677.270000000484288,2150971.939999999478459,2106484.040000000037253,2332199.540000000037253,10955685.390000000596046
FS( 84 ),2178252.200000000186265,2199999.080000000074506,2151656.620000000111759,2073719.719999999972060,2322338.959999999962747,10925966.580000001937151
FS( 85 ),2233034.200000000186265,2247125.300000000279397,2185548.280000000260770,2109896.990000000223517,2370621.799999999813735,11146226.570000000298023
FS( 86 ),2233877.000000000000000,2267814.860000000335276,2188287.000000000000000,2161091.240000000223517,2358041.059999999590218,11209111.160000000149012
FS( 87 ),2176566.599999999627471,2274711.379999999888241,2195476.139999999664724,2156313.110000000335276,2405643.860000000335276,11208711.089999999850988
FS( 88 ),2195951.000000000000000,2254596.529999999795109,2189656.360000000335276,2167234.549999999813735,2416864.520000000484288,11224302.960000000894070
FS( 89 ),2197636.599999999627471,2245975.879999999888241,2165692.559999999590218,2137883.179999999701977,2426385.080000000074506,11173573.299999998882413
FS( 90 ),2196372.399999999441206,2240803.490000000223517,2159188.099999999627471,2109896.990000000223517,2439985.879999999888241,11146246.859999999403954
FS( 91 ),2200586.399999999441206,2240803.490000000223517,2163980.860000000335276,2086688.930000000167638,2451886.580000000074506,11143946.259999999776483
FS( 92 ),2177409.400000000372529,2225861.029999999795109,2140701.740000000223517,2060750.510000000242144,2456986.879999999888241,11061709.559999998658895
FS( 93 ),2172352.599999999627471,2202297.920000000391155,2130773.879999999888241,2092832.239999999990687,2458686.980000000447035,11056943.619999999180436
FS( 94 ),2195108.200000000186265,2220688.640000000130385,2161242.139999999664724,2117405.480000000447035,2488268.720000000670552,11182713.180000001564622
FS( 95 ),2168138.599999999627471,2197700.240000000223517,2141386.419999999925494,2169964.910000000149012,2481468.320000000298023,11158658.490000000223517
FS( 96 ),2137376.399999999441206,2232757.550000000279397,2167404.259999999776483,2188394.839999999850988,2485548.559999999590218,11211481.609999999403954
FS( 97 ),2145383.000000000000000,2225286.320000000298023,2191025.719999999739230,2181568.940000000409782,2477048.059999999590218,11220312.039999999105930
FS( 98 ),2147490.000000000000000,2228734.580000000074506,2180413.179999999701977,2139930.950000000186265,2432165.419999999925494,11128734.130000000819564
FS( 99 ),2136533.599999999627471,2213792.120000000577420,2146863.860000000335276,2146074.259999999776483,2456646.860000000335276,11099910.699999999254942
FS( 100 ),2147490.000000000000000,2209194.439999999944121,2113656.879999999888241,2124231.379999999888241,2443046.059999999590218,11037618.759999997913837
FS( 101 ),2156339.400000000372529,2202872.629999999888241,2084557.979999999981374,2092832.239999999990687,2452906.639999999664724,10989508.890000000596046
FS( 102 ),2152125.399999999441206,2213217.410000000149012,2087639.039999999804422,2085323.750000000000000,2450866.520000000484288,10989172.120000001043081
FS( 103 ),2229663.000000000000000,2265516.020000000484288,2109206.459999999962747,2163139.009999999776483,2504929.700000000186265,11272454.190000001341105
FS( 104 ),2263375.000000000000000,2299423.910000000149012,2147206.200000000186265,2203411.820000000298023,2533831.400000000372529,11447248.330000000074506
FS( 105 ),2243990.599999999627471,2331032.960000000428408,2163980.860000000335276,2232763.190000000409782,2549472.320000000298023,11521239.930000001564622
FS( 106 ),2198900.799999999813735,2321837.600000000093132,2144809.820000000298023,2202729.230000000447035,2530771.220000000670552,11399048.670000001788139
FS( 107 ),2177830.799999999813735,2328159.410000000149012,2168773.620000000111759,2175425.629999999888241,2503229.600000000558794,11353419.060000002384186
FS( 108 ),2165610.200000000186265,2291952.680000000167638,2152341.299999999813735,2206142.179999999701977,2517850.459999999962747,11333896.820000000298023
FS( 109 ),2203536.200000000186265,2322987.020000000484288,2181097.860000000335276,2234810.959999999962747,2534851.459999999962747,11477283.500000000000000
FS( 110 ),2191315.599999999627471,2317239.920000000391155,2174593.400000000372529,2236176.139999999664724,2525670.919999999925494,11444995.979999998584390
FS( 111 ),2208171.599999999627471,2292527.390000000130385,2169458.299999999813735,2225254.700000000186265,2515810.339999999850988,11411222.330000000074506
FS( 112 ),2224606.200000000186265,2286205.580000000074506,2184521.259999999776483,2238223.910000000149012,2526690.980000000447035,11460247.929999999701977
FS( 113 ),2239776.599999999627471,2277010.220000000204891,2187259.980000000447035,2193172.970000000670552,2511050.059999999590218,11408269.830000001937151
FS( 114 ),2235984.000000000000000,2264366.600000000093132,2190341.040000000037253,2202729.230000000447035,2505269.720000000670552,11398690.590000001713634
FS( 115 ),2225870.399999999441206,2258619.500000000000000,2181782.540000000037253,2189760.019999999552965,2495749.160000000149012,11351781.619999999180436
FS( 116 ),2305515.000000000000000,2263217.180000000167638,2175278.080000000074506,2216381.030000000260770,2516490.379999999888241,11476881.669999998062849
FS( 117 ),2317735.599999999627471,2261493.050000000279397,2182467.219999999739230,2202729.230000000447035,2531451.259999999776483,11495876.360000001266599
FS( 118 ),2372939.000000000000000,2272987.250000000000000,2192052.740000000223517,2212968.080000000074506,2453246.660000000149012,11504193.730000000447035
FS( 119 ),2390637.799999999813735,2271837.830000000074506,2229710.139999999664724,2195903.330000000074506,2447806.339999999850988,11535895.439999999478459
FS( 120 ),2383895.399999999441206,2268389.570000000298023,2247169.480000000447035,2187029.660000000149012,2458346.959999999962747,11544831.070000000298023
FS( 121 ),2373360.399999999441206,2256320.660000000149012,2233133.540000000037253,2176108.219999999739230,2428765.220000000670552,11467688.040000000968575
FS( 122 ),2386845.200000000186265,2228159.870000000577420,2240665.020000000484288,2186347.070000000298023,2440325.900000000372529,11482343.060000000521541
FS( 123 ),2383052.599999999627471,2190229.010000000242144,2218412.919999999925494,2169964.910000000149012,2433185.480000000447035,11394844.919999999925494
FS( 124 ),2400330.000000000000000,2210918.570000000298023,2238953.320000000298023,2161773.830000000074506,2451886.580000000074506,11463862.300000000745058
FS( 125 ),2388109.400000000372529,2193677.270000000484288,2231421.839999999850988,2178838.580000000074506,2465147.360000000335276,11457194.449999999254942
FS( 126 ),2382209.799999999813735,2183907.200000000186265,2219782.280000000260770,2174060.450000000186265,2462087.179999999701977,11422046.910000000149012
FS( 127 ),2395273.200000000186265,2152872.860000000335276,2218412.919999999925494,2184981.889999999664724,2474327.900000000372529,11425868.770000001415610
FS( 128 ),2386002.399999999441206,2134482.140000000130385,2207800.379999999888241,2162456.419999999925494,2456646.860000000335276,11347388.199999999254942
FS( 129 ),2391480.599999999627471,2149424.600000000093132,2216358.879999999888241,2188394.839999999850988,2468547.559999999590218,11414206.479999996721745
FS( 130 ),2393166.200000000186265,2142528.080000000074506,2212935.480000000447035,2193172.970000000670552,2499489.379999999888241,11441292.109999999403954
FS( 131 ),2382631.200000000186265,2155746.410000000149012,2209169.740000000223517,2177473.400000000372529,2500849.459999999962747,11425870.210000000894070
FS( 132 ),2429406.599999999627471,2192527.850000000093132,2236899.280000000260770,2210237.720000000670552,2543691.980000000447035,11612763.429999999701977
FS( 133 ),2412972.000000000000000,2178160.100000000093132,2232448.859999999403954,2213650.669999999925494,2510030.000000000000000,11547261.629999998956919
FS( 134 ),2414657.599999999627471,2164367.060000000055879,2235872.259999999776483,2195903.330000000074506,2499489.379999999888241,11510289.629999998956919
FS( 135 ),2390216.399999999441206,2170688.870000000577420,2292016.020000000484288,2243684.629999999888241,2518190.480000000447035,11614796.400000000372529
FS( 136 ),2404122.599999999627471,2158045.250000000000000,2312214.080000000074506,2277814.129999999888241,2518530.500000000000000,11670726.559999998658895
FS( 137 ),2456797.599999999627471,2204022.050000000279397,2343367.020000000484288,2303069.959999999962747,2554912.639999999664724,11862169.269999999552965
FS( 138 ),2505680.000000000000000,2190803.720000000204891,2347817.439999999478459,2290783.339999999850988,2533151.360000000335276,11868235.859999999403954
FS( 139 ),2482503.000000000000000,2204022.050000000279397,2344394.040000000037253,2284640.030000000260770,2515810.339999999850988,11831369.460000000894070
FS( 140 ),2480396.000000000000000,2219539.220000000204891,2343709.359999999403954,2281227.080000000074506,2514450.259999999776483,11839321.919999999925494
FS( 141 ),2506101.399999999441206,2213792.120000000577420,2335835.540000000037253,2300339.600000000558794,2528731.100000000558794,11884799.760000001639128
FS( 142 ),2498094.799999999813735,2220688.640000000130385,2343367.020000000484288,2296926.650000000372529,2541651.860000000335276,11900728.969999998807907
FS( 143 ),2503994.400000000372529,2185631.330000000074506,2348844.459999999962747,2303752.549999999813735,2531451.259999999776483,11873674.000000000000000
FS( 144 ),2502730.200000000186265,2190803.720000000204891,2342340.000000000000000,2282592.259999999776483,2541311.839999999850988,11859778.019999999552965
FS( 145 ),2516636.399999999441206,2165516.479999999981374,2344394.040000000037253,2296244.060000000521541,2524990.879999999888241,11847781.859999999403954
FS( 146 ),2493459.400000000372529,2170114.160000000149012,2320430.240000000223517,2261431.970000000670552,2522610.740000000223517,11768046.510000001639128
FS( 147 ),2523378.799999999813735,2201723.210000000428408,2341997.660000000149012,2285322.620000000111759,2515470.320000000298023,11867892.609999999403954
FS( 148 ),2544027.399999999441206,2179884.229999999981374,2336862.560000000521541,2291465.929999999701977,2509349.959999999962747,11861590.079999998211861
FS( 149 ),2552455.399999999441206,2205746.180000000167638,2364592.099999999627471,2333103.919999999925494,2517850.459999999962747,11973748.059999998658895
FS( 150 ),2542341.799999999813735,2203447.340000000316650,2351925.520000000484288,2320817.299999999813735,2507649.860000000335276,11926181.820000000298023
FS( 151 ),2603023.400000000372529,2197700.240000000223517,2362538.060000000521541,2363820.470000000670552,2522950.759999999776483,12050032.930000001564622
FS( 152 ),2601759.200000000186265,2202872.629999999888241,2371781.240000000223517,2383615.580000000074506,2540631.799999999813735,12100660.449999999254942
FS( 153 ),2663283.599999999627471,2217240.379999999888241,2381366.759999999776483,2393854.429999999701977,2554572.620000000111759,12210317.789999999105930
FS( 154 ),2607658.799999999813735,2217240.379999999888241,2380682.080000000074506,2367233.419999999925494,2558652.860000000335276,12131467.539999999105930
FS( 155 ),2568468.599999999627471,2216090.960000000428408,2373150.599999999627471,2333786.509999999776483,2520910.639999999664724,12012407.309999998658895
FS( 156 ),2517479.200000000186265,2189079.590000000316650,2375889.320000000298023,2344707.950000000186265,2564433.200000000186265,11991589.260000001639128
FS( 157 ),2486717.000000000000000,2190229.010000000242144,2367673.160000000149012,2372694.139999999664724,2550492.379999999888241,11967805.689999997615814
FS( 158 ),2509894.000000000000000,2197125.529999999795109,2352610.200000000186265,2374059.320000000298023,2577693.980000000447035,12011383.030000001192093
FS( 159 ),2555826.599999999627471,2191378.430000000167638,2389240.580000000074506,2387028.530000000260770,2623256.660000000149012,12146730.800000000745058
FS( 160 ),2564676.000000000000000,2178160.100000000093132,2413204.379999999888241,2408871.410000000149012,2615096.179999999701977,12180008.070000000298023
FS( 161 ),2587010.200000000186265,2168964.740000000223517,2443672.639999999664724,2432762.060000000521541,2619176.419999999925494,12251586.060000000521541
FS( 162 ),2604287.599999999627471,2174711.840000000316650,2531311.679999999701977,2421158.030000000260770,2603195.480000000447035,12334664.629999998956919
FS( 163 ),2608080.200000000186265,2149424.600000000093132,2516591.060000000521541,2388393.709999999962747,2571233.600000000558794,12233723.170000001788139
FS( 164 ),2614401.200000000186265,2139654.529999999795109,2533023.379999999888241,2372011.549999999813735,2572253.660000000149012,12231344.320000000298023
FS( 165 ),2602180.599999999627471,2104022.510000000242144,2512140.639999999664724,2331738.740000000223517,2541991.879999999888241,12092074.369999997317791
FS( 166 ),2582374.799999999813735,2119539.680000000167638,2505293.839999999850988,2329008.379999999888241,2544032.000000000000000,12080248.699999999254942
