代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13256772.310000000521541
真實報酬,3256772.310000000521541

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13939.600341396413569
風險,231968.294588208082132
起點值,0.060092696573651
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,133529,
分配資金,10000000.000000000000000,
剩餘資金,13.189999999478459,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9973294.199999999254942,9973294.199999999254942
FS( 3 ),10180264.149999998509884,10180264.149999998509884
FS( 4 ),10152223.060000000521541,10152223.060000000521541
FS( 5 ),10186940.599999999627471,10186940.599999999627471
FS( 6 ),10086793.849999999627471,10086793.849999999627471
FS( 7 ),10118840.810000000521541,10118840.810000000521541
FS( 8 ),10239016.910000000149012,10239016.910000000149012
FS( 9 ),10245693.359999999403954,10245693.359999999403954
FS( 10 ),10104152.619999999180436,10104152.619999999180436
FS( 11 ),10030711.669999999925494,10030711.669999999925494
FS( 12 ),9798371.209999999031425,9798371.209999999031425
FS( 13 ),9801041.790000000968575,9801041.790000000968575
FS( 14 ),9746294.899999998509884,9746294.899999998509884
FS( 15 ),9849112.230000000447035,9849112.230000000447035
FS( 16 ),9863800.419999999925494,9863800.419999999925494
FS( 17 ),9951929.560000000521541,9951929.560000000521541
FS( 18 ),10005341.160000000149012,10005341.160000000149012
FS( 19 ),10048070.439999999478459,10048070.439999999478459
FS( 20 ),10014688.189999999478459,10014688.189999999478459
FS( 21 ),10064093.919999999925494,10064093.919999999925494
FS( 22 ),10122846.679999999701977,10122846.679999999701977
FS( 23 ),10160234.800000000745058,10160234.800000000745058
FS( 24 ),10146881.899999998509884,10146881.899999998509884
FS( 25 ),10200293.500000000000000,10200293.500000000000000
FS( 26 ),10228334.589999997988343,10228334.589999997988343
FS( 27 ),10244358.069999998435378,10244358.069999998435378
FS( 28 ),10149552.480000000447035,10149552.480000000447035
FS( 29 ),10153558.349999999627471,10153558.349999999627471
FS( 30 ),10181599.439999999478459,10181599.439999999478459
FS( 31 ),10236346.329999998211861,10236346.329999998211861
FS( 32 ),10267058.000000000000000,10267058.000000000000000
FS( 33 ),10291093.219999998807907,10291093.219999998807907
FS( 34 ),10332487.209999999031425,10332487.209999999031425
FS( 35 ),10281746.189999999478459,10281746.189999999478459
FS( 36 ),10228334.589999997988343,10228334.589999997988343
FS( 37 ),10468686.790000000968575,10468686.790000000968575
FS( 38 ),10269728.579999998211861,10269728.579999998211861
FS( 39 ),10299104.959999999031425,10299104.959999999031425
FS( 40 ),10273734.449999999254942,10273734.449999999254942
FS( 41 ),10397916.419999999925494,10397916.419999999925494
FS( 42 ),10419281.060000000521541,10419281.060000000521541
FS( 43 ),10456669.179999999701977,10456669.179999999701977
FS( 44 ),10500733.750000000000000,10500733.750000000000000
FS( 45 ),10540792.449999999254942,10540792.449999999254942
FS( 46 ),10558151.219999998807907,10558151.219999998807907
FS( 47 ),10495392.589999997988343,10495392.589999997988343
FS( 48 ),10508745.490000000223517,10508745.490000000223517
FS( 49 ),10590198.179999999701977,10590198.179999999701977
FS( 50 ),10643609.779999999329448,10643609.779999999329448
FS( 51 ),10616903.980000000447035,10616903.980000000447035
FS( 52 ),10770462.329999998211861,10770462.329999998211861
FS( 53 ),10781144.649999998509884,10781144.649999998509884
FS( 54 ),10834556.250000000000000,10834556.250000000000000
FS( 55 ),10806515.160000000149012,10806515.160000000149012
FS( 56 ),10882626.689999999478459,10882626.689999999478459
FS( 57 ),11017490.980000000447035,11017490.980000000447035
FS( 58 ),10993455.759999999776483,10993455.759999999776483
FS( 59 ),11016155.689999999478459,11016155.689999999478459
FS( 60 ),11034849.750000000000000,11034849.750000000000000
FS( 61 ),11045532.069999998435378,11045532.069999998435378
FS( 62 ),11006808.660000000149012,11006808.660000000149012
FS( 63 ),10898650.169999999925494,10898650.169999999925494
FS( 64 ),10887967.849999999627471,10887967.849999999627471
FS( 65 ),10813191.609999999403954,10813191.609999999403954
FS( 66 ),10782479.939999999478459,10782479.939999999478459
FS( 67 ),10754438.849999999627471,10754438.849999999627471
FS( 68 ),10775803.490000000223517,10775803.490000000223517
FS( 69 ),10834556.250000000000000,10834556.250000000000000
FS( 70 ),10835891.540000000968575,10835891.540000000968575
FS( 71 ),10850579.730000000447035,10850579.730000000447035
FS( 72 ),10730403.629999998956919,10730403.629999998956919
FS( 73 ),10779809.359999999403954,10779809.359999999403954
FS( 74 ),10878620.819999998435378,10878620.819999998435378
FS( 75 ),10847909.149999998509884,10847909.149999998509884
FS( 76 ),10924020.679999999701977,10924020.679999999701977
FS( 77 ),11018826.269999999552965,11018826.269999999552965
FS( 78 ),11041526.199999999254942,11041526.199999999254942
FS( 79 ),11056214.389999998733401,11056214.389999998733401
FS( 80 ),11036185.040000000968575,11036185.040000000968575
