代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12258378.059999998658895
真實報酬,2258378.059999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10766.459276622570542
風險,361939.758790352905635
起點值,0.029746550400004
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,44774,51964,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,87.419999999925494,23.919999999925494,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4996418.080000000074506,5003637.480000000447035,10000055.560000000521541
FS( 3 ),5066713.259999999776483,5015589.199999999254942,10082302.459999999031425
FS( 4 ),4990597.459999999962747,5004676.759999999776483,9995274.219999998807907
FS( 5 ),4941793.799999999813735,4964664.480000000447035,9906458.280000001192093
FS( 6 ),4922093.240000000223517,4953232.399999999441206,9875325.640000000596046
FS( 7 ),4904183.639999999664724,4922573.640000000596046,9826757.280000001192093
FS( 8 ),4969105.940000000409782,4952193.120000000111759,9921299.060000000521541
FS( 9 ),4982985.879999999888241,4967262.679999999701977,9950248.559999998658895
FS( 10 ),4952091.819999999366701,4939721.759999999776483,9891813.579999998211861
FS( 11 ),4925675.160000000149012,4900229.120000000111759,9825904.280000001192093
FS( 12 ),4935525.440000000409782,4917377.239999999292195,9852902.679999999701977
FS( 13 ),4946271.200000000186265,4948036.000000000000000,9894307.199999999254942
FS( 14 ),5008059.319999999366701,4997401.799999999813735,10005461.119999999180436
FS( 15 ),5034028.240000000223517,4992725.040000000037253,10026753.280000001192093
FS( 16 ),5062683.599999999627471,5033776.600000000558794,10096460.199999999254942
FS( 17 ),5067608.740000000223517,5049885.440000000409782,10117494.179999999701977
FS( 18 ),5030446.319999999366701,5021824.879999999888241,10052271.199999999254942
FS( 19 ),5025521.179999999701977,4977655.480000000447035,10003176.660000000149012
FS( 20 ),5041639.819999999366701,5055601.480000000447035,10097241.300000000745058
FS( 21 ),4949405.379999999888241,4959468.080000000074506,9908873.460000000894070
FS( 22 ),4975822.040000000037253,4940241.399999999441206,9916063.439999999478459
FS( 23 ),5017909.599999999627471,4976096.560000000521541,9994006.160000000149012
FS( 24 ),4991940.679999999701977,4997401.799999999813735,9989342.480000000447035
FS( 25 ),4984329.099999999627471,4970380.520000000484288,9954709.620000001043081
FS( 26 ),5032685.020000000484288,5023903.440000000409782,10056588.460000000894070
FS( 27 ),4970001.419999999925494,4980253.679999999701977,9950255.099999999627471
FS( 28 ),4987015.540000000037253,5014030.279999999329448,10001045.820000000298023
FS( 29 ),5064026.819999999366701,5074308.520000000484288,10138335.339999999850988
FS( 30 ),5144620.020000000484288,5114840.440000000409782,10259460.460000000894070
FS( 31 ),5165216.059999999590218,5133027.839999999850988,10298243.899999998509884
FS( 32 ),5175066.339999999850988,5148097.399999999441206,10323163.739999998360872
FS( 33 ),5137008.440000000409782,5085220.959999999962747,10222229.400000000372529
FS( 34 ),5125367.200000000186265,5066513.919999999925494,10191881.120000001043081
FS( 35 ),5077906.759999999776483,5065994.279999999329448,10143901.039999999105930
FS( 36 ),5098055.059999999590218,5057160.399999999441206,10155215.459999999031425
FS( 37 ),5144620.020000000484288,5070671.040000000037253,10215291.060000000521541
FS( 38 ),5130740.080000000074506,5045208.679999999701977,10175948.759999999776483
FS( 39 ),5085966.080000000074506,4993764.319999999366701,10079730.399999998509884
FS( 40 ),5062683.599999999627471,4990646.480000000447035,10053330.080000000074506
FS( 41 ),5141933.580000000074506,5057680.040000000037253,10199613.620000001043081
FS( 42 ),5210437.799999999813735,5103408.359999999403954,10313846.160000000149012
FS( 43 ),5214467.459999999962747,5153293.799999999813735,10367761.259999999776483
FS( 44 ),5239988.639999999664724,5189148.959999999962747,10429137.599999999627471
FS( 45 ),5233720.280000000260770,5166284.799999999813735,10400005.080000000074506
FS( 46 ),5262375.639999999664724,5151734.879999999888241,10414110.519999999552965
FS( 47 ),5283419.419999999925494,5186031.120000000111759,10469450.539999999105930
FS( 48 ),5218944.860000000335276,5162647.319999999366701,10381592.179999999701977
FS( 49 ),5235511.240000000223517,5140302.799999999813735,10375814.039999999105930
FS( 50 ),5265509.819999999366701,5164725.879999999888241,10430235.699999999254942
FS( 51 ),5269539.479999999515712,5134586.759999999776483,10404126.239999998360872
FS( 52 ),5269539.479999999515712,5107045.839999999850988,10376585.320000000298023
FS( 53 ),5329088.899999999441206,5163686.600000000558794,10492775.500000000000000
FS( 54 ),5361773.919999999925494,5158490.199999999254942,10520264.119999999180436
FS( 55 ),5359535.219999999739230,5230720.160000000149012,10590255.379999998956919
FS( 56 ),5498334.620000000111759,5235916.560000000521541,10734251.179999999701977
FS( 57 ),5496543.660000000149012,5253584.319999999366701,10750127.980000000447035
FS( 58 ),5397145.379999999888241,5183952.560000000521541,10581097.940000001341105
FS( 59 ),5201035.259999999776483,5047287.239999999292195,10248322.500000000000000
FS( 60 ),5038953.379999999888241,4825920.600000000558794,9864873.980000000447035
FS( 61 ),4968658.200000000186265,4739660.359999999403954,9708318.559999998658895
FS( 62 ),5190737.240000000223517,4944398.520000000484288,10135135.760000001639128
