訓練日期,20170606 - 20170906
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10800240.099999999627471
真實報酬,800240.099999999627471

夏普值報酬,0.071324010000000
夏普值風險,0.023181537716046
夏普值,3.076759224243855

預期報酬,13259.726121176521701
風險,46568.803481044720684
趨勢值,0.284734095145342
找到最佳解世代,2126
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,6
AXP[1](5),CAT[3](3),MCD[15](4),PFE[20](8),UNH[23](1),V[25](7),
Stock#,AXP[1](5),CAT[3](3),MCD[15](4),PFE[20](8),UNH[23](1),V[25](7),
張數,21137,15941,11020,51969,9217,17399,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,13.550000000046566,34.449999999953434,111.400000000139698,20.169999999925494,48.060000000055879,15.789999999804422,
20170606,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
20170607,1686957.520000000018626,1650087.360000000102445,1674490.200000000186265,1663028.169999999925494,1688694.630000000121072,1671885.699999999953434,10035147.580000000074506
20170608,1689916.700000000186265,1673998.860000000102445,1668870.000000000232831,1650035.919999999925494,1674684.790000000037253,1671885.699999999953434,10029395.970000000670552
20170609,1697526.020000000018626,1688505.169999999925494,1669421.000000000000000,1703044.300000000046566,1672564.880000000121072,1645265.229999999748543,10076330.599999999627471
20170612,1694566.840000000083819,1690896.319999999832362,1636250.800000000046566,1699406.469999999972060,1652195.310000000055879,1626822.289999999804422,10000142.029999999329448
20170613,1703444.380000000121072,1685795.199999999953434,1651127.800000000046566,1693170.189999999944121,1668785.910000000149012,1654312.709999999729916,10056640.189999999478459
20170614,1708728.630000000121072,1669216.559999999823049,1660605.000000000232831,1698886.779999999795109,1680860.180000000167638,1658488.469999999739230,10076789.620000001043081
20170615,1705769.450000000186265,1696156.850000000093132,1666004.800000000046566,1705123.060000000055879,1662610.520000000018626,1638479.619999999878928,10074148.299999998882413
20170616,1721622.200000000186265,1715286.049999999813735,1675041.200000000186265,1713438.099999999860302,1674131.770000000018626,1638479.619999999878928,10138002.939999999478459
20170619,1730711.109999999869615,1713532.539999999804422,1687714.199999999953434,1726430.349999999860302,1686943.400000000139698,1649267.000000000000000,10194602.599999999627471
20170620,1744027.420000000158325,1706359.090000000083819,1697962.800000000046566,1744099.810000000055879,1689247.650000000139698,1642133.409999999683350,10223834.180000001564622
20170621,1737686.319999999832362,1649449.719999999972060,1694216.000000000000000,1760729.890000000130385,1704455.699999999953434,1644917.250000000000000,10191458.879999998956919
20170622,1738531.800000000046566,1655347.889999999897555,1706007.400000000372529,1770084.310000000055879,1719018.560000000055879,1634651.839999999850988,10223645.800000000745058
20170623,1737897.689999999944121,1659651.959999999962747,1704244.199999999953434,1775800.899999999906868,1707497.310000000055879,1663012.209999999729916,10248108.269999999552965
20170626,1753539.069999999832362,1661883.699999999953434,1696750.600000000325963,1769044.929999999934807,1706299.100000000093132,1656748.569999999832362,10244269.970000000670552
20170627,1756075.510000000009313,1656782.580000000074506,1694105.800000000046566,1755013.300000000046566,1701506.260000000009313,1651180.889999999897555,10214668.339999999850988
20170628,1774887.439999999944121,1696953.899999999906868,1700497.400000000372529,1753973.919999999925494,1711644.959999999962747,1674321.559999999823049,10312283.180000001564622
20170629,1767700.859999999869615,1684041.689999999944121,1687604.000000000000000,1747737.640000000130385,1707681.650000000139698,1642829.369999999878928,10237599.209999999031425
20170630,1780594.429999999934807,1713054.309999999823049,1687934.600000000093132,1745658.880000000121072,1709064.199999999953434,1631694.009999999776483,10268004.429999999701977
20170703,1798772.250000000000000,1705243.219999999972060,1680661.400000000139698,1757611.750000000000000,1720401.110000000102445,1624212.439999999711290,10286906.169999999925494
20170705,1794333.479999999981374,1713532.539999999804422,1686942.800000000046566,1748257.329999999841675,1735148.310000000055879,1635695.779999999795109,10313914.239999998360872
20170706,1770025.929999999934807,1697910.360000000102445,1687163.200000000186265,1726430.349999999860302,1723074.040000000037253,1622472.539999999804422,10227080.419999998062849
20170707,1782496.760000000009313,1704446.169999999925494,1722206.800000000279397,1733186.320000000065193,1732475.380000000121072,1634129.869999999878928,10308945.300000000745058
20170710,1781862.649999999906868,1719111.889999999897555,1713941.800000000279397,1736304.459999999729916,1723166.209999999962747,1654486.699999999953434,10328877.709999999031425
20170711,1778903.469999999972060,1725488.289999999804422,1707219.600000000093132,1723831.899999999906868,1713949.209999999962747,1660054.379999999655411,10309450.849999997764826
20170712,1792853.889999999897555,1736965.809999999823049,1725623.000000000232831,1726430.349999999860302,1720769.790000000037253,1673451.609999999869615,10376098.449999999254942
20170713,1804479.240000000223517,1729154.719999999972060,1708652.199999999953434,1729548.489999999990687,1709617.219999999972060,1669275.849999999860302,10350731.720000000670552
20170714,1802576.910000000149012,1733937.019999999785796,1711297.000000000232831,1737343.839999999850988,1722705.360000000102445,1686500.859999999869615,10394364.989999998360872
20170717,1801308.689999999944121,1735052.889999999897555,1711076.600000000093132,1727989.419999999925494,1717636.010000000009313,1684760.959999999729916,10377828.569999998435378
20170718,1807649.790000000037253,1706837.319999999832362,1696750.600000000325963,1733706.010000000009313,1722244.510000000009313,1697810.209999999729916,10365002.439999999478459
20170719,1816315.960000000195578,1719271.299999999813735,1695979.199999999953434,1747217.949999999720603,1743812.290000000037253,1709467.539999999804422,10432068.239999998360872
20170720,1804056.500000000000000,1710822.569999999832362,1699505.600000000325963,1743060.429999999934807,1765103.560000000055879,1707031.679999999701977,10429584.339999999850988
20170721,1809129.380000000121072,1699185.639999999897555,1696309.800000000046566,1739942.289999999804422,1767684.320000000065193,1732956.189999999711290,10445211.619999999180436
20170724,1796658.550000000046566,1724531.830000000074506,1673498.400000000139698,1731627.250000000000000,1759481.189999999944121,1746353.419999999925494,10432154.640000000596046
20170725,1805324.719999999972060,1825916.590000000083819,1753062.800000000046566,1720194.070000000065193,1754964.860000000102445,1739741.799999999813735,10599208.839999999850988
20170726,1802999.649999999906868,1809656.769999999785796,1724851.600000000093132,1709280.579999999841675,1758190.810000000055879,1754704.939999999711290,10559688.349999999627471
20170727,1772351.000000000000000,1823206.620000000111759,1729700.399999999906868,1714997.169999999925494,1741415.870000000111759,1732434.219999999739230,10514109.279999997466803
