訓練日期,20160229 - 20160531
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11177286.989999998360872
真實報酬,1177286.989999998360872

夏普值報酬,0.109028699000000
夏普值風險,0.033693101031711
夏普值,3.235935418867650

預期報酬,20189.588962686160812
風險,94519.490745167175191
趨勢值,0.213602388285386
找到最佳解世代,2179
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MMM[16](8),PFE[20](3),XOM[29](1),
Stock#,MMM[16](8),PFE[20](3),XOM[29](1),
張數,21249,112346,41588,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.370000000111759,27.179999999701977,54.799999999813735,
20160229,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20160301,3391130.280000000260770,3374901.019999999552965,3380327.439999999944121,10146359.740000000223517
20160302,3387305.459999999962747,3368160.259999999776483,3439382.399999999906868,10194849.119999999180436
20160303,3386667.990000000223517,3358049.119999999646097,3426906.000000000000000,10171624.109999999403954
20160304,3401329.799999999813735,3337826.839999999850988,3422331.320000000298023,10161488.960000000894070
20160307,3411954.299999999813735,3346814.519999999552965,3512577.279999999329448,10271347.099999997764826
20160308,3404092.169999999925494,3298505.739999999757856,3436471.239999999757856,10139070.150000000372529
20160309,3401754.780000000260770,3341197.219999999739230,3426906.000000000000000,10169859.000000000000000
20160310,3397504.979999999981374,3324345.319999999832362,3417756.640000000130385,10139607.939999999478459
20160311,3439790.490000000223517,3426580.179999999701977,3418172.519999999552965,10284544.189999999478459
20160314,3438303.060000000055879,3381641.779999999795109,3427321.879999999888241,10247267.719999998807907
20160315,3451052.459999999962747,3318728.019999999552965,3444372.959999999497086,10214154.439999999478459
20160316,3461251.979999999981374,3262555.019999999552965,3446452.359999999869615,10170260.359999999403954
20160317,3479526.120000000111759,3296258.819999999832362,3497605.599999999627471,10273391.539999999105930
20160318,3513099.540000000502914,3308616.879999999422580,3501764.399999999906868,10323481.820000000298023
20160321,3502687.530000000260770,3378271.399999999906868,3477643.359999999869615,10358603.289999999105930
20160322,3504174.959999999962747,3413098.659999999683350,3498437.359999999869615,10415711.979999998584390
20160323,3490575.600000000558794,3391752.919999999925494,3483049.799999999813735,10365379.320000000298023
20160324,3494612.910000000149012,3379394.859999999403954,3492615.040000000037253,10366623.809999998658895
20160328,3533286.090000000316650,3345691.060000000055879,3502596.159999999683350,10381574.310000000521541
20160329,3493125.479999999981374,3376024.479999999981374,3515488.439999999944121,10384639.400000000372529
20160330,3543273.120000000111759,3378271.399999999906868,3515072.559999999590218,10436618.079999998211861
20160331,3540723.240000000223517,3329962.619999999646097,3476395.719999999739230,10347082.579999998211861
20160401,3559847.340000000316650,3374901.019999999552965,3450195.279999999329448,10384944.639999998733401
20160404,3535835.970000000204891,3451296.299999999348074,3458512.879999999888241,10445646.149999998509884
20160405,3523299.060000000055879,3523197.739999999757856,3419004.279999999329448,10465502.079999998211861
20160406,3544548.060000000055879,3699580.959999999497086,3464751.080000000074506,10708881.099999999627471
20160407,3551985.209999999962747,3680482.139999999664724,3425658.359999999869615,10658126.709999999031425
20160408,3540723.240000000223517,3651272.179999999701977,3460592.279999999329448,10652588.699999999254942
20160411,3539873.280000000260770,3582741.119999999646097,3465166.959999999497086,10587782.359999999403954
20160412,3570471.840000000316650,3590605.339999999850988,3508002.599999999627471,10669080.779999999329448
20160413,3582371.280000000260770,3655766.019999999552965,3527964.839999999850988,10766103.140000000596046
20160414,3573234.209999999962747,3668124.079999999608845,3552917.640000000130385,10794276.929999999701977
20160415,3586408.590000000316650,3651272.179999999701977,3533787.159999999683350,10771468.929999999701977
20160418,3602770.320000000298023,3663630.239999999757856,3567473.439999999944121,10833875.000000000000000
20160419,3604895.220000000204891,3695087.119999999646097,3585356.279999999329448,10885339.619999999180436
20160420,3589808.430000000167638,3733284.759999999310821,3609893.199999999720603,10932987.389999998733401
20160421,3583858.709999999962747,3734408.219999999739230,3609477.320000000298023,10927745.250000000000000
20160422,3583858.709999999962747,3737778.600000000093132,3640252.439999999944121,10961890.750000000000000
20160425,3577908.990000000223517,3731037.839999999850988,3631934.839999999850988,10940882.669999999925494
20160426,3531161.190000000409782,3713062.479999999515712,3644411.239999999757856,10888635.910000000149012
20160427,3564734.609999999869615,3707445.179999999701977,3678929.279999999329448,10951110.069999998435378
20160428,3548585.370000000111759,3697334.039999999105930,3661046.439999999944121,10906966.849999999627471
20160429,3556659.990000000223517,3674864.839999999850988,3676434.000000000000000,10907959.830000000074506
20160502,3577059.030000000260770,3684975.979999999515712,3706793.239999999757856,10968829.250000000000000
20160503,3569196.899999999906868,3786087.379999999888241,3664373.479999999981374,11019658.759999999776483
20160504,3551985.209999999962747,3752383.579999999608845,3657303.519999999552965,10961673.309999998658895
20160505,3564947.100000000558794,3771482.399999999906868,3661462.320000000298023,10997892.820000000298023
20160506,3588745.979999999981374,3772605.859999999403954,3681008.680000000167638,11042361.519999999552965
20160509,3580883.850000000558794,3799568.899999999906868,3683503.959999999497086,11063957.709999999031425
20160510,3617857.109999999869615,3797321.979999999515712,3742558.919999999459833,11157739.009999999776483
20160511,3607445.100000000558794,3725420.539999999105930,3693485.080000000074506,11026351.719999998807907
20160512,3615519.720000000204891,3728790.919999999459833,3729250.759999999776483,11073562.399999998509884
20160513,3576634.049999999813735,3728790.919999999459833,3687246.879999999888241,10992672.849999997764826
20160516,3602770.320000000298023,3750136.660000000149012,3725091.959999999497086,11077999.939999999478459
20160517,3565797.060000000055879,3710815.560000000055879,3723428.439999999944121,11000042.060000000521541
20160518,3544760.549999999813735,3726544.000000000000000,3715942.599999999627471,10987248.149999998509884
20160519,3508424.760000000242144,3750136.660000000149012,3747549.479999999981374,11006111.900000000372529
20160520,3506299.859999999869615,3790581.219999999739230,3732161.919999999459833,11029044.000000000000000
20160523,3529673.760000000242144,3782717.000000000000000,3726339.599999999627471,11038731.359999999403954
20160524,3583221.240000000223517,3831025.779999999795109,3729250.759999999776483,11143498.779999999329448
20160525,3612119.880000000353903,3859112.279999999795109,3753787.680000000167638,11225020.839999999850988
20160526,3589170.959999999962747,3868099.959999999497086,3734657.199999999720603,11191929.119999999180436
20160527,3588745.979999999981374,3888322.239999999757856,3743390.680000000167638,11220459.900000000372529
20160531,3576634.049999999813735,3898433.379999999888241,3702218.559999999590218,11177286.989999998360872
