訓練日期,20091112 - 20100217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11242410.240000000223517
真實報酬,1242410.240000000223517

夏普值報酬,0.115541024000000
夏普值風險,0.034229494860975
夏普值,3.375481422360298

預期報酬,19899.189248385195242
風險,160540.645547057589283
趨勢值,0.123951097745850
找到最佳解世代,2052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](4),MCD[15](11),UNH[23](2),
Stock#,BA[2](1),HD[9](4),MCD[15](11),UNH[23](2),
張數,49721,91776,40212,86926,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,28.120000000111759,21.760000000242144,19.959999999962747,8.239999999757856,
20091112,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20091113,2519888.399999999906868,2509177.600000000093132,2556698.919999999925494,2527816.319999999832362,10113581.240000000223517
20091116,2609386.200000000186265,2537628.160000000149012,2594900.319999999832362,2533901.139999999664724,10275815.820000000298023
20091117,2611872.250000000000000,2477056.000000000000000,2556296.799999999813735,2518254.459999999497086,10163479.509999999776483
20091118,2586514.540000000037253,2504588.800000000279397,2572783.719999999739230,2509561.859999999869615,10173448.919999999925494
20091119,2557179.149999999906868,2488069.120000000111759,2549862.879999999888241,2488699.619999999646097,10083810.769999999552965
20091120,2570603.820000000298023,2494493.440000000409782,2572381.600000000093132,2482614.799999999813735,10120093.660000000149012
20091123,2616844.350000000093132,2524779.520000000484288,2573185.839999999850988,2527816.319999999832362,10242626.030000001192093
20091124,2584028.490000000223517,2529368.320000000298023,2582434.600000000093132,2569540.799999999813735,10265372.210000000894070
20091125,2631760.649999999906868,2555983.360000000335276,2591683.359999999869615,2567802.279999999795109,10347229.649999998509884
20091127,2607894.570000000298023,2533957.120000000111759,2557503.160000000149012,2559109.679999999701977,10258464.530000001192093
20091130,2605905.729999999981374,2511013.120000000111759,2543428.959999999962747,2492176.659999999683350,10152524.469999998807907
20091201,2671040.240000000223517,2569749.760000000242144,2555090.439999999944121,2494784.439999999478459,10290664.879999998956919
20091202,2674023.500000000000000,2600035.840000000316650,2513269.959999999962747,2459144.779999999795109,10246474.080000000074506
20091203,2673526.290000000037253,2563325.440000000409782,2491957.600000000093132,2375695.819999999832362,10104505.150000000372529
20091204,2718772.399999999906868,2577091.840000000316650,2476677.040000000037253,2386996.199999999720603,10159537.480000000447035
20091207,2775454.340000000316650,2589940.479999999981374,2490349.120000000111759,2460014.040000000037253,10315757.980000000447035
20091208,2767498.979999999981374,2539463.680000000167638,2437269.279999999795109,2473922.199999999720603,10218154.139999998733401
20091209,2758051.990000000223517,2528450.560000000521541,2436867.160000000149012,2477399.239999999757856,10200768.950000001117587
20091210,2735180.330000000074506,2568832.000000000000000,2454962.560000000055879,2634735.299999999813735,10393710.190000001341105
20091211,2764515.720000000204891,2614720.000000000000000,2479491.879999999888241,2649512.719999999739230,10508240.320000000298023
20091214,2786890.169999999925494,2649594.880000000353903,2498793.640000000130385,2690367.939999999478459,10625646.630000000819564
20091215,2767996.190000000409782,2663361.280000000260770,2493163.959999999962747,2722530.559999999590218,10647051.990000000223517
20091216,2741146.850000000093132,2657854.720000000204891,2510053.000000000000000,2799025.439999999944121,10708080.009999999776483
20091217,2708330.990000000223517,2643170.560000000521541,2489947.000000000000000,2765993.559999999590218,10607442.109999999403954
20091218,2657118.359999999869615,2629404.160000000149012,2500000.000000000000000,2741654.279999999795109,10528176.799999998882413
20091221,2699878.419999999925494,2657854.720000000204891,2519703.879999999888241,2796417.659999999683350,10673854.679999999701977
20091222,2739655.220000000204891,2688140.800000000279397,2532169.600000000093132,2809456.559999999590218,10769422.179999999701977
20091223,2732694.280000000260770,2661525.760000000242144,2547852.279999999795109,2748608.359999999869615,10690680.679999999701977
20091224,2758549.200000000186265,2677127.680000000167638,2550265.000000000000000,2753823.919999999925494,10739765.800000000745058
20091228,2741644.060000000055879,2678045.440000000409782,2557905.279999999795109,2728615.379999999888241,10706210.160000000149012
20091229,2745124.530000000260770,2686305.280000000260770,2557101.040000000037253,2681675.339999999850988,10670206.190000001341105
20091230,2732694.280000000260770,2673456.640000000130385,2528952.640000000130385,2695583.500000000000000,10630687.060000000521541
