訓練日期,20110616 - 20110916
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11554266.080000000074506
真實報酬,1554266.080000000074506

夏普值報酬,0.146726608000000
夏普值風險,0.042565009144854
夏普值,3.447117971963098

預期報酬,26076.851979928447690
風險,334828.387112345488276
趨勢值,0.077881245986407
找到最佳解世代,1917
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,107642,61117,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.099999999627471,18.229999999515712,
20110616,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20110617,4924650.599999999627471,5043393.069999999366701,9968043.669999998062849
20110620,4849301.199999999254942,5053782.959999999031425,9903084.159999998286366
20110621,5002152.839999999850988,5060505.829999999143183,10062658.669999998062849
20110622,4961248.879999999888241,5051338.280000000260770,10012587.160000000149012
20110623,5093648.540000000037253,5029336.160000000149012,10122984.699999999254942
20110624,5018299.139999999664724,5001833.509999999776483,10020132.649999998509884
20110627,5105489.159999999217689,5031169.669999998994172,10136658.829999998211861
20110628,5155004.479999999515712,5155237.179999998770654,10310241.659999998286366
20110629,5136705.339999999850988,5168682.919999998994172,10305388.259999997913837
20110630,5161463.000000000000000,5153403.669999998994172,10314866.669999998062849
20110701,5278792.779999999329448,5234689.280000000260770,10513482.059999998658895
20110705,5373517.740000000223517,5234078.109999999403954,10607595.849999999627471
20110706,5409039.599999999627471,5247523.849999999627471,10656563.449999999254942
20110707,5493000.359999999403954,5259747.250000000000000,10752747.609999999403954
20110708,5531751.479999999515712,5231633.429999998770654,10763384.909999998286366
20110711,5443485.040000000037253,5216354.179999998770654,10659839.219999998807907
20110712,5440255.779999999329448,5194352.059999999590218,10634607.839999999850988
20110713,5505917.399999999441206,5192518.549999998882413,10698435.949999999254942
20110714,5501611.719999999739230,5244468.000000000000000,10746079.719999998807907
20110715,5611406.559999999590218,5224299.389999999664724,10835705.949999999254942
20110718,5748111.899999999441206,5219410.030000000260770,10967521.929999999701977
20110719,5795474.379999999888241,5268914.799999998882413,11064389.179999999701977
20110720,5949402.440000000409782,5272581.819999999366701,11221984.259999999776483
20110721,5955860.959999999031425,5289083.410000000149012,11244944.369999999180436
20110722,6048433.079999999143183,5412539.750000000000000,11460972.829999998211861
20110725,6128088.159999999217689,5385648.269999999552965,11513736.429999999701977
20110726,6203437.559999999590218,5379536.569999999366701,11582974.129999998956919
20110727,6036592.459999999031425,5322697.759999999776483,11359290.219999998807907
20110728,6024751.839999999850988,5303751.489999999292195,11328503.329999998211861
20110729,6004299.859999999403954,5285416.389999999664724,11289716.250000000000000
20110801,6101177.659999999217689,5279915.859999999403954,11381093.519999999552965
20110802,5980618.620000000111759,5198630.250000000000000,11179248.870000001043081
20110803,6036592.459999999031425,5227966.410000000149012,11264558.869999999180436
20110804,5803009.319999999366701,5150958.989999999292195,10953968.309999998658895
20110805,5744882.639999999664724,5199852.589999999850988,10944735.230000000447035
20110808,5431644.419999999925494,5018335.099999999627471,10449979.519999999552965
20110809,5751341.159999999217689,5253635.549999998882413,11004976.709999997168779
20110810,5593107.419999999925494,5138735.589999999850988,10731843.009999999776483
20110811,5747035.479999999515712,5273192.989999999292195,11020228.469999998807907
20110812,5797627.219999999739230,5286638.729999999515712,11084265.949999999254942
20110815,5895581.440000000409782,5306196.169999998994172,11201777.609999999403954
20110816,5850371.799999999813735,5297028.619999999180436,11147400.419999998062849
20110817,5850371.799999999813735,5347755.729999999515712,11198127.529999999329448
20110818,5628629.279999999329448,5232244.599999999627471,10860873.879999998956919
20110819,5474701.219999999739230,5331254.139999999664724,10805955.359999999403954
20110822,5481159.740000000223517,5363646.149999999441206,10844805.890000000596046
20110823,5744882.639999999664724,5471823.239999999292195,11216705.879999998956919
20110824,5784710.179999999701977,5508493.439999999478459,11293203.619999999180436
20110825,5747035.479999999515712,5421707.299999998882413,11168742.779999997466803
20110826,5898810.699999999254942,5496270.040000000037253,11395080.739999998360872
20110829,5996764.919999999925494,5548830.660000000149012,11545595.580000000074506
20110830,5996764.919999999925494,5548219.489999999292195,11544984.410000000149012
20110831,5918186.259999998845160,5525606.199999999254942,11443792.459999997168779
20110901,5858983.159999999217689,5504826.419999998994172,11363809.579999998211861
20110902,5752417.579999999143183,5444931.759999999776483,11197349.339999999850988
20110906,5839607.599999999627471,5428430.169999998994172,11268037.769999999552965
20110907,5904192.799999999813735,5457155.160000000149012,11361347.960000000894070
20110908,5907422.059999999590218,5415595.599999999627471,11323017.660000000149012
20110909,5805162.159999999217689,5196796.739999999292195,11001958.899999998509884
20110912,5842836.859999999403954,5267692.459999999031425,11110529.319999998435378
20110913,5914957.000000000000000,5263414.269999999552965,11178371.269999999552965
20110914,5986000.719999999739230,5301917.979999999515712,11287918.699999999254942
20110915,6043050.979999999515712,5382592.419999998994172,11425643.399999998509884
20110916,6158227.919999999925494,5396038.160000000149012,11554266.080000000074506
