訓練日期,20160802 - 20161101
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10722606.559999998658895
真實報酬,722606.559999998658895

夏普值報酬,0.063560656000000
夏普值風險,0.021341341883524
夏普值,2.978287698444523

預期報酬,13911.693626861673692
風險,106539.068504581038724
趨勢值,0.130578329828963
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](11),GS[8](4),INTC[11](6),
Stock#,AAPL[0](2),BA[2](11),GS[8](4),INTC[11](6),
張數,23928,18996,16019,72337,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.560000000055879,126.399999999906868,74.859999999869615,33.279999999795109,
20160802,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20160803,2531345.680000000167638,2505128.919999999925494,2536523.319999999832362,2477575.529999999795109,10050573.449999999254942
20160804,2533259.920000000391155,2492591.560000000055879,2531877.810000000055879,2501446.739999999757856,10059176.030000001192093
20160805,2571784.000000000000000,2502469.479999999515712,2596594.569999999832362,2530381.539999999571592,10201229.589999997988343
20160808,2593079.920000000391155,2511207.639999999664724,2608448.629999999888241,2534721.759999999776483,10247457.949999999254942
20160809,2603608.240000000223517,2519375.919999999925494,2618220.219999999739230,2526041.319999999832362,10267245.699999999254942
20160810,2584226.560000000055879,2512917.279999999795109,2598196.469999999739230,2497829.889999999664724,10193170.199999999254942
20160811,2582551.600000000093132,2526594.399999999906868,2624948.200000000186265,2508680.439999999944121,10242774.640000000596046
20160812,2588533.600000000093132,2528494.000000000000000,2615176.609999999869615,2500723.369999999646097,10232927.579999998211861
20160815,2619640.000000000000000,2558127.759999999776483,2652020.310000000055879,2525317.949999999720603,10355106.019999999552965
20160816,2617247.199999999720603,2564586.399999999906868,2653622.209999999962747,2547019.049999999813735,10382474.859999999403954
20160817,2613418.720000000204891,2559267.520000000018626,2653942.589999999850988,2533275.020000000018626,10359903.849999999627471
20160818,2610068.799999999813735,2564586.399999999906868,2660190.000000000000000,2529658.169999999925494,10364503.369999999180436
20160819,2616768.640000000130385,2553948.639999999664724,2662913.229999999515712,2549189.160000000149012,10382819.669999998062849
20160822,2596429.840000000316650,2564396.439999999944121,2663393.799999999813735,2557869.599999999627471,10382089.679999999701977
20160823,2604565.359999999869615,2548249.839999999850988,2660510.379999999888241,2560763.079999999608845,10374088.659999998286366
20160824,2584944.399999999906868,2532103.239999999757856,2648015.560000000055879,2542678.829999999608845,10307742.029999999329448
