訓練日期,20140731 - 20141030
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11650084.540000000968575
真實報酬,1650084.540000000968575

夏普值報酬,0.156308454000000
夏普值風險,0.038248990509858
夏普值,4.086603382636024

預期報酬,22673.216253242968378
風險,139229.266357937623980
趨勢值,0.162848062381895
找到最佳解世代,2176
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](3),
Stock#,NKE[19](1),PG[21](3),
張數,129634,64666,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,16.620000000111759,24.880000000819564,
20140731,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20140801,4976665.879999999888241,5150671.780000001192093,10127337.660000000149012
20140804,5001296.339999999850988,5122865.400000000372529,10124161.740000000223517
20140805,4985740.259999999776483,5135151.940000000409782,10120892.199999999254942
20140806,5000000.000000000000000,5243790.820000001229346,10243790.820000000298023
20140807,4948146.400000000372529,5182358.120000001043081,10130504.520000001415610
20140808,4994814.640000000596046,5234737.580000001005828,10229552.220000002533197
20140811,4994814.640000000596046,5269010.560000001452863,10263825.200000002980232
20140812,4974073.200000000186265,5265130.600000000558794,10239203.800000000745058
20140813,5007778.040000000037253,5269010.560000001452863,10276788.600000001490116
20140814,5010370.719999999739230,5299403.580000001005828,10309774.300000000745058
20140815,5000000.000000000000000,5288410.360000001266599,10288410.360000001266599
20140818,5092040.140000000596046,5331089.920000000856817,10423130.060000002384186
20140819,5089447.459999999962747,5347256.420000000856817,10436703.880000000819564
20140820,5115374.259999999776483,5355016.340000000782311,10470390.600000001490116
20140821,5116670.599999999627471,5385409.360000001266599,10502079.960000000894070
20140822,5140004.719999999739230,5392522.620000001043081,10532527.339999999850988
20140825,5186672.959999999962747,5402222.520000001415610,10588895.480000000447035
20140826,5151671.780000000260770,5391875.960000000894070,10543547.740000002086163
20140827,5167227.860000000335276,5387349.340000000782311,10554577.200000001117587
20140828,5108892.559999999590218,5369242.860000001266599,10478135.420000001788139
20140829,5092040.140000000596046,5374416.140000000596046,10466456.280000001192093
20140902,5138708.379999999888241,5366009.560000001452863,10504717.940000001341105
20140903,5108892.559999999590218,5360836.280000001192093,10469728.839999999850988
20140904,5180191.259999999776483,5412569.080000001005828,10592760.339999999850988
20140905,5317603.300000000745058,5417095.700000000186265,10734699.000000000000000
20140908,5340937.420000000856817,5387996.000000000000000,10728933.420000001788139
20140909,5304639.900000000372529,5366656.220000000670552,10671296.120000001043081
20140910,5346122.780000000260770,5408689.120000001043081,10754811.900000002235174
20140911,5303343.559999999590218,5398989.220000000670552,10702332.780000001192093
20140912,5304639.900000000372529,5384116.040000000968575,10688755.940000001341105
20140915,5290380.160000000149012,5423562.300000000745058,10713942.460000000894070
20140916,5263157.020000000484288,5437142.160000001080334,10700299.180000001564622
20140917,5283898.459999999962747,5442315.440000000409782,10726213.900000000372529
20140918,5313714.280000000260770,5444255.420000000856817,10757969.700000001117587
20140919,5303343.559999999590218,5462361.900000000372529,10765705.460000000894070
20140922,5230748.520000000484288,5484348.340000000782311,10715096.860000001266599
20140923,5193154.660000000149012,5460421.920000000856817,10653576.580000001937151
20140924,5239822.900000000372529,5512154.720000000670552,10751977.620000001043081
20140925,5169820.540000000037253,5453308.660000001080334,10623129.200000001117587
20140926,5801138.120000000111759,5469475.160000001080334,11270613.280000001192093
20140929,5776507.660000000149012,5460421.920000000856817,11236929.580000001937151
20140930,5781693.020000000484288,5415155.720000000670552,11196848.740000002086163
20141001,5684467.520000000484288,5376356.120000001043081,11060823.640000000596046
20141002,5788174.719999999739230,5370536.180000000633299,11158710.900000000372529
20141003,5852991.719999999739230,5418389.020000001415610,11271380.740000002086163
20141006,5782989.360000000335276,5404162.500000000000000,11187151.859999999403954
20141007,5709097.980000000447035,5377649.440000000409782,11086747.420000001788139
20141008,5758358.900000000372529,5443608.760000001639128,11201967.660000002011657
20141009,5654651.700000000186265,5409982.440000000409782,11064634.140000000596046
20141010,5652059.020000000484288,5476588.420000000856817,11128647.440000001341105
20141013,5535388.420000000856817,5391229.300000000745058,10926617.720000002533197
20141014,5515943.319999999366701,5402869.180000000633299,10918812.500000000000000
20141015,5521128.680000000633299,5364069.580000001005828,10885198.260000001639128
20141016,5641688.300000000745058,5318156.720000000670552,10959845.020000001415610
20141017,5650762.680000000633299,5384762.700000000186265,11035525.380000000819564
20141020,5762247.920000000856817,5443608.760000001639128,11205856.680000003427267
20141021,5875029.500000000000000,5471415.140000000596046,11346444.640000000596046
20141022,5824472.240000000223517,5446842.060000001452863,11271314.300000000745058
20141023,5858177.080000000074506,5382176.060000001452863,11240353.140000000596046
20141024,5891881.920000000856817,5506981.440000000409782,11398863.360000001266599
20141027,5939846.500000000000000,5558067.580000001005828,11497914.080000001937151
20141028,5992996.439999999478459,5591693.900000000372529,11584690.339999999850988
20141029,5960587.939999999478459,5596220.520000001415610,11556808.460000000894070
20141030,6027997.620000000111759,5622086.920000000856817,11650084.540000000968575
