訓練日期,20140611 - 20140911
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11144848.150000000372529
真實報酬,1144848.150000000372529

夏普值報酬,0.105784815000000
夏普值風險,0.031850694170636
夏普值,3.321271882906882

預期報酬,19089.869454545449116
風險,106181.040115185678587
趨勢值,0.179786046867093
找到最佳解世代,1079
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](3),INTC[11](2),PG[21](10),
Stock#,DIS[6](4),GS[8](3),INTC[11](2),PG[21](10),
張數,29652,15112,89509,31226,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.879999999888241,21.839999999850988,13.629999999888241,46.439999999944121,
20140611,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20140612,2455225.479999999981374,2508009.359999999869615,2502685.270000000018626,2490632.200000000186265,9956552.309999998658895
20140613,2455225.479999999981374,2506951.519999999552965,2673647.459999999962747,2486885.080000000074506,10122709.539999999105930
20140616,2470051.479999999981374,2506347.039999999571592,2686178.720000000204891,2488446.379999999888241,10151023.620000001043081
20140617,2465900.199999999720603,2542162.479999999981374,2680808.179999999701977,2485011.520000000018626,10173882.379999998956919
20140618,2478354.040000000037253,2566946.160000000149012,2679018.000000000000000,2491568.979999999981374,10215887.179999999701977
20140619,2483987.919999999925494,2564981.599999999627471,2693339.439999999944121,2505620.679999999701977,10247929.639999998733401
20140620,2455818.519999999552965,2566643.919999999925494,2703185.429999999701977,2495940.620000000111759,10221588.489999998360872
20140623,2454039.399999999906868,2572688.720000000204891,2705870.699999999720603,2483137.959999999962747,10215736.780000001192093
20140624,2451667.240000000223517,2542313.599999999627471,2730038.129999999888241,2467212.700000000186265,10191231.669999999925494
20140625,2487842.680000000167638,2544580.399999999906868,2764051.549999999813735,2476892.759999999776483,10273367.390000000596046
20140626,2504151.279999999795109,2538988.959999999497086,2755100.649999999906868,2455034.560000000055879,10253275.449999999254942
20140627,2529355.479999999981374,2520401.199999999720603,2768527.000000000000000,2467524.959999999962747,10285808.640000000596046
20140630,2542402.359999999869615,2530375.119999999646097,2765841.729999999981374,2454097.780000000260770,10292716.989999998360872
20140701,2564048.319999999832362,2520854.560000000055879,2773002.449999999720603,2475643.720000000204891,10333549.050000000745058
20140702,2563158.759999999776483,2522063.519999999552965,2773002.449999999720603,2484387.000000000000000,10342611.729999998584390
20140703,2575019.560000000055879,2560901.359999999869615,2787323.890000000130385,2497501.919999999925494,10420746.730000000447035
