訓練日期,20111003 - 20120104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12409423.650000000372529
真實報酬,2409423.650000000372529

夏普值報酬,0.232242365000000
夏普值風險,0.055239999508845
夏普值,4.204242705737453

預期報酬,37292.146313350764103
風險,215867.485214030457428
趨勢值,0.172754809629509
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),MRK[17](3),
Stock#,HD[9](2),MCD[15](1),MRK[17](3),
張數,105518,38750,105585,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.379999999888241,58.000000000000000,14.549999999813735,
20111003,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20111004,3426188.839999999850988,3351158.000000000000000,3310104.299999999813735,10087452.140000000596046
20111005,3464175.319999999832362,3325970.500000000000000,3321718.649999999906868,10111865.470000000670552
20111006,3522210.220000000204891,3375570.500000000000000,3317495.250000000000000,10215276.970000000670552
20111007,3579189.939999999944121,3379058.000000000000000,3337556.399999999906868,10295805.339999999850988
20111010,3657273.259999999310821,3429820.500000000000000,3415689.299999999813735,10502784.059999998658895
20111011,3662549.160000000149012,3461983.000000000000000,3371343.599999999627471,10495876.759999999776483
20111012,3663604.339999999850988,3424008.000000000000000,3438918.000000000000000,10526531.339999999850988
20111013,3630893.759999999310821,3460820.500000000000000,3452644.050000000279397,10544359.310000000521541
20111014,3698425.279999999795109,3485233.000000000000000,3482207.849999999627471,10665867.129999998956919
20111017,3656218.079999999608845,3435633.000000000000000,3411465.899999999906868,10503317.980000000447035
20111018,3793391.479999999981374,3473608.000000000000000,3462146.699999999720603,10729147.179999999701977
20111019,3735356.579999999608845,3472833.000000000000000,3435750.449999999720603,10643941.029999999329448
20111020,3770177.519999999552965,3449195.500000000000000,3463202.549999999348074,10682576.569999998435378
20111021,3889412.859999999869615,3577457.999999999534339,3521274.299999999813735,10988146.160000000149012
20111024,3872529.979999999981374,3565445.500000000000000,3540279.600000000093132,10978256.080000000074506
20111025,3802888.099999999627471,3556145.500000000000000,3474816.899999999441206,10833851.500000000000000
20111026,3856702.279999999795109,3556533.000000000000000,3541335.449999999720603,10954571.729999998584390
20111027,3943227.039999999571592,3623570.500000000000000,3622635.899999999906868,11189434.439999999478459
20111028,3811329.539999999571592,3615045.500000000465661,3707103.899999999906868,11133479.939999999478459
20111031,3777563.779999999795109,3597995.500000000000000,3642697.049999999813735,11018257.329999998211861
20111101,3750129.099999999627471,3561570.500000000000000,3596239.649999999906868,10907940.250000000000000
20111102,3797612.200000000186265,3585595.500000000000000,3609965.699999999720603,10993174.400000000372529
20111103,3846150.479999999981374,3603808.000000000000000,3645864.600000000093132,11095824.080000000074506
20111104,3839819.399999999906868,3635195.500000000000000,3592016.250000000000000,11067032.150000000372529
20111107,3940061.500000000465661,3666583.000000000000000,3623691.750000000000000,11230337.250000000000000
20111108,4003372.299999999813735,3665808.000000000000000,3639529.499999999534339,11308710.799999998882413
20111109,3921068.259999999310821,3590245.500000000000000,3567731.699999999720603,11079046.459999999031425
20111110,3925288.979999999981374,3613883.000000000000000,3692321.999999999534339,11231494.980000000447035
20111111,4016034.459999999962747,3672008.000000000000000,3797906.999999999534339,11485950.459999999031425
20111114,4036082.879999999888241,3644883.000000000000000,3766231.500000000000000,11447198.379999998956919
20111115,4017089.640000000130385,3660770.500000000000000,3772566.599999999627471,11450427.740000000223517
20111116,3992820.500000000465661,3609620.500000000000000,3704992.200000000186265,11307434.199999999254942
20111117,3969606.539999999571592,3576295.500000000465661,3678595.950000000186265,11224498.990000000223517
20111118,3997041.220000000204891,3593733.000000000000000,3690210.300000000279397,11280985.520000001415610
20111121,3910516.459999999962747,3575908.000000000000000,3604686.449999999720603,11091111.910000000149012
20111122,3914737.180000000167638,3590245.500000000000000,3569843.399999999906868,11074827.080000000074506
20111123,3853536.740000000223517,3560020.500000000000000,3504380.699999999720603,10917938.939999999478459
20111125,3848260.839999999850988,3568933.000000000000000,3501213.149999999441206,10918407.989999998360872
20111128,3935840.779999999795109,3633258.000000000000000,3617356.649999999441206,11186456.429999999701977
20111129,4111000.660000000149012,3621632.999999999534339,3640585.349999999627471,11373220.009999999776483
20111130,4138435.339999999850988,3701458.000000000000000,3774678.299999999813735,11614572.640000000596046
20111201,4151097.500000000465661,3700683.000000000000000,3767287.349999999627471,11619068.849999999627471
20111202,4214408.299999999813735,3708433.000000000000000,3746170.349999999627471,11669012.649999998509884
20111205,4245008.519999999552965,3694870.500000000000000,3722941.649999999441206,11662821.669999998062849
20111206,4254505.139999999664724,3720445.500000000000000,3737723.549999999813735,11712675.189999999478459
20111207,4297767.519999999552965,3737495.500000000000000,3759896.399999999906868,11795160.419999999925494
20111208,4211242.759999999776483,3755708.000000000000000,3715550.699999999720603,11682502.459999999031425
20111209,4245008.519999999552965,3798720.500000000000000,3767287.349999999627471,11811017.369999999180436
20111212,4226015.279999999329448,3816158.000000000000000,3738779.399999999441206,11780953.679999999701977
20111213,4169035.559999999590218,3797558.000000000000000,3694433.700000000186265,11661028.259999999776483
20111214,4129993.899999999906868,3782445.500000000000000,3754617.149999999906868,11667057.550000000745058
20111215,4159538.939999999944121,3802983.000000000000000,3839085.149999999906868,11801608.089999999850988
20111216,4265056.940000000409782,3777795.500000000000000,3827470.799999999813735,11870324.240000000223517
20111219,4241842.980000000447035,3768108.000000000000000,3850699.499999999534339,11860651.480000000447035
20111220,4426499.480000000447035,3829332.999999999534339,3914050.500000000000000,12169883.980000000447035
20111221,4431775.379999999888241,3844058.000000000000000,3941502.599999999627471,12217336.980000000447035
20111222,4423333.940000000409782,3820808.000000000000000,3965787.149999999906868,12209930.089999999850988
20111223,4441272.000000000000000,3880870.500000000000000,4001686.049999999813735,12323829.550000000745058
20111227,4454989.339999999850988,3896370.500000000000000,3985848.299999999813735,12337209.140000000596046
20111228,4382181.919999999925494,3858783.000000000000000,3952061.099999999627471,12193027.019999999552965
20111229,4432830.559999999590218,3906445.500000000000000,3983736.599999999627471,12323013.660000000149012
20111230,4435996.099999999627471,3887845.500000000000000,3980569.050000000279397,12304411.650000000372529
20120103,4446547.900000000372529,3830108.000000000000000,4043920.049999999348074,12320576.949999999254942
20120104,4509858.700000000186265,3851420.500000000000000,4048143.450000000186265,12409423.650000000372529
