訓練日期,20180918 - 20181219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10915727.189999999478459
真實報酬,915727.189999999478459

夏普值報酬,0.082872719000000
夏普值風險,0.043866006754844
夏普值,1.889224142583888

預期報酬,23649.113760209245811
風險,201644.564626133913407
趨勢值,0.117281186349142
找到最佳解世代,2279
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),MRK[17](3),
Stock#,MCD[15](1),MRK[17](3),
張數,31691,71002,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,110.929999999701977,39.160000000149012,
20180918,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20180919,5044684.309999999590218,4968759.120000000111759,10013443.429999999701977
20180920,5095706.819999999366701,5025560.720000000670552,10121267.539999999105930
20180921,5238633.230000000447035,5048281.359999999403954,10286914.589999999850988
20180924,5175568.139999999664724,5025560.720000000670552,10201128.859999999403954
20180925,5273810.239999999292195,5016330.460000000894070,10290140.699999999254942
20180926,5253211.089999999850988,4993609.820000000298023,10246820.910000000149012
20180927,5277613.160000000149012,5021300.599999999627471,10298913.759999999776483
20180928,5301698.319999999366701,5036921.040000000037253,10338619.359999999403954
20181001,5282049.899999999441206,5078812.220000000670552,10360862.120000001043081
20181002,5234830.309999999590218,5094432.660000000149012,10329262.969999998807907
20181003,5218350.989999999292195,5067451.900000000372529,10285802.890000000596046
20181004,5254478.730000000447035,5056801.599999999627471,10311280.330000000074506
20181005,5278880.799999999813735,5043311.220000000670552,10322192.019999999552965
20181008,5316910.000000000000000,5073842.080000000074506,10390752.080000000074506
20181009,5382193.459999999962747,5136323.840000000782311,10518517.300000000745058
20181010,5335924.599999999627471,5002130.060000000521541,10338054.660000000149012
20181011,5164793.199999999254942,4854445.900000000372529,10019239.099999999627471
20181012,5191730.549999999813735,4956688.780000000260770,10148419.330000000074506
20181015,5186976.899999999441206,4931838.080000000074506,10118814.980000000447035
20181016,5199653.299999999813735,5056801.599999999627471,10256454.899999998509884
20181017,5285219.000000000000000,5099402.799999999813735,10384621.800000000745058
20181018,5286486.639999999664724,5127093.580000000074506,10413580.219999998807907
20181019,5308036.519999999552965,5137033.859999999403954,10445070.379999998956919
20181022,5280782.259999999776483,5152654.299999999813735,10433436.559999998658895
20181023,5614171.580000000074506,5119283.359999999403954,10733454.939999999478459
20181024,5620509.779999999329448,5008520.240000000223517,10629030.019999999552965
20181025,5555860.139999999664724,4967339.080000000074506,10523199.219999998807907
20181026,5493428.870000000111759,4998579.960000000894070,10492008.830000001937151
20181029,5489942.859999999403954,5073132.060000000521541,10563074.919999999925494
20181030,5656637.519999999552965,5173954.900000000372529,10830592.419999999925494
20181031,5606248.830000000074506,5226496.379999999888241,10832745.210000000894070
20181101,5542233.009999999776483,5191705.400000000372529,10733938.410000000149012
20181102,5601495.179999999701977,5131353.700000000186265,10732848.879999998956919
20181105,5716850.419999998994172,5191705.400000000372529,10908555.820000000298023
20181106,5790373.540000000037253,5205195.780000000260770,10995569.320000000298023
20181107,5839177.679999999701977,5330869.320000000298023,11170047.000000000000000
20181108,5878157.609999999403954,5359270.120000000111759,11237427.730000000447035
20181109,5892735.469999999739230,5315248.879999999888241,11207984.349999999627471
20181112,5842980.599999999627471,5303178.540000000037253,11146159.140000000596046
20181113,5831571.839999999850988,5297498.379999999888241,11129070.219999998807907
20181114,5826501.279999999329448,5260577.340000000782311,11087078.620000001043081
20181115,5817310.889999999664724,5313828.840000000782311,11131139.730000000447035
20181116,5945025.620000000111759,5400451.280000000260770,11345476.900000000372529
20181119,5917454.449999999254942,5421041.859999999403954,11338496.309999998658895
20181120,5822064.540000000037253,5309568.720000000670552,11131633.260000001639128
20181121,5790690.449999999254942,5310278.740000000223517,11100969.189999999478459
20181123,5765654.559999999590218,5301758.500000000000000,11067413.059999998658895
20181126,5827768.919999998994172,5356430.040000000037253,11184198.959999999031425
20181127,5851220.259999999776483,5420331.840000000782311,11271552.100000001490116
20181128,5953265.279999999329448,5483523.620000000111759,11436788.899999998509884
20181129,5997949.589999999850988,5531804.979999999515712,11529754.570000000298023
20181130,5974181.339999999850988,5633337.840000000782311,11607519.179999999701977
20181203,5874671.599999999627471,5624817.599999999627471,11499489.199999999254942
20181204,5864213.569999999366701,5553105.580000000074506,11417319.149999998509884
20181206,5877206.879999998956919,5564465.900000000372529,11441672.779999999329448
20181207,5798296.290000000037253,5447312.599999999627471,11245608.890000000596046
20181210,5851854.080000000074506,5497014.000000000000000,11348868.080000000074506
20181211,5818261.620000000111759,5475003.379999999888241,11293265.000000000000000
20181212,5814775.609999999403954,5538905.180000000633299,11353680.789999999105930
20181213,5908264.059999999590218,5609907.180000000633299,11518171.240000000223517
20181214,5808754.319999999366701,5430272.120000000111759,11239026.439999999478459
20181217,5729526.819999999366701,5341519.620000000111759,11071046.439999999478459
20181218,5695300.540000000037253,5277617.820000000298023,10972918.359999999403954
20181219,5677870.489999999292195,5237856.700000000186265,10915727.189999999478459
