訓練日期,20170403 - 20170705
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10806568.439999999478459
真實報酬,806568.439999999478459

夏普值報酬,0.071956844000000
夏普值風險,0.023000908774902
夏普值,3.128434824215222

預期報酬,12196.676242246308902
風險,45417.713669439719524
趨勢值,0.268544478725117
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,7
JNJ[12](13),KO[14](3),MCD[15](1),NKE[19](27),UNH[23](2),UTX[24](8),XOM[29](18),
Stock#,JNJ[12](13),KO[14](3),MCD[15](1),NKE[19](27),UNH[23](2),UTX[24](8),XOM[29](18),
張數,11456,33684,11022,25712,8627,12763,17406,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,122.360000000102445,32.560000000055879,9.579999999841675,12.280000000027940,26.070000000065193,8.409999999916181,60.580000000074506,
20170403,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
20170404,1428456.440000000176951,1437665.679999999934807,1425043.959999999729916,1415200.760000000009313,1423222.260000000009313,1442099.779999999795109,1433792.800000000046566,10005484.679999999701977
20170405,1429831.160000000149012,1433960.440000000176951,1437388.599999999860302,1413658.040000000037253,1426673.060000000055879,1435845.909999999916181,1436577.760000000009313,10013937.970000000670552
20170406,1432695.160000000149012,1437328.840000000083819,1434522.879999999888241,1417771.959999999962747,1426414.250000000000000,1434697.239999999757856,1444932.640000000130385,10028365.970000000670552
20170407,1431205.880000000121072,1435307.800000000046566,1432428.699999999953434,1417000.600000000093132,1432280.610000000102445,1442099.779999999795109,1440581.140000000130385,10030907.510000001639128
20170410,1424561.400000000139698,1438002.520000000018626,1432649.139999999664724,1411601.080000000074506,1427622.030000000027940,1440695.849999999860302,1447021.360000000102445,10022156.379999998956919
20170411,1423186.680000000167638,1436992.000000000000000,1446095.979999999748543,1412115.320000000065193,1430641.480000000214204,1444014.229999999981374,1441973.620000000111759,10035022.310000002384186
20170412,1436704.760000000242144,1446423.520000000018626,1446757.299999999813735,1428828.120000000111759,1428312.190000000176951,1432527.529999999795109,1444236.400000000139698,10063792.820000000298023
20170413,1432007.800000000046566,1441370.919999999925494,1441246.299999999813735,1422914.360000000102445,1423135.990000000223517,1430613.080000000074506,1421956.719999999972060,10013248.169999999925494
20170417,1440370.680000000167638,1450802.440000000176951,1447749.279999999795109,1446055.160000000149012,1442287.930000000167638,1445673.419999999925494,1420042.060000000055879,10092983.970000000670552
20170418,1395692.280000000027940,1464612.879999999888241,1458220.179999999934807,1442712.600000000093132,1454452.000000000000000,1449374.689999999944121,1410816.880000000121072,10075884.509999999776483
20170419,1390537.080000000074506,1456191.879999999888241,1461967.659999999683350,1436284.600000000093132,1460145.820000000065193,1441206.369999999878928,1401069.520000000018626,10047405.929999997839332
20170420,1396265.080000000074506,1451476.120000000111759,1468911.520000000018626,1450169.080000000074506,1479901.649999999906868,1454224.629999999888241,1410120.640000000130385,10111071.720000002533197
20170421,1395004.920000000158325,1450802.440000000176951,1470454.599999999860302,1436027.479999999981374,1476623.390000000130385,1467625.779999999795109,1404550.719999999972060,10101092.330000000074506
20170424,1407950.200000000186265,1457876.080000000074506,1479492.639999999664724,1426256.919999999925494,1486716.980000000214204,1484600.569999999832362,1411861.239999999990687,10154757.630000000819564
20170425,1414136.440000000176951,1452149.800000000046566,1561826.979999999748543,1425742.680000000167638,1501469.149999999906868,1491620.219999999972060,1422652.960000000195578,10269601.230000002309680
20170426,1415052.920000000158325,1456528.720000000204891,1552348.059999999823049,1418286.199999999953434,1504402.330000000074506,1508595.010000000009313,1416908.980000000214204,10272125.220000000670552
