訓練日期,20141006 - 20150107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12186931.239999998360872
真實報酬,2186931.239999998360872

夏普值報酬,0.209993124000000
夏普值風險,0.065589418898493
夏普值,3.201631109508506

預期報酬,36639.449192868203681
風險,175217.110613819706487
趨勢值,0.209108853949897
找到最佳解世代,2175
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),WBA[27](1),
Stock#,UNH[23](2),WBA[27](1),
張數,58761,82440,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.509999999776483,14.000000000000000,
20141006,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20141007,4947115.099999999627471,4933223.600000000558794,9880338.699999999254942
20141008,5089904.330000000074506,5066776.400000000372529,10156680.730000000447035
20141009,4991185.849999999627471,5074196.000000000000000,10065381.849999999627471
20141010,5017628.299999999813735,5192909.600000000558794,10210537.900000000372529
20141013,4933012.459999999962747,5003297.599999999627471,9936310.059999998658895
20141014,4866612.529999999329448,5003297.599999999627471,9869910.129999998956919
20141015,4827830.269999999552965,5024732.000000000000000,9852562.269999999552965
20141016,5017628.299999999813735,4978565.599999999627471,9996193.899999998509884
20141017,5181571.490000000223517,4968672.799999999813735,10150244.289999999105930
20141020,5202725.450000000186265,4962902.000000000000000,10165627.449999999254942
20141021,5344339.459999999962747,5074196.000000000000000,10418535.460000000894070
20141022,5275001.479999999515712,5070074.000000000000000,10345075.480000000447035
20141023,5327298.769999999552965,5117064.799999999813735,10444363.570000000298023
20141024,5384884.549999999813735,5164880.000000000000000,10549764.550000000745058
20141027,5413677.439999999478459,5202802.400000000372529,10616479.839999999850988
20141028,5443645.549999999813735,5251442.000000000000000,10695087.550000000745058
20141029,5462449.069999999366701,5179719.200000000186265,10642168.269999999552965
20141030,5516509.189999999478459,5190436.400000000372529,10706945.589999999850988
20141031,5582909.120000000111759,5294310.799999999813735,10877219.919999999925494
20141103,5574094.969999999739230,5356965.200000000186265,10931060.169999999925494
20141104,5581146.290000000037253,5378399.599999999627471,10959545.890000000596046
20141105,5629330.309999999590218,5413024.399999999441206,11042354.709999999031425
20141106,5653422.319999999366701,5494640.000000000931323,11148062.320000000298023
20141107,5500643.719999999739230,5516898.799999999813735,11017542.519999999552965
20141110,5567631.259999999776483,5587797.200000000186265,11155428.460000000894070
20141111,5622866.599999999627471,5564714.000000000000000,11187580.599999999627471
20141112,5622278.990000000223517,5559767.599999999627471,11182046.589999999850988
20141113,5635206.410000000149012,5520196.399999999441206,11155402.809999998658895
20141114,5588785.219999999739230,5517723.200000000186265,11106508.419999999925494
20141117,5668700.179999999701977,5486396.000000000000000,11155096.179999999701977
20141118,5769769.099999999627471,5610880.400000000372529,11380649.500000000000000
20141119,5691616.969999999739230,5588621.600000000558794,11280238.570000000298023
20141120,5691029.359999999403954,5551523.600000000558794,11242552.960000000894070
20141121,5682802.819999999366701,5572133.600000000558794,11254936.419999999925494
20141124,5693967.410000000149012,5583675.200000000186265,11277642.609999999403954
20141125,5752728.410000000149012,5590270.400000000372529,11342998.810000000521541
20141126,5765068.219999999739230,5644680.799999999813735,11409749.019999999552965
20141128,5795623.939999999478459,5656222.400000000372529,11451846.339999999850988
20141201,5820891.169999999925494,5586972.799999999813735,11407863.969999998807907
20141202,5866137.139999999664724,5502884.000000000000000,11369021.140000000596046
20141203,5923135.309999999590218,5554821.199999999254942,11477956.509999997913837
20141204,5856735.379999999888241,5597690.000000000931323,11454425.380000000819564
20141205,5895517.639999999664724,5655397.999999999068677,11550915.639999998733401
20141208,5871425.629999999888241,5583675.200000000186265,11455100.830000000074506
20141209,5936062.729999999515712,5654573.600000000558794,11590636.330000000074506
20141210,5822654.000000000000000,5618300.000000000931323,11440954.000000000000000
20141211,5860261.040000000037253,6018958.400000000372529,11879219.440000001341105
20141212,5803262.870000000111759,6141794.000000000000000,11945056.870000001043081
20141215,5774469.979999999515712,6054407.599999999627471,11828877.579999998211861
20141216,5632268.359999999403954,5967845.599999999627471,11600113.959999999031425
20141217,5825592.049999999813735,5934869.599999999627471,11760461.649999998509884
20141218,6007751.149999999441206,6131901.199999999254942,12139652.349999997764826
20141219,6022441.399999999441206,6037095.200000000186265,12059536.599999999627471
20141222,6054759.950000000186265,6122832.799999999813735,12177592.750000000000000
20141223,6043595.359999999403954,6307498.400000000372529,12351093.759999999776483
20141224,6033605.990000000223517,6320688.799999999813735,12354294.789999999105930
20141226,6025967.059999999590218,6303376.399999999441206,12329343.459999999031425
20141229,6013039.639999999664724,6330581.600000000558794,12343621.240000000223517
20141230,6043595.359999999403954,6269576.000000000000000,12313171.359999999403954
20141231,5940176.000000000000000,6281942.000000000000000,12222118.000000000000000
20150102,5921960.089999999850988,6265454.000000000000000,12187414.089999999850988
20150105,5824416.830000000074506,6141794.000000000000000,11966210.830000000074506
20150106,5812664.629999999888241,6157457.599999999627471,11970122.230000000447035
20150107,5872013.240000000223517,6314917.999999999068677,12186931.239999998360872
