訓練日期,20120127 - 20120430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11485655.880000000819564
真實報酬,1485655.880000000819564

夏普值報酬,0.139865588000000
夏普值風險,0.042494017907071
夏普值,3.291418295767377

預期報酬,24579.438519511026243
風險,97596.474658957595238
趨勢值,0.251847606231698
找到最佳解世代,2438
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AXP[1](2),HD[9](1),KO[14](3),UNH[23](5),
Stock#,AXP[1](2),HD[9](1),KO[14](3),UNH[23](5),
張數,50150,55716,74139,49000,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.500000000000000,23.080000000074506,32.919999999925494,20.000000000000000,
20120127,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20120130,2463390.500000000000000,2494428.400000000372529,2500741.389999999664724,2502450.000000000000000,9961010.289999999105930
20120131,2514543.500000000000000,2473256.320000000298023,2503706.950000000186265,2537730.000000000000000,10029236.769999999552965
20120201,2538615.500000000000000,2477713.600000000093132,2514827.800000000279397,2609760.000000000000000,10140916.900000000372529
20120202,2565696.500000000000000,2477156.439999999944121,2514827.800000000279397,2574480.000000000000000,10132160.740000000223517
20120203,2620360.000000000000000,2516714.800000000279397,2523724.479999999981374,2514210.000000000000000,10175009.280000001192093
20120206,2598294.000000000000000,2518386.280000000260770,2522241.700000000186265,2513230.000000000000000,10152151.980000000447035
20120207,2614342.000000000000000,2532872.439999999944121,2541517.839999999850988,2549490.000000000000000,10238222.279999999329448
20120208,2589768.500000000000000,2516714.800000000279397,2533362.550000000279397,2554880.000000000000000,10194725.850000001490116
20120209,2623369.000000000000000,2522286.400000000372529,2520017.530000000260770,2599960.000000000000000,10265632.929999999701977
20120210,2598294.000000000000000,2525629.359999999869615,2518534.750000000000000,2612700.000000000000000,10255158.109999999403954
20120213,2611333.000000000000000,2559058.959999999962747,2537069.500000000000000,2638670.000000000000000,10346131.460000000894070
20120214,2605816.500000000000000,2566302.040000000037253,2554121.470000000204891,2668560.000000000000000,10394800.009999999776483
20120215,2583750.500000000000000,2546801.439999999944121,2535586.720000000204891,2676400.000000000000000,10342538.660000000149012
20120216,2651453.000000000000000,2559058.959999999962747,2552638.689999999944121,2684730.000000000000000,10447880.650000000372529
20120217,2650951.500000000000000,2602517.439999999944121,2560052.589999999850988,2679340.000000000000000,10492861.529999999329448
20120221,2650450.000000000000000,2614217.800000000279397,2551155.909999999683350,2710700.000000000000000,10526523.710000000894070
20120222,2647441.000000000000000,2594717.200000000186265,2567466.490000000223517,2703840.000000000000000,10513464.690000001341105
20120223,2641423.000000000000000,2615889.280000000260770,2564500.930000000167638,2692080.000000000000000,10513893.210000000894070
20120224,2674522.000000000000000,2617560.759999999776483,2557828.419999999925494,2726870.000000000000000,10576781.179999999701977
20120227,2717149.500000000000000,2614774.959999999962747,2551897.300000000279397,2730790.000000000000000,10614611.759999999776483
20120228,2696086.500000000000000,2631489.759999999776483,2551897.300000000279397,2736180.000000000000000,10615653.560000000521541
20120229,2652456.000000000000000,2650433.200000000186265,2589708.189999999944121,2731770.000000000000000,10624367.390000000596046
20120301,2686558.000000000000000,2644304.439999999944121,2580070.119999999646097,2743530.000000000000000,10654462.559999998658895
20120302,2657471.000000000000000,2641518.639999999664724,2564500.930000000167638,2736180.000000000000000,10599670.570000000298023
20120305,2656468.000000000000000,2640404.320000000298023,2566725.099999999627471,2696980.000000000000000,10560577.419999999925494
20120306,2594783.500000000000000,2584688.320000000298023,2548931.740000000223517,2668560.000000000000000,10396963.560000000521541
20120307,2621363.000000000000000,2640404.320000000298023,2550414.520000000018626,2665130.000000000000000,10477311.839999999850988
20120308,2655465.000000000000000,2664362.200000000186265,2568207.879999999888241,2724910.000000000000000,10612945.080000000074506
20120309,2668002.500000000000000,2679962.680000000167638,2577104.559999999590218,2733240.000000000000000,10658309.739999998360872
20120312,2646438.000000000000000,2707263.520000000484288,2600829.039999999571592,2696000.000000000000000,10650530.560000000521541
20120313,2720660.000000000000000,2737907.320000000298023,2604535.990000000223517,2711190.000000000000000,10774293.310000000521541
20120314,2815945.000000000000000,2756293.600000000093132,2603053.209999999962747,2733240.000000000000000,10908531.809999998658895
20120315,2844530.500000000000000,2741250.280000000260770,2607501.550000000279397,2729810.000000000000000,10923092.330000000074506
20120316,2836005.000000000000000,2732892.879999999888241,2600829.039999999571592,2723930.000000000000000,10893656.919999999925494
20120319,2872113.000000000000000,2720635.359999999869615,2609725.720000000204891,2750390.000000000000000,10952864.080000000074506
20120320,2854059.000000000000000,2751279.160000000149012,2617139.619999999646097,2684240.000000000000000,10906717.779999999329448
20120321,2861080.000000000000000,2774122.720000000204891,2636415.760000000242144,2644550.000000000000000,10916168.480000000447035
20120322,2873116.000000000000000,2767993.959999999962747,2647536.609999999869615,2640140.000000000000000,10928786.570000000298023
20120323,2871110.000000000000000,2760193.720000000204891,2649760.780000000260770,2629360.000000000000000,10910424.500000000000000
20120326,2941821.500000000000000,2793066.160000000149012,2665329.970000000204891,2699920.000000000000000,11100137.630000000819564
20120327,2919755.500000000000000,2788051.720000000204891,2664588.579999999608845,2716090.000000000000000,11088485.800000000745058
20120328,2961881.500000000000000,2780808.639999999664724,2693502.789999999571592,2716580.000000000000000,11152772.929999999701977
20120329,2903206.000000000000000,2780808.639999999664724,2736503.409999999683350,2847410.000000000000000,11267928.049999998882413
20120330,2901701.500000000000000,2803095.040000000037253,2743917.309999999590218,2888080.000000000000000,11336793.849999999627471
20120402,2909224.000000000000000,2785265.920000000391155,2748365.649999999906868,2896900.000000000000000,11339755.570000000298023
20120403,2928281.000000000000000,2785823.080000000074506,2734279.240000000223517,2910620.000000000000000,11359003.320000000298023
20120404,2877128.000000000000000,2777465.680000000167638,2723158.389999999664724,2893960.000000000000000,11271712.070000000298023
20120405,2913737.500000000000000,2820367.000000000000000,2723899.780000000260770,2891510.000000000000000,11349514.280000001192093
20120409,2866596.500000000000000,2818138.359999999869615,2701658.079999999608845,2848880.000000000000000,11235272.939999999478459
20120410,2817449.500000000000000,2750164.839999999850988,2669778.309999999590218,2820460.000000000000000,11057852.649999998509884
20120411,2856065.000000000000000,2771894.080000000074506,2673485.260000000242144,2843000.000000000000000,11144444.339999999850988
20120412,2910728.500000000000000,2820924.160000000149012,2677192.209999999962747,2864560.000000000000000,11273404.870000001043081
20120413,2872614.500000000000000,2839310.439999999944121,2666812.750000000000000,2844470.000000000000000,11223207.689999999478459
