訓練日期,20130515 - 20130815
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11175189.859999999403954
真實報酬,1175189.859999999403954

夏普值報酬,0.108818986000000
夏普值風險,0.041437915457064
夏普值,2.626072880349235

預期報酬,26437.977357390700490
風險,186891.470548115001293
趨勢值,0.141461658361687
找到最佳解世代,1791
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),MMM[16](8),UNH[23](1),
Stock#,CSCO[4](3),MMM[16](8),UNH[23](1),
張數,157158,29895,54103,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.819999999832362,40.500000000000000,47.169999999925494,
20130515,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20130516,3754516.439999999944121,3320478.149999999906868,3362007.589999999850988,10437003.179999999701977
20130517,3809521.739999999757856,3330044.549999999813735,3399879.689999999944121,10539446.979999998584390
20130520,3763945.919999999925494,3339909.899999999906868,3384730.850000000093132,10488587.669999999925494
20130521,3773375.399999999906868,3348579.450000000186265,3401502.779999999795109,10523458.629999998956919
20130522,3668079.540000000037253,3312107.550000000279397,3369582.009999999776483,10349770.099999999627471
20130523,3694796.399999999906868,3300747.449999999720603,3373910.250000000000000,10369455.099999999627471
20130524,3697939.560000000055879,3296562.149999999906868,3357679.350000000093132,10352182.060000000521541
20130528,3754516.439999999944121,3336023.550000000279397,3426931.189999999944121,10517472.179999999701977
20130529,3790662.779999999795109,3322271.850000000093132,3427472.220000000204891,10540407.849999999627471
20130530,3829952.279999999795109,3330941.399999999906868,3498347.149999999906868,10659241.830000000074506
20130531,3790662.779999999795109,3296562.149999999906868,3388518.060000000055879,10475743.990000000223517
20130603,3831523.859999999869615,3306726.450000000186265,3397715.569999999832362,10535966.880000000819564
20130604,3828380.699999999720603,3289088.399999999906868,3373910.250000000000000,10491380.349999999627471
20130605,3822094.379999999888241,3246338.550000000279397,3340907.419999999925494,10409341.349999999627471
20130606,3858240.719999999739230,3248730.149999999906868,3350104.930000000167638,10457076.799999998882413
20130607,3848811.239999999757856,3321673.950000000186265,3385271.879999999888241,10555758.070000000298023
20130610,3828380.699999999720603,3312705.450000000186265,3445326.209999999962747,10586413.359999999403954
20130611,3782804.879999999888241,3295067.399999999906868,3458851.959999999962747,10536725.239999998360872
