代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16438029.170000001788139
真實報酬,6438029.170000001788139

夏普值報酬,0.635102917000000
夏普值風險,0.144205238841094
夏普值,4.404159807951542

預期報酬,28148.505097676134028
風險,383612.796309204073623
趨勢值,0.073377388263627
找到最佳解世代,3024
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
AAPL[0](3),BA[2](13),MCD[15](22),MRK[17](16),PG[21](12),V[25](14),
Stock#,AAPL[0](3),BA[2](13),MCD[15](22),MRK[17](16),PG[21](12),V[25](14),
張數,130616,53011,31897,68870,34599,117536,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,5.840000000083819,0.159999999916181,47.750000000000000,12.000000000000000,32.169999999925494,5.520000000018626,
20090302,1640542.800000000046566,1564354.770000000018626,1653907.199999999953434,1614324.800000000046566,1621687.299999999813735,1591442.959999999962747,9686263.830000000074506
20090303,1648379.760000000009313,1556403.119999999878928,1672407.459999999962747,1587465.500000000000000,1613383.540000000037253,1597319.760000000009313,9675363.140000000596046
20090304,1700626.159999999916181,1606763.569999999832362,1695373.300000000046566,1595729.900000000139698,1636910.860000000102445,1624353.040000000037253,9859760.830000000074506
20090305,1657522.880000000121072,1557993.449999999953434,1622329.169999999925494,1524793.800000000046566,1570826.769999999785796,1570286.479999999981374,9503756.549999998882413
20090306,1592214.880000000121072,1595631.260000000009313,1662519.389999999897555,1566115.799999999813735,1581552.459999999962747,1475082.320000000065193,9473120.109999999403954
20090309,1550417.760000000009313,1643341.159999999916181,1668898.790000000037253,1445593.299999999813735,1528615.989999999990687,1463328.719999999972060,9300199.720000000670552
20090310,1653604.400000000139698,1749893.269999999785796,1677829.949999999953434,1528926.000000000000000,1562869.000000000000000,1553831.440000000176951,9726958.060000000521541
20090311,1729361.680000000167638,1763676.130000000121072,1627751.660000000149012,1511019.800000000046566,1559409.099999999860302,1509167.760000000009313,9700390.130000000819564
20090312,1797282.000000000000000,1782760.090000000083819,1664114.239999999990687,1654958.100000000093132,1583974.389999999897555,1589092.239999999990687,10072185.060000000521541
20090313,1789445.040000000037253,1770567.559999999823049,1670812.610000000102445,1864322.899999999906868,1624455.219999999972060,1529148.879999999888241,10248756.210000000894070
20090316,1780301.920000000158325,1793362.289999999804422,1648803.679999999934807,1805094.699999999953434,1654556.349999999860302,1532674.959999999962747,10214797.899999998509884
20090317,1859977.680000000167638,1825698.999999999767169,1711002.830000000074506,1832642.699999999953434,1660092.189999999711290,1624353.040000000037253,10513771.440000001341105
20090318,1893937.840000000083819,1789121.409999999916181,1767779.489999999990687,1856747.199999999953434,1661476.150000000139698,1654912.400000000139698,10623978.490000000223517
20090319,1896550.159999999916181,1759435.249999999767169,1745132.620000000111759,1793386.800000000046566,1602311.860000000102445,1547954.639999999897555,10344775.330000000074506
20090320,1895244.000000000000000,1725508.209999999729916,1696968.150000000139698,1840218.399999999906868,1577400.580000000074506,1543253.200000000186265,10278596.539999999105930
20090323,2008879.920000000158325,1881890.659999999916181,1759486.269999999785796,1926994.600000000093132,1651788.429999999934807,1632580.560000000055879,10861624.439999999478459
20090324,1986675.200000000186265,1913697.260000000009313,1708451.070000000065193,1911154.500000000000000,1628607.099999999860302,1574987.920000000158325,10723577.050000000745058
20090325,1986675.200000000186265,1964587.820000000065193,1754701.719999999972060,1893937.000000000000000,1662860.110000000102445,1550305.359999999869615,10813071.209999999031425
20090326,2050677.040000000037253,2049405.419999999692664,1788193.570000000065193,1899446.599999999860302,1687079.409999999916181,1631405.200000000186265,11106211.239999998360872
20090327,1993206.000000000000000,1989502.989999999990687,1754701.719999999972060,1870521.199999999953434,1680505.599999999860302,1593793.680000000167638,10882235.189999999478459
20090330,1950102.719999999972060,1882950.880000000121072,1719933.989999999990687,1828510.500000000000000,1635872.889999999897555,1572637.200000000186265,10590012.179999999701977
20090331,1961858.159999999916181,1886131.539999999804422,1740667.040000000037253,1842284.500000000000000,1629299.080000000074506,1633755.920000000158325,10694000.240000000223517
20090401,2028472.320000000065193,1878709.999999999767169,1762038.030000000027940,1858813.299999999813735,1668049.959999999962747,1594969.040000000037253,10791056.649999998509884
20090402,2102923.440000000409782,1972009.360000000102445,1797443.699999999953434,1859502.000000000000000,1709914.750000000000000,1633755.920000000158325,11075553.169999999925494
20090403,2164312.959999999962747,1997984.749999999767169,1806693.830000000074506,1822312.199999999953434,1717180.540000000037253,1765396.239999999990687,11273884.520000001415610
20090406,2210028.560000000521541,2022899.919999999692664,1784365.929999999934807,1836774.900000000139698,1717872.519999999785796,1737187.599999999860302,11309133.429999999701977
20090407,2146026.719999999739230,1942323.199999999953434,1767141.550000000046566,1809226.899999999906868,1684311.489999999990687,1679594.959999999962747,11028628.820000000298023
20090408,2170843.759999999776483,1954515.729999999748543,1772245.070000000065193,1842973.200000000186265,1677045.699999999953434,1699576.080000000074506,11117203.539999999105930
20090409,2230927.120000000111759,2075380.809999999823049,1807650.739999999990687,1811293.000000000000000,1701956.979999999748543,1727784.719999999972060,11354997.370000001043081
20090413,2242682.560000000521541,1969358.809999999823049,1789788.419999999925494,1794075.500000000000000,1662168.129999999888241,1795955.599999999860302,11254033.019999999552965
20090414,2207416.240000000223517,1963527.599999999860302,1748641.290000000037253,1768593.600000000093132,1634834.919999999925494,1713680.400000000139698,11036698.050000000745058
20090415,2195660.799999999813735,1991623.429999999934807,1720890.900000000139698,1807849.500000000000000,1686733.419999999925494,1737187.599999999860302,11139949.650000000372529
