代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14044739.400000000372529
真實報酬,4044739.400000000372529

夏普值報酬,0.395773940000000
夏普值風險,0.105259946278055
夏普值,3.759967147945543

預期報酬,17077.180640067770582
風險,268837.331622107885778
趨勢值,0.063522355831415
找到最佳解世代,2370
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,84932,69118,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,53.160000000149012,3.879999999888241,
20180501,4924410.519999999552965,4973735.159999999217689,9898145.679999999701977
20180502,4866656.759999999776483,4903234.799999999813735,9769891.559999998658895
20180503,4886191.120000000111759,4932264.359999999403954,9818455.480000000447035
20180504,4904876.160000000149012,5006220.620000000111759,9911096.780000001192093
20180507,4873451.320000000298023,4975117.520000000484288,9848568.839999999850988
20180508,4820793.479999999515712,4937793.799999999813735,9758587.279999999329448
20180509,4921862.560000000521541,5002073.540000000037253,9923936.100000001490116
20180510,4931205.080000000074506,5055985.580000000074506,9987190.660000000149012
20180511,5069644.240000000223517,5071191.540000000037253,10140835.780000001192093
20180514,5068794.919999999925494,5064970.919999999925494,10133765.839999999850988
20180515,5028027.560000000521541,5042161.980000000447035,10070189.540000000968575
20180516,5074740.160000000149012,5082250.419999999925494,10156990.580000000074506
20180517,5016986.400000000372529,5111971.159999999217689,10128957.559999998658895
20180518,5022931.640000000596046,5076720.980000000447035,10099652.620000001043081
20180521,4974520.400000000372529,5118882.959999999962747,10093403.359999999403954
20180522,4964328.560000000521541,5116809.419999999925494,10081137.980000000447035
20180523,5025479.600000000558794,5127177.120000000111759,10152656.720000000670552
20180524,5022082.320000000298023,5098838.739999999292195,10120921.059999998658895
20180525,5018685.040000000037253,5136162.459999999962747,10154847.500000000000000
20180529,4960081.959999999962747,5118191.779999999329448,10078273.739999998360872
20180530,5072192.200000000186265,5176250.900000000372529,10248443.100000001490116
20180531,5056055.120000000111759,5057367.940000000409782,10113423.060000000521541
20180601,5143535.080000000074506,5076720.980000000447035,10220256.060000000521541
20180604,5267535.800000000745058,5127177.120000000111759,10394712.920000001788139
20180605,5214028.640000000596046,5112662.339999999850988,10326690.980000000447035
20180606,5259891.919999999925494,5138927.179999999701977,10398819.099999999627471
20180607,5264987.840000000782311,5236383.560000000521541,10501371.400000002235174
20180608,5315097.719999999739230,5334531.120000000111759,10649628.839999999850988
20180611,5293864.719999999739230,5358722.419999999925494,10652587.140000000596046
