代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15199483.270000001415610
真實報酬,5199483.270000001415610

夏普值報酬,0.511248327000000
夏普值風險,0.127290026681965
夏普值,4.016405215134081

預期報酬,22345.794829276004748
風險,233944.601509389991406
趨勢值,0.095517463045109
找到最佳解世代,2360
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),MCD[15](15),UNH[23](3),VZ[26](2),
Stock#,CAT[3](1),MCD[15](15),UNH[23](3),VZ[26](2),
張數,41145,37385,85999,97162,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,29.800000000279397,65.049999999813735,9.069999999832362,21.739999999757856,
20100601,2438693.950000000186265,2480933.649999999906868,2492260.089999999850988,2471823.020000000018626,9883710.709999999031425
20100602,2504114.500000000465661,2533646.499999999534339,2572239.159999999683350,2505829.719999999739230,10115829.879999998956919
20100603,2514400.750000000465661,2536637.299999999813735,2619538.609999999869615,2510687.819999999832362,10181264.480000000447035
20100604,2376565.000000000000000,2493644.549999999813735,2609218.729999999981374,2471823.020000000018626,9951251.299999998882413
20100607,2297155.150000000372529,2495513.799999999813735,2619538.609999999869615,2460163.579999999608845,9872371.140000000596046
20100608,2329248.250000000465661,2556451.349999999627471,2656518.179999999701977,2514574.299999999813735,10056792.079999998211861
20100609,2337477.250000000465661,2551965.149999999906868,2625558.540000000037253,2523318.879999999422580,10038319.820000000298023
20100610,2466672.550000000279397,2593462.500000000000000,2640178.369999999646097,2574814.739999999757856,10275128.160000000149012
20100611,2478193.150000000372529,2599817.950000000186265,2637598.399999999906868,2594247.139999999664724,10309856.640000000596046
20100614,2509874.800000000279397,2590845.549999999813735,2630718.479999999981374,2601048.479999999515712,10332487.309999998658895
20100615,2611091.500000000465661,2631969.049999999813735,2682317.879999999888241,2644771.379999999422580,10570149.810000000521541
20100616,2649356.350000000093132,2627856.700000000186265,2699517.679999999701977,2650601.100000000093132,10627331.830000000074506
20100617,2672397.550000000279397,2618884.299999999813735,2708977.569999999832362,2642828.139999999664724,10643087.559999998658895
20100618,2709428.049999999813735,2612528.849999999627471,2694357.739999999757856,2645743.000000000000000,10662057.639999998733401
20100621,2718479.950000000186265,2614024.250000000000000,2678877.919999999925494,2639913.279999999795109,10651295.400000000372529
20100622,2637835.750000000465661,2566171.449999999720603,2635018.429999999701977,2639913.279999999795109,10478938.910000000149012
20100623,2646887.650000000372529,2565797.599999999627471,2598038.859999999869615,2664203.779999999795109,10474927.889999998733401
20100624,2607388.450000000186265,2532151.100000000093132,2559339.310000000055879,2631168.699999999720603,10330047.560000000521541
20100625,2662522.750000000000000,2520561.750000000000000,2569659.189999999944121,2593275.520000000018626,10346019.209999999031425
20100628,2649767.800000000745058,2517197.099999999627471,2510319.879999999888241,2607849.819999999832362,10285134.599999999627471
20100629,2503703.050000000279397,2484672.149999999441206,2462160.439999999944121,2600076.859999999869615,10050612.499999998137355
20100630,2471609.950000000186265,2462615.000000000000000,2442380.669999999925494,2545666.139999999664724,9922271.759999999776483
20100701,2467495.450000000186265,2494018.399999999441206,2395081.219999999739230,2555382.339999999850988,9911977.410000000149012
20100702,2434990.900000000372529,2472708.949999999720603,2433780.770000000018626,2604934.959999999497086,9946415.579999998211861
20100706,2460912.250000000465661,2471587.399999999906868,2484520.179999999701977,2585502.559999999590218,10002522.390000000596046
20100707,2558425.900000000372529,2516449.399999999906868,2511179.869999999646097,2576757.979999999515712,10162813.149999998509884
20100708,2599159.450000000186265,2580377.749999999534339,2552459.389999999664724,2602020.100000000093132,10334016.689999999478459
20100709,2662934.200000000186265,2587854.750000000000000,2577399.099999999627471,2589389.039999999571592,10417577.089999999850988
