代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12702896.140000000596046
真實報酬,2702896.140000000596046

夏普值報酬,0.261589614000000
夏普值風險,0.082083178844844
夏普值,3.186884544206837

預期報酬,13524.839134883050065
風險,261488.492935544200009
趨勢值,0.051722502137855
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
HD[9](5),JPM[13](13),NKE[19](3),UNH[23](2),
Stock#,HD[9](5),JPM[13](13),NKE[19](3),UNH[23](2),
張數,26737,42052,63645,28841,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,90.500000000000000,8.600000000093132,24.399999999906868,62.119999999646097,
20140902,2437168.050000000279397,2509251.439999999944121,2522912.199999999720603,2491636.109999999869615,9960967.799999998882413
20140903,2379683.500000000000000,2510513.000000000000000,2508273.849999999627471,2503172.509999999776483,9901642.859999999403954
20140904,2404548.910000000149012,2510933.520000000018626,2543278.600000000093132,2510959.579999999608845,9969720.609999999403954
20140905,2449467.069999999832362,2519343.919999999925494,2610742.300000000279397,2530859.869999999646097,10110413.160000000149012
20140908,2428344.839999999850988,2518502.879999999888241,2622198.399999999906868,2535474.429999999701977,10104520.549999998882413
20140909,2377811.910000000149012,2483599.720000000204891,2604377.799999999813735,2554221.079999999608845,10020010.509999999776483
20140910,2386367.750000000000000,2490328.040000000037253,2624744.200000000186265,2516439.369999999646097,10017879.359999999403954
20140911,2385565.640000000130385,2513036.120000000111759,2603741.349999999627471,2511536.399999999441206,10013879.509999997913837
20140912,2375405.580000000074506,2524390.160000000149012,2604377.799999999813735,2485579.500000000000000,9989753.039999999105930
20140915,2389843.560000000055879,2520605.479999999981374,2597376.850000000093132,2481253.349999999627471,9989079.240000000223517
20140916,2413639.489999999757856,2522708.080000000074506,2584011.399999999906868,2513843.679999999701977,10034202.650000000372529
20140917,2439039.640000000130385,2536164.720000000204891,2594194.599999999627471,2508940.709999999497086,10078339.669999999925494
20140918,2462300.830000000074506,2578637.240000000223517,2608832.950000000186265,2527398.949999999720603,10177169.970000000670552
20140919,2468985.080000000074506,2569806.320000000298023,2603741.349999999627471,2532301.919999999459833,10174834.669999999925494
20140922,2456953.430000000167638,2561395.919999999925494,2568100.149999999906868,2531436.689999999478459,10117886.189999999478459
20140923,2446258.629999999888241,2562657.479999999981374,2549643.100000000093132,2497404.309999999590218,10055963.519999999552965
20140924,2487166.239999999757856,2591673.360000000335276,2572555.299999999813735,2544126.729999999515712,10195521.629999998956919
20140925,2457220.800000000279397,2529436.399999999906868,2538187.000000000000000,2485579.500000000000000,10010423.699999999254942
