代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11671321.429999999701977
真實報酬,1671321.429999999701977

夏普值報酬,0.158432143000000
夏普值風險,0.058438392021587
夏普值,2.711096892287454

預期報酬,7128.841278584380234
風險,299802.646682883438189
趨勢值,0.023778446779774
找到最佳解世代,1293
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](4),NKE[19](1),UNH[23](6),
Stock#,MCD[15](4),NKE[19](1),UNH[23](6),
張數,33704,68643,29334,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.399999999906868,28.919999999925494,110.580000000074506,
20150302,3370407.399999999906868,3389620.260000000242144,3355920.180000000167638,10115948.839999999850988
20150303,3361644.359999999869615,3362849.490000000223517,3310745.819999999832362,10035240.669999999925494
20150304,3378833.399999999906868,3347061.599999999627471,3338906.459999999962747,10064802.460000000894070
20150305,3340410.839999999850988,3379323.809999999590218,3367360.440000000409782,10087096.089999999850988
20150306,3273676.919999999925494,3326468.700000000186265,3311332.500000000000000,9911479.120000001043081
20150309,3293225.239999999757856,3344315.879999999888241,3370587.180000000167638,10008129.299999998882413
20150310,3245365.560000000055879,3312740.099999999627471,3299012.219999999739230,9857118.879999998956919
20150311,3200539.239999999757856,3272240.729999999981374,3306639.060000000055879,9779420.029999999329448
20150312,3244017.399999999906868,3330587.280000000260770,3370000.500000000000000,9944606.179999999701977
20150313,3247387.799999999813735,3288715.049999999813735,3380854.080000000074506,9916957.929999999701977
20150316,3274351.000000000000000,3309994.379999999888241,3476776.259999999776483,10061122.640000000596046
20150317,3241321.080000000074506,3313426.530000000260770,3449788.979999999981374,10004537.589999999850988
20150318,3269295.399999999906868,3347061.599999999627471,3519017.219999999739230,10135375.219999998807907
20150319,3234917.319999999832362,3374518.799999999813735,3542484.420000000391155,10151921.539999999105930
20150320,3270980.599999999627471,3500135.490000000223517,3494963.340000000316650,10266080.429999999701977
20150323,3323895.879999999888241,3482288.309999999590218,3492029.940000000409782,10298215.129999998956919
20150324,3348836.839999999850988,3454831.109999999869615,3465042.660000000149012,10268711.609999999403954
20150325,3307717.959999999962747,3397857.419999999925494,3418694.940000000409782,10124271.320000000298023
20150326,3290865.959999999962747,3409526.729999999981374,3410188.080000000074506,10110581.769999999552965
20150327,3267947.239999999757856,3428060.339999999850988,3461815.920000000391155,10157824.500000000000000
20150330,3298954.919999999925494,3463068.270000000018626,3549524.580000000074506,10311548.769999999552965
20150331,3284125.159999999683350,3443848.229999999981374,3470029.440000000409782,10198003.830000000074506
