代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13244970.519999999552965
真實報酬,3244970.519999999552965

夏普值報酬,0.315797052000000
夏普值風險,0.077007146088963
夏普值,4.100879827895120

預期報酬,12591.605937058346171
風險,275907.228767203108873
趨勢值,0.045637100533102
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](5),UNH[23](3),
Stock#,NKE[19](5),UNH[23](3),
張數,107550,52626,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.500000000000000,3.739999999292195,
20141103,5025812.000000000000000,4992106.099999999627471,10017918.099999999627471
20141104,5052699.500000000000000,4998421.219999999739230,10051120.719999998807907
20141105,5091417.500000000000000,5041574.539999999105930,10132992.039999999105930
20141106,5087115.500000000000000,5063151.199999999254942,10150266.699999999254942
20141107,5043020.000000000000000,4926323.599999999627471,9969343.599999999627471
20141110,5106474.500000000000000,4986317.239999999292195,10092791.739999998360872
20141111,5102172.500000000000000,5035785.679999998770654,10137958.179999999701977
20141112,5152721.000000000000000,5035259.419999999925494,10187980.419999999925494
20141113,5168853.500000000000000,5046837.139999999664724,10215690.640000000596046
20141114,5135513.000000000000000,5005262.599999999627471,10140775.599999999627471
20141117,5165627.000000000000000,5076833.959999999031425,10242460.959999999031425
20141118,5188212.500000000000000,5167350.679999998770654,10355563.179999999701977
20141119,5214024.500000000000000,5097358.099999999627471,10311382.599999999627471
20141120,5232308.000000000000000,5096831.839999998919666,10329139.839999999850988
20141121,5238761.000000000000000,5089464.199999999254942,10328225.199999999254942
20141124,5267799.500000000000000,5099463.139999999664724,10367262.640000000596046
20141125,5232308.000000000000000,5152089.139999999664724,10384397.140000000596046
20141126,5259195.500000000000000,5163140.599999999627471,10422336.099999999627471
20141128,5339858.000000000000000,5190506.119999999180436,10530364.119999999180436
20141201,5253818.000000000000000,5213135.299999999813735,10466953.300000000745058
20141202,5272101.500000000000000,5253657.319999999366701,10525758.820000000298023
20141203,5296838.000000000000000,5304704.539999999105930,10601542.539999999105930
20141204,5326952.000000000000000,5245237.159999999217689,10572189.160000000149012
20141205,5342009.000000000000000,5279970.319999999366701,10621979.320000000298023
20141208,5254893.500000000000000,5258393.659999999217689,10513287.160000000149012
20141209,5218326.500000000000000,5316282.259999998845160,10534608.759999997913837
20141210,5251667.000000000000000,5214714.079999999143183,10466381.079999998211861
20141211,5212949.000000000000000,5248394.719999999739230,10461343.719999998807907
20141212,5172080.000000000000000,5197347.500000000000000,10369427.500000000000000
20141215,5132286.500000000000000,5171560.759999998845160,10303847.259999997913837
20141216,5012906.000000000000000,5044205.839999998919666,10057111.839999999850988
20141217,5081738.000000000000000,5217345.379999998956919,10299083.379999998956919
20141218,5220477.500000000000000,5380485.979999998584390,10600963.479999998584390
20141219,5100021.500000000000000,5393642.479999998584390,10493663.979999998584390
20141222,5159174.000000000000000,5422586.779999999329448,10581760.779999999329448
20141223,5161325.000000000000000,5412587.839999998919666,10573912.839999999850988
20141224,5178533.000000000000000,5403641.419999999925494,10582174.419999999925494
20141226,5207571.500000000000000,5396800.039999999105930,10604371.539999999105930
20141229,5232308.000000000000000,5385222.319999999366701,10617530.320000000298023
20141230,5209722.500000000000000,5412587.839999998919666,10622310.339999999850988
20141231,5171004.500000000000000,5319966.079999999143183,10490970.579999998211861
20150102,5110776.500000000000000,5303652.019999999552965,10414428.519999999552965
20150105,5027963.000000000000000,5216292.859999999403954,10244255.859999999403954
20150106,4998924.500000000000000,5205767.659999999217689,10204692.160000000149012
20150107,5102172.500000000000000,5258919.919999999925494,10361092.419999999925494
20150108,5219402.000000000000000,5509945.939999999478459,10729347.939999999478459
20150109,5162400.500000000000000,5458372.459999999031425,10620772.959999999031425
20150112,5154872.000000000000000,5396800.039999999105930,10551672.039999999105930
20150113,5109701.000000000000000,5424165.559999998658895,10533866.559999998658895
20150114,5039793.500000000000000,5437848.319999999366701,10477641.820000000298023
20150115,4991396.000000000000000,5497315.699999999254942,10488711.699999999254942
20150116,5001075.500000000000000,5566255.759999998845160,10567331.259999997913837
20150120,5034416.000000000000000,5558361.859999999403954,10592777.859999999403954
20150121,5029038.500000000000000,5753078.059999998658895,10782116.559999998658895
20150122,5154872.000000000000000,5991473.839999998919666,11146345.839999999850988
20150123,5171004.500000000000000,5894115.739999999292195,11065120.239999998360872
20150126,5181759.500000000000000,5873591.599999999627471,11055351.099999999627471
20150127,5081738.000000000000000,5789390.000000000000000,10871128.000000000000000
20150128,5018283.500000000000000,5707819.699999999254942,10726103.199999999254942
20150129,5102172.500000000000000,5756761.879999998956919,10858934.379999998956919
20150130,4961282.000000000000000,5591516.239999999292195,10552798.239999998360872
20150202,4942998.500000000000000,5646247.279999999329448,10589245.779999999329448
20150203,5020434.500000000000000,5673612.799999999813735,10694047.300000000745058
20150204,4976339.000000000000000,5679401.659999999217689,10655740.660000000149012
20150205,5019359.000000000000000,5726765.059999998658895,10746124.059999998658895
20150206,4936545.500000000000000,5662561.339999998919666,10599106.839999999850988
20150209,4903205.000000000000000,5604146.479999998584390,10507351.479999998584390
20150210,4988169.500000000000000,5734658.959999999031425,10722828.459999999031425
20150211,4910733.500000000000000,5780969.839999998919666,10691703.339999999850988
20150212,4947300.500000000000000,5780443.579999999143183,10727744.079999998211861
20150213,4949451.500000000000000,5759393.179999998770654,10708844.679999999701977
20150217,4939772.000000000000000,5776233.500000000000000,10716005.500000000000000
20150218,5034416.000000000000000,5776759.759999998845160,10811175.759999997913837
20150219,5038718.000000000000000,5790442.519999999552965,10829160.519999999552965
20150220,5105399.000000000000000,5926743.859999999403954,11032142.859999999403954
20150223,5109701.000000000000000,6125670.139999999664724,11235371.140000000596046
20150224,5131211.000000000000000,6074622.919999999925494,11205833.919999999925494
20150225,5206496.000000000000000,6001999.039999999105930,11208495.039999999105930
20150226,5216175.500000000000000,5981474.899999999441206,11197650.399999998509884
20150227,5222628.500000000000000,5979896.119999999180436,11202524.619999999180436
20150302,5310819.500000000000000,6020418.139999999664724,11331237.640000000596046
20150303,5268875.000000000000000,5939374.099999999627471,11208249.099999999627471
20150304,5244138.500000000000000,5989895.059999998658895,11234033.559999998658895
20150305,5294687.000000000000000,6040942.279999999329448,11335629.279999999329448
20150306,5211873.500000000000000,5940426.619999999180436,11152300.119999999180436
20150309,5239836.500000000000000,6046731.139999999664724,11286567.640000000596046
20150310,5190363.500000000000000,5918323.699999999254942,11108687.199999999254942
20150311,5126909.000000000000000,5932006.459999999031425,11058915.459999999031425
20150312,5218326.500000000000000,6045678.619999999180436,11264005.119999999180436
20150313,5152721.000000000000000,6065150.239999999292195,11217871.239999998360872
20150316,5186061.500000000000000,6237237.259999998845160,11423298.759999997913837
20150317,5191439.000000000000000,6188821.339999998919666,11380260.339999999850988
20150318,5244138.500000000000000,6313018.699999999254942,11557157.199999999254942
20150319,5287158.500000000000000,6355119.500000000000000,11642278.000000000000000
20150320,5483975.000000000000000,6269865.379999998956919,11753840.379999998956919
20150323,5456012.000000000000000,6264602.779999999329448,11720614.779999999329448
20150324,5412992.000000000000000,6216186.859999999403954,11629178.859999999403954
20150325,5323725.500000000000000,6133037.779999999329448,11456763.279999999329448
20150326,5342009.000000000000000,6117776.239999999292195,11459785.239999998360872
20150327,5371047.500000000000000,6210398.000000000000000,11581445.500000000000000
20150330,5425898.000000000000000,6367749.739999999292195,11793647.739999998360872
20150331,5395784.000000000000000,6225133.279999999329448,11620917.279999999329448
20150401,5353839.500000000000000,6180927.439999999478459,11534766.939999999478459
20150402,5359217.000000000000000,6176191.099999999627471,11535408.099999999627471
20150406,5363519.000000000000000,6194083.939999999478459,11557602.939999999478459
20150407,5357066.000000000000000,6175664.839999998919666,11532730.839999999850988
20150408,5422671.500000000000000,6219870.679999998770654,11642542.179999999701977
20150409,5416218.500000000000000,6238816.039999999105930,11655034.539999999105930
20150410,5376425.000000000000000,6262497.739999999292195,11638922.739999998360872
20150413,5338782.500000000000000,6281969.359999999403954,11620751.859999999403954
20150414,5352764.000000000000000,6310913.659999999217689,11663677.660000000149012
20150415,5368896.500000000000000,6174086.059999998658895,11542982.559999998658895
20150416,5372123.000000000000000,6399325.339999998919666,11771448.339999999850988
20150417,5300064.500000000000000,6247236.199999999254942,11547300.699999999254942
20150420,5377500.500000000000000,6240394.819999999366701,11617895.320000000298023
20150421,5393633.000000000000000,6277233.019999999552965,11670866.019999999552965
20150422,5386104.500000000000000,6199872.799999999813735,11585977.300000000745058
20150423,5437728.500000000000000,6223554.500000000000000,11661283.000000000000000
20150424,5429124.500000000000000,6246183.679999998770654,11675308.179999999701977
20150427,5428049.000000000000000,6117249.979999998584390,11545298.979999998584390
20150428,5369972.000000000000000,6188295.079999999143183,11558267.079999998211861
20150429,5387180.000000000000000,5978843.599999999627471,11366023.599999999627471
20150430,5315121.500000000000000,5862540.139999999664724,11177661.640000000596046
20150501,5419445.000000000000000,5957266.939999999478459,11376711.939999999478459
20150504,5422671.500000000000000,6028838.299999999813735,11451509.800000000745058
20150505,5400086.000000000000000,5966213.359999999403954,11366299.359999999403954
20150506,5389331.000000000000000,5972528.479999998584390,11361859.479999998584390
20150507,5456012.000000000000000,6039363.500000000000000,11495375.500000000000000
20150508,5508711.500000000000000,6087779.419999999925494,11596490.919999999925494
20150511,5528070.500000000000000,6039889.759999998845160,11567960.259999997913837
20150512,5505485.000000000000000,6033048.379999998956919,11538533.379999998956919
20150513,5493654.500000000000000,6097252.099999999627471,11590906.599999999627471
20150514,5562486.500000000000000,6237763.519999999552965,11800250.019999999552965
20150515,5645300.000000000000000,6279864.319999999366701,11925164.320000000298023
20150518,5633469.500000000000000,6304598.539999999105930,11938068.039999999105930
20150519,5627016.500000000000000,6344068.039999999105930,11971084.539999999105930
20150520,5625941.000000000000000,6380379.979999998584390,12006320.979999998584390
20150521,5614110.500000000000000,6339331.699999999254942,11953442.199999999254942
20150522,5616261.500000000000000,6293547.079999999143183,11909808.579999998211861
20150526,5561411.000000000000000,6222501.979999998584390,11783912.979999998584390
20150527,5530221.500000000000000,6286179.439999999478459,11816400.939999999478459
20150528,5501183.000000000000000,6295125.859999999403954,11796308.859999999403954
20150529,5467842.500000000000000,6326175.199999999254942,11794017.699999999254942
20150601,5472144.500000000000000,6307756.099999999627471,11779900.599999999627471
20150602,5491503.500000000000000,6196715.239999999292195,11688218.739999998360872
20150603,5513013.500000000000000,6228290.839999998919666,11741304.339999999850988
20150604,5482899.500000000000000,6138826.639999999664724,11621726.140000000596046
20150605,5487201.500000000000000,6132511.519999999552965,11619713.019999999552965
20150608,5454936.500000000000000,6152509.399999999441206,11607445.899999998509884
20150609,5450634.500000000000000,6156719.479999998584390,11607353.979999998584390
20150610,5557109.000000000000000,6238816.039999999105930,11795925.039999999105930
20150611,5586147.500000000000000,6279338.059999998658895,11865485.559999998658895
20150612,5580770.000000000000000,6191452.639999999664724,11772222.640000000596046
20150615,5558184.500000000000000,6261445.219999999739230,11819629.719999998807907
20150616,5622714.500000000000000,6396694.039999999105930,12019408.539999999105930
20150617,5633469.500000000000000,6301440.979999998584390,11934910.479999998584390
20150618,5700150.500000000000000,6361960.879999998956919,12062111.379999998956919
20150619,5729189.000000000000000,6332490.319999999366701,12061679.320000000298023
20150622,5743170.500000000000000,6328280.239999999292195,12071450.739999998360872
20150623,5764680.500000000000000,6459318.979999998584390,12223999.479999998584390
20150624,5711981.000000000000000,6271444.159999999217689,11983425.160000000149012
20150625,5658206.000000000000000,6437742.319999999366701,12095948.320000000298023
20150626,5900193.500000000000000,6486158.239999999292195,12386351.739999998360872
20150629,5790492.500000000000000,6377748.679999998770654,12168241.179999999701977
20150630,5808776.000000000000000,6420375.739999999292195,12229151.739999998360872
20150701,5885136.500000000000000,6492999.619999999180436,12378136.119999999180436
20150702,5908797.500000000000000,6410376.799999999813735,12319174.300000000745058
20150706,5906646.500000000000000,6428795.899999999441206,12335442.399999998509884
20150707,5985158.000000000000000,6351961.939999999478459,12337119.939999999478459
20150708,5876532.500000000000000,6250920.019999999552965,12127452.519999999552965
20150709,5885136.500000000000000,6280390.579999999143183,12165527.079999998211861
20150710,5943213.500000000000000,6428269.639999999664724,12371483.140000000596046
20150713,6045386.000000000000000,6444057.439999999478459,12489443.439999999478459
20150714,6041084.000000000000000,6578253.739999999292195,12619337.739999998360872
20150715,6017423.000000000000000,6623512.099999999627471,12640935.099999999627471
20150716,6041084.000000000000000,6574569.919999999925494,12615653.919999999925494
20150717,6065820.500000000000000,6517733.839999998919666,12583554.339999999850988
20150720,6084104.000000000000000,6454582.639999999664724,12538686.640000000596046
20150721,6076575.500000000000000,6360382.099999999627471,12436957.599999999627471
20150722,6135728.000000000000000,6347225.599999999627471,12482953.599999999627471
20150723,6130350.500000000000000,6279864.319999999366701,12410214.820000000298023
20150724,6076575.500000000000000,6206714.179999998770654,12283289.679999999701977
20150727,6008819.000000000000000,6203556.619999999180436,12212375.619999999180436
20150728,6102387.500000000000000,6395115.259999998845160,12497502.759999997913837
20150729,6179823.500000000000000,6395115.259999998845160,12574938.759999997913837
20150730,6185201.000000000000000,6344594.299999999813735,12529795.300000000745058
20150731,6195956.000000000000000,6388800.139999999664724,12584756.140000000596046
20150803,6175521.500000000000000,6361960.879999998956919,12537482.379999998956919
20150804,6226070.000000000000000,6359329.579999999143183,12585399.579999998211861
20150805,6278769.500000000000000,6521417.659999999217689,12800187.160000000149012
20150806,6190578.500000000000000,6422480.779999999329448,12613059.279999999329448
20150807,6158313.500000000000000,6410903.059999998658895,12569216.559999998658895
20150810,6203484.500000000000000,6445636.219999999739230,12649120.719999998807907
20150811,6155087.000000000000000,6434058.500000000000000,12589145.500000000000000
20150812,6079802.000000000000000,6378274.939999999478459,12458076.939999999478459
20150813,6108840.500000000000000,6342489.259999998845160,12451329.759999997913837
20150814,6149709.500000000000000,6368802.259999998845160,12518511.759999997913837
20150817,6183050.000000000000000,6516155.059999998658895,12699205.059999998658895
20150818,6174446.000000000000000,6604566.739999999292195,12779012.739999998360872
20150819,6181974.500000000000000,6484579.459999999031425,12666553.959999999031425
20150820,6038933.000000000000000,6304072.279999999329448,12343005.279999999329448
20150821,5747472.500000000000000,6119355.019999999552965,11866827.519999999552965
20150824,5586147.500000000000000,5811492.919999999925494,11397640.419999999925494
20150825,5567864.000000000000000,5787811.219999999739230,11355675.219999998807907
20150826,5848569.500000000000000,5970949.699999999254942,11819519.199999999254942
