代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13625799.769999999552965
真實報酬,3625799.769999999552965

夏普值報酬,0.353879977000000
夏普值風險,0.085834441573903
夏普值,4.122820286485035

預期報酬,14316.792716320189356
風險,166281.871627561660716
趨勢值,0.086099540353906
找到最佳解世代,2239
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](11),TRV[22](5),V[25](2),WMT[28](9),
Stock#,HD[9](1),KO[14](11),TRV[22](5),V[25](2),WMT[28](9),
張數,50994,59488,35555,82508,33955,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.320000000065193,13.440000000176951,31.250000000000000,6.080000000074506,50.500000000000000,
20111201,2006119.280000000260770,1988102.400000000372529,1956978.449999999953434,2016501.600000000093132,1990153.050000000046566,9957854.780000001192093
20111202,2036715.679999999934807,1974420.160000000149012,1928534.450000000186265,2004950.480000000214204,1972496.450000000186265,9917117.220000000670552
20111205,2051503.939999999944121,1972635.520000000018626,1943823.100000000093132,1981848.239999999990687,1980985.200000000186265,9930796.000000000000000
20111206,2056093.400000000139698,1983343.360000000335276,1968000.500000000000000,1966996.800000000046566,1995925.400000000139698,9970359.460000000894070
20111207,2077000.939999999944121,1986317.760000000242144,1987555.750000000000000,2002475.239999999990687,1986757.550000000046566,10040107.240000000223517
20111208,2035185.859999999869615,1985128.000000000000000,1974400.400000000139698,1976072.679999999934807,1968761.399999999906868,9939548.339999999850988
20111209,2051503.939999999944121,2009518.080000000307336,1991822.350000000093132,2004950.480000000214204,1980306.100000000093132,10038100.950000001117587
20111212,2042325.020000000018626,1989887.040000000270084,1985066.899999999906868,1999174.920000000158325,1972496.450000000186265,9988950.330000001937151
20111213,2014788.260000000009313,1977394.560000000288710,1988622.399999999906868,1978547.920000000158325,1955858.500000000000000,9915211.640000000596046
20111214,1995920.479999999981374,1970850.880000000353903,1990044.599999999860302,1987623.800000000046566,1957556.250000000000000,9901996.009999999776483
20111215,2010198.800000000046566,1989887.040000000270084,2019910.800000000046566,1976897.760000000242144,1967742.750000000000000,9964637.150000000372529
20111216,2061192.800000000046566,2005948.800000000046566,2036621.650000000139698,2009900.959999999962747,1978608.350000000093132,10092272.560000000521541
20111219,2049974.120000000111759,2004164.160000000149012,2016355.300000000046566,2033828.280000000027940,1961970.400000000139698,10066292.259999999776483
20111220,2139213.620000000111759,2034503.040000000270084,2067554.500000000000000,2090758.800000000046566,2009846.949999999953434,10341876.910000000149012
20111221,2141763.320000000298023,2069006.080000000307336,2100976.200000000186265,2077557.520000000018626,2016637.949999999953434,10405941.070000000298023
20111222,2137683.799999999813735,2058298.240000000223517,2104531.699999999720603,2074257.200000000186265,2009846.949999999953434,10384617.890000000596046
20111223,2146352.780000000260770,2080308.800000000046566,2110220.500000000000000,2113861.040000000037253,2037010.949999999953434,10487754.070000000298023
20111227,2152982.000000000000000,2078524.160000000149012,2116620.399999999906868,2102309.919999999925494,2031578.149999999906868,10482014.630000000819564
20111228,2117796.139999999664724,2067816.320000000065193,2092798.550000000046566,2077557.520000000018626,2028182.649999999906868,10384151.179999999701977
20111229,2142273.259999999776483,2086852.479999999981374,2121953.649999999906868,2127887.399999999906868,2037010.949999999953434,10515977.740000000223517
20111230,2143803.080000000074506,2081498.560000000288710,2103820.600000000093132,2094059.119999999878928,2029201.300000000046566,10452382.660000000149012
20120103,2148902.480000000447035,2086257.600000000093132,2097420.700000000186265,2124587.080000000074506,2048555.649999999906868,10505723.509999999776483
20120104,2179498.879999999888241,2073170.240000000223517,2088887.500000000000000,2086633.399999999906868,2027503.550000000046566,10455693.570000000298023
20120105,2197346.780000000260770,2063652.160000000149012,2109509.399999999906868,2102309.919999999925494,2017656.600000000093132,10490474.859999999403954
20120106,2202956.120000000111759,2050564.800000000046566,2110220.500000000000000,2077557.520000000018626,2003395.500000000000000,10444694.439999999478459
20120109,2204485.939999999478459,2050564.800000000046566,2122309.199999999720603,2061055.920000000158325,2009507.399999999906868,10447923.259999999776483
