代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14480543.149999998509884
真實報酬,4480543.149999998509884

夏普值報酬,0.439354315000000
夏普值風險,0.126582036918483
夏普值,3.470905712182043

預期報酬,21328.740504316625447
風險,299642.359652589482721
趨勢值,0.071180658599290
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](11),MSFT[18](5),V[25](1),
Stock#,BA[2](3),MCD[15](11),MSFT[18](5),V[25](1),
張數,14135,19288,37959,28130,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,83.899999999906868,82.319999999832362,20.260000000242144,86.899999999906868,
20170403,2497031.649999999906868,2500000.000000000000000,2488232.709999999962747,2513783.699999999720603,9999048.060000000521541
20170404,2526008.399999999906868,2493827.839999999850988,2495065.330000000540167,2497468.299999999813735,10012369.870000001043081
20170405,2503109.700000000186265,2515430.399999999906868,2488612.300000000279397,2504500.799999999813735,10011653.199999999254942
20170406,2507208.850000000093132,2510415.520000000018626,2495065.330000000540167,2506188.600000000093132,10018878.300000000745058
20170407,2528128.649999999906868,2506750.799999999813735,2493167.380000000353903,2496343.099999999627471,10024389.929999999701977
20170410,2509894.500000000000000,2507136.559999999590218,2487473.530000000260770,2499718.699999999720603,10004223.289999999105930
20170411,2524170.849999999627471,2530667.919999999459833,2485575.580000000540167,2499437.399999999906868,10039851.750000000000000
20170412,2488550.649999999906868,2531825.199999999720603,2476085.830000000540167,2494655.300000000279397,9991116.980000000447035
20170413,2482472.600000000093132,2522181.199999999720603,2465457.310000000521541,2500000.000000000000000,9970111.109999999403954
20170417,2530531.600000000093132,2533561.119999999646097,2485575.580000000540167,2526442.200000000186265,10076110.500000000000000
20170418,2513993.649999999906868,2551884.720000000204891,2482159.270000000484288,2524191.799999999813735,10072229.440000001341105
20170419,2521767.899999999906868,2558442.639999999664724,2468873.620000000577420,2524754.399999999906868,10073838.560000000521541
20170420,2534489.399999999906868,2570594.080000000074506,2486334.760000000242144,2564136.399999999906868,10155554.640000000596046
20170421,2549755.199999999720603,2573294.399999999906868,2520497.860000000335276,2564136.399999999906868,10207683.859999999403954
20170424,2573502.000000000000000,2589110.559999999590218,2563391.530000000260770,2583827.399999999906868,10309831.490000000223517
20170425,2593997.750000000000000,2733191.919999999459833,2578195.540000000502914,2591141.199999999720603,10496526.410000000149012
20170426,2568554.750000000000000,2716604.239999999757856,2574779.229999999981374,2582983.499999999534339,10442921.720000000670552
20170427,2589898.600000000093132,2717182.879999999888241,2591481.189999999944121,2576794.899999999906868,10475357.570000000298023
20170428,2612655.950000000186265,2699052.160000000149012,2598693.399999999906868,2566105.500000000000000,10476507.009999999776483
20170501,2578166.549999999813735,2722583.520000000018626,2634754.450000000186265,2567230.700000000186265,10502735.220000000670552
20170502,2593008.299999999813735,2724126.559999999590218,2630578.959999999962747,2603237.100000000093132,10550950.919999999925494
20170503,2592301.549999999813735,2750936.879999999888241,2622227.979999999981374,2600424.099999999627471,10565890.509999999776483
20170504,2587778.349999999627471,2766945.919999999459833,2611979.050000000279397,2605487.500000000000000,10572190.820000000298023
20170505,2615200.250000000000000,2776782.799999999813735,2619191.260000000242144,2590578.600000000093132,10601752.910000000149012
20170508,2629476.600000000093132,2782183.439999999944121,2616913.720000000204891,2585796.500000000000000,10614370.259999999776483
20170509,2642056.750000000000000,2784498.000000000000000,2620709.620000000577420,2588046.899999999906868,10635311.270000001415610
20170510,2589333.200000000186265,2787584.080000000074506,2630958.550000000279397,2595079.399999999906868,10602955.230000000447035
20170511,2600075.799999999813735,2781604.799999999813735,2598693.399999999906868,2590859.899999999906868,10571233.900000000372529
20170512,2590322.649999999906868,2803786.000000000000000,2595656.680000000167638,2608581.799999999813735,10598347.129999998956919
20170515,2578166.549999999813735,2821530.959999999962747,2597554.630000000353903,2622646.799999999813735,10619898.940000001341105
20170516,2582548.399999999906868,2841011.839999999850988,2634754.450000000186265,2620396.399999999906868,10678711.089999999850988
20170517,2527139.199999999720603,2824038.399999999906868,2561493.580000000540167,2581295.700000000186265,10493966.879999998956919
20170518,2507632.899999999906868,2835611.199999999720603,2570224.149999999906868,2579889.199999999720603,10493357.449999999254942
20170519,2555126.500000000000000,2857599.520000000018626,2569464.970000000204891,2601549.299999999813735,10583740.289999999105930
20170522,2596259.349999999627471,2858371.039999999571592,2598313.810000000521541,2624897.200000000186265,10677841.399999998509884
20170523,2593715.049999999813735,2851234.479999999515712,2607044.380000000353903,2640368.699999999720603,10692362.609999999403954
20170524,2618592.649999999906868,2883638.319999999832362,2610460.689999999944121,2667092.200000000186265,10779783.859999999403954
20170525,2644318.349999999627471,2889038.959999999962747,2642725.840000000316650,2673562.100000000093132,10849645.250000000000000
20170526,2637533.549999999813735,2890582.000000000000000,2655631.899999999906868,2663154.000000000000000,10846901.449999999254942
20170530,2641632.699999999720603,2891932.160000000149012,2672713.450000000186265,2664560.500000000000000,10870838.809999998658895
20170531,2652233.949999999720603,2910448.639999999664724,2651076.820000000298023,2678906.799999999813735,10892666.210000000894070
20170601,2647852.099999999627471,2939380.639999999664724,2660946.160000000149012,2683688.899999999906868,10931867.799999998882413
20170602,2688984.949999999720603,2965419.439999999944121,2723958.100000000558794,2704786.399999999906868,11083148.890000000596046
20170605,2670892.149999999906868,2947095.839999999850988,2743696.780000000260770,2716038.399999999906868,11077723.169999999925494
20170606,2639795.149999999906868,2917006.559999999590218,2752806.939999999944121,2694659.600000000093132,11004268.249999998137355
20170607,2658877.399999999906868,2930701.039999999571592,2747872.270000000484288,2703098.600000000093132,11040549.310000000521541
20170608,2684744.450000000186265,2920864.160000000149012,2731170.310000000521541,2703098.600000000093132,11039877.520000001415610
20170609,2686157.949999999720603,2921828.559999999590218,2669297.140000000130385,2660059.700000000186265,10937343.350000001490116
20170612,2685733.899999999906868,2863771.679999999701977,2648799.280000000260770,2630241.899999999906868,10828546.759999999776483
20170613,2701141.049999999813735,2889810.479999999515712,2681823.610000000335276,2674687.299999999813735,10947462.439999999478459
20170614,2719375.199999999720603,2906398.160000000149012,2667399.189999999944121,2681438.499999999534339,10974611.049999998882413
20170615,2762769.649999999906868,2915849.279999999795109,2653354.360000000335276,2649089.000000000000000,10981062.289999999105930
20170616,2776763.299999999813735,2931665.439999999944121,2657150.260000000242144,2649089.000000000000000,11014668.000000000000000
20170619,2814079.700000000186265,2953846.639999999664724,2690174.590000000316650,2666529.600000000093132,11124630.529999999329448
20170620,2803478.450000000186265,2971784.479999999515712,2653733.950000000186265,2654996.299999999813735,11083993.179999999701977
20170621,2815351.849999999627471,2965226.559999999590218,2667399.189999999944121,2659497.100000000093132,11107474.699999999254942
20170622,2819168.299999999813735,2985864.720000000204891,2667019.600000000558794,2642900.399999999906868,11114953.020000001415610
20170623,2858604.949999999720603,2982778.639999999664724,2703080.649999999906868,2688752.299999999813735,11233216.539999999105930
20170626,2826801.199999999720603,2969662.799999999813735,2677268.530000000260770,2678625.500000000000000,11152358.030000001192093
20170627,2811394.049999999813735,2965033.679999999701977,2627162.649999999906868,2669623.899999999906868,11073214.279999999329448
20170628,2821712.600000000093132,2976220.720000000204891,2649558.459999999962747,2707036.799999999813735,11154528.580000001937151
20170629,2791181.000000000000000,2953653.759999999776483,2599832.169999999925494,2656121.500000000000000,11000788.429999999701977
20170630,2795280.149999999906868,2954232.399999999906868,2616534.130000000353903,2638118.299999999813735,11004164.980000000447035
20170703,2807153.549999999813735,2941502.319999999832362,2587685.290000000502914,2626022.399999999906868,10962363.560000000521541
20170705,2852668.250000000000000,2952496.479999999515712,2622227.979999999981374,2644588.200000000186265,11071980.910000000149012
20170706,2848003.699999999720603,2952882.239999999757856,2602868.890000000130385,2623209.399999999906868,11026964.230000000447035
20170707,2860583.850000000093132,3014218.080000000074506,2636652.399999999906868,2642056.500000000000000,11153510.830000000074506
20170710,2883058.500000000000000,2999752.080000000074506,2656391.080000000540167,2674968.600000000093132,11214170.259999999776483
20170711,2915710.350000000093132,2987986.399999999906868,2656770.669999999925494,2683970.199999999720603,11244437.619999999180436
20170712,2918113.299999999813735,3020197.359999999869615,2700803.110000000335276,2705630.300000000279397,11344744.070000000298023
20170713,2915144.949999999720603,2990493.839999999850988,2724337.689999999944121,2698879.099999999627471,11328855.579999998211861
20170714,2947372.750000000000000,2995122.959999999962747,2762676.280000000260770,2726727.800000000279397,11431899.790000000968575
20170717,2954298.899999999906868,2994737.199999999720603,2784312.910000000149012,2723914.799999999813735,11457263.809999998658895
20170718,2943556.299999999813735,2969662.799999999813735,2782414.959999999962747,2745012.299999999813735,11440646.359999999403954
20170719,2980872.699999999720603,2968312.639999999664724,2803672.000000000000000,2763859.399999999906868,11516716.740000000223517
20170720,2972391.699999999720603,2974484.799999999813735,2817337.240000000223517,2759921.199999999720603,11524134.939999999478459
20170721,2998682.799999999813735,2968891.279999999795109,2801014.870000000577420,2801834.899999999906868,11570423.850000001490116
20170724,2999248.200000000186265,2928965.119999999646097,2793802.660000000149012,2823495.000000000000000,11545510.980000000447035
20170725,3003206.000000000000000,3068224.479999999515712,2816198.470000000204891,2812805.599999999627471,11700434.549999998882413
20170726,3299899.649999999906868,3018847.199999999720603,2810884.209999999962747,2836997.399999999906868,11966628.459999999031425
20170727,3406618.899999999906868,3027333.919999999459833,2777100.700000000186265,2800990.999999999534339,12012044.519999999552965
20170728,3410435.350000000093132,3006117.119999999646097,2772545.620000000577420,2789176.399999999906868,11978274.490000000223517
20170731,3427256.000000000000000,2992422.639999999664724,2759639.560000000521541,2800709.700000000186265,11980027.899999998509884
