代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13560384.820000000298023
真實報酬,3560384.820000000298023

夏普值報酬,0.347338482000000
夏普值風險,0.088938640830125
夏普值,3.905372049292112

預期報酬,12744.385345800415962
風險,388828.156887635472231
趨勢值,0.032776395227682
找到最佳解世代,3132
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](2),UNH[23](7),
Stock#,AAPL[0](1),MCD[15](2),UNH[23](7),
張數,116713,52700,116265,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.720000000204891,58.000000000000000,15.449999999720603,
20091201,3284313.540000000502914,3348616.000000000000000,3336820.949999999720603,9969751.490000000223517
20091202,3271475.110000000335276,3293808.000000000000000,3289152.299999999813735,9854436.410000000149012
20091203,3276143.630000000353903,3265877.000000000000000,3177537.899999999441206,9719559.530000001192093
20091204,3223622.780000000260770,3245851.000000000000000,3192652.349999999627471,9662127.129999998956919
20091207,3150093.589999999850988,3263769.000000000000000,3290314.949999999720603,9704178.539999999105930
20091208,3165266.280000000260770,3194205.000000000000000,3308917.349999999627471,9668389.629999998956919
20091209,3298319.100000000558794,3193678.000000000000000,3313567.949999999720603,9805566.050000000745058
20091210,3274976.500000000000000,3217393.000000000000000,3524007.599999999627471,10016378.099999999627471
20091211,3245798.250000000000000,3249540.000000000000000,3543772.649999999906868,10039111.900000000372529
20091214,3284313.540000000502914,3274836.000000000000000,3598417.199999999720603,10157567.740000000223517
20091215,3237628.339999999850988,3267458.000000000000000,3641435.249999999534339,10146522.589999999850988
20091216,3251633.899999999906868,3289592.000000000000000,3743748.450000000186265,10284975.350000001490116
20091217,3199113.050000000279397,3263242.000000000000000,3699567.749999999534339,10161923.800000000745058
20091218,3258636.680000000633299,3276417.000000000000000,3667013.549999999813735,10202068.230000000447035
20091221,3305321.880000000353903,3302240.000000000000000,3740260.500000000000000,10347823.380000000819564
20091222,3340335.780000000260770,3318577.000000000000000,3757700.249999999534339,10416614.029999999329448
20091223,3369514.030000000260770,3339130.000000000000000,3676314.750000000000000,10384959.780000001192093
20091224,3485059.899999999906868,3342292.000000000000000,3683290.649999999906868,10510643.550000000745058
20091228,3528243.710000000428408,3352305.000000000000000,3649573.799999999813735,10530123.510000001639128
20091229,3486227.030000000260770,3351251.000000000000000,3586790.699999999720603,10424269.730000000447035
20091230,3528243.710000000428408,3314361.000000000000000,3605393.100000000093132,10447998.810000000521541
20091231,3513071.020000000484288,3290646.000000000000000,3543772.649999999906868,10347490.669999999925494
20100104,3567926.130000000353903,3308564.000000000000000,3665850.899999999906868,10542342.030000001192093
20100105,3574928.910000000149012,3283268.000000000000000,3660037.649999999906868,10518235.560000000521541
20100106,3517739.540000000502914,3238473.000000000000000,3696079.799999999813735,10452293.339999999850988
20100107,3510736.759999999776483,3262188.000000000000000,3837923.099999999627471,10610848.859999999403954
20100108,3534079.360000000335276,3259026.000000000000000,3801880.950000000186265,10594987.310000000521541
20100111,3503733.979999999981374,3284322.000000000000000,3827459.250000000000000,10615516.230000000447035
20100112,3462884.430000000633299,3302240.000000000000000,3726308.699999999254942,10491434.129999998956919
20100113,3511903.890000000130385,3298551.000000000000000,3783278.549999999813735,10593734.440000001341105
20100114,3492062.680000000633299,3301713.000000000000000,3873965.249999999534339,10667741.929999999701977
20100115,3433706.180000000633299,3282214.000000000000000,3923959.199999999720603,10639880.380000000819564
20100119,3585433.080000000074506,3345454.000000000000000,4084404.899999999906868,11015292.980000000447035
20100120,3530577.970000000204891,3320685.000000000000000,4016971.199999999254942,10868235.169999999925494
20100121,3468720.080000000074506,3330698.000000000000000,3848386.949999999720603,10647806.029999999329448
20100122,3297151.970000000204891,3340711.000000000000000,3855362.849999999161810,10493226.820000000298023
20100125,3385853.850000000558794,3324901.000000000000000,3836760.449999999720603,10547516.300000000745058
20100126,3433706.180000000633299,3362845.000000000000000,3771652.049999999348074,10568204.230000000447035
20100127,3466385.820000000298023,3358629.000000000000000,3864664.049999999813735,10689679.870000001043081
20100128,3322828.830000000074506,3311199.000000000000000,3886754.399999999906868,10520783.230000000447035
20100129,3202614.440000000409782,3290119.000000000000000,3836760.449999999720603,10329494.890000000596046
20100201,3246965.380000000353903,3367061.000000000000000,3851874.899999999906868,10465902.280000001192093
20100202,3265639.460000000428408,3374439.000000000000000,3958838.699999999254942,10598918.160000000149012
20100203,3321661.700000000186265,3436624.999999999534339,3873965.249999999534339,10632252.949999999254942
20100204,3202614.440000000409782,3376020.000000000000000,3773977.349999999627471,10352612.789999999105930
20100205,3258636.680000000633299,3339657.000000000000000,3783278.549999999813735,10381573.230000000447035
20100208,3236461.210000000428408,3315942.000000000000000,3768164.099999999161810,10320568.310000000521541
20100209,3271475.110000000335276,3350197.000000000000000,3836760.449999999720603,10458433.560000000521541
20100210,3252801.030000000260770,3333333.000000000000000,3803043.599999999627471,10389178.629999998956919
20100211,3312324.660000000149012,3361791.000000000000000,3850712.249999999534339,10524828.910000000149012
20100212,3341502.910000000149012,3351251.000000000000000,3741423.149999999906868,10434178.060000000521541
20100216,3391689.500000000000000,3373385.000000000465661,3677477.399999999441206,10442552.899999998509884
20100217,3377683.940000000409782,3386560.000000000465661,3784441.199999999254942,10548686.140000000596046
20100218,3383519.589999999850988,3398154.000000000000000,3800718.299999999348074,10582392.889999998733401
20100219,3362511.250000000000000,3411855.999999999534339,3713519.549999999813735,10487887.800000000745058
20100222,3341502.910000000149012,3413437.000000000000000,3846061.649999999441206,10601002.559999998658895
20100223,3285480.669999999925494,3418707.000000000465661,3814670.100000000093132,10518858.769999999552965
20100224,3346171.430000000633299,3439260.000000000465661,3908844.749999999534339,10694277.180000001564622
20100225,3368346.899999999906868,3392883.999999999534339,3889079.700000000186265,10650311.599999999627471
20100226,3411530.710000000428408,3364953.000000000000000,3936748.349999999627471,10713233.060000000521541
20100301,3485059.899999999906868,3371804.000000000000000,3957676.049999999813735,10814540.949999999254942
20100302,3482725.640000000130385,3376546.999999999534339,3947212.200000000186265,10806485.839999999850988
20100303,3489728.419999999925494,3353359.000000000000000,3964651.949999999720603,10807740.369999999180436
20100304,3513071.020000000484288,3342819.000000000000000,3830947.200000000186265,10686838.220000000670552
20100305,3650792.360000000335276,3355467.000000000000000,3922796.549999999813735,10929056.910000000149012
20100308,3653126.620000000111759,3431882.000000000465661,3848386.949999999720603,10933396.570000000298023
20100309,3718485.899999999906868,3430827.999999999534339,3846061.649999999441206,10995376.549999998882413
20100310,3748831.279999999795109,3422396.000000000000000,3864664.049999999813735,11035892.329999998211861
20100311,3759335.450000000186265,3436624.999999999534339,3894892.949999999720603,11090854.399999998509884
20100312,3778009.529999999795109,3453489.000000000000000,3826296.599999999161810,11057796.129999998956919
20100315,3732491.460000000428408,3474569.000000000465661,3782115.899999999906868,10989177.360000001266599
20100316,3741828.500000000465661,3481946.999999999534339,3842573.699999999254942,11066350.199999999254942
20100317,3737159.980000000447035,3498283.999999999534339,3807694.199999999720603,11043139.179999999701977
20100318,3745329.890000000596046,3514094.000000000465661,3905356.800000000279397,11164781.690000001341105
20100319,3705647.470000000204891,3506189.000000000000000,3998368.799999999813735,11210206.269999999552965
20100322,3747664.149999999906868,3531485.000000000465661,3871639.949999999254942,11150790.099999999627471
20100323,3807187.779999999795109,3549402.999999999534339,3855362.849999999161810,11211954.629999998956919
20100324,3824694.730000000447035,3520418.000000000000000,3804206.249999999534339,11149319.980000000447035
20100325,3779176.660000000614673,3525688.000000000465661,3850712.249999999534339,11155577.910000000149012
20100326,3850371.590000000316650,3544660.000000000465661,3793742.399999999906868,11188774.990000000223517
20100329,3874881.320000000763685,3534646.999999999534339,3818158.050000000279397,11227687.370000001043081
20100330,3932070.689999999944121,3543605.999999999534339,3843736.350000000093132,11319414.039999999105930
20100331,3918065.130000000353903,3516202.000000000000000,3798393.000000000000000,11232661.130000000819564
20100401,3934404.950000000186265,3561524.000000000000000,3835597.799999999813735,11331527.750000000000000
20100405,3976421.630000000353903,3585239.000000000000000,3853037.549999999813735,11414699.179999999701977
20100406,3993928.580000000074506,3573645.000000000000000,3884429.099999999161810,11452003.679999999701977
20100407,4011435.529999999795109,3567848.000000000000000,3828621.899999999906868,11407906.429999999701977
20100408,4000931.360000000335276,3623710.000000000465661,3792579.749999999534339,11417222.110000001266599
20100409,4031276.740000000223517,3619494.000000000465661,3750724.349999999627471,11401496.089999999850988
20100412,4039446.649999999906868,3611589.000000000000000,3750724.349999999627471,11401761.000000000000000
20100413,4041780.910000000614673,3632142.000000000000000,3739097.849999999161810,11413021.759999999776483
20100414,4096636.020000000484288,3658492.000000000000000,3610043.699999999720603,11365172.720000000670552
20100415,4150324.000000000465661,3644790.000000000000000,3561212.399999999441206,11356327.399999998509884
20100416,4124647.140000000596046,3637939.000000000000000,3572838.899999999906868,11335426.040000000968575
20100419,4119978.619999999646097,3684842.000000000000000,3630971.399999999906868,11435793.019999999552965
20100420,4077961.939999999944121,3706976.000000000000000,3601905.149999999906868,11386844.089999999850988
20100421,4321892.110000001266599,3708030.000000000000000,3518194.350000000093132,11548117.460000000894070
20100422,4443273.630000000819564,3743339.000000000000000,3541447.349999999627471,11728060.980000000447035
20100423,4515635.689999999478459,3749663.000000000465661,3598417.199999999720603,11863716.889999998733401
20100426,4493460.220000000670552,3742812.000000000000000,3470525.699999999720603,11706798.919999999925494
20100427,4368577.310000000521541,3716989.000000000000000,3464712.449999999720603,11550279.759999999776483
20100428,4361574.529999999329448,3706976.000000000000000,3539122.049999999813735,11607673.579999998211861
20100429,4479454.660000000149012,3769162.000000000000000,3639109.949999999720603,11887727.609999999403954
20100430,4353404.619999999180436,3720151.000000000000000,3524007.599999999627471,11597564.219999998807907
20100503,4440939.369999999180436,3763892.000000000000000,3518194.350000000093132,11723026.719999998807907
20100504,4312555.070000000298023,3722786.000000000000000,3428670.299999999348074,11464012.369999999180436
20100505,4268204.130000000819564,3723840.000000000000000,3487965.449999999720603,11480010.580000000074506
20100506,4105973.060000000055879,3658492.000000000000000,3399604.049999999348074,11164070.109999999403954
20100507,3932070.689999999944121,3584185.000000000465661,3374025.749999999534339,10890282.439999999478459
20100510,4234357.360000001266599,3719624.000000000000000,3474013.649999999441206,11427996.010000001639128
20100511,4277541.169999999925494,3714354.000000000000000,3470525.699999999720603,11462421.869999999180436
20100512,4369744.439999999478459,3724367.000000000000000,3525170.249999999534339,11619282.689999999478459
20100513,4307886.549999998882413,3715408.000000000000000,3508893.149999999906868,11532188.699999999254942
20100514,4232023.099999999627471,3667451.000000000000000,3533308.799999999813735,11432783.899999998509884
20100517,4239025.880000000819564,3696436.000000000000000,3539122.049999999813735,11474584.929999999701977
20100518,4207513.369999999180436,3690112.000000000000000,3508893.149999999906868,11406519.519999999552965
20100519,4140986.959999999962747,3657438.000000000465661,3486802.799999999348074,11285228.759999999776483
20100520,3964750.330000000074506,3565740.000000000000000,3367049.849999999627471,10897541.179999999701977
20100521,4040613.779999999795109,3576280.000000000000000,3336820.949999999720603,10953715.729999998584390
20100524,4114142.970000000204891,3565740.000000000000000,3351935.399999999441206,11031819.370000001043081
20100525,4088466.110000000335276,3575226.000000000000000,3356586.000000000000000,11020279.109999999403954
20100526,4069792.029999999795109,3478785.000000000465661,3347284.799999999813735,10895862.830000000074506
