代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14094550.240000000223517
真實報酬,4094550.240000000223517

夏普值報酬,0.400755024000000
夏普值風險,0.107766355556975
夏普值,3.718739693188628

預期報酬,15969.722437063581310
風險,319868.756873928476125
趨勢值,0.049925858946448
找到最佳解世代,1656
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
Stock#,MCD[15](1),V[25](2),
張數,63848,256016,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,63.120000000111759,7.519999999552965,
20110502,5021069.839999999850988,5066564.159999999217689,10087634.000000000000000
20110503,5040224.240000000223517,5120327.519999999552965,10160551.759999999776483
20110504,5048524.479999999515712,5104966.559999999590218,10153491.039999999105930
20110505,5018515.919999999925494,5038402.399999999441206,10056918.320000000298023
20110506,5024900.720000000670552,5081925.120000000111759,10106825.839999999850988
20110509,5063848.000000000000000,5112647.039999999105930,10176495.039999999105930
20110510,5089387.199999999254942,5143368.959999999962747,10232756.160000000149012
20110511,5076617.600000000558794,5079364.959999999962747,10155982.560000000521541
20110512,5150042.799999999813735,5115207.199999999254942,10265250.000000000000000
20110513,5155150.639999999664724,5115207.199999999254942,10270357.839999999850988
20110516,5180689.839999999850988,5117767.359999999403954,10298457.199999999254942
20110517,5167281.760000000707805,5158729.919999998994172,10326011.679999999701977
20110518,5203675.120000000111759,5120327.519999999552965,10324002.640000000596046
20110519,5268161.600000000558794,5097286.079999999143183,10365447.679999999701977
20110520,5256668.959999999962747,5007680.479999999515712,10264349.439999999478459
20110523,5267523.120000000111759,4923195.199999999254942,10190718.320000000298023
20110524,5276461.839999999850988,4966717.919999998994172,10243179.759999997913837
20110525,5281569.679999999701977,5040962.559999999590218,10322532.239999998360872
20110526,5263053.760000000707805,5074244.639999999664724,10337298.400000000372529
20110527,5211336.880000000819564,5107526.719999999739230,10318863.600000001490116
20110531,5206229.040000000968575,5189451.839999999850988,10395680.880000000819564
20110601,5170474.160000000149012,5069124.319999999366701,10239598.480000000447035
20110602,5155789.120000000111759,5166410.399999999441206,10322199.519999999552965
20110603,5142381.040000000968575,5064004.000000000000000,10206385.040000000968575
20110606,5152596.720000000670552,5005120.319999999366701,10157717.039999999105930
20110607,5180689.839999999850988,5107526.719999999739230,10288216.559999998658895
20110608,5181328.320000000298023,4910394.399999999441206,10091722.719999998807907
20110609,5188351.600000000558794,4892473.279999999329448,10080824.879999998956919
20110610,5130888.400000000372529,4779826.240000000223517,9910714.640000000596046
20110613,5154512.160000000149012,4792627.039999999105930,9947139.199999999254942
20110614,5201759.679999999701977,4859191.199999999254942,10060950.879999998956919
20110615,5187074.639999999664724,4790066.879999999888241,9977141.519999999552965
20110616,5223468.000000000000000,4792627.039999999105930,10016095.039999999105930
20110617,5268800.080000000074506,4764465.279999999329448,10033265.359999999403954
20110620,5279654.240000000223517,4738863.679999999701977,10018517.919999999925494
20110621,5286677.519999999552965,4800307.519999999552965,10086985.039999999105930
20110622,5277100.320000000298023,4779826.240000000223517,10056926.560000000521541
20110623,5254115.040000000968575,4820788.799999998882413,10074903.839999999850988
20110624,5225383.440000000409782,4695340.959999999962747,9920724.400000000372529
20110627,5256030.479999999515712,4728623.039999999105930,9984653.519999999552965
20110628,5385641.919999999925494,4818228.639999999664724,10203870.559999998658895
20110629,5399688.479999999515712,5540193.759999999776483,10939882.239999998360872
20110630,5383726.479999999515712,5394264.639999999664724,10777991.119999999180436
20110701,5468644.320000000298023,5629799.359999999403954,11098443.679999999701977
20110705,5468005.839999999850988,5652840.799999998882413,11120846.639999998733401
20110706,5482052.400000000372529,5645160.319999999366701,11127212.719999998807907
20110707,5494822.000000000000000,5770608.159999999217689,11265430.160000000149012
20110708,5465451.919999999925494,5742446.399999999441206,11207898.320000000298023
20110711,5449489.919999999925494,5627239.199999999254942,11076729.119999999180436
20110712,5426504.639999999664724,5614438.399999999441206,11040943.039999999105930
20110713,5424589.199999999254942,5681002.559999999590218,11105591.759999997913837
20110714,5478860.000000000000000,5629799.359999999403954,11108659.359999999403954
20110715,5457790.160000000149012,5681002.559999999590218,11138792.719999998807907
20110718,5452682.320000000298023,5637479.839999999850988,11090162.160000000149012
20110719,5504399.199999999254942,5709164.319999999366701,11213563.519999999552965
20110720,5508230.080000000074506,5673322.079999999143183,11181552.160000000149012
20110721,5525469.040000000968575,5634919.679999999701977,11160388.720000000670552
20110722,5654442.000000000000000,5729645.599999999627471,11384087.599999999627471
20110725,5626348.880000000819564,5701483.839999999850988,11327832.720000000670552
20110726,5619964.080000000074506,5709164.319999999366701,11329128.399999998509884
20110727,5560585.440000000409782,5616998.559999999590218,11177584.000000000000000
20110728,5540792.560000000521541,5563235.199999999254942,11104027.759999999776483
20110729,5521638.160000000149012,5476189.759999999776483,10997827.919999999925494
20110801,5515891.839999999850988,5483870.240000000223517,10999762.080000000074506
20110802,5430974.000000000000000,5348181.759999999776483,10779155.759999999776483
20110803,5461621.040000000968575,5599077.439999999478459,11060698.480000000447035
20110804,5381172.560000000521541,5440347.519999999552965,10821520.080000000074506
20110805,5432250.959999999962747,5337941.120000000111759,10770192.080000000074506
20110808,5242622.400000000372529,5071684.479999999515712,10314306.879999998956919
20110809,5488437.199999999254942,5296978.559999999590218,10785415.759999997913837
