代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14162889.100000001490116
真實報酬,4162889.100000001490116

夏普值報酬,0.407588910000000
夏普值風險,0.103497874509274
夏普值,3.938137975611054

預期報酬,16357.281552962744172
風險,275933.863854326948058
趨勢值,0.059279717699304
找到最佳解世代,3104
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
MSFT[18](2),V[25](1),
Stock#,MSFT[18](2),V[25](1),
張數,68775,50220,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,57.500000000000000,96.799999999813735,
20170801,4991747.000000000000000,5065788.200000000186265,10057535.199999999254942
20170802,4969739.000000000000000,5086378.399999999441206,10056117.399999998509884
20170803,4962173.750000000000000,5051726.599999999627471,10013900.349999999627471
20170804,4998624.500000000931323,5066792.599999999627471,10065417.100000001490116
20170807,4979367.500000000000000,5096924.599999999627471,10076292.099999999627471
20170808,5006189.750000000000000,5086378.399999999441206,10092568.149999998509884
20170809,4984181.750000000000000,5070810.200000000186265,10054991.949999999254942
20170810,4911280.250000000000000,4996484.599999999627471,9907764.849999999627471
20170811,4986245.000000000000000,5026616.599999999627471,10012861.599999999627471
20170814,5061209.750000000000000,5116008.200000000186265,10177217.949999999254942
20170815,5035763.000000000000000,5154175.399999999441206,10189938.399999998509884
20170816,5065336.250000000000000,5188827.199999999254942,10254163.449999999254942
20170817,4979367.500000000000000,5130572.000000000000000,10109939.500000000000000
20170818,4985557.250000000000000,5148149.000000000000000,10133706.250000000000000
20170821,4962173.750000000000000,5183805.200000000186265,10145978.949999999254942
20170822,5031636.500000000000000,5226492.199999999254942,10258128.699999999254942
20170823,5001375.500000000000000,5181796.400000000372529,10183171.900000000372529
20170824,4999312.250000000000000,5183805.200000000186265,10183117.449999999254942
20170825,5008252.999999999068677,5190333.799999999813735,10198586.799999998882413
20170828,5008940.750000000000000,5211928.399999999441206,10220869.149999998509884
