訓練日期,20110928 - 20111229
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11964757.349999999627471
真實報酬,1964757.349999999627471

夏普值報酬,0.187775735000000
夏普值風險,0.053261308659509
夏普值,3.525556163113092

預期報酬,29885.978088720421511
風險,202057.752650257083587
趨勢值,0.147908099029737
找到最佳解世代,2313
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),WMT[28](3),
Stock#,HD[9](1),WMT[28](3),
張數,147579,96098,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.479999999515712,21.059999999590218,
20110928,4958677.879999999888241,4930809.439999999478459,9889487.320000000298023
20110929,4986717.889999999664724,4990390.199999999254942,9977108.089999999850988
20110930,4850945.209999999031425,4987507.259999999776483,9838452.469999998807907
20111003,4662044.089999999850988,4993273.139999999664724,9655317.230000000447035
20111004,4791913.609999999403954,5081683.299999999813735,9873596.910000000149012
20111005,4845042.049999998882413,5059580.759999999776483,9904622.809999998658895
20111006,4926210.500000000000000,5069190.559999999590218,9995401.059999998658895
20111007,5005903.160000000149012,5160483.660000000149012,10166386.820000000298023
20111010,5115111.619999999180436,5267152.439999999478459,10382264.059999998658895
20111011,5122490.569999999366701,5258503.619999999180436,10380994.189999997615814
20111012,5123966.359999999403954,5304630.660000000149012,10428597.019999999552965
20111013,5078216.869999999180436,5287333.019999999552965,10365549.889999998733401
20111014,5172667.429999998770654,5329616.139999999664724,10502283.569999998435378
20111017,5113635.829999999143183,5264269.500000000000000,10377905.329999998211861
20111018,5305488.530000000260770,5370938.279999999329448,10676426.809999998658895
20111019,5224320.079999999143183,5405533.559999999590218,10629853.639999998733401
20111020,5273021.149999999441206,5417065.319999999366701,10690086.469999998807907
20111021,5439785.419999998994172,5469919.219999999739230,10909704.639999998733401
20111024,5416172.780000000260770,5456465.500000000000000,10872638.280000001192093
20111025,5318770.639999999664724,5449738.639999999664724,10768509.279999999329448
20111026,5394035.929999998770654,5513163.319999999366701,10907199.249999998137355
20111027,5515050.709999999031425,5555446.439999999478459,11070497.149999998509884
20111028,5330576.959999999031425,5492021.759999999776483,10822598.719999998807907
20111031,5283351.679999998770654,5450699.619999999180436,10734051.299999997019768
20111101,5244981.139999999664724,5403611.599999999627471,10648592.739999998360872
20111102,5311391.689999999478459,5464153.339999999850988,10775545.029999999329448
20111103,5379278.030000000260770,5517968.219999999739230,10897246.250000000000000
20111104,5370423.290000000037253,5525656.059999999590218,10896079.349999999627471
20111107,5510623.339999999850988,5567939.179999999701977,11078562.519999999552965
20111108,5599170.739999999292195,5700554.419999999925494,11299725.160000000149012
20111109,5484059.119999999180436,5578509.959999999031425,11062569.079999998211861
20111110,5489962.280000000260770,5586197.799999999813735,11076160.080000000074506
20111111,5616880.219999999739230,5689022.660000000149012,11305902.879999998956919
20111114,5644920.229999999515712,5659232.279999999329448,11304152.509999997913837
20111115,5618356.009999999776483,5521812.139999999664724,11140168.149999998509884
20111116,5584412.839999999850988,5446855.699999999254942,11031268.539999999105930
20111117,5551945.459999999031425,5451660.599999999627471,11003606.059999998658895
20111118,5590316.000000000000000,5499709.599999999627471,11090025.599999999627471
20111121,5469301.219999999739230,5444933.739999999292195,10914234.959999999031425
20111122,5475204.379999999888241,5463192.359999999403954,10938396.739999998360872
20111123,5389608.559999999590218,5443011.779999999329448,10832620.339999999850988
20111125,5382229.609999999403954,5467036.279999999329448,10849265.889999998733401
20111128,5504720.179999998770654,5501631.559999999590218,11006351.739999998360872
20111129,5749701.319999999366701,5590041.719999999739230,11339743.039999999105930
20111130,5788071.859999999403954,5660193.259999999776483,11448265.119999999180436
20111201,5805781.339999999850988,5632324.839999999850988,11438106.179999999701977
20111202,5894328.739999999292195,5582353.879999999888241,11476682.619999999180436
20111205,5937126.649999999441206,5606378.379999999888241,11543505.029999999329448
20111206,5950408.759999999776483,5648661.500000000000000,11599070.259999999776483
20111207,6010916.149999999441206,5622715.039999999105930,11633631.189999997615814
20111208,5889901.369999999180436,5571783.099999999627471,11461684.469999998807907
20111209,5937126.649999999441206,5604456.419999999925494,11541583.070000000298023
20111212,5910562.429999998770654,5582353.879999999888241,11492916.309999998658895
20111213,5830869.769999999552965,5535265.859999999403954,11366135.629999998956919
20111214,5776265.540000000037253,5540070.759999999776483,11316336.300000000745058
20111215,5817587.660000000149012,5568900.160000000149012,11386487.820000000298023
20111216,5965166.660000000149012,5599651.519999999552965,11564818.179999999701977
20111219,5932699.280000000260770,5552563.500000000000000,11485262.780000001192093
20111220,6190962.530000000260770,5688061.679999999701977,11879024.210000000894070
20111221,6198341.479999999515712,5707281.279999999329448,11905622.759999997913837
20111222,6186535.160000000149012,5688061.679999999701977,11874596.839999999850988
20111223,6211623.589999999850988,5764940.080000000074506,11976563.669999999925494
20111227,6230808.859999999403954,5749564.399999999441206,11980373.259999997913837
20111228,6128979.349999999627471,5739954.599999999627471,11868933.949999999254942
20111229,6199817.269999999552965,5764940.080000000074506,11964757.349999999627471
