訓練日期,20190719 - 20191018
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10733160.250000000000000
真實報酬,733160.250000000000000

夏普值報酬,0.064616025000000
夏普值風險,0.025228591734442
夏普值,2.561222032531751

預期報酬,11853.458385843157885
風險,120613.808118915927480
趨勢值,0.098276130823733
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),KO[14](4),PG[21](2),
Stock#,AAPL[0](1),KO[14](4),PG[21](2),
張數,16207,64065,28875,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,201.379999999888241,31.049999999813735,3.000000000000000,
20190719,3283577.509999999776483,3292331.399999999906868,3320916.750000000000000,9896826.660000000149012
20190722,3358615.919999999925494,3281440.349999999627471,3329290.500000000000000,9969347.769999999552965
20190723,3384871.259999999776483,3480682.499999999534339,3287421.750000000000000,10152976.509999999776483
20190724,3382116.069999999832362,3445446.750000000000000,3251328.000000000000000,10078891.820000000298023
20190725,3355374.520000000018626,3399960.599999999627471,3256236.750000000000000,10011572.869999999180436
20190726,3367043.560000000055879,3470432.100000000093132,3312831.750000000000000,10150308.410000000149012
20190729,3398485.140000000130385,3458900.399999999906868,3349503.000000000000000,10206889.539999999105930
20190730,3383898.839999999850988,3441602.849999999627471,3476841.750000000000000,10302344.439999999478459
20190731,3452940.659999999683350,3371772.000000000000000,3408408.000000000000000,10233121.660000000149012
20190801,3378226.390000000130385,3333333.000000000000000,3370581.750000000000000,10082142.140000000596046
20190802,3306753.520000000018626,3352552.499999999534339,3362208.000000000000000,10021515.019999999552965
20190805,3133662.759999999776483,3308988.299999999813735,3265188.000000000000000,9707840.059999998658895
20190806,3192980.379999999888241,3348708.600000000093132,3299838.000000000000000,9841527.980000000447035
20190807,3226042.659999999683350,3407007.750000000000000,3335643.000000000000000,9968694.410000000149012
20190808,3297191.390000000130385,3439680.899999999441206,3391083.000000000000000,10127956.289999999105930
20190809,3257646.310000000055879,3422383.350000000093132,3372025.500000000000000,10052056.160000000149012
20190812,3249380.739999999757856,3408289.049999999813735,3350369.250000000000000,10008040.039999999105930
20190813,3386978.169999999925494,3427508.549999999813735,3385596.750000000000000,10200084.469999998807907
20190814,3286170.629999999888241,3394835.399999999906868,3343439.250000000000000,10024446.279999999329448
20190815,3269801.560000000055879,3451212.599999999627471,3389639.250000000000000,10110654.410000000149012
20190816,3346946.879999999888241,3485807.699999999720603,3441325.500000000000000,10274081.080000000074506
20190819,3409343.829999999608845,3503745.899999999441206,3471933.000000000000000,10385023.729999998584390
20190820,3409505.899999999906868,3451853.250000000000000,3433240.500000000000000,10294600.650000000372529
20190821,3446457.859999999869615,3465947.549999999813735,3441903.000000000000000,10354309.410000000149012
20190822,3443540.600000000093132,3490932.899999999906868,3448255.500000000000000,10382730.000000000000000
20190823,3284387.859999999869615,3442884.149999999906868,3387618.000000000000000,10114891.009999999776483
20190826,3346784.810000000055879,3494136.149999999906868,3445368.000000000000000,10286289.960000000894070
20190827,3309022.500000000000000,3505667.849999999627471,3480884.250000000000000,10295575.599999999627471
20190828,3331226.089999999850988,3530653.199999999720603,3505428.000000000000000,10367308.289999999105930
20190829,3387626.449999999720603,3526809.299999999813735,3499075.500000000000000,10413512.250000000000000
20190830,3383250.560000000055879,3526168.649999999906868,3471644.250000000000000,10381064.460000000894070
20190903,3333981.279999999795109,3542825.549999999813735,3504273.000000000000000,10381080.830000000074506
20190904,3390543.709999999962747,3572936.100000000093132,3557691.750000000000000,10521172.560000000521541
20190905,3456830.339999999850988,3531293.849999999627471,3544698.000000000000000,10532823.189999999478459
20190906,3456506.199999999720603,3538340.999999999534339,3547874.250000000000000,10542722.449999999254942
20190909,3471254.569999999832362,3492854.850000000093132,3527661.750000000000000,10491772.169999999925494
20190910,3512258.279999999795109,3485167.049999999813735,3461538.000000000000000,10458964.330000000074506
20190911,3623924.509999999776483,3508871.100000000093132,3501674.250000000000000,10634470.859999999403954
20190912,3615821.009999999776483,3530653.199999999720603,3544986.750000000000000,10691461.959999999031425
20190913,3545482.629999999888241,3476197.949999999720603,3526218.000000000000000,10547899.580000000074506
20190916,3564120.680000000167638,3456978.449999999720603,3457784.250000000000000,10478884.379999998956919
20190917,3577086.279999999795109,3474916.649999999906868,3498498.000000000000000,10550501.929999999701977
20190918,3610634.770000000018626,3474275.999999999534339,3505716.750000000000000,10590628.519999999552965
20190919,3581300.100000000093132,3492854.850000000093132,3519865.500000000000000,10594021.449999999254942
20190920,3528951.489999999757856,3453775.199999999720603,3529683.000000000000000,10512410.689999999478459
20190923,3544996.419999999925494,3468510.149999999906868,3557980.500000000000000,10571488.070000000298023
20190924,3528141.140000000130385,3478760.549999999813735,3569241.750000000000000,10576144.439999999478459
20190925,3582434.589999999850988,3470432.100000000093132,3552205.500000000000000,10605073.189999999478459
20190926,3563958.609999999869615,3484526.399999999906868,3589454.250000000000000,10637940.259999999776483
20190927,3546617.119999999646097,3479401.200000000186265,3596961.750000000000000,10622981.070000000298023
20190930,3630083.169999999925494,3487729.649999999441206,3591475.500000000000000,10709289.320000000298023
20191001,3640131.509999999776483,3501183.299999999813735,3576171.750000000000000,10717487.559999998658895
20191002,3548886.100000000093132,3400601.249999999534339,3496188.000000000000000,10445676.349999999627471
20191003,3579031.119999999646097,3449290.649999999906868,3515245.500000000000000,10543568.269999999552965
