訓練日期,20190301 - 20190603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10925061.959999999031425
真實報酬,925061.959999999031425

夏普值報酬,0.083806196000000
夏普值風險,0.031253447361532
夏普值,2.681502460530217

預期報酬,16201.772097047982243
風險,84495.391865320110810
趨勢值,0.191747404673529
找到最佳解世代,3107
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](4),V[25](3),
Stock#,KO[14](1),TRV[22](4),V[25](3),
張數,73518,25079,22504,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.879999999888241,83.109999999869615,40.520000000018626,
20190301,3336273.720000000204891,3336342.479999999981374,3363713.399999999906868,10036330.599999999627471
20190304,3356123.579999999608845,3314272.959999999962747,3329732.360000000335276,10000129.899999998509884
20190305,3352447.680000000167638,3327815.619999999646097,3329507.319999999832362,10009771.619999999180436
20190306,3341419.979999999981374,3305495.310000000055879,3326356.760000000242144,9973273.050000000745058
20190307,3328921.919999999925494,3297720.820000000298023,3304302.840000000316650,9930946.580000000074506
20190308,3296574.000000000000000,3285933.689999999944121,3316004.919999999925494,9898513.609999999403954
20190311,3395088.119999999646097,3307250.839999999850988,3390718.199999999720603,10093058.159999998286366
20190312,3385530.779999999795109,3328567.989999999757856,3414572.439999999944121,10128672.209999999031425
20190313,3398028.839999999850988,3335590.109999999869615,3431225.399999999906868,10164845.349999999627471
20190314,3359799.479999999981374,3337094.850000000093132,3470157.319999999832362,10167052.650000000372529
20190315,3330392.279999999795109,3365183.330000000074506,3498512.360000000335276,10194088.969999998807907
20190318,3338479.259999999776483,3384243.369999999646097,3487260.360000000335276,10209983.989999998360872
20190319,3349506.959999999962747,3333834.580000000074506,3478933.879999999888241,10162276.419999999925494
20190320,3347301.419999999925494,3293708.180000000167638,3460030.520000000018626,10101041.119999999180436
20190321,3345831.059999999590218,3369948.339999999850988,3506163.720000000204891,10221944.119999999180436
20190322,3376708.619999999646097,3383240.209999999962747,3444727.799999999813735,10204677.629999998956919
20190325,3384060.419999999925494,3384494.159999999683350,3443827.640000000130385,10212383.220000000670552
20190326,3428906.399999999906868,3385246.529999999795109,3494911.720000000204891,10309065.650000000372529
20190327,3426700.859999999869615,3419604.759999999776483,3470607.399999999906868,10316914.019999999552965
20190328,3424495.319999999832362,3433398.209999999962747,3480734.199999999720603,10338628.729999998584390
20190329,3445080.359999999869615,3439918.750000000000000,3514940.279999999795109,10399940.389999998733401
