訓練日期,20160620 - 20160920
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11211669.350000001490116
真實報酬,1211669.350000001490116

夏普值報酬,0.112466935000000
夏普值風險,0.035938094306875
夏普值,3.129462960379740

預期報酬,19527.396684033526981
風險,126619.026933511166135
趨勢值,0.154221661285452
找到最佳解世代,2056
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),INTC[11](3),MRK[17](6),PG[21](1),V[25](10),
Stock#,AAPL[0](4),INTC[11](3),MRK[17](6),PG[21](1),V[25](10),
張數,20979,62972,35784,24058,25977,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,71.929999999934807,9.279999999795109,32.239999999990687,58.460000000195578,30.770000000018626,
20160620,1995174.829999999841675,2025818.520000000018626,2008946.000000000000000,1997834.780000000260770,2009091.950000000186265,10036866.080000000074506
20160621,2012167.819999999832362,2035264.319999999832362,2012882.239999999990687,2006736.240000000223517,2008832.179999999934807,10075882.800000000745058
20160622,2004615.379999999888241,2033375.159999999683350,2041151.599999999860302,2010585.520000000018626,1988050.580000000074506,10077778.240000000223517
20160623,2016153.829999999841675,2077455.559999999823049,2064053.359999999869615,2025982.640000000130385,2032211.480000000214204,10215856.870000001043081
20160624,1959510.530000000027940,1986775.879999999888241,1999642.160000000149012,1979069.540000000270084,1949604.619999999878928,9874602.730000000447035
20160627,1930979.090000000083819,1934509.119999999646097,1979245.280000000027940,1954289.800000000279397,1905183.950000000186265,9704207.240000002086163
20160628,1963496.540000000037253,1964105.959999999962747,1988906.959999999962747,1983881.140000000130385,1952462.089999999850988,9852852.689999999478459
20160629,1980489.530000000027940,2010705.239999999757856,2041509.439999999944121,2018765.240000000223517,1993505.750000000000000,10044975.199999999254942
20160630,2005664.329999999841675,2065490.879999999655411,2061548.479999999981374,2037049.320000000298023,1926744.860000000102445,10096497.869999999180436
20160701,2011748.239999999990687,2062342.279999999795109,2073357.199999999953434,2039695.700000000186265,1934797.730000000214204,10121941.150000000372529
20160705,1992867.139999999897555,2057934.239999999757856,2075504.239999999990687,2055573.980000000214204,1939733.360000000102445,10121612.960000000894070
20160706,2004195.800000000046566,2076196.119999999646097,2117013.679999999701977,2045710.200000000186265,1923887.390000000130385,10167003.189999999478459
20160707,2012797.189999999944121,2090679.679999999934807,2103415.759999999776483,2040898.600000000093132,1923887.390000000130385,10171678.620000001043081
20160708,2028321.650000000139698,2141057.279999999795109,2123812.639999999664724,2063513.120000000111759,1985193.110000000102445,10341897.799999998882413
20160711,2034615.350000000093132,2164986.640000000130385,2123454.799999999813735,2063031.960000000195578,1987790.809999999823049,10373879.560000000521541
20160712,2043846.109999999869615,2200250.959999999497086,2132758.639999999664724,2063031.960000000195578,2012728.730000000214204,10452616.400000000372529
20160713,2032307.659999999916181,2204658.999999999534339,2130969.439999999478459,2066400.080000000307336,2012209.189999999944121,10446545.369999999180436
20160714,2072587.340000000083819,2216623.680000000167638,2134547.839999999850988,2065918.920000000391155,2029873.550000000046566,10519551.330000001937151
20160715,2072377.550000000046566,2208437.319999999832362,2133832.160000000149012,2069287.040000000270084,2034029.869999999878928,10517963.939999999478459
20160718,2094405.500000000000000,2207177.879999999422580,2112003.919999999925494,2067362.400000000372529,2034289.640000000130385,10515239.339999999850988
20160719,2095244.659999999916181,2213475.079999999608845,2099121.679999999701977,2073136.320000000298023,2044940.209999999962747,10525917.949999999254942
20160720,2097132.769999999785796,2247479.959999999497086,2103773.599999999627471,2052687.020000000018626,2061565.489999999990687,10562638.839999999850988
20160721,2086013.900000000139698,2158059.720000000204891,2103773.599999999627471,2051243.540000000270084,2046758.600000000093132,10445849.359999999403954
20160722,2069860.069999999832362,2182618.799999999348074,2104847.120000000111759,2062310.220000000204891,2075852.839999999850988,10495489.049999998882413
20160725,2042167.790000000037253,2184507.959999999497086,2095543.280000000027940,2064234.860000000102445,2050655.149999999906868,10437109.040000000968575
20160726,2028111.859999999869615,2209696.760000000242144,2088386.479999999981374,2051484.120000000111759,2038965.500000000000000,10416644.719999998807907
20160727,2159859.980000000447035,2193324.039999999571592,2096974.640000000130385,2031997.140000000130385,2040004.580000000074506,10522160.380000000819564
20160728,2189020.790000000037253,2189545.720000000204891,2090891.359999999869615,2040417.440000000176951,2057149.399999999906868,10567024.709999999031425
20160729,2186293.519999999552965,2195213.199999999720603,2099121.679999999701977,2059182.680000000167638,2027535.619999999878928,10567346.699999997392297
20160801,2224894.879999999888241,2194583.479999999981374,2099121.679999999701977,2078910.240000000223517,2032990.790000000037253,10630501.070000000298023
20160802,2191957.849999999627471,2176321.600000000093132,2087312.959999999962747,2087330.540000000270084,2033510.330000000074506,10576433.279999999329448
20160803,2219440.339999999850988,2156800.279999999795109,2062979.839999999850988,2068324.720000000204891,2044680.439999999944121,10552225.619999999180436
20160804,2221118.660000000149012,2177581.039999999571592,2069778.800000000046566,2070249.360000000102445,2064682.730000000214204,10603410.589999999850988
20160805,2254894.849999999627471,2202769.839999999385327,2285198.479999999515712,2063753.700000000186265,2081827.550000000046566,10888444.419999999925494
20160808,2273566.160000000149012,2206548.159999999683350,2249414.479999999515712,2063272.540000000270084,2076891.920000000158325,10869693.259999999776483
20160809,2282796.919999999925494,2198991.520000000018626,2236174.400000000372529,2068805.880000000121072,2079749.390000000130385,10866518.110000001266599
20160810,2265803.929999999701977,2174432.439999999944121,2241542.000000000000000,2076504.440000000176951,2069878.130000000121072,10828160.939999999478459
20160811,2264335.400000000372529,2183878.239999999757856,2276968.160000000149012,2086608.800000000279397,2081308.010000000242144,10893098.610000001266599
20160812,2269580.150000000372529,2176951.319999999832362,2266948.639999999664724,2094066.780000000260770,2078710.309999999823049,10886257.200000001117587
20160815,2296852.849999999627471,2198361.799999999348074,2265875.120000000111759,2093585.620000000111759,2101829.839999999850988,10956505.229999998584390
20160816,2294754.950000000186265,2217253.399999999906868,2255855.599999999627471,2083000.100000000093132,2099232.140000000130385,10950096.189999999478459
20160817,2291398.309999999590218,2205288.720000000204891,2264801.599999999627471,2092142.140000000130385,2100011.450000000186265,10953642.219999998807907
20160818,2288461.250000000000000,2202140.119999999646097,2276968.160000000149012,2103689.980000000447035,2085204.559999999823049,10956464.070000000298023
20160819,2294335.370000000111759,2219142.560000000055879,2267306.479999999515712,2100562.440000000409782,2090399.959999999962747,10971746.809999998658895
20160822,2276503.219999999739230,2226699.199999999720603,2274105.439999999478459,2089495.760000000009313,2105726.390000000130385,10972530.009999999776483
20160823,2283636.080000000074506,2229218.079999999608845,2275178.959999999962747,2102727.660000000149012,2098972.370000000111759,10989733.150000002235174
20160824,2266433.299999999813735,2213475.079999999608845,2244762.559999999590218,2100562.440000000409782,2085724.100000000093132,10910957.479999998584390
20160825,2256782.959999999962747,2209696.760000000242144,2230091.120000000111759,2114756.660000000149012,2086503.409999999916181,10897830.910000000149012
20160826,2243566.189999999478459,2220401.999999999534339,2249056.639999999664724,2107058.100000000558794,2092997.659999999916181,10913080.589999999850988
20160829,2241048.709999999962747,2238663.879999999422580,2254782.080000000074506,2124379.860000000335276,2100790.760000000242144,10959665.290000000968575
20160830,2223845.929999999701977,2248109.680000000167638,2244046.879999999888241,2106095.780000000260770,2108583.859999999869615,10930682.129999998956919
20160831,2225943.830000000074506,2260074.359999999869615,2246909.599999999627471,2100562.440000000409782,2101570.070000000298023,10935060.300000000745058
20160901,2239160.599999999627471,2268260.720000000204891,2250845.839999999850988,2124620.440000000409782,2111960.870000000111759,10994848.470000002533197
20160902,2260139.599999999627471,2272039.039999999571592,2253708.559999999590218,2121974.060000000521541,2130144.770000000018626,11038006.029999997466803
