訓練日期,20180925 - 20181227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10776280.050000000745058
真實報酬,776280.050000000745058

夏普值報酬,0.068928005000000
夏普值風險,0.043962957027405
夏普值,1.567865531816530

預期報酬,18438.791758287519770
風險,288078.999944406561553
趨勢值,0.064006025298081
找到最佳解世代,2249
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),MRK[17](3),PG[21](2),
Stock#,MCD[15](1),MRK[17](3),PG[21](2),
張數,20411,47094,39555,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.589999999850988,19.680000000167638,33.150000000372529,
20180925,3396607.099999999627471,3327210.780000000260770,3287844.750000000465661,10011663.630000000819564
20180926,3383339.949999999720603,3312140.700000000186265,3293382.450000000651926,9988864.100000001490116
20180927,3399056.419999999925494,3330507.360000000335276,3277560.450000000186265,10007125.230000000447035
20180928,3414568.779999999795109,3340868.040000000037253,3292195.800000000745058,10047633.620000001043081
20181001,3401913.959999999497086,3368653.500000000000000,3309600.000000000465661,10080168.459999999031425
20181002,3371501.569999999832362,3379014.180000000167638,3336892.950000000186265,10087409.699999999254942
20181003,3360887.849999999627471,3361118.460000000428408,3284284.800000000279397,10006292.110000001266599
20181004,3384156.390000000130385,3354054.360000000335276,3240378.750000000465661,9978590.500000000000000
20181005,3399872.859999999869615,3345106.500000000000000,3249476.400000000372529,9994456.759999999776483
20181008,3424366.060000000055879,3365356.919999999925494,3259365.150000000372529,10049089.130000000819564
20181009,3466412.720000000204891,3406799.640000000130385,3251454.150000000372529,10124667.510000001639128
20181010,3436612.660000000149012,3317791.980000000447035,3221392.350000000093132,9975797.990000000223517
20181011,3326393.259999999776483,3219836.460000000428408,3119736.000000000465661,9665966.720000000670552
20181012,3343742.609999999869615,3287651.820000000298023,3127251.450000000651926,9758646.880000000819564
20181015,3340680.959999999497086,3271168.919999999925494,3169575.300000000279397,9781426.179999999701977
