訓練日期,20110713 - 20111012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10882859.620000001043081
真實報酬,882859.620000001043081

夏普值報酬,0.079585962000000
夏普值風險,0.024761739400424
夏普值,3.214069929135804

預期報酬,14268.749026317205789
風險,302045.235904274100903
趨勢值,0.047240437292775
找到最佳解世代,2267
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,98931,58830,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,27.259999999776483,38.300000000745058,
20110713,5060347.909999999217689,4998235.100000000558794,10058583.009999999776483
20110714,5056390.669999999925494,5048240.600000000558794,10104631.269999999552965
20110715,5157300.290000000037253,5028826.700000001117587,10186126.990000002086163
20110718,5282942.659999999217689,5024120.300000000745058,10307062.960000000894070
20110719,5326472.299999999813735,5071772.600000000558794,10398244.900000000372529
20110720,5467943.629999999888241,5075302.400000000372529,10543246.030000001192093
20110721,5473879.489999999292195,5091186.500000000931323,10565065.990000000223517
20110722,5558960.149999999441206,5210023.100000000558794,10768983.250000000000000
20110725,5632169.089999999850988,5184137.900000001303852,10816306.990000002086163
20110726,5701420.790000000037253,5178254.900000000372529,10879675.690000001341105
20110727,5548077.739999999292195,5123543.000000000931323,10671620.740000000223517
20110728,5537195.330000000074506,5105305.700000001117587,10642501.030000001192093
20110729,5518398.439999999478459,5087656.700000001117587,10606055.140000000596046
20110801,5607436.339999999850988,5082362.000000000931323,10689798.339999999850988
20110802,5496633.620000000111759,5004118.100000000558794,10500751.720000000670552
20110803,5548077.739999999292195,5032356.500000000931323,10580434.240000000223517
20110804,5333397.469999999739230,4958230.700000001117587,10291628.170000001788139
20110805,5279974.729999999515712,5005294.700000000186265,10285269.429999999701977
20110808,4992085.519999999552965,4830569.600000000558794,9822655.120000001043081
20110809,5285910.589999999850988,5057065.100000000558794,10342975.690000001341105
20110810,5140482.019999999552965,4946464.700000000186265,10086946.719999998807907
20110811,5281953.349999999627471,5075890.700000001117587,10357844.050000000745058
20110812,5328450.919999999925494,5088833.300000000745058,10417284.220000000670552
20110815,5418478.129999999888241,5107658.900000000372529,10526137.030000001192093
20110816,5376927.110000000335276,5098834.400000001303852,10475761.510000001639128
20110817,5376927.110000000335276,5147663.300000000745058,10524590.410000000149012
20110818,5173129.250000000000000,5036474.600000000558794,10209603.850000001490116
20110819,5031657.919999999925494,5131779.200000001117587,10163437.120000001043081
20110822,5037593.780000000260770,5162959.100000001490116,10200552.880000002682209
20110823,5279974.729999999515712,5267088.200000001117587,10547062.929999999701977
20110824,5316579.200000000186265,5302386.200000000186265,10618965.400000000372529
20110825,5281953.349999999627471,5218847.600000000558794,10500800.949999999254942
20110826,5421446.059999999590218,5290620.200000001117587,10712066.260000001639128
20110829,5511473.269999999552965,5341214.000000000931323,10852687.269999999552965
20110830,5511473.269999999552965,5340625.700000001117587,10852098.970000000670552
20110831,5439253.639999999664724,5318858.600000000558794,10758112.240000000223517
20110901,5384841.589999999850988,5298856.400000000372529,10683697.990000000223517
20110902,5286899.899999999441206,5241203.000000000931323,10528102.900000000372529
20110906,5367034.009999999776483,5225318.900000000372529,10592352.910000000149012
20110907,5426392.610000000335276,5252969.000000000931323,10679361.610000001266599
20110908,5429360.540000000037253,5212964.600000000558794,10642325.140000000596046
20110909,5335376.089999999850988,5002353.200000001117587,10337729.290000000968575
20110912,5370001.939999999478459,5070596.000000000931323,10440597.940000001341105
20110913,5436285.709999999962747,5066477.900000001303852,10502763.610000001266599
20110914,5501580.169999999925494,5103540.800000000745058,10605120.970000000670552
20110915,5554013.599999999627471,5181196.400000000372529,10735210.000000000000000
20110916,5659869.769999999552965,5194139.000000000931323,10854008.769999999552965
20110919,5817170.059999999590218,5224730.600000000558794,11041900.660000000149012
20110920,5842892.120000000111759,5254145.600000000558794,11097037.720000000670552
20110921,5825084.540000000037253,5148839.900000000372529,10973924.440000001341105
20110922,5678666.659999999217689,5058830.000000000000000,10737496.660000000149012
20110923,5714281.819999999366701,5140015.400000001303852,10854297.220000000670552
20110926,5698452.860000000335276,5255910.500000000931323,10954363.360000001266599
20110927,5643051.500000000000000,5279442.500000000000000,10922494.000000000000000
20110928,5611393.580000000074506,5178843.200000001117587,10790236.780000001192093
20110929,5520377.059999999590218,5222965.700000001117587,10743342.760000001639128
20110930,5388798.830000000074506,5166488.900000000372529,10555287.730000000447035
20111003,5293825.069999999366701,5060594.900000000372529,10354419.969999998807907
20111004,5264145.769999999552965,5087656.700000001117587,10351802.470000000670552
20111005,5346258.500000000000000,5049417.200000000186265,10395675.699999999254942
20111006,5333397.469999999739230,5124719.600000000558794,10458117.070000000298023
20111007,5226551.989999999292195,5130014.300000000745058,10356566.289999999105930
20111010,5494655.000000000000000,5207081.600000001490116,10701736.600000001490116
20111011,5656901.839999999850988,5255910.500000000931323,10912812.339999999850988
20111012,5684602.519999999552965,5198257.100000000558794,10882859.620000001043081
