訓練日期,20151015 - 20160119
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10924585.269999999552965
真實報酬,924585.269999999552965

夏普值報酬,0.083758527000000
夏普值風險,0.028447436780140
夏普值,2.944325973806992

預期報酬,15982.763465542080667
風險,115011.608927235705778
趨勢值,0.138966523593752
找到最佳解世代,1858
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](16),
Stock#,MCD[15](1),WMT[28](16),
張數,48628,83291,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,69.040000000037253,41.269999999552965,
20151015,5040847.519999999552965,4941696.299999999813735,9982543.820000000298023
20151016,5097256.000000000000000,4905048.259999999776483,10002304.259999999776483
20151019,5081208.759999999776483,4901716.620000000111759,9982925.379999998956919
20151020,5049600.560000000521541,4893387.519999999552965,9942988.080000000074506
20151021,4986384.160000000149012,4884225.509999999776483,9870609.669999999925494
20151022,5391455.400000000372529,4905881.169999998994172,10297336.570000000298023
20151023,5475095.560000000521541,4855906.569999999366701,10331002.129999998956919
20151026,5455158.080000000074506,4832585.089999999850988,10287743.169999999925494
20151027,5428898.959999999962747,4787607.949999999254942,10216506.910000000149012
20151028,5492115.360000000335276,4800934.509999999776483,10293049.870000001043081
20151029,5476554.400000000372529,4827587.629999999888241,10304142.030000001192093
20151030,5458562.040000000037253,4767618.109999999403954,10226180.149999998509884
20151102,5451754.120000000111759,4798435.779999999329448,10250189.899999998509884
20151103,5450295.280000000260770,4840081.279999999329448,10290376.559999998658895
20151104,5465856.240000000223517,4861736.939999999478459,10327593.179999999701977
20151105,5487738.839999999850988,4881726.779999999329448,10369465.619999999180436
20151106,5510107.719999999739230,4895886.250000000000000,10405993.969999998807907
20151109,5491629.080000000074506,4871731.859999999403954,10363360.939999999478459
20151110,5505731.200000000186265,4887557.149999999441206,10393288.349999999627471
20151111,5536366.839999999850988,4795937.049999999813735,10332303.890000000596046
20151112,5451754.120000000111759,4743463.719999999739230,10195217.839999999850988
20151113,5347690.200000000186265,4699319.489999999292195,10047009.689999999478459
20151116,5400694.719999999739230,4820091.439999999478459,10220786.160000000149012
20151117,5394859.360000000335276,4990837.989999999292195,10385697.349999999627471
20151118,5472177.879999999888241,5074961.899999999441206,10547139.779999999329448
20151119,5509621.439999999478459,5055804.969999999739230,10565426.410000000149012
20151120,5539284.519999999552965,5003331.639999999664724,10542616.160000000149012
20151123,5566516.200000000186265,5019156.929999999701977,10585673.129999998956919
20151124,5557276.879999999888241,4990837.989999999292195,10548114.869999999180436
20151125,5563112.240000000223517,5017491.109999999403954,10580603.349999999627471
20151127,5554845.480000000447035,4988339.259999999776483,10543184.740000000223517
20151130,5551441.519999999552965,4900883.709999999962747,10452325.230000000447035
20151201,5565543.640000000596046,4913377.359999999403954,10478921.000000000000000
20151202,5530045.200000000186265,4860071.120000000111759,10390116.320000000298023
20151203,5513997.959999999962747,4917541.909999999217689,10431539.869999999180436
20151204,5650642.640000000596046,4969182.329999999143183,10619824.969999998807907
20151207,5661340.799999999813735,5039146.769999999552965,10700487.570000000298023
20151208,5666689.879999999888241,4965017.779999999329448,10631707.660000000149012
20151209,5669121.280000000260770,4925038.099999999627471,10594159.379999998956919
20151210,5699270.640000000596046,4960853.229999999515712,10660123.870000001043081
20151211,5644807.280000000260770,4944195.029999999329448,10589002.309999998658895
20151214,5653560.320000000298023,5029984.759999999776483,10683545.080000000074506
20151215,5686141.080000000074506,4967516.509999999776483,10653657.589999999850988
20151216,5730392.560000000521541,5022488.569999999366701,10752881.129999998956919
20151217,5713859.040000000037253,4912544.449999999254942,10626403.489999998360872
20151218,5673011.519999999552965,4901716.620000000111759,10574728.140000000596046
20151221,5723098.360000000335276,4960020.319999999366701,10683118.679999999701977
20151222,5724557.200000000186265,5042478.409999999217689,10767035.609999999403954
20151223,5777075.439999999478459,5088288.459999999962747,10865363.899999998509884
20151224,5765891.000000000000000,5066632.799999999813735,10832523.800000000745058
20151228,5774644.040000000037253,5059969.519999999552965,10834613.559999998658895
20151229,5838833.000000000000000,5131599.779999999329448,10970432.779999999329448
20151230,5807711.080000000074506,5137430.149999999441206,10945141.230000000447035
20151231,5744980.959999999962747,5105779.569999999366701,10850760.529999999329448
20160104,5717749.280000000260770,5119106.129999999888241,10836855.410000000149012
20160105,5796526.640000000596046,5240710.989999999292195,11037237.629999998956919
20160106,5757624.240000000223517,5293184.319999999366701,11050808.559999998658895
20160107,5624383.519999999552965,5416455.000000000000000,11040838.519999999552965
20160108,5615630.480000000447035,5292351.409999999217689,10907981.890000000596046
20160111,5674470.360000000335276,5348989.289999999105930,11023459.649999998509884
20160112,5710941.360000000335276,5299014.689999999478459,11009956.050000000745058
20160113,5598124.400000000372529,5157419.989999999292195,10755544.390000000596046
20160114,5671066.400000000372529,5252371.729999999515712,10923438.129999998956919
20160115,5601042.080000000074506,5158252.899999999441206,10759294.980000000447035
20160119,5713859.040000000037253,5210726.229999999515712,10924585.269999999552965
