訓練日期,20100211 - 20100514
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12099645.080000000074506
真實報酬,2099645.080000000074506

夏普值報酬,0.201264508000000
夏普值風險,0.062595146110789
夏普值,3.215337298578648

預期報酬,40680.220122777987854
風險,236438.176676868664799
趨勢值,0.172054364039417
找到最佳解世代,1816
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),HD[9](3),MCD[15](2),
Stock#,AAPL[0](1),HD[9](3),MCD[15](2),
張數,119602,116346,52700,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.259999999776483,20.100000000093132,58.000000000000000,
20100211,3394330.019999999552965,3372890.640000000130385,3361791.000000000000000,10129012.660000000149012
20100212,3424230.519999999552965,3374054.100000000093132,3351251.000000000000000,10149536.619999999180436
20100216,3475659.379999999422580,3425246.340000000316650,3373385.000000000465661,10274291.720000000670552
20100217,3461307.140000000130385,3492727.020000000018626,3386560.000000000465661,10340595.160000000149012
20100218,3467287.239999999757856,3525303.900000000372529,3398154.000000000000000,10390746.140000000596046
20100219,3445758.879999999422580,3507852.000000000000000,3411855.999999999534339,10365467.879999998956919
20100222,3424230.519999999552965,3527630.820000000298023,3413437.000000000000000,10365299.339999999850988
20100223,3366821.559999999590218,3577659.600000000093132,3418707.000000000465661,10363189.160000000149012
20100224,3429014.600000000093132,3648630.660000000149012,3439260.000000000465661,10516906.259999999776483
20100225,3451738.979999999515712,3648630.660000000149012,3392883.999999999534339,10493254.639999998733401
20100226,3495991.719999999739230,3630015.299999999813735,3364953.000000000000000,10490961.019999999552965
20100301,3571340.979999999515712,3656774.879999999888241,3371804.000000000000000,10599920.859999999403954
20100302,3568948.939999999944121,3648630.660000000149012,3376546.999999999534339,10594127.599999999627471
20100303,3576125.059999999590218,3661428.719999999739230,3353359.000000000000000,10590913.779999999329448
20100304,3600045.459999999962747,3657938.340000000316650,3342819.000000000000000,10600803.800000000745058
20100305,3741175.819999999832362,3699822.900000000372529,3355467.000000000000000,10796466.720000000670552
20100308,3743567.859999999869615,3718438.260000000242144,3431882.000000000465661,10893889.120000001043081
20100309,3810544.979999999515712,3685861.379999999888241,3430827.999999999534339,10927235.359999999403954
20100310,3841641.499999999534339,3689351.760000000242144,3422396.000000000000000,10953390.259999999776483
20100311,3852405.679999999701977,3738217.080000000540167,3436624.999999999534339,11027248.759999999776483
20100312,3871541.999999999534339,3775447.800000000279397,3453489.000000000000000,11100479.800000000745058
20100315,3824897.219999999739230,3803370.839999999850988,3474569.000000000465661,11102838.060000000521541
20100316,3834465.379999999888241,3787082.399999999906868,3481946.999999999534339,11103495.779999999329448
20100317,3829681.300000000279397,3783592.020000000484288,3498283.999999999534339,11111558.320000000298023
20100318,3838053.440000000409782,3769630.500000000000000,3514094.000000000465661,11121778.940000001341105
20100319,3797388.759999999776483,3764976.660000000149012,3506189.000000000000000,11068555.419999999925494
20100322,3840445.479999999515712,3801043.920000000391155,3531485.000000000465661,11172975.400000000372529
20100323,3901442.499999999534339,3791736.240000000689179,3549402.999999999534339,11242582.740000000223517
20100324,3919382.800000000279397,3760322.820000000298023,3520418.000000000000000,11200124.620000001043081
20100325,3872738.020000000018626,3795226.619999999646097,3525688.000000000465661,11193653.640000000596046
20100326,3945695.240000000223517,3810351.600000000093132,3544660.000000000465661,11300707.839999999850988
20100329,3970811.660000000149012,3792899.700000000186265,3534646.999999999534339,11298359.359999999403954
20100330,4029416.639999999664724,3803370.839999999850988,3543605.999999999534339,11376394.479999998584390
20100331,4015064.399999999906868,3763813.200000000186265,3516202.000000000000000,11295080.599999999627471
20100401,4031808.679999999701977,3767303.580000000540167,3561524.000000000000000,11360637.259999999776483
20100405,4074865.399999999906868,3799880.459999999497086,3585239.000000000000000,11459985.859999999403954
20100406,4092805.699999999720603,3787082.399999999906868,3573645.000000000000000,11453534.099999999627471
20100407,4110745.999999999534339,3794063.160000000149012,3567848.000000000000000,11472658.160000000149012
20100408,4099981.819999999832362,3835947.719999999739230,3623710.000000000465661,11559640.539999999105930
20100409,4131078.339999999850988,3868524.600000000093132,3619494.000000000465661,11619097.939999999478459
20100412,4139450.479999999515712,3895284.179999999701977,3611589.000000000000000,11646324.660000000149012
20100413,4141842.520000000018626,3995341.740000000689179,3632142.000000000000000,11769327.260000001639128
20100414,4198055.459999999962747,4069803.179999999701977,3658492.000000000000000,11926351.640000000596046
20100415,4253072.379999999888241,4088418.540000000037253,3644790.000000000000000,11986281.919999999925494
20100416,4226759.940000000409782,4073293.560000000055879,3637939.000000000000000,11937993.500000000000000
20100419,4221975.859999999403954,4091908.920000000391155,3684842.000000000000000,11998727.779999999329448
20100420,4178919.139999999664724,4093072.379999999888241,3706976.000000000000000,11978968.519999999552965
20100421,4428887.320000000298023,4103543.520000000484288,3708030.000000000000000,12240461.839999999850988
20100422,4553273.399999999441206,4155899.219999999739230,3743339.000000000000000,12452512.619999999180436
20100423,4627426.639999999664724,4233851.040000000968575,3749663.000000000465661,12610941.679999999701977
20100426,4604702.259999999776483,4245485.640000000596046,3742812.000000000000000,12593000.900000000372529
20100427,4476728.120000000111759,4105870.439999999944121,3716989.000000000000000,12299588.560000000521541
20100428,4469551.999999999068677,4094235.839999999850988,3706976.000000000000000,12270764.839999999850988
20100429,4590350.020000000484288,4137283.860000000335276,3769162.000000000000000,12496796.880000000819564
20100430,4461179.859999999403954,4098889.679999999701977,3720151.000000000000000,12280221.539999999105930
20100503,4550881.359999999403954,4173351.119999999646097,3763892.000000000000000,12488125.479999998584390
20100504,4419319.160000000149012,4120995.420000000391155,3722786.000000000000000,12263101.580000000074506
20100505,4373870.399999999441206,4100053.140000000130385,3723840.000000000000000,12197764.539999999105930
20100506,4207623.620000000111759,3951130.260000000242144,3658492.000000000000000,11817246.880000000819564
20100507,4029416.639999999664724,3889466.879999999888241,3584185.000000000465661,11503069.519999999552965
