訓練日期,20181031 - 20190205
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11081419.179999999701977
真實報酬,1081419.179999999701977

夏普值報酬,0.099441918000000
夏普值風險,0.023596853889585
夏普值,4.214202387543251

預期報酬,15831.049833235489132
風險,321999.633118781202938
趨勢值,0.049164807052422
找到最佳解世代,2136
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PG[21](2),
Stock#,CAT[3](1),PG[21](2),
張數,42567,56060,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,80.180000000633299,8.600000000558794,
20181031,5164308.620000000111759,4971409.400000001303852,10135718.020000001415610
20181101,5308185.080000001005828,5022424.000000000931323,10330609.080000001937151
20181102,5354583.110000001266599,5034757.200000001117587,10389340.310000002384186
20181105,5380974.650000000372529,5112680.600000000558794,10493655.250000000000000
20181106,5505270.290000000968575,5130059.200000001117587,10635329.490000002086163
20181107,5750881.880000000819564,5117726.000000000931323,10868607.880000002682209
20181108,5592958.309999999590218,5121650.200000000186265,10714608.509999999776483
20181109,5402258.150000000372529,5180513.200000000186265,10582771.350000001490116
20181112,5320955.180000000633299,5196770.600000000558794,10517725.780000001192093
20181113,5361819.500000000000000,5239936.800000000745058,10601756.300000000745058
20181114,5325211.880000000819564,5241058.000000000000000,10566269.880000000819564
20181115,5509101.320000000298023,5260118.400000000372529,10769219.720000000670552
20181116,5532087.500000000931323,5259557.799999999813735,10791645.300000000745058
20181119,5362670.840000000782311,5229846.000000000931323,10592516.840000001713634
20181120,5204747.270000000484288,5163134.600000000558794,10367881.870000001043081
20181121,5272854.470000000670552,5124453.200000000186265,10397307.670000001788139
20181123,5206875.620000000111759,5131741.000000000931323,10338616.620000001043081
20181126,5312441.780000000260770,5154165.000000000000000,10466606.780000001192093
20181127,5303928.380000000819564,5197891.800000000745058,10501820.180000001564622
20181128,5566566.770000001415610,5214149.200000001117587,10780715.970000002533197
20181129,5543580.589999999850988,5203497.799999999813735,10747078.390000000596046
20181130,5775145.070000000298023,5298239.200000001117587,11073384.270000001415610
20181203,5914764.830000000074506,5231527.799999999813735,11146292.629999998956919
20181204,5504844.620000000111759,5230967.200000001117587,10735811.820000000298023
20181206,5464405.970000000670552,5244421.600000000558794,10708827.570000000298023
20181207,5259233.030000000260770,5182755.600000000558794,10441988.630000000819564
20181210,5252422.310000000521541,5215270.400000000372529,10467692.710000000894070
20181211,5246037.260000000707805,5264603.200000000186265,10510640.460000000894070
20181212,5336704.970000000670552,5271330.400000000372529,10608035.370000001043081
20181213,5359265.480000000447035,5409238.000000000000000,10768503.480000000447035
20181214,5396298.770000000484288,5417647.000000000931323,10813945.770000001415610
20181217,5298394.670000000856817,5200694.800000000745058,10499089.470000002533197
20181218,5289881.270000000484288,5184998.000000000000000,10474879.269999999552965
20181219,5207301.290000000968575,5144074.200000001117587,10351375.490000002086163
20181220,5174099.030000000260770,5100347.400000000372529,10274446.429999999701977
20181221,5111099.870000000111759,5099786.800000000745058,10210886.670000001788139
20181224,4978290.830000001005828,4897410.200000000186265,9875701.030000001192093
20181226,5310739.100000000558794,5050454.000000000931323,10361193.100000001490116
20181227,5392042.070000000298023,5158649.800000000745058,10550691.870000001043081
20181228,5346921.050000000745058,5111559.400000001303852,10458480.450000002980232
20181231,5409068.870000000111759,5153043.800000000745058,10562112.670000001788139
20190102,5379697.640000000596046,5117165.400000000372529,10496863.040000000968575
20190103,5172396.350000000558794,5081287.000000000931323,10253683.350000001490116
20190104,5455041.230000000447035,5184998.000000000000000,10640039.230000000447035
20190107,5458446.589999999850988,5164255.800000000745058,10622702.390000000596046
20190108,5523999.770000001415610,5183316.200000000186265,10707315.970000002533197
20190109,5545283.270000001415610,5098665.600000000558794,10643948.870000001043081
20190110,5659788.500000000931323,5110998.800000000745058,10770787.300000000745058
20190111,5623180.880000000819564,5144634.800000000745058,10767815.680000001564622
20190114,5610410.780000001192093,5109877.600000000558794,10720288.380000002682209
20190115,5563161.410000000149012,5158089.200000001117587,10721250.610000001266599
20190116,5604451.400000000372529,5122210.800000000745058,10726662.200000001117587
20190117,5727044.360000000335276,5081287.000000000931323,10808331.360000001266599
20190118,5814732.380000000819564,5125013.800000000745058,10939746.180000001564622
20190122,5629140.260000000707805,5070075.000000000000000,10699215.260000001639128
20190123,5611262.120000000111759,5316739.000000000931323,10928001.120000001043081
20190124,5649998.089999999850988,5286466.600000000558794,10936464.690000001341105
20190125,5825799.800000001676381,5247224.600000000558794,11073024.400000002235174
20190128,5294137.970000000670552,5242739.800000000745058,10536877.770000001415610
20190129,5386082.690000000409782,5243861.000000000931323,10629943.690000001341105
20190130,5538472.550000001676381,5298799.800000000745058,10837272.350000001490116
20190131,5668301.900000000372529,5408116.800000000745058,11076418.700000001117587
20190201,5572526.150000000372529,5464176.800000000745058,11036702.950000001117587
20190204,5571249.140000000596046,5495570.400000000372529,11066819.540000000968575
20190205,5618924.180000000633299,5462495.000000000000000,11081419.179999999701977
