訓練日期,20181026 - 20190131
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11177671.859999999403954
真實報酬,1177671.859999999403954

夏普值報酬,0.109067186000000
夏普值風險,0.026569354727223
夏普值,4.104999429596567

預期報酬,17100.139678321680549
風險,340270.288629867776763
趨勢值,0.050254577756927
找到最佳解世代,2875
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PG[21](3),
Stock#,CAT[3](1),PG[21](3),
張數,43241,56179,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.169999999925494,69.000000000000000,
20181026,4974920.219999999739230,4935955.940000000409782,9910876.160000000149012
20181029,4928652.350000000558794,4957303.959999999962747,9885956.310000000521541
20181030,5079131.029999999329448,5010674.009999999776483,10089805.039999999105930
20181031,5246041.290000000037253,4982022.720000000670552,10228064.010000001639128
20181101,5392195.870000000111759,5033145.610000000335276,10425341.480000000447035
20181102,5439328.560000000521541,5045504.990000000223517,10484833.550000000745058
20181105,5466137.979999999515712,5123593.799999999813735,10589731.779999999329448
20181106,5592401.700000000186265,5141009.290000000037253,10733410.990000000223517
20181107,5841902.269999999552965,5128649.910000000149012,10970552.179999999701977
20181108,5681478.159999999217689,5132582.440000000409782,10814060.599999999627471
20181109,5487758.479999999515712,5191570.389999999664724,10679328.869999999180436
20181112,5405168.169999999925494,5207862.299999999813735,10613030.469999998807907
20181113,5446679.529999999329448,5251120.129999999888241,10697799.660000000149012
20181114,5409492.269999999552965,5252243.709999999962747,10661735.980000000447035
20181115,5596293.389999999664724,5271344.570000000298023,10867637.960000000894070
20181116,5619643.530000000260770,5270782.779999999329448,10890426.309999998658895
20181119,5447544.350000000558794,5241007.910000000149012,10688552.260000001639128
20181120,5287120.239999999292195,5174154.899999999441206,10461275.139999998733401
20181121,5356305.839999999850988,5135391.389999999664724,10491697.230000000447035
20181123,5289282.290000000037253,5142694.660000000149012,10431976.949999999254942
20181126,5396519.969999999739230,5165166.259999999776483,10561686.230000000447035
20181127,5387871.769999999552965,5208985.879999999888241,10596857.649999998509884
20181128,5654668.740000000223517,5225277.790000000037253,10879946.530000001192093
20181129,5631318.599999999627471,5214603.779999999329448,10845922.379999998956919
20181130,5866549.639999999664724,5309546.290000000037253,11176095.929999999701977
20181203,6008380.119999999180436,5242693.279999999329448,11251073.399999998509884
20181204,5591969.290000000037253,5242131.490000000223517,10834100.780000001192093
20181206,5550890.339999999850988,5255614.450000000186265,10806504.789999999105930
20181207,5342468.719999999739230,5193817.549999999813735,10536286.269999999552965
20181210,5335550.160000000149012,5226401.370000000111759,10561951.530000001192093
20181211,5329064.009999999776483,5275838.889999999664724,10604902.899999998509884
20181212,5421167.339999999850988,5282580.370000000111759,10703747.710000000894070
20181213,5444085.070000000298023,5420780.709999999962747,10864865.780000001192093
20181214,5481704.739999999292195,5429207.559999999590218,10910912.299999998882413
20181217,5382250.439999999478459,5211794.830000000074506,10594045.269999999552965
20181218,5373602.239999999292195,5196064.709999999962747,10569666.949999999254942
20181219,5289714.700000000186265,5155054.040000000037253,10444768.740000000223517
20181220,5255986.719999999739230,5111234.419999999925494,10367221.140000000596046
20181221,5191990.040000000037253,5110672.629999999888241,10302662.669999999925494
20181224,5057078.120000000111759,4907866.440000000409782,9964944.560000000521541
20181226,5394790.330000000074506,5061235.110000000335276,10456025.440000001341105
20181227,5477380.639999999664724,5169660.580000000074506,10647041.219999998807907
20181228,5431545.179999999701977,5122470.220000000670552,10554015.400000000372529
20181231,5494677.040000000037253,5164042.679999999701977,10658719.719999998807907
20190102,5464840.750000000000000,5128088.120000000111759,10592928.870000001043081
20190103,5254257.080000000074506,5092133.559999999590218,10346390.640000000596046
20190104,5541377.320000000298023,5196064.709999999962747,10737442.030000001192093
20190107,5544836.599999999627471,5175278.480000000447035,10720115.080000000074506
20190108,5611427.740000000223517,5194379.339999999850988,10805807.080000000074506
20190109,5633048.240000000223517,5109549.049999999813735,10742597.289999999105930
20190110,5749366.530000000260770,5121908.429999999701977,10871274.960000000894070
20190111,5712179.269999999552965,5155615.830000000074506,10867795.099999999627471
20190114,5699206.970000000670552,5120784.850000000558794,10819991.820000000298023
20190115,5651209.459999999962747,5169098.790000000037253,10820308.250000000000000
20190116,5693153.229999999515712,5133144.230000000447035,10826297.460000000894070
20190117,5817687.309999999590218,5092133.559999999590218,10909820.869999999180436
20190118,5906763.769999999552965,5135953.179999999701977,11042716.949999999254942
20190122,5718233.010000000707805,5080897.759999999776483,10799130.769999999552965
20190123,5700071.790000000037253,5328085.360000000335276,11028157.150000000372529
20190124,5739421.099999999627471,5297748.700000000186265,11037169.800000000745058
20190125,5918006.430000000633299,5258423.399999999441206,11176429.830000000074506
20190128,5377926.339999999850988,5253929.080000000074506,10631855.419999999925494
20190129,5471326.900000000372529,5255052.660000000149012,10726379.560000000521541
20190130,5626129.680000000633299,5310108.080000000074506,10936237.760000001639128
20190131,5758014.729999999515712,5419657.129999999888241,11177671.859999999403954
