訓練日期,20141106 - 20150210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11507055.750000000000000
真實報酬,1507055.750000000000000

夏普值報酬,0.142005575000000
夏普值風險,0.034660997225439
夏普值,4.096984690786010

預期報酬,20395.652516201353137
風險,103443.495298069305136
趨勢值,0.197167085832047
找到最佳解世代,2615
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](10),PFE[20](5),UTX[24](2),WBA[27](3),
20141205,2660798.750000000000000,2662282.899999999906868,2577827.679999999701977,2611937.560000000055879,10512846.890000000596046
20141208,2621957.500000000000000,2660618.459999999962747,2618594.559999999590218,2578813.180000000167638,10479983.699999999254942
20141209,2609480.000000000000000,2658954.020000000018626,2663530.779999999795109,2611556.820000000298023,10543521.619999999180436
20141210,2508452.500000000000000,2651464.040000000037253,2629017.909999999683350,2594804.260000000242144,10383738.709999999031425
20141211,2482893.750000000000000,2633987.419999999925494,2641525.929999999701977,2779843.900000000372529,10538251.000000000000000
20141212,2430568.750000000000000,2575732.020000000018626,2597747.859999999869615,2836574.160000000149012,10440622.789999999105930
20141215,2456932.500000000000000,2568242.040000000037253,2592188.739999999757856,2796215.720000000204891,10413579.000000000000000
20141216,2500603.750000000000000,2552429.860000000335276,2622763.899999999906868,2756238.020000000018626,10432035.529999999329448
20141217,2516905.000000000000000,2589879.760000000242144,2638283.109999999869615,2741008.419999999925494,10486076.289999999105930
20141218,2529181.250000000000000,2660618.459999999962747,2709161.889999999664724,2832005.279999999795109,10730966.879999998956919
20141219,2540451.250000000000000,2658121.800000000279397,2677428.579999999608845,2788220.180000000167638,10664221.810000000521541
20141222,2580500.000000000000000,2670605.100000000558794,2713331.229999999515712,2827817.140000000130385,10792253.470000000670552
20141223,2616926.250000000000000,2617343.020000000018626,2714952.639999999664724,2913102.900000000372529,10862324.809999998658895
20141224,2641277.500000000000000,2614846.360000000335276,2708003.739999999757856,2919194.740000000223517,10883322.339999999850988
20141226,2649126.250000000000000,2633987.419999999925494,2715647.529999999795109,2911199.199999999720603,10909960.399999998509884
20141229,2662408.750000000000000,2612349.700000000186265,2706845.589999999850988,2923763.620000000577420,10905367.660000000149012
20141230,2653151.250000000465661,2611517.479999999981374,2691558.009999999776483,2895588.859999999869615,10851815.599999999627471
20141231,2615920.000000000000000,2592376.419999999925494,2663762.409999999683350,2901299.960000000428408,10773358.790000000968575
20150102,2615316.250000000000000,2607356.379999999888241,2664688.929999999701977,2893685.160000000149012,10781046.719999998807907
20150105,2597203.750000000000000,2593208.640000000130385,2620215.969999999739230,2836574.160000000149012,10647202.519999999552965
20150106,2566613.750000000000000,2614846.360000000335276,2583155.169999999459833,2843808.220000000204891,10608423.500000000000000
20150107,2606461.250000000000000,2650631.820000000298023,2611182.399999999906868,2916529.560000000055879,10784805.030000001192093
20150108,2652547.500000000000000,2704726.120000000111759,2655655.359999999869615,2952699.859999999869615,10965628.839999999850988
20150109,2647315.000000000000000,2717209.419999999925494,2641062.669999999459833,2881120.740000000223517,10886707.830000000074506
20150112,2633831.250000000000000,2727196.060000000521541,2651022.759999999776483,2882262.960000000428408,10894313.030000001192093
20150113,2639868.749999999534339,2699732.799999999813735,2648474.829999999608845,2865510.400000000372529,10853586.779999999329448
20150114,2623970.000000000000000,2703061.679999999701977,2629481.169999999459833,2855230.419999999925494,10811743.269999999552965
20150115,2619139.999999999534339,2696403.919999999925494,2629481.169999999459833,2847234.880000000353903,10792259.970000000670552
20150116,2632020.000000000000000,2729692.719999999739230,2690399.859999999869615,2894827.380000000353903,10946939.960000000894070
20150120,2640875.000000000000000,2754659.320000000298023,2722364.799999999813735,2895588.859999999869615,11013487.980000000447035
20150121,2664823.750000000000000,2716377.200000000186265,2757109.299999999813735,2878074.820000000298023,11016385.070000000298023
20150122,2729827.499999999534339,2730524.940000000409782,2790000.759999999776483,2894446.640000000130385,11144799.839999999850988
20150123,2709300.000000000000000,2700565.020000000484288,2779114.149999999906868,2878074.820000000298023,11067053.990000000223517
20150126,2698231.250000000000000,2729692.719999999739230,2750623.659999999683350,2887593.320000000298023,11066140.949999999254942
20150127,2666232.500000000000000,2713048.320000000298023,2760120.489999999757856,2852945.980000000447035,10992347.290000000968575
20150128,2810327.499999999534339,2658954.020000000018626,2708235.369999999646097,2808780.140000000130385,10986297.029999999329448
20150129,2974145.000000000000000,2648967.379999999888241,2697348.759999999776483,2839239.339999999850988,11159700.480000000447035
20150130,2925643.750000000000000,2600698.620000000111759,2658666.549999999813735,2808018.660000000149012,10993027.580000000074506
20150202,2943555.000000000000000,2633987.419999999925494,2700359.949999999720603,2851423.020000000018626,11129325.389999998733401
20150203,2965290.000000000000000,2664779.560000000521541,2753866.479999999515712,2847615.620000000577420,11231551.660000000149012
20150204,2962875.000000000000000,2668940.660000000149012,2728387.179999999701977,2843046.740000000223517,11203249.580000000074506
20150205,2990647.500000000000000,2745504.900000000372529,2782125.339999999850988,2847615.620000000577420,11365893.360000001266599
20150206,2978572.500000000000000,2760484.860000000335276,2775176.439999999944121,2899396.260000000242144,11413630.060000000521541
20150209,2970120.000000000465661,2752162.660000000149012,2763826.569999999366701,2908914.760000000242144,11395023.990000000223517
20150210,2979377.500000000000000,2842042.419999999925494,2765679.609999999869615,2919956.220000000204891,11507055.750000000000000
