訓練日期,20130819 - 20131118
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12055688.760000001639128
真實報酬,2055688.760000001639128

夏普值報酬,0.196868876000000
夏普值風險,0.055652461645197
夏普值,3.537469326246606

預期報酬,31083.047761490415724
風險,130366.366850890641217
趨勢值,0.238428426842963
找到最佳解世代,1567
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](11),MSFT[18](9),NKE[19](1),
Stock#,BA[2](2),DD[7](11),MSFT[18](9),NKE[19](1),
張數,24161,47591,78616,78542,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.330000000074506,44.770000000018626,11.199999999720603,8.140000000130385,
20130819,2530201.250000000000000,2482391.330000000074506,2467767.439999999944121,2540841.840000000316650,10021201.859999999403954
20130820,2528026.759999999776483,2504283.189999999944121,2485849.119999999646097,2538485.580000000074506,10056644.649999998509884
20130821,2510630.839999999850988,2517132.760000000242144,2485062.959999999497086,2518850.080000000074506,10031676.639999998733401
20130822,2540348.870000000111759,2520464.129999999888241,2546383.439999999944121,2547125.200000000186265,10154321.640000000596046
20130823,2548563.610000000335276,2625640.240000000223517,2731917.199999999720603,2521206.340000000316650,10427327.390000000596046
20130826,2549771.660000000149012,2619453.410000000149012,2684747.599999999627471,2510210.460000000428408,10364183.130000000819564
20130827,2493718.140000000130385,2545687.360000000335276,2614779.359999999403954,2467012.360000000335276,10121197.219999998807907
20130828,2495167.799999999813735,2538072.799999999813735,2595911.520000000018626,2489004.120000000111759,10118156.239999998360872
20130829,2535275.060000000055879,2542831.899999999906868,2637577.999999999534339,2492931.220000000204891,10208616.179999999701977
20130830,2510872.450000000186265,2534741.429999999701977,2625785.599999999627471,2467012.360000000335276,10138411.839999999850988
20130903,2537207.940000000409782,2537596.890000000130385,2506289.279999999795109,2525133.439999999944121,10106227.549999998882413
20130904,2570066.900000000372529,2560440.569999999832362,2452830.399999999441206,2558121.080000000074506,10141458.949999999254942
20130905,2576831.979999999981374,2603272.470000000204891,2455975.039999999571592,2567546.120000000111759,10203625.609999999403954
20130906,2562818.600000000093132,2613266.580000000074506,2448899.599999999627471,2551837.720000000204891,10176822.500000000000000
20130909,2589878.919999999925494,2630399.340000000316650,2488993.759999999776483,2568331.540000000502914,10277603.560000000521541
20130910,2613556.700000000186265,2709876.310000000055879,2546383.439999999944121,2624096.359999999869615,10493912.809999998658895
20130911,2639167.360000000335276,2700834.020000000018626,2573899.040000000037253,2654727.739999999757856,10568628.160000000149012
20130912,2652939.129999999888241,2633730.709999999962747,2569968.239999999757856,2673577.819999999832362,10530215.900000000372529
20130913,2689905.459999999962747,2702261.750000000000000,2596697.679999999701977,2667294.460000000428408,10656159.349999999627471
20130916,2794764.200000000186265,2697502.649999999906868,2578615.999999999534339,2678290.340000000316650,10749173.189999999478459
20130917,2829556.040000000037253,2691315.819999999832362,2588836.079999999608845,2683002.859999999869615,10792710.799999998882413
20130918,2860723.729999999981374,2769365.060000000055879,2619496.319999999832362,2728557.220000000204891,10978142.330000000074506
