訓練日期,20140509 - 20140811
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11562150.279999999329448
真實報酬,1562150.279999999329448

夏普值報酬,0.147515028000000
夏普值風險,0.051782892791470
夏普值,2.848721267736907

預期報酬,28784.064906742121821
風險,151042.153950361273019
趨勢值,0.190569745954509
找到最佳解世代,2135
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),DIS[6](5),INTC[11](1),
Stock#,AAPL[0](2),DIS[6](5),INTC[11](1),
張數,39682,40849,126550,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,45.000000000000000,54.600000000093132,6.000000000000000,
20140509,3319444.300000000279397,3347630.150000000372529,3328271.000000000000000,9995346.450000001117587
20140512,3360713.580000000074506,3366829.180000000167638,3337129.500000000000000,10064673.259999999776483
20140513,3365872.239999999757856,3352940.520000000018626,3347253.500000000000000,10066067.259999999776483
20140514,3366665.880000000353903,3305555.680000000167638,3332067.500000000000000,10004290.060000000521541
20140515,3338094.840000000316650,3274101.950000000186265,3291571.500000000000000,9903769.290000000968575
20140516,3387300.520000000018626,3283905.709999999962747,3267527.000000000000000,9938734.230000000447035
20140519,3427379.340000000316650,3310866.049999999813735,3295368.000000000000000,10033614.390000000596046
20140520,3428172.979999999981374,3312500.010000000242144,3295368.000000000000000,10036041.990000000223517
20140521,3437299.840000000316650,3357433.910000000149012,3315616.000000000000000,10110350.750000000000000
20140522,3442458.500000000000000,3363969.750000000000000,3309288.500000000000000,10115717.750000000000000
20140523,3481346.860000000335276,3403593.279999999795109,3327005.500000000000000,10211946.640000000596046
20140527,3546822.159999999683350,3420749.859999999869615,3380156.500000000000000,10347729.519999999552965
20140528,3537298.479999999981374,3415031.000000000000000,3401670.000000000000000,10354000.480000000447035
20140529,3601980.139999999664724,3432596.070000000298023,3411794.000000000000000,10446371.210000000894070
20140530,3588488.260000000242144,3431779.090000000316650,3457352.000000000000000,10477620.350000001490116
20140602,3563885.419999999925494,3442399.830000000074506,3449759.000000000000000,10456045.250000000000000
20140603,3614281.560000000055879,3426468.719999999739230,3500379.000000000000000,10541130.279999999329448
20140604,3655550.840000000316650,3441174.359999999869615,3492786.000000000000000,10589512.199999999254942
20140605,3669836.360000000335276,3463232.820000000298023,3500379.000000000000000,10633449.179999999701977
20140606,3659519.040000000037253,3456288.490000000223517,3564919.500000000000000,10680728.030000001192093
20140609,3718248.399999999906868,3491827.120000000111759,3532016.500000000000000,10742093.019999999552965
20140610,3740073.500000000000000,3462007.350000000093132,3573778.000000000000000,10775859.849999999627471
20140611,3724597.520000000018626,3444033.790000000037253,3534547.500000000000000,10703179.810000000521541
20140612,3662296.780000000260770,3382351.799999999813735,3538344.000000000000000,10582993.580000000074506
20140613,3622217.959999999962747,3382351.799999999813735,3780054.500000000000000,10784625.259999999776483
20140616,3658725.399999999906868,3402776.299999999813735,3797771.500000000000000,10859274.199999999254942
20140617,3653963.560000000055879,3397057.439999999944121,3790178.500000000000000,10841200.500000000000000
20140618,3657931.760000000242144,3414214.020000000018626,3787647.500000000000000,10859794.280000001192093
20140619,3645233.520000000018626,3421975.330000000074506,3807895.500000000000000,10875105.349999999627471
20140620,3607535.619999999646097,3383168.779999999795109,3821816.000000000000000,10812521.399999998509884
20140623,3604361.060000000055879,3380717.840000000316650,3825612.500000000000000,10810692.400000000372529
20140624,3582535.959999999962747,3377449.920000000391155,3859781.000000000000000,10819767.880000000819564
20140625,3585710.520000000018626,3427285.700000000186265,3907870.000000000000000,10920867.220000000670552
20140626,3607138.800000000279397,3449752.650000000372529,3895215.000000000000000,10952107.450000001117587
20140627,3649995.360000000335276,3484474.299999999813735,3914197.500000000000000,11048668.160000000149012
20140630,3687693.260000000242144,3502447.859999999869615,3910401.000000000000000,11100543.120000001043081
20140701,3711105.639999999664724,3532267.629999999888241,3920525.000000000000000,11163899.269999999552965
20140702,3709518.360000000335276,3531042.160000000149012,3920525.000000000000000,11161086.519999999552965
20140703,3731343.459999999962747,3547381.760000000242144,3940773.000000000000000,11219499.220000000670552
20140707,3808326.540000000037253,3537169.510000000242144,3926852.500000000000000,11272349.550000000745058
20140708,3783723.699999999720603,3507349.740000000223517,3896480.500000000000000,11187554.939999999478459
20140709,3785310.979999999981374,3562904.379999999888241,3909135.500000000000000,11257351.859999999403954
20140710,3771422.280000000260770,3548198.740000000223517,3955959.000000000000000,11275581.019999999552965
20140711,3778565.040000000037253,3549424.209999999962747,3954693.500000000000000,11282683.750000000000000
20140714,3827373.899999999906868,3544113.840000000316650,3985065.500000000000000,11356554.240000000223517
20140715,3782533.239999999757856,3519195.950000000186265,4012906.500000000000000,11314636.689999999478459
20140716,3761104.959999999962747,3486516.750000000000000,4384963.500000000000000,11632586.210000000894070
20140717,3694042.380000000353903,3473445.070000000298023,4264741.000000000000000,11432229.450000001117587
20140718,3747216.260000000242144,3505307.290000000037253,4264741.000000000000000,11517265.550000000745058
20140721,3727772.080000000074506,3502447.859999999869615,4310299.000000000000000,11540519.939999999478459
20140722,3758724.040000000037253,3521646.889999999664724,4402680.500000000000000,11683052.429999999701977
20140723,3856738.580000000074506,3514702.560000000521541,4365981.000000000000000,11737423.140000000596046
20140724,3850389.459999999962747,3545747.799999999813735,4334343.500000000000000,11730481.759999999776483
20140725,3875785.939999999944121,3522463.870000000111759,4334343.500000000000000,11732594.310000000521541
20140728,3929356.639999999664724,3560044.950000000186265,4331812.500000000000000,11821215.089999999850988
20140729,3903960.159999999683350,3521238.400000000372529,4326750.500000000000000,11751950.060000000521541
20140730,3894833.300000000279397,3562495.889999999664724,4346998.500000000000000,11804328.689999999478459
20140731,3793644.199999999720603,3508166.719999999739230,4288785.500000000000000,11590597.419999999925494
20140801,3814675.659999999683350,3487742.219999999739230,4269803.000000000000000,11572221.879999998956919
20140804,3793247.380000000353903,3563721.359999999869615,4309033.500000000000000,11666003.240000000223517
20140805,3774596.840000000316650,3543705.350000000093132,4153377.000000000000000,11471680.190000001341105
20140806,3768247.719999999739230,3537169.510000000242144,4157173.500000000000000,11462591.730000000447035
20140807,3749200.360000000335276,3493052.590000000316650,4135660.000000000000000,11377913.950000001117587
20140808,3759517.679999999701977,3547790.250000000000000,4125536.000000000000000,11432844.929999999701977
20140811,3809120.179999999701977,3574342.100000000093132,4178687.000000000465661,11562150.279999999329448
