訓練日期,20150518 - 20150818
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10433088.339999999850988
真實報酬,433088.339999999850988

夏普值報酬,0.034608834000000
夏普值風險,0.018687905667296
夏普值,1.851937537364908

預期報酬,8455.161302941329268
風險,97586.584849486345774
趨勢值,0.086642660115448
找到最佳解世代,1754
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
GS[8](8),NKE[19](1),PFE[20](4),
Stock#,GS[8](8),NKE[19](1),PFE[20](4),
張數,16422,63504,98068,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,159.660000000149012,8.040000000037253,1.679999999701977,
20150518,3361086.180000000167638,3326347.560000000055879,3332352.319999999366701,10019787.059999998658895
20150519,3373238.460000000428408,3322537.319999999832362,3354907.959999999962747,10050684.740000000223517
20150520,3367983.420000000391155,3321902.280000000260770,3363734.079999999608845,10053620.780000001192093
20150521,3365848.560000000055879,3314916.840000000316650,3369618.159999999683350,10050384.560000000521541
20150522,3412651.260000000242144,3316186.919999999925494,3361772.719999999739230,10090611.899999998509884
20150526,3389332.020000000018626,3283799.879999999888241,3345101.159999999683350,10018234.060000000521541
20150527,3433342.979999999981374,3265383.720000000204891,3363734.079999999608845,10062461.779999999329448
20150528,3423818.220000000204891,3248237.640000000130385,3377463.599999999627471,10049520.460000000894070
20150529,3386211.840000000316650,3228551.400000000372529,3407864.679999999701977,10022628.919999999925494
20150601,3412815.479999999981374,3231091.560000000055879,3389231.759999999776483,10033139.800000000745058
20150602,3390153.120000000111759,3242522.280000000260770,3382367.000000000000000,10015043.400000000372529
20150603,3420698.040000000037253,3255223.080000000074506,3374521.559999999590218,10050443.679999999701977
20150604,3430222.800000000279397,3237441.959999999962747,3357850.000000000000000,10025515.759999999776483
20150605,3456169.560000000055879,3239982.120000000111759,3343139.799999999813735,10039292.480000000447035
20150608,3445331.040000000037253,3220930.919999999925494,3332352.319999999366701,9998615.279999999329448
20150609,3432686.100000000093132,3218390.760000000242144,3335294.359999999403954,9986372.219999998807907
20150610,3500180.520000000018626,3281259.720000000204891,3364714.759999999776483,10146156.000000000000000
20150611,3513482.340000000316650,3298405.799999999813735,3379424.959999999962747,10191314.100000001490116
20150612,3499030.979999999981374,3295230.600000000093132,3354907.959999999962747,10149170.539999999105930
20150615,3477682.379999999888241,3281894.760000000242144,3338236.399999999441206,10097814.539999999105930
20150616,3507241.979999999981374,3319997.160000000149012,3338236.399999999441206,10165476.539999999105930
20150617,3496896.120000000111759,3326347.560000000055879,3332352.319999999366701,10155597.000000000000000
