訓練日期,20190626 - 20190926
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10959514.689999999478459
真實報酬,959514.689999999478459

夏普值報酬,0.087251469000000
夏普值風險,0.028111705899829
夏普值,3.103741527138381

預期報酬,14929.213288101213038
風險,116211.736583656471339
趨勢值,0.128465624273278
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),KO[14](3),PG[21](1),
Stock#,AAPL[0](2),KO[14](3),PG[21](1),
張數,17044,64399,29836,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,37.919999999925494,40.760000000242144,55.080000000074506,
20190626,3405429.120000000111759,3292117.640000000130385,3273959.360000000335276,9971507.120000001043081
20190627,3404406.479999999981374,3289541.680000000167638,3275451.160000000149012,9969400.320000000298023
20190628,3373386.399999999906868,3279237.840000000316650,3271572.480000000447035,9924197.720000000670552
20190701,3435256.120000000111759,3323029.160000000149012,3296634.719999999739230,10054921.000000000000000
20190702,3455368.039999999571592,3347500.780000000260770,3326172.360000000335276,10129042.179999999701977
20190703,3484001.959999999962747,3355228.660000000149012,3403745.959999999962747,10242977.580000000074506
20190705,3480934.039999999571592,3355872.650000000372529,3375998.480000000447035,10212806.169999999925494
20190708,3409178.800000000279397,3348788.760000000242144,3402850.879999999888241,10160819.440000001341105
20190709,3429972.479999999981374,3322385.170000000391155,3368837.839999999850988,10121196.490000000223517
20190710,3463890.039999999571592,3337196.940000000409782,3393900.080000000074506,10194988.060000000521541
20190711,3438664.919999999925494,3351364.720000000204891,3412696.759999999776483,10202727.400000000372529
20190712,3465083.120000000111759,3356516.640000000130385,3430896.719999999739230,10252497.480000000447035
20190715,3497637.160000000149012,3357160.630000000353903,3445516.360000000335276,10300315.150000002235174
20190716,3485535.919999999925494,3357804.620000000111759,3457749.120000000111759,10301090.660000000149012
20190717,3465935.319999999832362,3360380.580000000074506,3459240.919999999925494,10285557.820000000298023
20190718,3505306.959999999962747,3350720.730000000447035,3444322.919999999925494,10300351.609999999403954
20190719,3452981.879999999888241,3309505.370000000111759,3431493.440000000409782,10193981.690000001341105
20190722,3531895.600000000093132,3298557.540000000037253,3440145.879999999888241,10270600.019999999552965
20190723,3559506.879999999888241,3498838.430000000167638,3396883.679999999701977,10455229.990000000223517
20190724,3556609.399999999906868,3463418.980000000447035,3359588.679999999701977,10379618.060000000521541
20190725,3528486.800000000279397,3417695.690000000409782,3364660.799999999813735,10310844.289999999105930
20190726,3540758.479999999981374,3488534.590000000316650,3423139.360000000335276,10452433.429999999701977
20190729,3573823.839999999850988,3476942.770000000484288,3461031.080000000074506,10511798.690000001341105
20190730,3558484.239999999757856,3459555.040000000037253,3592607.839999999850988,10610648.119999999180436
20190731,3631091.679999999701977,3389360.130000000353903,3521896.520000000484288,10542349.330000001937151
20190801,3552518.839999999850988,3350720.730000000447035,3482811.360000000335276,10386051.929999999701977
20190802,3477354.800000000279397,3370040.430000000167638,3474158.919999999925494,10321555.150000000372529
20190805,3295324.879999999888241,3326249.110000000335276,3373909.959999999962747,9995484.949999999254942
20190806,3357705.919999999925494,3366176.490000000223517,3409713.160000000149012,10133596.570000000298023
20190807,3392475.679999999701977,3424779.580000000074506,3446709.799999999813735,10263966.059999998658895
20190808,3467298.839999999850988,3457623.070000000298023,3503994.919999999925494,10428917.830000000074506
20190809,3425711.479999999981374,3440235.340000000316650,3484303.160000000149012,10350250.980000000447035
20190812,3417019.039999999571592,3426067.560000000521541,3461926.160000000149012,10305013.759999999776483
20190813,3561722.600000000093132,3445387.260000000242144,3498326.080000000074506,10505436.940000001341105
20190814,3455708.919999999925494,3412543.770000000484288,3454765.520000000484288,10323019.210000000894070
20190815,3438494.479999999981374,3469214.890000000130385,3502503.120000000111759,10410213.490000000223517
20190816,3519623.919999999925494,3503990.350000000093132,3555909.560000000055879,10579524.830000000074506
20190819,3585243.319999999832362,3522022.070000000298023,3587535.719999999739230,10694802.109999999403954
20190820,3585413.760000000242144,3469858.880000000353903,3547555.480000000447035,10602829.120000001043081
20190821,3624274.079999999608845,3484026.660000000149012,3556506.280000000260770,10664808.019999999552965
20190822,3621206.160000000149012,3509142.270000000484288,3563070.200000000186265,10693419.630000000819564
20190823,3453834.079999999608845,3460843.020000000484288,3500414.600000000093132,10415092.699999999254942
20190826,3519453.479999999981374,3512362.220000000204891,3560086.600000000093132,10591903.300000000745058
20190827,3479740.959999999962747,3523954.040000000037253,3596784.879999999888241,10600480.879999998956919
20190828,3503091.239999999757856,3549069.650000000372529,3622145.480000000447035,10674307.370000001043081
20190829,3562404.359999999869615,3545205.709999999962747,3615581.560000000055879,10723192.630000000819564
20190830,3557802.479999999981374,3544561.720000000204891,3587237.360000000335276,10689602.560000000521541
20190903,3505988.719999999739230,3561305.459999999962747,3620952.040000000037253,10688247.219999998807907
20190904,3565472.279999999795109,3591572.990000000223517,3676148.639999999664724,10833194.910000000149012
20190905,3635182.239999999757856,3549713.640000000130385,3662722.440000000409782,10847619.320000000298023
20190906,3634841.359999999869615,3556797.530000000260770,3666004.400000000372529,10857644.290000000968575
20190909,3650351.399999999906868,3511074.240000000223517,3645119.200000000186265,10806545.839999999850988
20190910,3693472.719999999739230,3503346.360000000335276,3576794.759999999776483,10773614.839999999850988
20190911,3810905.879999999888241,3527173.990000000223517,3618266.799999999813735,10956347.669999999925494
20190912,3802383.879999999888241,3549069.650000000372529,3663020.799999999813735,11014475.330000000074506
20190913,3728412.919999999925494,3494330.500000000000000,3643627.400000000372529,10866371.820000000298023
20190916,3748013.520000000018626,3475010.800000000279397,3572916.080000000074506,10795941.400000000372529
20190917,3761648.719999999739230,3493042.520000000484288,3614984.839999999850988,10869677.080000000074506
20190918,3796929.800000000279397,3492398.530000000260770,3622443.839999999850988,10911773.169999999925494
20190919,3766080.160000000149012,3511074.240000000223517,3637063.480000000447035,10914218.880000000819564
20190920,3711028.039999999571592,3471790.850000000093132,3647207.719999999739230,10830027.609999999403954
20190923,3727901.600000000093132,3486602.620000000111759,3676447.000000000000000,10890952.220000000670552
20190924,3710175.839999999850988,3496906.459999999962747,3688083.040000000037253,10895166.339999999850988
20190925,3767273.239999999757856,3488534.590000000316650,3670479.799999999813735,10926288.629999998956919
20190926,3747843.079999999608845,3502702.370000000111759,3708968.240000000223517,10959514.689999999478459
