訓練日期,20190513 - 20190813
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11044458.789999999105930
真實報酬,1044458.789999999105930

夏普值報酬,0.095745879000000
夏普值風險,0.030062206753377
夏普值,3.184925171511041

預期報酬,15765.760892542566580
風險,101274.889134131488390
趨勢值,0.155672951383456
找到最佳解世代,2572
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](4),
Stock#,KO[14](1),MCD[15](4),
張數,103755,25001,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,46.549999999813735,50.009999999776483,
20190513,4985474.299999999813735,4975999.040000000037253,9961473.339999999850988
20190514,5051877.500000000000000,4950498.019999999552965,10002375.519999999552965
20190515,5102717.450000000186265,4976999.079999999143183,10079716.529999999329448
20190516,5144219.449999999254942,5000000.000000000000000,10144219.449999999254942
20190517,5104792.549999999813735,4980749.229999999515712,10085541.779999999329448
20190520,5068478.299999999813735,4974999.000000000000000,10043477.300000000745058
20190521,5042539.549999999813735,4996249.849999999627471,10038789.399999998509884
20190522,5151482.299999999813735,4999249.969999999739230,10150732.269999999552965
20190523,5172233.299999999813735,4974498.979999999515712,10146732.279999999329448
20190524,5147332.099999999627471,4944497.780000000260770,10091829.879999998956919
20190528,5094417.049999999813735,4916996.679999999701977,10011413.730000000447035
20190529,5043577.099999999627471,4900746.030000000260770,9944323.129999998956919
20190530,5109980.299999999813735,4981249.250000000000000,10091229.550000000745058
20190531,5097529.700000000186265,4956998.280000000260770,10054527.980000000447035
20190603,5185721.449999999254942,4969748.790000000037253,10155470.239999998360872
20190604,5187796.549999999813735,4990999.639999999664724,10178796.189999999478459
20190605,5268725.450000000186265,5003500.139999999664724,10272225.589999999850988
20190606,5333053.549999999813735,5076503.060000000521541,10409556.609999999403954
20190607,5342391.500000000000000,5137255.489999999292195,10479646.989999998360872
20190610,5330978.450000000186265,5032751.310000000521541,10363729.760000001639128
20190611,5325790.699999999254942,5081753.269999999552965,10407543.969999998807907
20190612,5357954.750000000000000,5123504.940000000409782,10481459.690000001341105
20190613,5305039.700000000186265,5112504.500000000000000,10417544.199999999254942
20190614,5323715.599999999627471,5132505.299999999813735,10456220.899999998509884
20190617,5278063.399999999441206,5095503.820000000298023,10373567.219999998807907
20190618,5254199.750000000000000,5113004.519999999552965,10367204.269999999552965
20190619,5304002.149999999441206,5114004.560000000521541,10418006.710000000894070
20190620,5360029.849999999627471,5128255.129999999888241,10488284.980000000447035
20190621,5348616.799999999813735,5106754.269999999552965,10455371.070000000298023
20190624,5387006.150000000372529,5098253.929999999701977,10485260.080000000074506
20190625,5370405.349999999627471,5143005.719999999739230,10513411.070000000298023
20190626,5304002.149999999441206,5114004.560000000521541,10418006.710000000894070
20190627,5299851.949999999254942,5157006.280000000260770,10456858.230000000447035
20190628,5283251.150000000372529,5191757.669999999925494,10475008.820000000298023
20190701,5353804.549999999813735,5157756.310000000521541,10511560.859999999403954
20190702,5393231.449999999254942,5239759.589999999850988,10632991.039999999105930
20190703,5405682.049999999813735,5320512.820000000298023,10726194.870000001043081
20190705,5406719.599999999627471,5281261.250000000000000,10687980.849999999627471
20190708,5395306.549999999813735,5304262.169999999925494,10699568.719999998807907
20190709,5352767.000000000000000,5302512.099999999627471,10655279.099999999627471
20190710,5376630.649999999441206,5325263.009999999776483,10701893.660000000149012
20190711,5399456.750000000000000,5317512.699999999254942,10716969.449999999254942
20190712,5407757.149999999441206,5325013.000000000000000,10732770.149999998509884
20190715,5408794.700000000186265,5355514.219999999739230,10764308.919999999925494
20190716,5409832.250000000000000,5343263.729999999515712,10753095.980000000447035
20190717,5413982.450000000186265,5343013.719999999739230,10756996.169999999925494
20190718,5398419.200000000186265,5398015.919999999925494,10796435.120000001043081
20190719,5332016.000000000000000,5347013.879999999888241,10679029.879999998956919
20190722,5314377.649999999441206,5375265.009999999776483,10689642.660000000149012
20190723,5637055.699999999254942,5358014.320000000298023,10995070.019999999552965
20190724,5579990.450000000186265,5319762.790000000037253,10899753.240000000223517
20190725,5506324.399999999441206,5361264.449999999254942,10867588.849999997764826
20190726,5620454.900000000372529,5389765.589999999850988,11010220.490000000223517
20190729,5601779.000000000000000,5374764.989999999292195,10976543.989999998360872
20190730,5573765.149999999441206,5308762.349999999627471,10882527.500000000000000
20190731,5460672.200000000186265,5268260.729999999515712,10728932.929999999701977
20190801,5398419.200000000186265,5281511.259999999776483,10679930.460000000894070
20190802,5429545.699999999254942,5362264.489999999292195,10791810.189999997615814
20190805,5358992.299999999813735,5261510.459999999031425,10620502.759999997913837
20190806,5423320.400000000372529,5352264.089999999850988,10775584.490000000223517
20190807,5517737.450000000186265,5421016.839999999850988,10938754.289999999105930
20190808,5570652.500000000000000,5450518.019999999552965,11021170.519999999552965
20190809,5542638.650000000372529,5529021.160000000149012,11071659.810000000521541
20190812,5519812.549999999813735,5429267.169999999925494,10949079.719999998807907
20190813,5550939.049999999813735,5493519.739999999292195,11044458.789999999105930
