代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12176371.339999999850988
真實報酬,2176371.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10076.923248098721160
風險,237392.880347741214791
起點值,0.042448295978117
找到最佳解世代,1483
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](1),UNH[23](4),V[25](3),
Stock#,NKE[19](1),UNH[23](4),V[25](3),
張數,70145,33075,50306,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,42.599999999627471,34.500000000000000,57.439999999944121,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3279321.349999999627471,3278428.500000000000000,3259383.180000000167638,9817134.029999999329448
FS( 3 ),3260382.199999999254942,3271813.500000000000000,3238757.719999999739230,9770954.419999998062849
FS( 4 ),3327721.399999999441206,3305219.250000000000000,3282020.879999999888241,9914962.529999999329448
FS( 5 ),3404179.449999999720603,3462987.000000000000000,3325787.100000000093132,10192954.549999998882413
FS( 6 ),3367002.599999999627471,3430573.500000000000000,3276487.219999999739230,10074064.320000000298023
FS( 7 ),3362092.449999999720603,3391875.750000000000000,3270450.500000000000000,10024419.699999999254942
FS( 8 ),3332631.549999999348074,3409074.750000000000000,3279505.579999999608845,10021212.879999998956919
FS( 9 ),3287037.299999999813735,3417674.250000000000000,3214107.779999999795109,9918820.330000000074506
FS( 10 ),3255472.049999999348074,3455049.000000000000000,3183421.120000000111759,9893943.169999998062849
FS( 11 ),3261785.099999999627471,3498377.250000000000000,3206561.879999999888241,9966725.230000000447035
FS( 12 ),3283530.049999999813735,3493416.000000000000000,3230205.699999999720603,10007152.750000000000000
FS( 13 ),3280022.799999999348074,3615793.500000000000000,3235739.359999999403954,10131556.659999998286366
