代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12782984.820000000298023
真實報酬,2782984.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10258.811918906179926
風險,250223.592935751774348
起點值,0.040998579704434
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,2
IBM[10](2),MCD[15](3),
Stock#,IBM[10](2),MCD[15](3),
張數,33902,65274,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,133.040000000037253,11.600000000558794,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5005424.319999999366701,4850522.540000000968575,9855946.859999999403954
FS( 3 ),4985422.140000000596046,4873368.440000000409782,9858790.580000001937151
FS( 4 ),5040004.360000000335276,4843995.140000000596046,9883999.500000000000000
FS( 5 ),5015255.900000000372529,4854438.980000000447035,9869694.880000000819564
FS( 6 ),5005424.319999999366701,4801567.040000000968575,9806991.359999999403954
FS( 7 ),4993219.599999999627471,4823760.200000001117587,9816979.800000000745058
FS( 8 ),5054921.240000000223517,4804178.000000000000000,9859099.240000000223517
FS( 9 ),5045428.679999999701977,4743473.180000000633299,9788901.859999999403954
FS( 10 ),5085433.040000000037253,4834204.040000000968575,9919637.080000001937151
FS( 11 ),5107469.339999999850988,4874673.920000000856817,9982143.260000001639128
FS( 12 ),5278335.419999999925494,4918407.500000000000000,10196742.919999999925494
FS( 13 ),5282064.640000000596046,4906005.440000000409782,10188070.080000001937151
FS( 14 ),5271894.040000000037253,4896214.340000000782311,10168108.380000000819564
FS( 15 ),5411909.299999999813735,4920365.720000000670552,10332275.019999999552965
FS( 16 ),5473271.919999999925494,4926893.120000001043081,10400165.040000000968575
FS( 17 ),5459711.120000000111759,4906658.180000000633299,10366369.300000000745058
FS( 18 ),5460728.179999999701977,4853133.500000000000000,10313861.679999999701977
FS( 19 ),5397670.459999999962747,4783290.320000000298023,10180960.780000001192093
FS( 20 ),5492257.040000000037253,4808747.180000000633299,10301004.220000000670552
FS( 21 ),5545144.160000000149012,4795692.380000000819564,10340836.540000000968575
FS( 22 ),5536329.640000000596046,4806788.960000000894070,10343118.600000001490116
FS( 23 ),5544127.099999999627471,4819191.020000000484288,10363318.120000001043081
FS( 24 ),5560061.040000000037253,4833551.300000000745058,10393612.339999999850988
FS( 25 ),5587860.679999999701977,4794386.900000000372529,10382247.580000000074506
FS( 26 ),5629560.140000000596046,4919060.240000000223517,10548620.380000000819564
FS( 27 ),5582097.339999999850988,4956266.420000000856817,10538363.760000001639128
FS( 28 ),5563112.219999999739230,4945169.840000000782311,10508282.060000000521541
FS( 29 ),5554975.740000000223517,4969973.960000000894070,10524949.700000001117587
FS( 30 ),5533617.480000000447035,4976501.360000000335276,10510118.839999999850988
FS( 31 ),5520734.719999999739230,4970626.700000001117587,10491361.420000001788139
FS( 32 ),5539719.839999999850988,4962141.080000000074506,10501860.919999999925494
FS( 33 ),5568197.520000000484288,4959530.120000001043081,10527727.640000000596046
FS( 34 ),5588538.719999999739230,4969321.220000000670552,10557859.940000001341105
FS( 35 ),5490561.939999999478459,4941253.400000000372529,10431815.339999999850988
FS( 36 ),5430555.400000000372529,4907963.660000000149012,10338519.060000000521541
FS( 37 ),5450557.580000000074506,4909269.140000000596046,10359826.720000000670552
FS( 38 ),5501749.599999999627471,4859008.160000000149012,10360757.759999999776483
FS( 39 ),5488188.799999999813735,4939947.920000000856817,10428136.720000000670552
FS( 40 ),5423435.980000000447035,4888381.460000000894070,10311817.440000001341105
FS( 41 ),5429877.360000000335276,4875326.660000000149012,10305204.019999999552965
FS( 42 ),5542432.000000000000000,4976501.360000000335276,10518933.359999999403954
FS( 43 ),5486493.700000000186265,4962793.820000000298023,10449287.519999999552965
FS( 44 ),5422079.900000000372529,4979765.060000000521541,10401844.960000000894070
FS( 45 ),5501749.599999999627471,4930809.560000000521541,10432559.160000000149012
FS( 46 ),5623118.760000000707805,4946475.320000000298023,10569594.080000001937151
FS( 47 ),5492935.080000000074506,5005221.920000000856817,10498157.000000000000000
FS( 48 ),5506834.900000000372529,5008485.620000001043081,10515320.520000001415610
FS( 49 ),5471576.819999999366701,4939295.180000000633299,10410872.000000000000000
FS( 50 ),5391229.080000000074506,4903394.480000000447035,10294623.560000000521541
FS( 51 ),5187139.040000000037253,4789817.720000000670552,9976956.760000001639128
FS( 52 ),5227143.400000000372529,4791123.200000001117587,10018266.600000001490116
FS( 53 ),5285115.819999999366701,4764360.860000000335276,10049476.679999999701977
FS( 54 ),5345800.400000000372529,4814621.840000000782311,10160422.240000002086163
FS( 55 ),5356649.040000000037253,4821801.980000000447035,10178451.019999999552965
FS( 56 ),5408519.099999999627471,4864882.820000000298023,10273401.919999999925494
FS( 57 ),5425809.120000000111759,4890992.420000000856817,10316801.540000000968575
FS( 58 ),5498359.400000000372529,4911880.100000000558794,10410239.500000000000000
FS( 59 ),5470898.780000000260770,4895561.600000000558794,10366460.380000000819564
FS( 60 ),5522090.799999999813735,4919712.980000000447035,10441803.780000001192093
FS( 61 ),5546500.240000000223517,4948433.540000000968575,10494933.780000001192093
FS( 62 ),5528532.179999999701977,4966710.260000000707805,10495242.440000001341105
FS( 63 ),5569214.580000000074506,4960182.860000000335276,10529397.440000001341105
FS( 64 ),5568536.540000000037253,4986292.460000000894070,10554829.000000000000000
FS( 65 ),5559722.020000000484288,5000000.000000000000000,10559722.019999999552965
FS( 66 ),5561417.120000000111759,5007832.880000000819564,10569250.000000000000000
FS( 67 ),5572943.799999999813735,4961488.340000000782311,10534432.140000000596046
FS( 68 ),5561756.140000000596046,4963446.560000000521541,10525202.700000001117587
FS( 69 ),5558365.939999999478459,4977154.100000000558794,10535520.039999999105930
FS( 70 ),5534634.540000000037253,5003916.440000000409782,10538550.980000000447035
