代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13610552.199999999254942
真實報酬,3610552.199999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14567.294010103600158
風險,170518.921757755277213
起點值,0.085429193780608
找到最佳解世代,2029
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](6),DD[7](1),MRK[17](15),PFE[20](19),UNH[23](9),
Stock#,BA[2](6),DD[7](1),MRK[17](15),PFE[20](19),UNH[23](9),
張數,23460,44772,45095,69348,33915,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.000000000000000,34.760000000009313,36.750000000000000,3.679999999934807,32.449999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1972786.400000000139698,1973584.520000000018626,2025253.199999999953434,2027045.719999999972060,2093944.550000000046566,10092614.390000000596046
FS( 3 ),1979120.600000000093132,1976718.560000000055879,2045545.949999999953434,2013176.120000000111759,2091570.500000000000000,10106131.730000000447035
FS( 4 ),1992962.000000000000000,2004029.479999999981374,2043742.149999999906868,2022191.359999999869615,2103779.900000000372529,10166704.890000000596046
FS( 5 ),2021583.199999999953434,1970002.760000000009313,2035174.100000000093132,2018030.479999999981374,2106153.950000000186265,10150944.490000002086163
FS( 6 ),2035190.000000000000000,1956123.439999999944121,2050957.349999999860302,2022191.359999999869615,2099031.799999999813735,10163493.949999999254942
FS( 7 ),2045981.599999999860302,2004477.200000000186265,2052310.199999999953434,2018723.959999999962747,2108867.150000000372529,10230360.109999999403954
FS( 8 ),2060292.199999999953434,2029549.520000000018626,2112286.550000000279397,2074895.840000000083819,2116667.599999999627471,10393691.709999999031425
FS( 9 ),2076948.800000000046566,2031340.399999999906868,2128971.700000000186265,2124826.400000000372529,2135999.149999999441206,10498086.449999999254942
FS( 10 ),2085394.399999999906868,2024176.880000000121072,2124462.200000000186265,2126906.839999999850988,2137694.900000000372529,10498635.220000000670552
FS( 11 ),2035659.199999999953434,1924335.319999999832362,2095150.449999999953434,2111650.280000000260770,2088857.300000000046566,10255652.550000000745058
FS( 12 ),2038474.399999999906868,1930155.679999999934807,2117697.950000000186265,2145630.799999999813735,2130233.599999999627471,10362192.429999999701977
FS( 13 ),2033782.399999999906868,1931946.560000000055879,2108678.949999999720603,2140776.440000000409782,2103779.900000000372529,10318964.250000000000000
FS( 14 ),2020410.200000000186265,1924335.319999999832362,2099659.950000000186265,2121359.000000000000000,2024418.799999999813735,10190183.269999999552965
FS( 15 ),2063576.599999999860302,1948064.479999999981374,2141598.300000000279397,2153952.559999999590218,2036289.049999999813735,10343480.990000000223517
FS( 16 ),2039647.399999999906868,1975823.120000000111759,2160989.149999999906868,2144937.320000000298023,2008478.750000000000000,10329875.740000000223517
FS( 17 ),2068737.800000000046566,2018804.240000000223517,2193006.600000000093132,2155339.519999999552965,1985416.549999999813735,10421304.710000000894070
FS( 18 ),2130906.799999999813735,2051040.080000000074506,2162342.000000000000000,2122052.480000000447035,1993895.299999999813735,10460236.660000000149012
FS( 19 ),2150613.200000000186265,2166104.120000000111759,2135285.000000000000000,2098474.160000000149012,2012548.550000000046566,10563025.030000001192093
FS( 20 ),2178296.000000000000000,2130734.240000000223517,2158734.399999999906868,2086685.000000000000000,2017296.649999999906868,10571746.290000000968575
FS( 21 ),2156009.000000000000000,2159388.320000000298023,2156479.649999999906868,2110263.320000000298023,2035271.599999999860302,10617411.890000000596046
FS( 22 ),2144513.600000000093132,2162074.639999999664724,2119501.750000000000000,2015950.040000000037253,2032558.399999999906868,10474598.430000001564622
FS( 23 ),2139117.800000000279397,2113720.879999999888241,2060427.299999999813735,2004160.879999999888241,2025436.250000000000000,10342863.109999999403954
FS( 24 ),2163281.599999999627471,2111930.000000000000000,2062231.099999999860302,2029819.639999999897555,2017296.649999999906868,10384558.989999998360872
FS( 25 ),2199175.399999999906868,2165208.679999999701977,2059525.400000000139698,2008321.760000000009313,1998304.250000000000000,10430535.490000000223517
FS( 26 ),2209732.399999999906868,2168342.719999999739230,2028409.849999999860302,1991678.239999999757856,2041715.449999999953434,10439878.659999998286366
FS( 27 ),2223808.400000000372529,2202369.439999999478459,2041487.400000000139698,2013176.120000000111759,2051889.949999999953434,10532731.309999998658895
FS( 28 ),2206213.400000000372529,2200578.559999999590218,2028860.800000000046566,1992371.719999999972060,2120059.099999999627471,10548083.580000000074506
FS( 29 ),2219585.600000000093132,2226546.320000000298023,2051408.300000000046566,1983356.479999999981374,2103101.599999999627471,10583998.299999998882413
FS( 30 ),2210905.399999999906868,2196996.799999999813735,2072152.000000000232831,1991678.239999999757856,2133625.099999999627471,10605357.539999999105930
FS( 31 ),2223104.600000000093132,2190281.000000000000000,2082072.900000000139698,2036754.439999999944121,2115989.299999999813735,10648202.239999998360872
FS( 32 ),2254775.600000000093132,2226994.040000000037253,2103718.500000000000000,2038834.879999999888241,2093605.399999999906868,10717928.419999999925494
FS( 33 ),2276124.199999999720603,2253409.519999999552965,2107326.099999999627471,2049930.559999999823049,2089535.599999999860302,10776325.979999998584390
FS( 34 ),2265801.799999999813735,2238187.040000000037253,2091091.899999999906868,2028432.679999999934807,2107510.549999999813735,10731023.969999998807907
FS( 35 ),2320698.200000000186265,2283854.479999999515712,2073955.800000000046566,2008321.760000000009313,2131251.049999999813735,10818081.289999999105930
