代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12700260.429999999701977
真實報酬,2700260.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11115.320288867393174
風險,419308.341253264690749
起點值,0.026508703012311
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),NKE[19](2),
Stock#,MCD[15](3),NKE[19](2),
張數,51926,100441,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,45.459999999962747,47.019999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4976114.040000000037253,5005022.049999999813735,9981136.089999999850988
FS( 3 ),4999480.740000000223517,5009039.689999999478459,10008520.429999999701977
FS( 4 ),5003115.559999999590218,5003013.229999999515712,10006128.789999999105930
FS( 5 ),5029078.559999999590218,5064282.239999999292195,10093360.799999998882413
FS( 6 ),5013500.759999999776483,5058255.779999999329448,10071756.539999999105930
FS( 7 ),5078408.259999999776483,5021092.609999999403954,10099500.869999999180436
FS( 8 ),5059714.899999999441206,4985938.259999999776483,10045653.160000000149012
FS( 9 ),5066984.540000000037253,4998995.589999999850988,10065980.129999998956919
FS( 10 ),5007788.899999999441206,5014061.739999999292195,10021850.639999998733401
FS( 11 ),4965728.839999999850988,5017074.969999999739230,9982803.809999998658895
FS( 12 ),4926784.339999999850988,4949779.500000000000000,9876563.839999999850988
FS( 13 ),4994288.140000000596046,5022097.019999999552965,10016385.160000000149012
FS( 14 ),4926265.080000000074506,5037163.169999998994172,9963428.250000000000000
FS( 15 ),5080485.299999999813735,5030132.299999999813735,10110617.599999999627471
FS( 16 ),5036867.459999999962747,5078343.979999999515712,10115211.439999999478459
FS( 17 ),5127218.699999999254942,5070308.699999999254942,10197527.399999998509884
FS( 18 ),5007788.899999999441206,5069304.289999999105930,10077093.189999997615814
FS( 19 ),5028040.040000000037253,5015066.149999999441206,10043106.189999999478459
FS( 20 ),5037905.979999999515712,5031136.709999999962747,10069042.689999999478459
FS( 21 ),5013500.759999999776483,4963841.239999999292195,9977342.000000000000000
FS( 22 ),5078408.259999999776483,5061269.009999999776483,10139677.269999999552965
FS( 23 ),4991691.839999999850988,5064282.239999999292195,10055974.079999998211861
FS( 24 ),4991691.839999999850988,5043189.629999999888241,10034881.469999998807907
FS( 25 ),5005192.599999999627471,5033145.529999999329448,10038338.129999998956919
FS( 26 ),5025443.740000000223517,5095418.949999999254942,10120862.689999999478459
FS( 27 ),5100736.440000000409782,5144635.039999999105930,10245371.480000000447035
FS( 28 ),5063349.720000000670552,5162714.419999998994172,10226064.140000000596046
FS( 29 ),5086197.160000000149012,5141621.809999999590218,10227818.969999998807907
FS( 30 ),5055041.559999999590218,5130573.299999999813735,10185614.859999999403954
FS( 31 ),5073734.919999999925494,5194855.539999999105930,10268590.459999999031425
FS( 32 ),5090870.500000000000000,5272195.109999999403954,10363065.609999999403954
FS( 33 ),5089831.979999999515712,5261146.599999999627471,10350978.579999998211861
FS( 34 ),5227955.140000000596046,5255120.139999999664724,10483075.280000001192093
FS( 35 ),5198357.320000000298023,5254115.729999999515712,10452473.050000000745058
FS( 36 ),5155258.740000000223517,5243067.219999999739230,10398325.960000000894070
FS( 37 ),5140200.199999999254942,5245076.039999999105930,10385276.239999998360872
FS( 38 ),5112679.419999999925494,5193851.129999999888241,10306530.550000000745058
FS( 39 ),5123064.620000000111759,5164723.239999999292195,10287787.859999999403954
FS( 40 ),5009865.940000000409782,5137604.169999998994172,10147470.109999999403954
FS( 41 ),4981306.640000000596046,5106467.459999999962747,10087774.100000001490116
FS( 42 ),4996365.179999999701977,5110485.099999999627471,10106850.279999999329448
FS( 43 ),5000000.000000000000000,5128564.479999999515712,10128564.480000000447035
FS( 44 ),5011942.979999999515712,5148652.679999999701977,10160595.660000000149012
FS( 45 ),5001038.520000000484288,5120529.199999999254942,10121567.719999998807907
FS( 46 ),4961055.500000000000000,5124546.839999999850988,10085602.339999999850988
FS( 47 ),4949631.779999999329448,5094414.539999999105930,10044046.319999998435378
FS( 48 ),4918995.440000000409782,5090396.899999999441206,10009392.339999999850988
FS( 49 ),4948593.259999999776483,5189833.489999999292195,10138426.750000000000000
FS( 50 ),4963651.799999999813735,5216952.559999999590218,10180604.359999999403954
FS( 51 ),4936131.020000000484288,5211930.509999999776483,10148061.530000001192093
FS( 52 ),4896667.259999999776483,5190837.899999999441206,10087505.160000000149012
FS( 53 ),4913802.839999999850988,5251102.500000000000000,10164905.339999999850988
FS( 54 ),4944439.179999999701977,5261146.599999999627471,10205585.779999999329448
FS( 55 ),4993768.879999999888241,5323420.019999999552965,10317188.899999998509884
FS( 56 ),4989095.540000000037253,5350539.089999999850988,10339634.629999998956919
FS( 57 ),5030117.080000000074506,5363596.419999998994172,10393713.500000000000000
FS( 58 ),5046214.140000000596046,5383684.620000000111759,10429898.760000001639128
FS( 59 ),5018174.099999999627471,5334468.529999999329448,10352642.629999998956919
FS( 60 ),4974037.000000000000000,5284248.029999999329448,10258285.029999999329448
FS( 61 ),5051926.000000000000000,5510240.279999999329448,10562166.279999999329448
FS( 62 ),4955862.899999999441206,5407790.459999999962747,10363653.359999999403954
FS( 63 ),4936650.279999999329448,5424865.429999999701977,10361515.709999999031425
FS( 64 ),4972479.220000000670552,5496178.539999999105930,10468657.759999999776483
FS( 65 ),4993768.879999999888241,5518275.559999999590218,10512044.439999999478459
FS( 66 ),4966767.360000000335276,5516266.739999999292195,10483034.099999999627471
FS( 67 ),5020251.140000000596046,5589588.669999998994172,10609839.809999998658895
FS( 68 ),4976633.299999999813735,5488143.259999999776483,10464776.559999998658895
FS( 69 ),5010385.199999999254942,5496178.539999999105930,10506563.739999998360872
FS( 70 ),5070619.360000000335276,5550416.679999999701977,10621036.039999999105930
FS( 71 ),5111121.640000000596046,5645835.629999999888241,10756957.269999999552965
FS( 72 ),5129295.740000000223517,5641817.989999999292195,10771113.730000000447035
FS( 73 ),5144354.279999999329448,5619720.969999999739230,10764075.250000000000000
FS( 74 ),5081523.820000000298023,5641817.989999999292195,10723341.809999998658895
FS( 75 ),5062830.459999999962747,5664919.419999998994172,10727749.879999998956919
FS( 76 ),5062311.199999999254942,5681994.389999999664724,10744305.589999999850988
FS( 77 ),5053483.779999999329448,5674963.519999999552965,10728447.299999998882413
FS( 78 ),5066984.540000000037253,5730206.069999999366701,10797190.609999999403954
