代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12253874.339999999850988
真實報酬,2253874.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9454.950272271116773
風險,180053.537024399614893
起點值,0.052511883012828
找到最佳解世代,1643
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](5),PG[21](2),WMT[28](19),
Stock#,JNJ[12](1),MRK[17](5),PG[21](2),WMT[28](19),
張數,26832,50638,34746,38898,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,62.560000000055879,1.939999999944121,25.299999999813735,25.540000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2520392.320000000298023,2538991.259999999776483,2516330.619999999646097,2527617.580000000074506,10103331.779999999329448
FS( 3 ),2542662.880000000353903,2594186.679999999701977,2544127.419999999925494,2562236.800000000279397,10243213.780000001192093
FS( 4 ),2506708.000000000000000,2521774.339999999850988,2550381.700000000186265,2554846.180000000167638,10133710.220000000670552
FS( 5 ),2548565.920000000391155,2580008.040000000037253,2561500.419999999925494,2581296.819999999832362,10271371.200000001117587
FS( 6 ),2551249.120000000111759,2583552.700000000186265,2585127.700000000186265,2601523.779999999795109,10321453.300000000745058
FS( 7 ),2559030.400000000372529,2580008.040000000037253,2587907.379999999888241,2594133.160000000149012,10321078.980000000447035
FS( 8 ),2575666.239999999757856,2567854.919999999925494,2582695.479999999981374,2603468.680000000167638,10329685.320000000298023
FS( 9 ),2561176.959999999962747,2505063.799999999813735,2575051.359999999869615,2595689.080000000074506,10236981.199999999254942
FS( 10 ),2536491.520000000018626,2508608.459999999962747,2578525.959999999497086,2335072.479999999981374,9958698.419999999925494
FS( 11 ),2606791.360000000335276,2568361.299999999813735,2580610.719999999739230,2307843.879999999888241,10063607.259999999776483
FS( 12 ),2636038.239999999757856,2606846.179999999701977,2602500.700000000186265,2290728.760000000242144,10136113.880000000819564
