二次加權,一次,二次平均
result_train_2009_01(2009 Q1).csv
IBM[10](2)UNH[23](1),WBA[27](1),IBM[10](1)WBA[27](2)
result_train_2009_02(2009 Q1).csv
V[25](1)WMT[28](2),V[25](1)WMT[28](2),V[25](1)WMT[28](2)
result_train_2009_03(2009 Q1).csv
KO[14](1)WMT[28](2),BA[2](3)CVX[5](1)JNJ[12](12)PFE[20](10)WMT[28](13),BA[2](7)JNJ[12](4)WMT[28](1)
result_train_2009_04(2009 Q1).csv
AAPL[0](5)AXP[1](1)DD[7](3)WBA[27](6),AAPL[0](2)AXP[1](3)DD[7](1)WBA[27](4),AAPL[0](1)MMM[16](4)WBA[27](5)
result_train_2009_05(2009 Q1).csv
KO[14](2)MCD[15](3)MRK[17](1),KO[14](2)MCD[15](3)MRK[17](1)PFE[20](5),KO[14](2)MCD[15](3)MRK[17](1)
result_train_2009_06(2009 Q1).csv
JNJ[12](5)MSFT[18](2)VZ[26](1),MSFT[18](1)VZ[26](2),MSFT[18](2)VZ[26](1)
result_train_2009_07(2009 Q1).csv
NKE[19](15)UNH[23](5)VZ[26](4)WMT[28](8),PG[21](1),MMM[16](2)NKE[19](23)UNH[23](5)WBA[27](7)WMT[28](10)
result_train_2009_08(2009 Q1).csv
INTC[11](1)PFE[20](3),AXP[1](2)PFE[20](12)TRV[22](1)UNH[23](11)WMT[28](7),AXP[1](7)INTC[11](8)PFE[20](4)TRV[22](2)UNH[23](15)WMT[28](14)
result_train_2009_09(2009 Q1).csv
KO[14](7)MSFT[18](3)PG[21](2)TRV[22](20),AAPL[0](2)MSFT[18](1)PG[21](3)TRV[22](30),KO[14](2)MSFT[18](1)PG[21](3)TRV[22](27)
result_train_2009_10(2009 Q1).csv
MSFT[18](1)PG[21](10)UNH[23](2)VZ[26](8),CVX[5](2)MSFT[18](3)PG[21](12),CVX[5](2)MSFT[18](1)PG[21](13)VZ[26](19)
result_train_2009_11(2009 Q1).csv
JNJ[12](2)MRK[17](1)VZ[26](4)WMT[28](3),DIS[6](8)MRK[17](3)VZ[26](12)WMT[28](1),AXP[1](4)MRK[17](3)UNH[23](17)WMT[28](1)
result_train_2009_12(2009 Q1).csv
AAPL[0](1)INTC[11](13)NKE[19](2)V[25](7),DIS[6](1)INTC[11](12)JNJ[12](3)V[25](9)VZ[26](7),AAPL[0](1)DIS[6](2)INTC[11](12)V[25](9)VZ[26](13)
result_train_2010_01(2010 Q1).csv
