代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13591235.679999999701977
真實報酬,3591235.679999999701977

夏普值報酬,0.350423568000000
夏普值風險,0.114102485548428
夏普值,3.071130013651388

二次趨勢線,63.755677984963114 x^2 + 536.119661230534689 x + 10000000.000000000000000
二次平均預期報酬,16602.550513441241492
風險,389557.117496633203700
二次平均趨勢值,0.042619040360839
一次趨勢線,12561.986889575093301 x + 10000000.000000000000000
一次預期報酬,12561.986889575093301
一次風險,596183.990218196064234
一次趨勢值,0.021070654522235
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,177872,
分配資金,10000000.000000000000000,
剩餘資金,36.160000000149012,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9985770.240000000223517,9985770.240000000223517
FS( 3 ),10147633.759999999776483,10147633.759999999776483
FS( 4 ),10136961.440000001341105,10136961.440000001341105
FS( 5 ),10078263.679999999701977,10078263.679999999701977
FS( 6 ),10103165.759999999776483,10103165.759999999776483
FS( 7 ),10192101.759999999776483,10192101.759999999776483
FS( 8 ),10245463.360000001266599,10245463.360000001266599
FS( 9 ),10434007.679999999701977,10434007.679999999701977
FS( 10 ),11040551.200000001117587,11040551.200000001117587
FS( 11 ),11033436.320000000298023,11033436.320000000298023
FS( 12 ),10873351.520000001415610,10873351.520000001415610
FS( 13 ),10900032.320000000298023,10900032.320000000298023
FS( 14 ),10894696.160000000149012,10894696.160000000149012
FS( 15 ),10974738.560000000521541,10974738.560000000521541
FS( 16 ),10882245.119999999180436,10882245.119999999180436
FS( 17 ),10903589.759999999776483,10903589.759999999776483
FS( 18 ),11035215.039999999105930,11035215.039999999105930
FS( 19 ),10962287.520000001415610,10962287.520000001415610
FS( 20 ),10787972.959999999031425,10787972.959999999031425
FS( 21 ),10538952.160000000149012,10538952.160000000149012
FS( 22 ),10647454.080000000074506,10647454.080000000074506
FS( 23 ),10416220.480000000447035,10416220.480000000447035
FS( 24 ),10032016.959999999031425,10032016.959999999031425
FS( 25 ),9864817.280000001192093,9864817.280000001192093
FS( 26 ),9939523.520000001415610,9939523.520000001415610
FS( 27 ),9734970.719999998807907,9734970.719999998807907
FS( 28 ),9759872.799999998882413,9759872.799999998882413
FS( 29 ),9859481.119999999180436,9859481.119999999180436
FS( 30 ),9765208.959999999031425,9765208.959999999031425
FS( 31 ),9765208.959999999031425,9765208.959999999031425
FS( 32 ),9959089.440000001341105,9959089.440000001341105
FS( 33 ),10012451.039999999105930,10012451.039999999105930
FS( 34 ),9779438.719999998807907,9779438.719999998807907
FS( 35 ),9702953.759999999776483,9702953.759999999776483
FS( 36 ),9706511.200000001117587,9706511.200000001117587
FS( 37 ),9759872.799999998882413,9759872.799999998882413
FS( 38 ),9971540.480000000447035,9971540.480000000447035
FS( 39 ),9733192.000000000000000,9733192.000000000000000
FS( 40 ),9644256.000000000000000,9644256.000000000000000
FS( 41 ),9551762.560000000521541,9551762.560000000521541
FS( 42 ),9669158.080000000074506,9669158.080000000074506
FS( 43 ),9676272.959999999031425,9676272.959999999031425
FS( 44 ),9658485.759999999776483,9658485.759999999776483
FS( 45 ),9688724.000000000000000,9688724.000000000000000
FS( 46 ),9740306.879999998956919,9740306.879999998956919
FS( 47 ),9807898.240000000223517,9807898.240000000223517
FS( 48 ),9847030.080000000074506,9847030.080000000074506
FS( 49 ),9848808.799999998882413,9848808.799999998882413
FS( 50 ),9747421.759999999776483,9747421.759999999776483
FS( 51 ),9827464.160000000149012,9827464.160000000149012
FS( 52 ),9902170.400000000372529,9902170.400000000372529
FS( 53 ),9717183.520000001415610,9717183.520000001415610
FS( 54 ),9718962.240000000223517,9718962.240000000223517
FS( 55 ),9727855.839999999850988,9727855.839999999850988
FS( 56 ),9626468.799999998882413,9626468.799999998882413
FS( 57 ),9500179.679999999701977,9500179.679999999701977
FS( 58 ),9612239.039999999105930,9612239.039999999105930
FS( 59 ),9560656.160000000149012,9560656.160000000149012
FS( 60 ),9799004.640000000596046,9799004.640000000596046
FS( 61 ),9688724.000000000000000,9688724.000000000000000
