代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11271146.339999999850988
真實報酬,1271146.339999999850988

夏普值報酬,0.118414634000000
夏普值風險,0.045802603364537
夏普值,2.585325402959150

二次趨勢線,365.586088724573187 x^2 + 1855.934395207941634 x + 10000000.000000000000000
二次加權預期報酬,32808.889907221797330
風險,90731.416863124701194
二次加權趨勢值,0.361604514087072
一次趨勢線,19265.892384233218763 x + 10000000.000000000000000
一次預期報酬,19265.892384233218763
一次風險,188671.759240917628631
一次趨勢值,0.102113281085339
找到最佳解世代,2095
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](23),BA[2](5),CVX[5](1),JPM[13](4),MSFT[18](16),VZ[26](6),
Stock#,AAPL[0](23),BA[2](5),CVX[5](1),JPM[13](4),MSFT[18](16),VZ[26](6),
張數,14812,12590,16268,25058,29025,32125,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,19.760000000009313,1.800000000046566,9.399999999906868,58.419999999925494,50.500000000000000,21.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1673775.760000000009313,1665029.300000000046566,1647469.759999999776483,1668921.219999999739230,1661441.500000000000000,1646748.500000000000000,9963390.039999999105930
FS( 3 ),1674516.359999999869615,1695371.199999999953434,1663087.040000000037253,1696234.439999999944121,1673051.500000000000000,1614944.750000000000000,10017209.289999999105930
FS( 4 ),1686958.439999999944121,1692349.599999999860302,1662273.640000000130385,1700744.880000000121072,1675954.000000000000000,1614623.500000000000000,10032908.059999998658895
FS( 5 ),1689476.479999999981374,1685173.300000000046566,1663737.759999999776483,1706758.799999999813735,1677695.500000000000000,1603701.000000000000000,10026546.839999999850988
FS( 6 ),1718952.359999999869615,1710227.400000000139698,1691556.040000000037253,1720039.540000000037253,1684661.500000000000000,1612374.750000000000000,10137815.589999999850988
FS( 7 ),1722655.359999999869615,1683788.400000000139698,1676264.120000000111759,1711770.399999999906868,1659990.250000000000000,1603058.500000000000000,10057531.029999999329448
FS( 8 ),1738059.840000000083819,1676486.199999999953434,1661785.600000000093132,1707259.959999999729916,1657668.250000000000000,1615908.500000000000000,10057172.350000001490116
FS( 9 ),1732727.520000000018626,1679256.000000000000000,1639661.120000000111759,1697487.339999999850988,1652153.500000000000000,1615587.250000000000000,10016876.730000000447035
FS( 10 ),1742355.319999999832362,1680766.800000000046566,1644378.839999999850988,1691974.579999999841675,1666666.000000000000000,1615266.000000000000000,10041411.539999999105930
FS( 11 ),1741170.359999999869615,1687061.800000000046566,1648933.879999999888241,1683204.280000000027940,1660861.000000000000000,1620084.750000000000000,10041320.070000000298023
FS( 12 ),1739985.399999999906868,1700910.800000000046566,1655929.120000000111759,1696485.020000000018626,1673632.000000000000000,1614944.750000000000000,10081891.089999999850988
FS( 13 ),1734801.200000000186265,1714508.000000000232831,1663737.759999999776483,1712772.719999999739230,1669858.750000000000000,1618478.500000000000000,10114160.929999999701977
FS( 14 ),1733912.479999999981374,1710227.400000000139698,1657230.560000000055879,1710517.500000000000000,1661731.750000000000000,1578643.500000000000000,10052267.189999999478459
FS( 15 ),1727098.959999999962747,1707583.500000000000000,1647957.799999999813735,1716280.839999999850988,1731682.000000000000000,1548446.000000000000000,10079053.099999999627471
FS( 16 ),1742651.560000000055879,1730497.299999999813735,1637546.279999999795109,1725802.880000000121072,1770575.500000000000000,1548767.250000000000000,10155844.769999999552965
FS( 17 ),1751538.760000000009313,1750263.600000000093132,1639335.759999999776483,1724048.819999999832362,1770285.250000000000000,1536881.000000000000000,10172357.189999999478459
