代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11305783.570000002160668
真實報酬,1305783.570000002160668

夏普值報酬,0.121878357000000
夏普值風險,0.039385750182835
夏普值,3.094478496263791

二次趨勢線,392.801894772178798 x^2 + -740.599351477428627 x + 10000000.000000000000000
二次加權預期報酬,30945.420160144996771
風險,81703.790844023795216
二次加權趨勢值,0.378751338713539
一次趨勢線,17081.569262566066755 x + 10000000.000000000000000
一次預期報酬,17081.569262566066755
一次風險,180873.384730383026181
一次趨勢值,0.094439374195538
找到最佳解世代,1576
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),BA[2](2),CAT[3](14),MRK[17](4),
Stock#,AAPL[0](1),BA[2](2),CAT[3](14),MRK[17](4),
張數,22833,16405,25976,41145,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.830000000074506,42.050000000279397,69.760000000242144,29.800000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2509361.530000000260770,2497703.300000000279397,2471426.400000000372529,2515223.650000000372529,9993714.880000000819564
FS( 3 ),2491323.459999999962747,2496226.850000000093132,2453502.960000000428408,2479016.050000000279397,9920069.320000002160668
FS( 4 ),2510503.180000000167638,2497539.250000000465661,2473504.479999999981374,2480250.400000000372529,9961797.310000000521541
FS( 5 ),2535162.820000000298023,2528708.750000000000000,2528313.840000000316650,2471198.500000000465661,10063383.910000000149012
FS( 6 ),2560050.790000000037253,2549215.000000000000000,2500779.280000000260770,2473667.200000000186265,10083712.269999999552965
FS( 7 ),2601835.180000000167638,2567260.500000000465661,2481557.040000000502914,2519338.150000000372529,10169990.870000001043081
FS( 8 ),2586993.729999999981374,2578251.850000000093132,2469867.840000000316650,2539499.200000000186265,10174612.620000001043081
FS( 9 ),2630148.100000000093132,2570049.350000000093132,2494285.280000000260770,2542379.350000000093132,10236862.080000000074506
FS( 10 ),2630148.100000000093132,2534122.400000000372529,2435060.000000000000000,2542790.800000000279397,10142121.300000000745058
FS( 11 ),2644532.890000000130385,2522638.900000000372529,2455581.040000000502914,2566243.450000000186265,10188996.280000001192093
FS( 12 ),2647957.839999999850988,2534614.550000000279397,2404927.840000000316650,2569123.600000000093132,10156623.830000000074506
FS( 13 ),2663255.950000000186265,2562174.950000000186265,2408304.720000000204891,2515635.100000000093132,10149370.720000000670552
FS( 14 ),2670334.180000000167638,2565620.000000000000000,2450645.600000000558794,2489302.300000000279397,10175902.080000000074506
FS( 15 ),2672845.810000000055879,2583501.450000000186265,2437138.080000000074506,2445277.150000000372529,10138762.490000000223517
FS( 16 ),2655264.400000000372529,2583173.350000000558794,2444930.880000000353903,2451448.900000000372529,10134817.530000001192093
FS( 17 ),2660515.989999999757856,2588915.100000000093132,2450126.080000000074506,2450626.000000000465661,10150183.169999999925494
FS( 18 ),2677412.410000000149012,2583501.450000000186265,2456100.560000000055879,2460089.350000000093132,10177103.769999999552965
FS( 19 ),2665995.910000000149012,2560862.550000000279397,2419734.160000000614673,2438693.950000000186265,10085286.570000000298023
FS( 20 ),2665310.920000000391155,2554136.500000000465661,2423370.800000000279397,2429230.600000000093132,10072048.820000000298023
FS( 21 ),2644532.890000000130385,2553972.450000000186265,2409084.000000000000000,2422235.950000000186265,10029825.289999999105930
FS( 22 ),2652067.780000000260770,2575134.900000000372529,2441554.000000000000000,2474901.550000000279397,10143658.230000000447035
FS( 23 ),2649099.489999999757856,2602203.150000000372529,2430644.080000000074506,2474078.650000000372529,10156025.370000001043081
FS( 24 ),2662570.959999999962747,2603679.600000000558794,2415837.760000000242144,2473255.750000000465661,10155344.070000000298023
FS( 25 ),2692253.859999999869615,2610077.550000000279397,2416876.800000000279397,2479838.950000000186265,10199047.160000000149012
FS( 26 ),2716913.500000000000000,2597281.650000000372529,2399472.880000000353903,2513989.300000000279397,10227657.330000001937151
FS( 27 ),2719653.459999999962747,2609585.400000000372529,2437397.840000000316650,2465438.200000000186265,10232074.900000002235174
FS( 28 ),2734266.580000000074506,2614999.050000000279397,2458698.160000000614673,2535796.150000000372529,10343759.940000001341105
FS( 29 ),2722850.080000000074506,2596789.500000000000000,2441554.000000000000000,2559660.250000000465661,10320853.830000000074506
FS( 30 ),2718055.150000000372529,2605648.200000000651926,2454282.240000000223517,2565009.100000000558794,10342994.690000001341105
FS( 31 ),2739974.830000000074506,2586618.399999999906868,2430644.080000000074506,2529624.400000000372529,10286861.710000000894070
FS( 32 ),2739746.500000000000000,2597281.650000000372529,2424409.840000000316650,2516869.450000000186265,10278307.440000001341105
FS( 33 ),2734951.570000000298023,2608437.050000000279397,2425708.640000000130385,2482307.650000000372529,10251404.910000002011657
FS( 34 ),2739974.830000000074506,2617131.700000000186265,2456879.840000000316650,2572826.650000000372529,10386813.020000001415610
FS( 35 ),2741801.470000000204891,2589407.250000000465661,2453762.720000000204891,2543202.250000000465661,10328173.690000001341105
FS( 36 ),2739289.839999999850988,2633864.800000000279397,2500000.000000000000000,2518515.250000000465661,10391669.890000000596046
FS( 37 ),2782900.870000000111759,2745582.850000000558794,2549614.160000000614673,2513166.400000000372529,10591264.280000001192093
FS( 38 ),2784270.850000000093132,2774455.650000000372529,2525456.479999999981374,2518103.800000000279397,10602286.780000001192093
FS( 39 ),2784499.180000000167638,2751160.550000000279397,2571434.000000000000000,2540733.550000000279397,10647827.280000001192093
FS( 40 ),2777192.620000000111759,2716217.900000000372529,2514286.800000000279397,2527567.150000000372529,10535264.470000000670552
FS( 41 ),2770799.379999999888241,2680947.149999999906868,2484933.919999999925494,2550608.350000000558794,10487288.800000000745058
FS( 42 ),2939763.580000000074506,2689969.900000000372529,2470647.120000000111759,2555134.300000000279397,10655514.900000000372529
FS( 43 ),2934740.320000000298023,2661917.350000000093132,2435839.280000000260770,2640715.900000000372529,10673212.850000001490116
FS( 44 ),2947298.470000000204891,2664214.050000000279397,2423111.040000000502914,2645241.850000000558794,10679865.410000000149012
FS( 45 ),2974926.399999999906868,2690133.950000000186265,2412460.880000000353903,2671986.100000000093132,10749507.330000000074506
FS( 46 ),3003239.320000000298023,2731474.550000000279397,2423890.320000000298023,2641538.800000000279397,10800142.990000002086163
FS( 47 ),3014884.149999999906868,2687345.100000000093132,2413499.919999999925494,2646476.200000000186265,10762205.370000001043081
FS( 48 ),3023560.689999999944121,2695055.450000000186265,2440774.720000000204891,2649356.350000000093132,10808747.210000000894070
FS( 49 ),3016710.790000000037253,2727045.200000000186265,2501818.320000000298023,2639481.550000000745058,10885055.860000001266599
FS( 50 ),3043425.399999999906868,2756574.200000000186265,2558705.760000000242144,2664991.450000000186265,11023696.809999998658895
FS( 51 ),3082926.490000000223517,2764284.550000000279397,2548055.600000000558794,2701610.500000000000000,11096877.140000000596046
FS( 52 ),3094114.659999999683350,2777408.550000000279397,2572213.280000000260770,2681038.000000000000000,11124774.490000000223517
FS( 53 ),3090461.379999999888241,2802180.100000000093132,2552471.520000000484288,2685152.500000000465661,11130265.500000000000000
FS( 54 ),3098909.589999999850988,2833349.600000000558794,2567797.359999999869615,2690501.350000000093132,11190557.900000000372529
FS( 55 ),3121285.929999999701977,2880103.850000000093132,2548315.359999999869615,2694204.400000000372529,11243909.539999999105930
FS( 56 ),3130647.460000000428408,2876822.850000000558794,2550912.960000000428408,2686386.850000000558794,11244770.120000001043081
FS( 57 ),3117404.320000000298023,2901430.350000000558794,2482076.560000000055879,2709428.049999999813735,11210339.280000001192093
FS( 58 ),3120372.609999999869615,2910945.250000000465661,2480258.240000000223517,2722183.000000000000000,11233759.100000001490116
FS( 59 ),3126537.520000000018626,2943591.200000000186265,2531171.200000000186265,2709428.049999999813735,11310727.970000002533197
FS( 60 ),3127907.500000000465661,2956715.200000000186265,2510909.919999999925494,2710250.950000000651926,11305783.570000002160668
