代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11641875.799999997019768
真實報酬,1641875.799999997019768

夏普值報酬,0.155487580000000
夏普值風險,0.049466678166767
夏普值,3.143279188382190

二次趨勢線,394.550110781976059 x^2 + 3878.348390345865482 x + 10000000.000000000000000
二次加權預期報酬,36757.524288843866088
風險,61137.311706035790849
二次加權趨勢值,0.601228991971117
一次趨勢線,22371.701182918583072 x + 10000000.000000000000000
一次預期報酬,22371.701182918583072
一次風險,183447.299308035639115
一次趨勢值,0.121951651876614
找到最佳解世代,2223
找到最佳解實驗#,9
找到最佳解次數,3

stock[index](rank)
投資組合檔數,5
CAT[3](7),MSFT[18](4),TRV[22](19),UTX[24](5),WMT[28](18),
Stock#,CAT[3](7),MSFT[18](4),TRV[22](19),UTX[24](5),WMT[28](18),
FS( 39 ),2311529.020000000018626,2060831.319999999599531,2019479.200000000186265,2124209.000000000000000,2257439.439999999944121,10773487.979999998584390
FS( 40 ),2324735.619999999646097,2061071.759999999776483,2032814.959999999962747,2133200.000000000000000,2260623.320000000298023,10812445.660000000149012
FS( 41 ),2312409.460000000428408,2056743.840000000083819,2032515.279999999795109,2124042.500000000000000,2245841.020000000018626,10771552.099999999627471
FS( 42 ),2304485.500000000000000,2066601.879999999888241,1977673.839999999850988,2133866.000000000000000,2242202.300000000279397,10724829.519999999552965
FS( 43 ),2308007.260000000242144,2076219.479999999748543,1983967.120000000111759,2165168.000000000000000,2261760.419999999925494,10795122.279999999329448
FS( 44 ),2339703.100000000093132,2094492.919999999925494,1983967.120000000111759,2171994.500000000000000,2263807.200000000186265,10853964.839999999850988
FS( 45 ),2376681.580000000074506,2120460.439999999478459,1980370.959999999962747,2190642.500000000000000,2277224.979999999981374,10945380.460000000894070
FS( 46 ),2436404.760000000242144,2122624.399999999441206,1969732.319999999832362,2211455.000000000000000,2310883.140000000130385,11051099.620000001043081
FS( 47 ),2442274.360000000335276,2121181.759999999776483,1985016.000000000000000,2235597.500000000000000,2283137.899999999906868,11067207.520000001415610
FS( 48 ),2434056.919999999925494,2111564.159999999217689,1979621.760000000242144,2246087.000000000000000,2266763.660000000149012,11038093.500000000000000
FS( 49 ),2482921.339999999850988,2117815.599999999627471,1983068.080000000074506,2247585.500000000000000,2274723.359999999869615,11106113.879999998956919
FS( 50 ),2499062.740000000223517,2154362.479999999515712,2018879.839999999850988,2274059.000000000000000,2294054.060000000055879,11240418.119999999180436
FS( 51 ),2484535.479999999981374,2124307.479999999515712,2030717.200000000186265,2230602.500000000000000,2289960.500000000000000,11160123.160000000149012
FS( 52 ),2472649.540000000037253,2167346.240000000223517,2050795.760000000242144,2238095.000000000000000,2335671.919999999925494,11264558.460000000894070
FS( 53 ),2477491.960000000428408,2166384.479999999515712,2057988.080000000074506,2241258.500000000000000,2372059.120000000111759,11315182.140000000596046
FS( 54 ),2500676.879999999888241,2163980.080000000074506,2065629.919999999925494,2262737.000000000000000,2378654.300000000279397,11371678.179999999701977
FS( 55 ),2507720.399999999906868,2202690.919999999925494,2088105.919999999925494,2251248.500000000000000,2398212.419999999925494,11447978.160000000149012
FS( 56 ),2486296.360000000335276,2209663.679999999701977,2191645.359999999869615,2264901.500000000000000,2408446.320000000298023,11560953.220000000670552
FS( 57 ),2470301.700000000186265,2207740.159999999217689,2212023.600000000093132,2259074.000000000000000,2405944.700000000186265,11555084.160000000149012
FS( 58 ),2485415.919999999925494,2220002.599999999627471,2224760.000000000000000,2293539.500000000000000,2424365.719999999739230,11648083.739999998360872
FS( 59 ),2451518.979999999981374,2261598.719999999739230,2238994.799999999813735,2297369.000000000000000,2465073.899999999906868,11714555.400000000372529
FS( 60 ),2385779.460000000428408,2258232.559999999590218,2232102.160000000149012,2275557.500000000000000,2491454.620000000111759,11643126.300000000745058
FS( 61 ),2403094.779999999795109,2229860.639999999664724,2228506.000000000000000,2272727.000000000000000,2450064.180000000167638,11584252.599999999627471
FS( 62 ),2388714.260000000242144,2284440.519999999552965,2246486.799999999813735,2297868.500000000000000,2424365.719999999739230,11641875.799999997019768
