代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10428939.709999999031425
真實報酬,428939.709999999031425

夏普值報酬,0.034193971000000
夏普值風險,0.028067575409266
夏普值,1.218273060690223

二次趨勢線,130.511449334580504 x^2 + 1860.873012815466836 x + 10000000.000000000000000
二次加權預期報酬,13258.872921368831157
風險,184354.802702454733662
二次加權趨勢值,0.071920409596100
一次趨勢線,8271.874359899642513 x + 10000000.000000000000000
一次預期報酬,8271.874359899642513
一次風險,194766.259800784551771
一次趨勢值,0.042470776860225
找到最佳解世代,2298
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,89549,
分配資金,10000000.000000000000000,
剩餘資金,63.169999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9992836.080000000074506,9992836.080000000074506
FS( 3 ),10133428.009999999776483,10133428.009999999776483
FS( 4 ),9981194.709999999031425,9981194.709999999031425
FS( 5 ),9883586.300000000745058,9883586.300000000745058
FS( 6 ),9844184.740000000223517,9844184.740000000223517
FS( 7 ),9808365.140000000596046,9808365.140000000596046
FS( 8 ),9938211.189999999478459,9938211.189999999478459
FS( 9 ),9965971.380000000819564,9965971.380000000819564
FS( 10 ),9904182.570000000298023,9904182.570000000298023
FS( 11 ),9851348.660000000149012,9851348.660000000149012
FS( 12 ),9871049.439999999478459,9871049.439999999478459
FS( 13 ),9892541.199999999254942,9892541.199999999254942
FS( 14 ),10016118.820000000298023,10016118.820000000298023
FS( 15 ),10068057.240000000223517,10068057.240000000223517
FS( 16 ),10125368.599999999627471,10125368.599999999627471
FS( 17 ),10135218.990000000223517,10135218.990000000223517
FS( 18 ),10060893.320000000298023,10060893.320000000298023
FS( 19 ),10051042.929999999701977,10051042.929999999701977
FS( 20 ),10083280.570000000298023,10083280.570000000298023
FS( 21 ),9898809.630000000819564,9898809.630000000819564
FS( 22 ),9951643.539999999105930,9951643.539999999105930
FS( 23 ),10035819.599999999627471,10035819.599999999627471
FS( 24 ),9983881.179999999701977,9983881.179999999701977
FS( 25 ),9968657.849999999627471,9968657.849999999627471
FS( 26 ),10065370.769999999552965,10065370.769999999552965
FS( 27 ),9940002.169999999925494,9940002.169999999925494
FS( 28 ),9974030.789999999105930,9974030.789999999105930
FS( 29 ),10128055.070000000298023,10128055.070000000298023
FS( 30 ),10289243.269999999552965,10289243.269999999552965
FS( 31 ),10330435.810000000521541,10330435.810000000521541
FS( 32 ),10350136.589999999850988,10350136.589999999850988
FS( 33 ),10274019.939999999478459,10274019.939999999478459
FS( 34 ),10250737.199999999254942,10250737.199999999254942
FS( 35 ),10155815.259999999776483,10155815.259999999776483
FS( 36 ),10196112.310000000521541,10196112.310000000521541
FS( 37 ),10289243.269999999552965,10289243.269999999552965
FS( 38 ),10261483.080000000074506,10261483.080000000074506
FS( 39 ),10171934.080000000074506,10171934.080000000074506
FS( 40 ),10125368.599999999627471,10125368.599999999627471
FS( 41 ),10283870.330000000074506,10283870.330000000074506
FS( 42 ),10420880.300000000745058,10420880.300000000745058
FS( 43 ),10428939.709999999031425,10428939.709999999031425
FS( 44 ),10479982.640000000596046,10479982.640000000596046
FS( 45 ),10467445.779999999329448,10467445.779999999329448
FS( 46 ),10524757.140000000596046,10524757.140000000596046
FS( 47 ),10566845.169999999925494,10566845.169999999925494
FS( 48 ),10437894.609999999403954,10437894.609999999403954
FS( 49 ),10471027.740000000223517,10471027.740000000223517
FS( 50 ),10531025.570000000298023,10531025.570000000298023
FS( 51 ),10539084.980000000447035,10539084.980000000447035
FS( 52 ),10539084.980000000447035,10539084.980000000447035
FS( 53 ),10658185.150000000372529,10658185.150000000372529
FS( 54 ),10723555.919999999925494,10723555.919999999925494
FS( 55 ),10719078.470000000670552,10719078.470000000670552
FS( 56 ),10996680.369999999180436,10996680.369999999180436
FS( 57 ),10993098.410000000149012,10993098.410000000149012
FS( 58 ),10794299.630000000819564,10794299.630000000819564
FS( 59 ),10402075.009999999776483,10402075.009999999776483
FS( 60 ),10077907.630000000819564,10077907.630000000819564
FS( 61 ),9937315.699999999254942,9937315.699999999254942
FS( 62 ),10381478.740000000223517,10381478.740000000223517
FS( 63 ),10536398.509999999776483,10536398.509999999776483
FS( 64 ),10523861.650000000372529,10523861.650000000372529
FS( 65 ),10428939.709999999031425,10428939.709999999031425
