代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11226276.480000000447035
真實報酬,1226276.480000000447035

夏普值報酬,0.113927648000000
夏普值風險,0.043456611384029
夏普值,2.621641319273939

二次趨勢線,673.215691019326869 x^2 + -23195.950060778337502 x + 10000000.000000000000000
二次加權預期報酬,34700.599366883761832
風險,81188.220272439604742
二次加權趨勢值,0.427409287337997
一次趨勢線,9368.901969923979777 x + 10000000.000000000000000
一次預期報酬,9368.901969923979777
一次風險,324592.466476940317079
一次趨勢值,0.028863584147877
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](5),MRK[17](1),WBA[27](12),WMT[28](2),
Stock#,JNJ[12](5),MRK[17](1),WBA[27](12),WMT[28](2),
張數,38331,63500,72004,42322,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,52.180000000167638,5.000000000000000,21.120000000111759,39.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2504216.410000000149012,2494920.000000000000000,2458957.720000000204891,2497460.679999999701977,9955554.810000000521541
FS( 3 ),2504599.720000000204891,2487300.000000000000000,2436636.480000000447035,2496614.240000000223517,9925150.440000001341105
FS( 4 ),2481601.120000000111759,2466345.000000000000000,2422955.720000000204891,2484340.859999999869615,9855242.699999999254942
FS( 5 ),2483900.979999999981374,2447295.000000000000000,2417195.399999999906868,2505078.639999999664724,9853470.019999999552965
FS( 6 ),2490800.560000000521541,2453010.000000000000000,2454637.480000000447035,2499153.560000000055879,9897601.600000001490116
FS( 7 ),2463968.860000000335276,2418720.000000000000000,2443116.840000000316650,2498307.120000000111759,9824112.820000000298023
FS( 8 ),2475084.850000000093132,2437770.000000000000000,2451757.319999999832362,2505078.639999999664724,9869690.809999998658895
FS( 9 ),2466268.720000000204891,2414910.000000000000000,2393434.080000000074506,2514812.700000000186265,9789425.500000000000000
FS( 10 ),2450553.010000000242144,2426975.000000000000000,2365352.520000000018626,2500000.000000000000000,9742880.529999999329448
FS( 11 ),2438287.090000000316650,2396495.000000000000000,2367512.640000000130385,2511850.160000000149012,9714144.890000000596046
FS( 12 ),2442120.190000000409782,2427610.000000000000000,2360312.240000000223517,2505078.639999999664724,9735121.070000000298023
FS( 13 ),2435987.229999999981374,2414910.000000000000000,2294788.600000000093132,2610460.419999999925494,9756146.250000000000000
FS( 14 ),2428321.030000000260770,2401575.000000000000000,2254466.359999999869615,2642201.919999999925494,9726564.310000000521541
FS( 15 ),2432920.750000000000000,2387605.000000000000000,2257346.520000000018626,2668018.339999999850988,9745890.609999999403954
FS( 16 ),2434837.300000000279397,2378715.000000000000000,2250146.120000000111759,2697220.520000000018626,9760918.940000001341105
FS( 17 ),2434837.300000000279397,2378715.000000000000000,2250146.120000000111759,2697220.520000000018626,9760918.940000001341105
FS( 18 ),2418738.280000000260770,2387605.000000000000000,2250866.160000000149012,2753931.999999999534339,9811141.439999999478459
FS( 19 ),2396122.990000000223517,2384430.000000000000000,2258066.560000000055879,2764089.280000000260770,9802708.830000001937151
FS( 20 ),2399189.470000000204891,2386970.000000000000000,2275347.520000000018626,2779748.420000000391155,9841255.410000000149012
FS( 21 ),2384623.690000000409782,2374905.000000000000000,2227104.840000000316650,2769591.139999999664724,9756224.670000001788139
FS( 22 ),2393056.510000000242144,2386335.000000000000000,2197583.200000000186265,2785673.499999999534339,9762648.209999999031425
FS( 23 ),2368141.360000000335276,2360935.000000000000000,2155100.840000000316650,2774246.560000000055879,9658423.760000001639128
FS( 24 ),2389606.720000000204891,2378715.000000000000000,2196863.160000000149012,2792868.239999999757856,9758053.120000001043081
FS( 25 ),2384623.690000000409782,2381255.000000000000000,2201903.439999999944121,2772130.459999999962747,9739912.589999999850988
FS( 26 ),2407238.979999999981374,2406655.000000000000000,2229264.959999999962747,2790328.920000000391155,9833487.860000001266599
FS( 27 ),2407238.979999999981374,2433960.000000000000000,2230705.040000000037253,2787789.600000000093132,9859693.620000001043081
FS( 28 ),2414138.560000000055879,2442215.000000000000000,2243665.760000000242144,2887246.299999999813735,9987265.620000001043081
FS( 29 ),2381173.899999999906868,2442850.000000000000000,2247986.000000000000000,2858044.120000000111759,9930054.019999999552965
FS( 30 ),2417971.660000000149012,2466980.000000000000000,2250146.120000000111759,2866085.299999999813735,10001183.080000000074506
FS( 31 ),2470485.130000000353903,2438405.000000000000000,2223504.640000000130385,2838575.999999999534339,9970970.770000001415610
FS( 32 ),2508816.130000000353903,2463170.000000000000000,2280387.800000000279397,2862276.319999999832362,10114650.250000001862645
