代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11471348.040000000968575
真實報酬,1471348.040000000968575

夏普值報酬,0.138434804000000
夏普值風險,0.043402148532079
夏普值,3.189584126179402

二次趨勢線,474.596066968597199 x^2 + -6850.193751798811718 x + 10000000.000000000000000
二次加權預期報酬,33332.273251542414073
風險,94061.858095163755934
二次加權趨勢值,0.354365456164173
一次趨勢線,15751.042571241097903 x + 10000000.000000000000000
一次預期報酬,15751.042571241097903
一次風險,234445.567146648507332
一次趨勢值,0.067184220042807
找到最佳解世代,1958
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),KO[14](24),NKE[19](4),TRV[22](2),UNH[23](5),WMT[28](6),
Stock#,AAPL[0](1),KO[14](24),NKE[19](4),TRV[22](2),UNH[23](5),WMT[28](6),
張數,16134,40025,42045,17632,19292,22002,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,23.800000000046566,25.000000000000000,2.199999999953434,89.360000000102445,30.119999999878928,14.500000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1596321.760000000009313,1672269.500000000000000,1656995.649999999906868,1665784.400000000139698,1674382.800000000046566,1672386.520000000018626,9938144.630000000819564
FS( 3 ),1583091.880000000121072,1675871.750000000000000,1680120.399999999906868,1662081.680000000167638,1679591.639999999897555,1684487.620000000111759,9965248.969999998807907
FS( 4 ),1596805.780000000027940,1674671.000000000232831,1724688.100000000093132,1661200.080000000074506,1692903.119999999878928,1705389.520000000018626,10055661.600000001490116
FS( 5 ),1586964.040000000037253,1672269.500000000000000,1732256.200000000186265,1644626.000000000000000,1695989.839999999850988,1683827.560000000055879,10015937.140000000596046
FS( 6 ),1580994.459999999962747,1678673.500000000000000,1720483.600000000093132,1637220.560000000055879,1708529.639999999897555,1688447.979999999981374,10014353.740000000223517
FS( 7 ),1629557.800000000046566,1687879.250000000000000,1733938.000000000000000,1642862.800000000046566,1683257.119999999878928,1683387.520000000018626,10060886.490000000223517
FS( 8 ),1636495.420000000158325,1679073.750000000000000,1720063.149999999906868,1638454.800000000046566,1679977.479999999748543,1674366.699999999953434,10028435.299999998882413
FS( 9 ),1640206.239999999990687,1659461.500000000000000,1720483.600000000093132,1629638.800000000046566,1662614.679999999934807,1667106.039999999804422,9979514.859999999403954
